Symbol,Date,Open,High,Low,Close,Volume
LYTS,03-Aug-2015,9.82,9.96,9.61,9.81,130200
MACK,03-Aug-2015,10.09,10.59,10.09,10.28,785300
MAGS,03-Aug-2015,4.14,4.17,4.1,4.1,6200
MAMS,03-Aug-2015,5.95,5.95,5.51,5.84,6900
MANH,03-Aug-2015,64.88,65.12,63.59,64.43,496800
MANT,03-Aug-2015,29.74,30.01,29.39,29.9,153600
MAR,03-Aug-2015,72.16,72.91,71.94,72.57,2314200
MARA,03-Aug-2015,3.04,3.04,2.93,2.95,39400
MARK,03-Aug-2015,4.29,4.32,4.11,4.12,11600
MARPS,03-Aug-2015,6.7,6.96,6.49,6.49,800
MASI,03-Aug-2015,41.16,41.72,40.55,41.05,269900
MAT,03-Aug-2015,23.51,23.57,22.33,22.51,4749200
MATR,03-Aug-2015,6.58,6.58,6.42,6.46,13400
MATW,03-Aug-2015,53.92,54.42,53.43,53.86,88900
MAYS,03-Aug-2015,55,55,55,55,100
MB,03-Aug-2015,9.98,10.11,9.39,9.55,257000
MBCN,03-Aug-2015,31.5,31.5,31.5,31.5,0
MBFI,03-Aug-2015,34.01,34.19,33.57,33.98,192800
MBFIP,03-Aug-2015,26.75,26.75,26.75,26.75,0
MBII,03-Aug-2015,2.02,2.02,1.87,1.97,32500
MBLX,03-Aug-2015,3.33,3.35,3.23,3.23,1400
MBRG,03-Aug-2015,18.64,18.64,18.09,18.49,3200
MBSD,03-Aug-2015,24.99,24.99,24.99,24.99,100
MBTF,03-Aug-2015,5.83,5.97,5.75,5.82,6200
MBUU,03-Aug-2015,19.18,19.33,18.64,18.8,50100
MBVT,03-Aug-2015,31.75,32.07,30.93,30.93,3600
MBWM,03-Aug-2015,20.57,20.93,20.3,20.48,28900
MCBC,03-Aug-2015,5.4,5.41,5.3,5.41,35200
MCBK,03-Aug-2015,19.4,19.4,19.4,19.4,0
MCEP,03-Aug-2015,3.1,3.11,2.75,2.92,504400
MCFT,03-Aug-2015,15.3,15.88,15.3,15.6,151400
MCHP,03-Aug-2015,42.19,42.84,42.01,42.78,2977100
MCHX,03-Aug-2015,4.58,4.61,4.46,4.56,67800
MCOX,03-Aug-2015,3.12,3.49,3.12,3.45,5300
MCRB,03-Aug-2015,37.73,40.72,36.82,38.91,130100
MCRI,03-Aug-2015,18.56,18.65,18.35,18.65,25600
MCUR,03-Aug-2015,13.99,13.99,13.61,13.84,5800
MDAS,03-Aug-2015,23.36,23.61,23.1,23.6,1532500
MDCA,03-Aug-2015,17.62,17.62,16.83,16.99,493300
MDCO,03-Aug-2015,31.13,31.36,30.28,31.01,899100
MDIV,03-Aug-2015,19.9,19.99,19.81,19.87,321700
MDLZ,03-Aug-2015,45.28,45.51,45,45.49,7283600
MDM,03-Aug-2015,3.35,3.36,3.2,3.2,82400
MDRX,03-Aug-2015,14.44,14.74,14.23,14.31,3031600
MDSO,03-Aug-2015,53.99,54.19,52.92,53.32,431800
MDSY,03-Aug-2015,1.67,1.67,1.55,1.55,500
MDVN,03-Aug-2015,105.11,106.89,102.81,104.78,1255700
MDVX,03-Aug-2015,3.25,3.3,3.1,3.1,5900
MDWD,03-Aug-2015,6.99,6.99,6.64,6.71,12300
MDXG,03-Aug-2015,10.73,10.88,10,10.21,1811900
MEET,03-Aug-2015,1.91,1.91,1.67,1.74,439200
MEIL,03-Aug-2015,0.34,0.36,0.34,0.35,32900
MEILW,03-Aug-2015,0.04,0.04,0.04,0.04,0
MEIP,03-Aug-2015,1.55,1.61,1.47,1.49,299400
MELA,03-Aug-2015,1.18,1.18,1.07,1.14,101300
MELI,03-Aug-2015,130.17,131.15,127.24,128.4,462300
MELR,03-Aug-2015,14.35,14.35,14.35,14.35,0
