Symbol,Date,Open,High,Low,Close,Volume
DUOH.IDX,23-Oct-2015,73.33,73.33,66.66,66.66,0
DUSL.IDX,23-Oct-2015,432.62,437.86,432.62,436.74,0
DUSM.IDX,23-Oct-2015,796.99,800.49,795.21,799.82,0
DUSS.IDX,23-Oct-2015,831.34,835.35,828.47,834.86,0
DUTH.IDX,23-Oct-2015,66.66,66.66,66.66,66.66,0
DUTW.IDX,23-Oct-2015,100,100,80,86.66,0
DVAA.IDX,23-Oct-2015,22.7,22.7,22.7,22.7,0
DVAB.IDX,23-Oct-2015,43.17,43.18,43.17,43.18,0
DVCA.IDX,23-Oct-2015,1.05,21.04,1.05,19.83,0
DVCD.IDX,23-Oct-2015,1.96,83.93,1.96,49.94,0
DVCE.IDX,23-Oct-2015,32.21,434.67,32.21,432.78,0
DVCN.IDX,23-Oct-2015,44.15,1607.58,44.15,1607.58,0
DVCQ.IDX,23-Oct-2015,21.52,471.25,21.52,465.97,0
DVCS.IDX,23-Oct-2015,4.06,133.07,4.06,132.88,0
DVCT.IDX,23-Oct-2015,66.73,2093.4,66.73,2093.4,0
DVCV.IDX,23-Oct-2015,2.38,46.84,2.38,43.15,0
DVCX.IDX,23-Oct-2015,6.44,176.23,6.44,176.03,0
DVDE.IDX,23-Oct-2015,110.2,110.3,110.2,110.3,0
DVJN.IDX,23-Oct-2015,115.7,115.7,115.6,115.6,0
DVMR.IDX,23-Oct-2015,113.3,113.3,113.3,113.3,0
DVS.IDX,23-Oct-2015,30.5,30.6,30.5,30.6,0
DVST.IDX,23-Oct-2015,116.1,116.2,116.1,116.2,0
DWC.IDX,23-Oct-2015,21554.46,21650.78,21394.53,21614.06,0
DWCB.IDX,23-Oct-2015,3861.56,3924.8,3861.56,3922.46,0
DWE.IDX,23-Oct-2015,4832.61,4918.67,4797.37,4865.65,0
DWJ.IDX,23-Oct-2015,3270.24,3283.36,3256.94,3283.27,0
DWO.IDX,23-Oct-2015,1928.4,1959.11,1906.64,1929.31,0
DWR.IDX,23-Oct-2015,5108.06,5117.05,4979.29,5022.09,0
DWU.IDX,23-Oct-2015,2754.16,2754.68,2729.74,2740.44,0
DWY.IDX,23-Oct-2015,2896.22,2927.76,2890.51,2926.42,0
DXG.IDX,23-Oct-2015,3934.8,3934.8,3934.8,3934.8,0
DXS.IDX,23-Oct-2015,4027.66,4045.36,4013.77,4036.54,0
DXY.IDX,23-Oct-2015,96.54,97.2,96.14,97.05,0
DYH.IDX,23-Oct-2015,3548.85,3573.53,3543.07,3571.35,0
DYI.IDX,23-Oct-2015,3036.89,3052.15,3022.59,3049.31,0
DYO.IDX,23-Oct-2015,3614.01,3631.45,3602.18,3623.88,0
DZC.IDX,23-Oct-2015,5403.36,5430.5,5373.58,5425.9,0
DZE.IDX,23-Oct-2015,2460.92,2491.41,2449.79,2485.55,0
DZF.IDX,23-Oct-2015,3639.05,3639.28,3594.46,3614.15,0
DZH.IDX,23-Oct-2015,2404.3,2459.07,2404.3,2455.44,0
DZL.IDX,23-Oct-2015,5091.54,5155.6,5091.54,5150.35,0
DZM.IDX,23-Oct-2015,2710.78,2732.34,2703.34,2724.38,0
DZN.IDX,23-Oct-2015,3530.54,3567.99,3516.99,3567.06,0
DZO.IDX,23-Oct-2015,5296.62,5419.47,5296.62,5402.5,0
DZR.IDX,23-Oct-2015,6019.69,6199.86,6019.69,6158.23,0
ECO.IDX,23-Oct-2015,46.84,46.93,46.33,46.82,0
EED.IDX,23-Oct-2015,25.8,26.19,25.79,26.14,0
EMX.IDX,23-Oct-2015,156.84,157.25,156.55,156.72,0
EPX.IDX,23-Oct-2015,257.4,261.29,252.14,257.86,0
ESX.IDX,23-Oct-2015,146.51,146.9,145.79,146.22,0
EUX.IDX,23-Oct-2015,158.1,158.39,157.89,158.01,0
EVZ.IDX,23-Oct-2015,11.74,12.16,11.73,12.09,0
EZB.IDX,23-Oct-2015,4348.42,4387.45,4344.1,4369.34,0
EZF.IDX,23-Oct-2015,2385.38,2401.85,2381.98,2401.85,0
EZK.IDX,23-Oct-2015,3800.56,3863.07,3775.1,3816.22,0
EZL.IDX,23-Oct-2015,5057.97,5102.09,5055.03,5093.6,0
EZS.IDX,23-Oct-2015,3633.01,3635.26,3595.5,3615.67,0
EZV.IDX,23-Oct-2015,3063.25,3075.02,3045.37,3073.13,0
EZX.IDX,23-Oct-2015,5692.43,5800.09,5689.34,5781.85,0
EZZ.IDX,23-Oct-2015,3981.22,3997.73,3944.48,3973.55,0
FBV.IDX,23-Oct-2015,23.29,23.3,23.19,23.27,0
FTSA.IDX,23-Oct-2015,3542.3,3601.25,3542.3,3580.5,0
FTSE.IDX,23-Oct-2015,6376.28,6487.89,6376.28,6444.08,0
FTSM.IDX,23-Oct-2015,17044.54,17258.56,17044.54,17240.7,0
FVX.IDX,23-Oct-2015,1.39,1.42,1.39,1.41,0
GDM.IDX,23-Oct-2015,448.78,457.95,441.27,455.46,0
GLD.IDX,23-Oct-2015,1165.49,1179.3,1159.33,1164.04,124058
GLI.IDX,23-Oct-2015,108.5,109.18,108.5,109.01,0
GMI.IDX,23-Oct-2015,16.15,16.59,15.98,16.5,0
GNX.IDX,23-Oct-2015,359.98,362.62,355.64,357.09,0
GVX.IDX,23-Oct-2015,16.37,16.73,13.7,16.2,0
GVZ.IDX,23-Oct-2015,16.11,16.28,15.58,15.59,0
GWI.IDX,23-Oct-2015,180.12,181,179.35,180.6,0
HGX.IDX,23-Oct-2015,232.29,234.19,230.34,233.29,0
HIGA.IDX,23-Oct-2015,3,3,3,3,0
HIGD.IDX,23-Oct-2015,5,5,5,5,0
HIGN.IDX,23-Oct-2015,89,89,89,89,0
HIGQ.IDX,23-Oct-2015,141,141,141,141,0
HIGS.IDX,23-Oct-2015,45,45,45,45,0
HIGV.IDX,23-Oct-2015,2,2,2,2,0
HKO.IDX,23-Oct-2015,442.05,442.05,442.05,442.05,0
HKX.IDX,23-Oct-2015,1107.98,1108,1107.98,1108,0
HSI.IDX,23-Oct-2015,23220.38,23220.38,23088.03,23151.94,0
HUI.IDX,23-Oct-2015,133.18,136.93,130.92,135.95,0
HUV.IDX,23-Oct-2015,137.94,137.94,137.94,137.94,0
HVX.IDX,23-Oct-2015,61.63,61.63,59.84,60.52,0
HWI.IDX,23-Oct-2015,550.03,561.78,549,559.57,0
HWO.IDX,23-Oct-2015,545.57,545.57,545.57,545.57,0
ICK.IDX,23-Oct-2015,67.53,68.93,67.53,68.91,0
IDX.IDX,23-Oct-2015,1435.29,1441.92,1430.43,1439.84,152557900
IEB.IDX,23-Oct-2015,2948.43,2962.02,2936.44,2956.22,0
IEK.IDX,23-Oct-2015,3381.19,3388.2,3361.28,3380.66,0
IEY.IDX,23-Oct-2015,3627.86,3653.34,3621.92,3652.39,0
IIB.IDX,23-Oct-2015,7.7,7.79,7.68,7.76,0
ILH.IDX,23-Oct-2015,2859.9,2868.12,2837.06,2861.36,0
ILJ.IDX,23-Oct-2015,4236.78,4253.71,4213.32,4249.44,0
ILK.IDX,23-Oct-2015,3907.82,3956.28,3907.09,3949.68,0
ILP.IDX,23-Oct-2015,3063.39,3075.77,3054.82,3072.54,0
ILR.IDX,23-Oct-2015,3830.1,3856.94,3812.28,3853.01,0
ILU.IDX,23-Oct-2015,3201.07,3229.48,3191.64,3211.2,0
ILW.IDX,23-Oct-2015,2920.13,2928.59,2904.04,2917.19,0
ILZ.IDX,23-Oct-2015,3410.97,3417.97,3376.94,3405.42,0
INDS.IDX,23-Oct-2015,4153.88,4154.17,4108.67,4131.4,0
INSR.IDX,23-Oct-2015,7461.15,7462.32,7416.69,7453.16,0
IPSA.IDX,23-Oct-2015,3873.12,3899.86,3871.42,3896.03,0
IQX.IDX,23-Oct-2015,3179.31,3196.51,3173.18,3193.11,0
IQZ.IDX,23-Oct-2015,8142.89,8185.51,8119.4,8178.55,0
IUX.IDX,23-Oct-2015,1157.04,1166.42,1155.65,1166.06,0
IVX.IDX,23-Oct-2015,889.56,894.85,888.65,893.61,0
IXB.IDX,23-Oct-2015,473.86,478.41,473.86,476.4,0
IXCO.IDX,23-Oct-2015,2640,2659.6,2625.74,2643.28,0
IXE.IDX,23-Oct-2015,686.19,690.99,678.84,685.03,0
IXF.IDX,23-Oct-2015,3276.55,3295.91,3262.55,3295.91,0
IXHC.IDX,23-Oct-2015,704.24,716.28,702.73,713.95,0
IXI.IDX,23-Oct-2015,544.99,548.93,543.7,546.81,0
IXM.IDX,23-Oct-2015,238.75,240.99,238.75,240.87,0
IXR.IDX,23-Oct-2015,510.18,512.52,506.61,509.44,0
IXT.IDX,23-Oct-2015,431,440.9,431,438.91,0
IXTC.IDX,23-Oct-2015,264.91,267.06,264.09,267.04,0
IXU.IDX,23-Oct-2015,459.29,459.29,450.95,451.3,0
IXV.IDX,23-Oct-2015,682.89,698.99,682.89,695,0
IXY.IDX,23-Oct-2015,798.34,807.3,796.78,800.76,0
JBV.IDX,23-Oct-2015,85.93,87.25,85.93,87.18,0
JKC.IDX,23-Oct-2015,146.63,146.85,145.58,146.64,0
JKSE.IDX,23-Oct-2015,4653.217,4666.906,4627.303,4653.146,0
JPN.IDX,23-Oct-2015,203.57,203.58,203.57,203.58,0
JPV.IDX,23-Oct-2015,197.65,197.65,197.65,197.65,0
JX.IDX,23-Oct-2015,550.07,551.28,548.59,551.21,65177400
KBK.IDX,23-Oct-2015,105.33,108.13,105.33,107.3,0
KDX.IDX,23-Oct-2015,139.86,140.1,139.19,140.1,0
KDY.IDX,23-Oct-2015,440.37,440.37,440.37,440.37,0
KGX.IDX,23-Oct-2015,71.15,71.87,71.15,71.6,0
KIX.IDX,23-Oct-2015,208.89,209.54,207.74,209.46,0
KLCI.IDX,23-Oct-2015,1716.98,1717.49,1709.56,1710.93,0
KLX.IDX,23-Oct-2015,24.58,25.02,24.54,24.71,0
KPX.IDX,23-Oct-2015,535.84,535.86,531.89,534.12,0
KRX.IDX,23-Oct-2015,83.66,84.77,83.41,84.75,0
KS11.IDX,23-Oct-2015,2043.67,2054.82,2036.92,2040.4,648998
