HYEM      	Emrg Mkts High Yield Bd ETF Vaneck                	AMEX      
HYS       	0-5 Year Hi Yld Corp Bond Idx ETF Pimco           	AMEX      
IBND      	Intl Corp Bond ETF SPDR                           	AMEX      
IDX       	Indonesia Index ETF Vaneck                        	AMEX      
IHY       	Intl High Yield Bond ETF Vaneck                   	AMEX      
INKM      	SSGA Income Allocation ETF SPDR                   	AMEX      
IPE       	TIPS Barclays ETF SPDR                            	AMEX      
ITE       	Interm-Term Treasury ETF SPDR                     	AMEX      
ITM       	Interm Muni ETF Vaneck                            	AMEX      
IVOG      	S&P Midcap 400 Growth ETF Vanguard                	AMEX      
IVOO      	S&P Midcap 400 ETF Vanguard                       	AMEX      
IVOV      	S&P Midcap 400 Value ETF Vanguard                 	AMEX      
JNK       	High Yield Bond ETF SPDR                          	AMEX      
KBE       	S&P Bank ETF SPDR                                 	AMEX      
KCE       	S&P Capital Markets ETF SPDR                      	AMEX      
KIE       	S&P Insurance ETF SPDR                            	AMEX      
KNG       	ETF Series Solutions ETF CBOE Vest S&P 500 Divid  	AMEX      
KOL       	Coal ETF Vaneck                                   	AMEX      
KRE       	S&P Regional Banking ETF SPDR                     	AMEX      
LDRS      	Innovator Ibd ETF Leaders ETF                     	AMEX      
LOWC      	ACWI Low Carbon Target MSCI ETF SPDR              	AMEX      
LTPZ      	15+ Year US TIPS Index ETF Pimco                  	AMEX      
MBG       	Mortgage Backed Bond ETF SPDR                     	AMEX      
MDYG      	S&P Midcap Growth ETF SPDR                        	AMEX      
MDYV      	S&P Midcap Value ETF SPDR                         	AMEX      
MGC       	Megacap 300 Index ETF Vanguard                    	AMEX      
MGK       	Megacap 300 Growth Index ETF Vanguard             	AMEX      
MGV       	Megacap 300 Value Index ETF Vanguard              	AMEX      
MINT      	Enhanced Short-Maturity Strgy ETF Pimco           	AMEX      
MLN       	Long Municipal Index ETF Vaneck                   	AMEX      
MMTM      	S&P 1500 Momentum Tilt ETF SPDR                   	AMEX      
MOM       	US Momentum Mkt Neutral ETF Quantshares           	AMEX      
MOO       	Agribusiness ETF Vaneck                           	AMEX      
MRGR      	Merger ETF Proshares                              	AMEX      
MUNI      	Interm Muni Bond Strgy ETF Pimco                  	AMEX      
ONEO      	Russell 1000 Momentum Focus ETF SPDR              	AMEX      
ONEV      	Russell 1000 Low Vol ETF SPDR                     	AMEX      
ONEY      	Russell 1000 Yield Focus ETF SPDR                 	AMEX      
OPER      	ETF Series Solutions ETF Clearshares Ultra-Short  	AMEX      
PEK       	China ETF Vaneck                                  	AMEX      
PQSV      	PGIM ETF Trust ETF PGIM Qma Strategic Alpha Smal  	AMEX      
PRB       	Pre-Refunded Muni ETF Vaneck                      	AMEX      
PRME      	Heitman Global Prime Real Estate ETF FT           	AMEX      
QEFA      	EAFE Qlty Mix MSCI ETF SPDR                       	AMEX      
QEMM      	EM Strategicfactors MSCI ETF SPDR                 	AMEX      
QUS       	USA Qlty Mix MSCI ETF SPDR                        	AMEX      
QWLD      	World Qlty Mix MSCI ETF SPDR                      	AMEX      
RAAX      	Vaneck Vectors ETF Trust ETF Vaneck Vectors Real  	AMEX      
RDIV      	Ultra Dividend Revenue ETF Oppenheimer            	AMEX      
REEM      	Oppenheimer Revenue Weighted ETF Trust ETF        	AMEX      
RLY       	SSGA Multi-Asset Real Return ETF SPDR             	AMEX      
RTH       	Retail ETF Vaneck                                 	AMEX      
RWJ       	Smallcap Revenue ETF Oppenheimer                  	AMEX      
RWK       	Midcap Revenue ETF Oppenheimer                    	AMEX      
RWL       	Largecap Revenue ETF Oppenheimer                  	AMEX      
RWO       	DJ Global Real Estate ETF SPDR                    	AMEX      
RWR       	DJ REIT ETF SPDR                                  	AMEX      
RWW       	Financial Sector Revenue ETF Oppenheimer          	AMEX      
RWX       	DJ Intl Real Estate ETF SPDR                      	AMEX      
SCIF      	India Smallcap ETF Vaneck                         	AMEX      
SGDJ      	Alps ETF Trust Sprott Junior Gold                 	AMEX      
SHE       	SSGA Gender Diversity ETF SPDR                    	AMEX      
SHM       	Short-Term Muni Bond ETF SPDR                     	AMEX      
SIZ       	US Size Mkt Neutral ETF Quantshares               	AMEX      
SJNK      	ST High Yield Bond ETF SPDR                       	AMEX      
