Ticker      Name                                        Exchange    List
PCAR  	Paccar Inc                                       	NASDAQ    	SP500     
PCG   	Pacific Gas & Electric Co                        	NYSE      	SP500     
PCH   	Potlatch Cp                                      	NASDAQ    	none      
PCI   	Pimco Dynamic Credit Income Fun                  	NYSE      	none      
PDBC  	DB Optimum Yield Dvsd Commodity Strate PS        	NASDAQ    	none      
PDCE  	Pdc Energy Inc                                   	NASDAQ    	SP600     
PDCO  	Patterson Companies                              	NASDAQ    	none      
PE    	Parsley Energy                                   	NYSE      	none      
PEG   	Public Service Enterprise Group Inc              	NYSE      	SP500     
PEGI  	Pattern Energy Cl A                              	NASDAQ    	none      
PENN  	Penn Natl Gaming Inc                             	NASDAQ    	none      
PEP   	Pepsico Inc                                      	NASDAQ    	SP500     
PETS  	Petmed Express Inc                               	NASDAQ    	SP600     
PF    	Pinnacle Foods Inc                               	NYSE      	none      
PFE   	Pfizer Inc                                       	NYSE      	SP500     
PFG   	Principal Financial Group Inc                    	NASDAQ    	SP500     
PFGC  	Performance Food Group Co                        	NYSE      	none      
PFPT  	Proofpoint Inc                                   	NASDAQ    	none      
PG    	Procter & Gamble Company                         	NYSE      	SP500     
PGR   	Progressive Corp                                 	NYSE      	SP500     
PGRE  	Paramount Group Inc                              	NYSE      	none      
PGTI  	Pgt Inc                                          	NYSE      	SP600     
PH    	Parker-Hannifin Corp                             	NYSE      	SP500     
PHG   	Koninklijke Philips Electronics                  	NYSE      	none      
PHM   	Pultegroup                                       	NYSE      	SP500     
PII   	Polaris Industries Inc                           	NYSE      	none      
PINC  	Premier Inc Cl A                                 	NASDAQ    	none      
PK    	Park Hotels & Resorts Inc                        	NYSE      	none      
PKG   	Packaging Corporation of America                 	NYSE      	SP500     
PKI   	Perkinelmer                                      	NYSE      	SP500     
PLAY  	Dave & Buster's Ente                             	NASDAQ    	SP600     
PLCE  	Children's Place Inc                             	NASDAQ    	SP600     
PLD   	Prologis Inc                                     	NYSE      	SP500     
PLNT  	Planet Fitness                                   	NYSE      	none      
PM    	Philip Morris International Inc                  	NYSE      	SP500     
PNC   	PNC Bank                                         	NYSE      	SP500     
PNFP  	Pinnacle Finl Ptnrs                              	NASDAQ    	none      
PNR   	Pentair Ltd                                      	NYSE      	SP500     
PNW   	Pinnacle West Capital Corp                       	NYSE      	SP500     
PODD  	Insulet Corp                                     	NASDAQ    	none      
POL   	Polyone Corp                                     	NYSE      	none      
POR   	Portland General Electric Company                	NYSE      	none      
POST  	Post Holdings Inc                                	NYSE      	none      
PPC   	Pilgrim's Pride                                  	NASDAQ    	none      
PPG   	PPG Industries                                   	NYSE      	SP500     
PPL   	PPL Corp                                         	NYSE      	SP500     
PRGO  	Perrigo Company                                  	NYSE      	SP500     
PRTY  	Party City Holdco Inc                            	NYSE      	none      
PRU   	Prudential Financial Inflation Retail            	NYSE      	SP500     
PSA   	Public Storage                                   	NYSE      	SP500     
PSTG  	Pure Storage Inc                                 	NYSE      	none      
PSX   	Phillips 66                                      	NYSE      	SP500     
PTC   	Ptc Inc                                          	NASDAQ    	none      
PTCT  	Ptc Therapeutics                                 	NASDAQ    	none      
PTEN  	Patterson-Uti Energy                             	NASDAQ    	none      
PTLA  	Portola Pharma                                   	NASDAQ    	none      
PUMP  	Propetro Holding Corp                            	NYSE      	SP600     
PVH   	Phillips-Van Heusen Corp                         	NYSE      	SP500     
PWR   	Quanta Services                                  	NYSE      	SP500     
PX    	Praxair                                          	NYSE      	SP500     
PXD   	Pioneer Natural Resources Co                     	NYSE      	SP500     
PYPL  	Paypal Holdings                                  	NASDAQ    	SP500     
PZZA  	Papa John's Intl                                 	NASDAQ    	none      
QCOM  	Qualcomm Inc                                     	NASDAQ    	SP500     
QGEN  	Qiagen N.V.                                      	NYSE      	none      
QNST  	Quinstreet Inc                                   	NASDAQ    	SP600     
QRTEA 	Liberty Int Qvc Sr A                             	NASDAQ    	NDX       
QRVO  	Qorvo Inc                                        	NASDAQ    	SP500     
QSR   	Restaurant Brands International                  	NYSE      	none      
R     	Ryder System                                     	NYSE      	none      
RACE  	Ferrari N.V.                                     	NYSE      	none      
RARE  	Ultragenyx Pharmaceu                             	NASDAQ    	none      
RCII  	Rent-A-Center Inc                                	NASDAQ    	SP600     
RCL   	Royal Caribbean Cruises Ltd                      	NYSE      	SP500     
RDC   	Rowan Companies                                  	NYSE      	none      
RDFN  	Redfin Corp                                      	NASDAQ    	none      
RDN   	Radian Group Inc                                 	NYSE      	none      
RDS.A 	Royal Dutch Shell Plc                            	NYSE      	none      
RDS.B 	Royal Dutch Shell                                	NYSE      	none      
RDUS  	Radius Health                                    	NASDAQ    	none      
REG   	Regency Centers Corp                             	NYSE      	SP500     
REGI  	Renewable Energy                                 	NASDAQ    	SP600     
REGN  	Regeneron Pharmaceutical                         	NASDAQ    	SP500     
RELX  	Relx Plc                                         	NYSE      	none      
REN   	Resolute Energy Corp                             	NYSE      	none      
RES   	RPC Inc                                          	NYSE      	none      
REVG  	Rev Group Inc                                    	NYSE      	none      
RF    	Regions Financial Corp                           	NYSE      	SP500     
RGLD  	Royal Gold Inc                                   	NASDAQ    	none      
RH    	Restoration Hardware Holdings                    	NYSE      	SP600     
RHI   	Robert Half International Inc                    	NYSE      	SP500     
RHT   	Red Hat Inc                                      	NYSE      	SP500     
RIG   	Transocean Inc                                   	NYSE      	none      
RIO   	Rio Tinto Plc                                    	NYSE      	none      
RJF   	Raymond James Financial                          	NYSE      	SP500     
RL    	Ralph Lauren Corp                                	NYSE      	SP500     
RLGY  	Realogy Holdings Corp                            	NYSE      	none      
RMD   	Resmed Inc                                       	NYSE      	SP500     
RNG   	Ringcentral Inc                                  	NYSE      	none      
ROIC  	Retail Opp Invts Cp                              	NASDAQ    	SP600     
ROK   	Rockwell Automation Inc                          	NYSE      	SP500     
ROKU  	Roku Inc                                         	NASDAQ    	none      
ROL   	Rollins Inc                                      	NYSE      	SP500     
ROP   	Roper Industries                                 	NYSE      	SP500     
ROST  	Ross Stores Inc                                  	NASDAQ    	SP500     
RP    	Realpage Inc                                     	NASDAQ    	none      
RPAI  	Retail Properties of America                     	NYSE      	none      
RPM   	RPM International Inc                            	NYSE      	none      
RRC   	Range Resources Corp                             	NYSE      	none      
RRR   	Rd Rock Rsrts Cla                                	NASDAQ    	none      
RS    	Reliance Steel & Aluminum Company                	NYSE      	none      
RSG   	Republic Services                                	NYSE      	SP500     
RSP   	S&P 500 EW Guggenheim                            	AMEX      	none      
RTN   	Raytheon Company                                 	NYSE      	SP500     
RUN   	Sunrun Inc                                       	NASDAQ    	none      
RXN   	Rexnord Corp                                     	NYSE      	none      
RY    	Royal Bank of Canada                             	NYSE      	none      
RYAAY 	Ryanair Hldgs Plc                                	NASDAQ    	none      
RYAM  	Rayonier Advanced Materials Inc                  	NYSE      	SP600     
RYN   	Rayonier Inc REIT                                	NYSE      	none      
SA    	Seabridge Gold                                   	NYSE      	none      
SABR  	Sabre Corp                                       	NASDAQ    	none      
SAIL  	Sailpoint Technologies Holdings Inc              	NYSE      	none      
SAP   	SAP Ag                                           	NYSE      	none      
SAVE  	Spirit Airlines Inc                              	NYSE      	none      
SBAC  	SBA Communications                               	NASDAQ    	SP500     
SBGI  	Sinclair Brdcst A                                	NASDAQ    	none      
SBH   	Sally Beauty Holdings                            	NYSE      	none      
SBLK  	Star Bulk Carriers                               	NASDAQ    	none      
SBNY  	Signature Bank                                   	NASDAQ    	none      
SBRA  	Sabra REIT                                       	NASDAQ    	none      
SBUX  	Starbucks Corp                                   	NASDAQ    	SP500     
SC    	Santander Consumer USA Holdings                  	NYSE      	none      
SCCO  	Southern Peru Copper Corp                        	NYSE      	none      
SCG   	Scana Corp                                       	NYSE      	SP500     
SCI   	Service Corporation International                	NYSE      	none      
SCS   	Steelcase Inc                                    	NYSE      	none      
SDRL  	Seadrill Ltd                                     	NYSE      	none      
SE    	Sea Limited ADR                                  	NYSE      	none      
SEAS  	Seaworld Entertainment Inc Co                    	NYSE      	none      
SEDG  	Solaredge Tech                                   	NASDAQ    	SP600     
SEE   	Sealed Air Corp                                  	NYSE      	SP500     
SEIC  	Sei Investments Co                               	NASDAQ    	none      
SEM   	Select Medical Holdings Corp                     	NYSE      	SP600     
SEMG  	Semgroup Corp                                    	NYSE      	none      
SEND  	Sendgrid Inc                                     	NYSE      	none      
SEP   	Spectra Energy Partners LP                       	NYSE      	none      
SERV  	Servicemaster Global Holdings I                  	NYSE      	none      
SFIX  	Stitch Fix Inc                                   	NASDAQ    	none      
SFL   	Ship Finance International                       	NYSE      	none      
SFLY  	Shutterfly Inc                                   	NASDAQ    	SP600     
SFM   	Sprouts Farmers Mark                             	NASDAQ    	none      
SGEN  	Seattle Genetics Inc                             	NASDAQ    	none      
SGH   	Smart Global Holdings Inc                        	NASDAQ    	none      
SGMO  	Sangamo Therapeutics                             	NASDAQ    	none      
SGMS  	Scientific Games                                 	NASDAQ    	none      
SHAK  	Shake Shack Inc                                  	NYSE      	SP600     
SHLX  	Shell Midstream Partners LP                      	NYSE      	none      
SHO   	Sunstone Hotel Investors                         	NYSE      	none      
SHOO  	Steven Maddens Ltd                               	NASDAQ    	SP600     
SHOP  	Shopify Inc                                      	NYSE      	none      
SHPG  	Shire Plc Ads                                    	NASDAQ    	NDX       
SHW   	Sherwin-Williams Company                         	NYSE      	SP500     
SIG   	Signet Jewelers Ltd                              	NYSE      	none      
SINA  	Sina Corp                                        	NASDAQ    	none      
SIR   	Select Income REIT                               	NASDAQ    	none      
SITE  	Siteone Landscape Supply                         	NYSE      	none      
SIVB  	Svb Financial Grp                                	NASDAQ    	SP500     
SIX   	Six Flags Entertainment Corp                     	NYSE      	none      
SJI   	South Jersey Industries                          	NYSE      	SP600     
SJM   	J.M. Smucker Company                             	NYSE      	SP500     
SJR   	Shaw Communications Inc                          	NYSE      	none      
SKM   	Sk Telecom Corp                                  	NYSE      	none      
SKT   	Tanger Factory Outlet Centers                    	NYSE      	none      
SKX   	Skechers U.S.A.                                  	NYSE      	none      
SKY   	Skyline Corp                                     	NYSE      	none      
SLB   	Schlumberger N.V.                                	NYSE      	SP500     
SLCA  	U.S. Silica Holdings Inc                         	NYSE      	SP600     
SLF   	Sun Life Financial Inc                           	NYSE      	none      
SLG   	SL Green Realty Corp                             	NYSE      	SP500     
SLGN  	Silgan Holdings                                  	NASDAQ    	none      
SLM   	SLM Corp                                         	NASDAQ    	none      
SM    	Sm Energy Company                                	NYSE      	none      
SMPL  	The Simply Good Foods Company                    	NASDAQ    	none      
SNA   	Snap-On Inc                                      	NYSE      	SP500     
SNBR  	Sleep Number Corporation                         	NASDAQ    	SP600     
SNDR  	Schneider National Inc                           	NYSE      	none      
SNE   	Sony Corp                                        	NYSE      	none      
SNN   	Smith & Nephew Snats                             	NYSE      	none      
SNPS  	Synopsys Inc                                     	NASDAQ    	SP500     
SNV   	Synovus Financial Corp                           	NYSE      	none      
SNX   	Synnex Corp                                      	NYSE      	none      
SNY   	Sanofi-Aventis S.A.                              	NYSE      	none      
SO    	Southern Company                                 	NYSE      	SP500     
SOHU  	Sohu.Com Inc                                     	NASDAQ    	none      
SON   	Sonoco Products Company                          	NYSE      	none      
SONC  	Sonic Cp                                         	NASDAQ    	SP600     
SPG   	Simon Property Group                             	NYSE      	SP500     
SPGI  	S&P Global Inc                                   	NYSE      	SP500     
SPHD  	S&P 500 Hi Div Low Vol PS                        	AMEX      	none      
SPLK  	Splunk Inc                                       	NASDAQ    	none      
SPPI  	Spectrum Pharma Inc                              	NASDAQ    	SP600     
SPR   	Spirit Aerosystems Holdings                      	NYSE      	none      
SQ    	Square                                           	NYSE      	none      
SQM   	Sociedad Quimica Y Minera S.A.                   	NYSE      	none      
SRCL  	Stericycle Inc                                   	NASDAQ    	SP500     
SRE   	Sempra Energy                                    	NYSE      	SP500     
SRG   	Seritage Growth Properties Cla                   	NYSE      	none      
SRPT  	Sarepta Therapeutics                             	NASDAQ    	none      
SSNC  	SS&C Technologies                                	NASDAQ    	none      
SSRM  	Silver Standard Resources Inc                    	NASDAQ    	none      
ST    	Sensata Technologies Holding N.V.                	NYSE      	none      
STAG  	STI Inc                                          	NYSE      	none      
STAR  	Istar Financial Inc                              	NYSE      	SP600     
STAY  	Extended Stay America Inc                        	NASDAQ    	none      
STI   	Suntrust Banks                                   	NYSE      	SP500     
STL   	Sterling Bancorp                                 	NYSE      	none      
STLD  	Steel Dynamics Inc                               	NASDAQ    	none      
STM   	Stmicroelectronics N.V.                          	NYSE      	none      
STOR  	Store Capital Corpstore Capital                  	NYSE      	none      
STT   	State Street Corp                                	NYSE      	SP500     
STX   	Seagate Tech Ord Shs                             	NASDAQ    	SP500     
STZ   	Constellation Brands Inc                         	NYSE      	SP500     
SU    	Suncor Energy Inc                                	NYSE      	none      
SUM   	Summit Materials Inc                             	NYSE      	none      
SVU   	Supervalu Inc                                    	NYSE      	none      
SWK   	Stanley Black & Decker Inc                       	NYSE      	SP500     
SWKS  	Skyworks Solutions                               	NASDAQ    	SP500     
SXT   	Sensient Technologies Corp                       	NYSE      	none      
SYF   	Synchrony Financial                              	NYSE      	SP500     
SYK   	Stryker Corp                                     	NYSE      	SP500     
SYMC  	Symantec Corp                                    	NASDAQ    	SP500     
SYNA  	Synaptics Inc                                    	NASDAQ    	none      
SYNH  	Syneos Health Inc.                               	NASDAQ    	none      
SYNT  	Syntel Inc                                       	NASDAQ    	none      
SYY   	Sysco Corp                                       	NYSE      	SP500     
T     	AT&T Inc                                         	NYSE      	SP500     
TACO  	Del Taco Rest                                    	NASDAQ    	none      
TAL   	Tal Education Group                              	NYSE      	none      
TAP   	Molson Coors Brewing Company                     	NYSE      	SP500     
TCBI  	Texas Capital Bncsh                              	NASDAQ    	none      
TCF   	TCF Financial Corp                               	NYSE      	none      
TCO   	Taubman Centers                                  	NYSE      	none      
TD    	Toronto Dominion Bank                            	NYSE      	none      
TDC   	Teradata Corp                                    	NYSE      	none      
TDG   	Transdigm Group Inc                              	NYSE      	SP500     
TDOC  	Teladoc Inc                                      	NYSE      	none      
TDS   	Telephone and Data Systems                       	NYSE      	none      
TEAM  	Atlassian Cls A Ord                              	NASDAQ    	none      
TECK  	Teck Resources Ltd                               	NYSE      	none      
TEL   	Te Connectivity Ltd                              	NYSE      	SP500     
TEN   	Tenneco Automotive                               	NYSE      	none      
TER   	Teradyne Inc                                     	NYSE      	none      
TEVA  	Teva Pharmaceutical Industries Ltd               	NYSE      	none      
TEX   	Terex Corp                                       	NYSE      	none      
TGI   	Triumph Group                                    	NYSE      	SP600     
TGNA  	Tegna Inc                                        	NYSE      	none      
TGT   	Target Corp                                      	NYSE      	SP500     
THC   	Tenet Healthcare Corp                            	NYSE      	none      
THO   	Thor Industries                                  	NYSE      	none      
THS   	Treehouse Foods                                  	NYSE      	none      
TIF   	Tiffany & Co                                     	NYSE      	SP500     
TIVO  	Tivo Corp                                        	NASDAQ    	SP600     
TJX   	TJX Companies                                    	NYSE      	SP500     
TKR   	Timken Company                                   	NYSE      	none      
TLRD  	Tailored Brands Inc                              	NYSE      	SP600     
TMHC  	Taylor Morrison Home Corporatio                  	NYSE      	none      
TMK   	Torchmark Corp                                   	NYSE      	SP500     
TMO   	Thermo Fisher Scientific Inc                     	NYSE      	SP500     
TMUS  	T-Mobile US                                      	NASDAQ    	NDX       
TNDM  	Tandem Diabetes Care                             	NASDAQ    	none      
TOL   	Toll Brothers Inc                                	NYSE      	none      
TOT   	Totalfinaelf S.A.                                	NYSE      	none      
TPH   	Tri Pointe Homes Inc                             	NYSE      	none      
TPR   	Tapestry Inc                                     	NYSE      	SP500     
TPRE  	Third Point Reinsurance Ltd Co                   	NYSE      	SP600     
TPX   	Tempur-Pedic International Inc                   	NYSE      	none      
TRCO  	Tribune Media Corp                               	NYSE      	none      
TREX  	Trex Company                                     	NYSE      	SP600     
TRGP  	Targa Resources                                  	NYSE      	none      
TRI   	Thomson Reuters Corp                             	NYSE      	none      
TRIP  	Tripadvisor Inc                                  	NASDAQ    	SP500     
TRMB  	Trimble Navigation                               	NASDAQ    	none      
TRN   	Trinity Industries                               	NYSE      	none      
TROW  	T Rowe Price Group                               	NASDAQ    	SP500     
TROX  	Tronox Inc                                       	NYSE      	none      
TRP   	Transcananda Pipelines                           	NYSE      	none      
TRU   	Transunion                                       	NYSE      	none      
TRUE  	Truecar Inc                                      	NASDAQ    	none      
TRV   	The Travelers Companies Inc                      	NYSE      	SP500     
TS    	Tenaris S.A.                                     	NYSE      	none      
TSCO  	Tractor Supply Co                                	NASDAQ    	SP500     
TSE   	Trinseo S.A.                                     	NYSE      	none      
TSEM  	Tower Semiconductor                              	NASDAQ    	none      
TSG   	The Stars Group Inc                              	NASDAQ    	none      
TSLA  	Tesla Inc                                        	NASDAQ    	NDX       
TSM   	Taiwan Semiconductor Manufacturing               	NYSE      	none      
TSN   	Tyson Foods                                      	NYSE      	SP500     
TSRO  	Tesaro Inc                                       	NASDAQ    	none      
TSS   	Total System Services                            	NYSE      	SP500     
TSU   	Tim Participacoes S.A.                           	NYSE      	none      
TTC   	Toro Company                                     	NYSE      	none      
TTD   	Trade Desk Inc                                   	NASDAQ    	none      
TTGT  	Techtarget Inc                                   	NASDAQ    	SP600     
TTM   	Tata Motors Ltd                                  	NYSE      	none      
TTMI  	TTM Technologies I                               	NASDAQ    	SP600     
TTWO  	Take-Two Interacti                               	NASDAQ    	SP500     
TUP   	Tupperware Corp                                  	NYSE      	none      
TV    	Grupo Televisa S.A.                              	NYSE      	none      
TVIX  	VS 2X VIX Short Term                             	NASDAQ    	none      
TVPT  	Travelport Worldwide Ltd                         	NYSE      	SP600     
TWLO  	Twilio                                           	NYSE      	none      
TWNK  	Hostess Brands Inc                               	NASDAQ    	none      
TWO   	Two Harbors Investments Corp                     	NYSE      	none      
TWOU  	2U Inc                                           	NASDAQ    	none      
TWTR  	Twitter Inc                                      	NYSE      	SP500     
TXN   	Texas Instruments                                	NASDAQ    	SP500     
TXRH  	Texas Roadhouse Inc                              	NASDAQ    	none      
TXT   	Textron Inc                                      	NYSE      	SP500     
UA    	Under Armour Inc Class C Comm                    	NYSE      	SP500     
UAA   	Under Armour                                     	NYSE      	SP500     
UAL   	United Continental Holdings                      	NASDAQ    	SP500     
UBS   	UBS Group Ag                                     	NYSE      	none      
UBSI  	United Bkshs Inc                                 	NASDAQ    	none      
UCTT  	Ultra Clean Holdings                             	NASDAQ    	SP600     
UE    	Urban Edge Properties                            	NYSE      	none      
UFPI  	Universal Forest Prd                             	NASDAQ    	SP600     
UFS   	Domtar Corp                                      	NYSE      	none      
UGI   	Ugi Corp                                         	NYSE      	none      
UGLD  	VS 3X Gold                                       	NASDAQ    	none      
UGP   	Ultrapar Participacoes S.A.                      	NYSE      	none      
UHS   	Universal Health Services                        	NYSE      	SP500     
UIS   	Unisys Corp                                      	NYSE      	SP600     
UL    	Unilever Plc                                     	NYSE      	none      
ULTA  	Ulta Salon Cosmetic                              	NASDAQ    	SP500     
UMPQ  	Umpqua Holdings Corp                             	NASDAQ    	none      
UN    	Unilever Nv                                      	NYSE      	none      
UNFI  	United Nat Foods I                               	NASDAQ    	none      
UNH   	Unitedhealth Group Inc                           	NYSE      	SP500     
UNIT  	Uniti Group Inc                                  	NASDAQ    	none      
UNM   	Unumprovident Corp                               	NYSE      	SP500     
UNP   	Union Pacific Corp                               	NYSE      	SP500     
UNVR  	Univar Inc                                       	NYSE      	none      
UPS   	United Parcel Service                            	NYSE      	SP500     
URBN  	Urban Outfitters Inc                             	NASDAQ    	none      
URI   	United Rentals                                   	NYSE      	SP500     
USB   	U.S. Bancorp                                     	NYSE      	SP500     
USCR  	U S Concrete Inc                                 	NASDAQ    	SP600     
USFD  	US Foods Holding                                 	NYSE      	none      
USG   	USG Corp                                         	NYSE      	none      
USLV  	VS 3X Silver                                     	NASDAQ    	none      
UTX   	United Technologies Corp                         	NYSE      	SP500     
UWT   	Velocity 3X Long Crude Oil                       	AMEX      	none      
V     	Visa Inc                                         	NYSE      	SP500     
VAC   	Marriot Vacations Worldwide Cor                  	NYSE      	none      
VALE  	Vale S.A.                                        	NYSE      	none      
VAR   	Varian Medical Systems                           	NYSE      	SP500     
VBTX  	Veritex Holdings                                 	NASDAQ    	SP600     
VC    	Visteon Corp                                     	NASDAQ    	none      
VCEL  	Vericel Corproation                              	NASDAQ    	none      
VCIT  	Interm Corp Bond Vanguard                        	NASDAQ    	none      
VCSH  	Sht-Term Corp Bond Vanguard                      	NASDAQ    	none      
VEA   	FTSE Developed Markets Vanguard                  	AMEX      	none      
VEDL  	Vedanta Ltd                                      	NYSE      	none      
VEEV  	Veeva Systems Inc                                	NYSE      	none      
VFC   	V.F. Corp                                        	NYSE      	SP500     
VG    	Vonage Holdings                                  	NYSE      	SP600     
VGR   	Vector Group Ltd                                 	NYSE      	none      
VGSH  	Sht-Term Govt Bond Vanguard                      	NASDAQ    	none      
VIAB  	Viacom Inc Cl B                                  	NASDAQ    	SP500     
VIAV  	Viavi Solutions                                  	NASDAQ    	SP600     
VICI  	Vici Properties Inc                              	NYSE      	none      
VIRT  	Virtu Financial Cm A                             	NASDAQ    	none      
VIV   	Telecomunicacoes De Sao Paulo ADR                	NYSE      	none      
VKTX  	Viking Thera                                     	NASDAQ    	none      
VLO   	Valero Energy Corp                               	NYSE      	SP500     
VLP   	Valero Energy Partners LP                        	NYSE      	none      
VLY   	Valley National Bancorp                          	NASDAQ    	none      
VMBS  	Mortgage-Backed Securities Vanguard              	NASDAQ    	none      
VMC   	Vulcan Materials Company                         	NYSE      	SP500     
VMW   	Vmware Inc                                       	NYSE      	none      
VNDA  	Vanda Pharmaceutical                             	NASDAQ    	SP600     
VNOM  	Viper Energy LP                                  	NASDAQ    	none      
VNQI  	Global Ex-US Real Estate Vanguard                	NASDAQ    	none      
VOD   	Vodafone Grp Plc Ads                             	NASDAQ    	NDX       
VOYA  	VOYA Financial Inc                               	NYSE      	none      
VRSK  	Verisk Analytics Inc                             	NASDAQ    	SP500     
VRSN  	Verisign Inc                                     	NASDAQ    	SP500     
VRTX  	Vertex Pharmaceutic                              	NASDAQ    	SP500     
VSH   	Vishay Intertechnology                           	NYSE      	none      
VSM   	Versum Materials Inc                             	NYSE      	none      
VST   	Vistra Energy Corp                               	NYSE      	none      
VTEB  	Tax-Exempt Bond Vanguard                         	AMEX      	none      
VTIP  	Sht-Term Infl Protected Vanguard                 	NASDAQ    	none      
VTR   	Ventas Inc                                       	NYSE      	SP500     
VVC   	Vectren Corp                                     	NYSE      	none      
VVV   	Valvoline Inc                                    	NYSE      	none      
VZ    	Verizon Communications Inc                       	NYSE      	SP500     
W     	Wayfair Inc                                      	NYSE      	none      
WAB   	Wabtec Corp                                      	NYSE      	none      
WAFD  	Washington Federal                               	NASDAQ    	none      
WAL   	Western Alliance Bancorporation                  	NYSE      	none      
WAT   	Waters Corp                                      	NYSE      	SP500     
WB    	Weibo Corp Ads                                   	NASDAQ    	none      
WBA   	Walgreens Boots Alliance                         	NASDAQ    	SP500     
WBC   	Wabco Holdings Inc                               	NYSE      	none      
WBS   	Webster Financial Corp                           	NYSE      	none      
WBT   	Welbilt Inc                                      	NYSE      	none      
WCC   	Wesco International                              	NYSE      	none      
WCG   	Wellcare Group                                   	NYSE      	SP500     
WCN   	Waste Connections Inc                            	NYSE      	none      
WDAY  	Workday Inc                                      	NASDAQ    	NDX       
WDC   	Western Digital Cp                               	NASDAQ    	SP500     
WDR   	Waddell & Reed Financial                         	NYSE      	SP600     
WEB   	Web.Com Group Inc                                	NASDAQ    	none      
WEC   	Wisconsin Energy Corp                            	NYSE      	SP500     
WELL  	Welltower Inc                                    	NYSE      	SP500     
WEN   	Wendys Company                                   	NASDAQ    	none      
WERN  	Werner Enterprise                                	NASDAQ    	none      
WES   	Western Gas Partners LP                          	NYSE      	none      
WFC   	Wells Fargo & Company                            	NYSE      	SP500     
WGO   	Winnebago Industries                             	NYSE      	SP600     
WHR   	Whirlpool Corp                                   	NYSE      	SP500     
WIFI  	Boingo Wireless Inc                              	NASDAQ    	none      
WING  	Wingstop Inc                                     	NASDAQ    	SP600     
WIX   	Wix.Com Ltd                                      	NASDAQ    	none      
WLH   	William Lyon Homes                               	NYSE      	SP600     
WLK   	Westlake Chemical Corp                           	NYSE      	none      
WLL   	Whiting Petroleum Corp                           	NYSE      	none      
WLTW  	Willis Towers Wts                                	NASDAQ    	SP500     
WM    	Waste Management                                 	NYSE      	SP500     
WMB   	Williams Companies                               	NYSE      	SP500     
WMGI  	Wright Med Grp Nv                                	NASDAQ    	none      
WMT   	Wal-Mart Stores                                  	NYSE      	SP500     
WNC   	Wabash National Corp                             	NYSE      	SP600     
WP    	Worldpay Inc.                                    	NYSE      	none      
WPC   	W.P. Carey & Co. Llc                             	NYSE      	none      
WPM   	Wheaton Precious Metals                          	NYSE      	none      
WPX   	Wpx Energy Inc                                   	NYSE      	none      
WRD   	Wildhorse Resour                                 	NYSE      	none      
WRI   	Weingarten Realty Investors                      	NYSE      	none      
WRK   	Westrock Company                                 	NYSE      	SP500     
WSC   	Willscot Corp                                    	NASDAQ    	none      
WSM   	Williams-Sonoma                                  	NYSE      	none      
WTFC  	Wintrust Finl Corp                               	NASDAQ    	none      
WTR   	Aqua America                                     	NYSE      	none      
WTW   	Weight Watchers International Inc                	NASDAQ    	none      
WU    	Western Union Company                            	NYSE      	SP500     
WUBA  	58.Com Inc                                       	NYSE      	none      
WWE   	World Wrestling Entertainment                    	NYSE      	none      
WWW   	Wolverine World Wide                             	NYSE      	SP600     
WY    	Weyerhaeuser Company                             	NYSE      	SP500     
WYNN  	Wynn Resorts Ltd                                 	NASDAQ    	SP500     
X     	United States Steel Corp                         	NYSE      	none      
XEC   	Cimarex Energy Co                                	NYSE      	SP500     
XEL   	XCEL Energy Inc                                  	NASDAQ    	SP500     
XLNX  	Xilinx Inc                                       	NASDAQ    	SP500     
XOM   	Exxon Mobil Corp                                 	NYSE      	SP500     
XON   	Intrexon Corp                                    	NASDAQ    	none      
XPO   	Xpo Logistics Inc                                	NYSE      	none      
XRAY  	Dentsply Sirona Inc                              	NASDAQ    	SP500     
XRX   	Xerox Corp                                       	NYSE      	SP500     
XYL   	Xylem Inc                                        	NYSE      	SP500     
YELP  	Yelp Inc                                         	NYSE      	none      
YEXT  	Yext Inc                                         	NYSE      	none      
YNDX  	Yandex N.V.                                      	NASDAQ    	none      
YPF   	Ypf Sociedad Anonima                             	NYSE      	none      
YUM   	Yum! Brands                                      	NYSE      	SP500     
YUMC  	Yum China Holdings Inc                           	NYSE      	none      
YY    	YY Inc                                           	NASDAQ    	none      
Z     	Zillow Group Cl C                                	NASDAQ    	none      
ZAYO  	Zayo Group Holdings Inc                          	NYSE      	none      
ZBH   	Zimmer Biomet Holdings                           	NYSE      	SP500     
ZEN   	Zendesk Inc                                      	NYSE      	none      
ZG    	Zillow Grp Inc Cl A                              	NASDAQ    	none      
ZGNX  	Zogenix Inc                                      	NASDAQ    	none      
ZION  	Zions Bancorporation                             	NASDAQ    	SP500     
ZS    	Zscaler Inc.                                     	NASDAQ    	none      
ZTO   	Zto Express [Cayman] Inc                         	NYSE      	none      
ZTS   	Zoetis Inc Class A                               	NYSE      	SP500     
