Symbol	Description
SRVH.IDX	Rogers Producers US Extra Liquid Index
SRVI.IDX	Rogers Producers Index [EURO]
SRVJ.IDX	Rogers Producers US Extra Liquid Index [EURO]
SRWI.IDX	Revenue Shares Large Cap Fund
SS1E.IDX	S&P 500 EQUAL WEIGHTED Materials [Sector]
SS1J.IDX	S&P 500 EQUAL WEIGHTED Energy [Sector]
SS2E.IDX	S&P 500 EQUAL WEIGHTED Consumer Discretionary [S
SS2J.IDX	S&P 500 EQUAL WEIGHTED Industrials [Sector]
SS3E.IDX	S&P 500 EQUAL WEIGHTED HealthCare [Sector]
SS3J.IDX	S&P 500 EQUAL WEIGHTED Consumer Staples [Sector]
SS4E.IDX	S&P 500 EQUAL WEIGHTED Information Technology [S
SS4J.IDX	S&P 500 EQUAL WEIGHTED Financials [Sector]
SS5E.IDX	S&P 500 EQUAL WEIGHTED Utilities [Sector]
SS5J.IDX	S&P 500 EQUAL WEIGHTED Telecommunication Service
SSAE.IDX	S&P Southeast Asia 40 Index [EURO]
SSAI.IDX	S&P Southeast Asia 40 Index [EURO] [NetTR]
SSAU.IDX	S&P Southeast Asia 40 Index
SSAX.IDX	S&P Asia50
SSBE.IDX	S&P BRIC 40 Index [EURO]
SSBR.IDX	S&P BRIC 40 Index
SSCA.IDX	S&P Asia Pacific Emerging BMI [USDollar]
SSCB.IDX	S&P Mid-East and Africa BMI [USDollar]
SSCE.IDX	S&P /Citigroup BMI EPAC Index
SSCH.IDX	S&P China BMI [USDollar]
SSCK.IDX	S&P EM BMI [USDollar]
SSCL.IDX	S&P Latin America BMI [USDollar]
SSCM.IDX	Schwab 1000 Index
SSCP.IDX	S&P /Citigroup BMI Asia Pacific Index
SSCQ.IDX	S&P European Emerging BMI [CAPPED] [USDollar]
SSCS.IDX	S&P Developed Ex US Under USD 2 Billion [USDolla
SSCU.IDX	S&P /Citigroup BMI Europe Index
SSCW.IDX	S&P Developed Ex-U.S.BMI [USDollar]
SSDI.IDX	S&P 500 Dividend Index
SSEC.IDX	Shanghai Composite
SSEN.IDX	SGI Global Senior [NetTR]
SSER.IDX	SPECTRUM-Long/Short 8% Index ER [NEWVA]
SSEW.IDX	S&P GSCI Select Equal Weight Index Spot
SSFA.IDX	Credit Suisse Family Index
SSFB.IDX	SGI Double Short Bund Index
SSFE.IDX	Credit Suisse Family Index [EUR] [Price Return]
SSFP.IDX	Credit Suisse Family Index [USD] [Price Return]
SSFT.IDX	Credit Suisse Family Index [CHF] [Price Return]
SSFU.IDX	Credit Suisse Family Index EUR
SSGA.IDX	SGI Global Agriculture
SSGC.IDX	S&P GSCI Enhanced Capped Index
SSGD.IDX	S&P GLOBAL1200-Consumer Discretionary [Sector]
SSGE.IDX	S&P GLOBAL1200-Energy [Sector]
SSGF.IDX	S&P GLOBAL1200-Financials [Sector]
SSGG.IDX	SGI Global Generics Index [EURO] [NetTR]
SSGH.IDX	S&P GLOBAL1200-HealthCare [Sector]
SSGI.IDX	S&P GLOBAL1200-Information Technology [Sector]
SSGL.IDX	S&P GLOBAL1200
SSGM.IDX	S&P GLOBAL1200-Materials [Sector]
SSGN.IDX	S&P GLOBAL1200-Industrials [Sector]
SSGO.IDX	S&P GSCI E27 WTI Index
SSGP.IDX	S&P GSCI Enhanced Capped Index Excess Return
SSGR.IDX	S&P GSCI Enhanced Capped Index Total Return
SSGS.IDX	S&P GLOBAL1200-Consumer Staples [Sector]
SSGT.IDX	S&P GLOBAL1200-Telecommunication Services [Secto
SSGU.IDX	S&P GLOBAL1200-Utilities [Sector]
SSGX.IDX	S&P GSCI E27WTI Index Excess Return
SSGZ.IDX	S&P GSCI E27WTI Index Total Return
SSHE.IDX	S&P Europe 350 Shariah Index
SSHF.IDX	Credit Suisse Family Index CHF
SSHJ.IDX	S&P Japan 500 Shariah Index
SSHX.IDX	S&P 500 Shariah Index
SSIA.IDX	Credit Suisse Social Awareness Index
SSIB.IDX	S&P GSCI Softs Index Excess Return
SSIC.IDX	S&P GSCI Softs Index Total Return
SSIP.IDX	S&P DFI Index Excess Return
SSIS.IDX	S&P DFI Index
SSIT.IDX	S&P DFI Index Total Return
SSLF.IDX	S&P Select Frontier Index
SSLS.IDX	S&P Custom/BNP Paribas-SPECTRUM [GRIPTEST]
SSMI.IDX	Swiss Market
SSNI.IDX	SGI Global Nanotechnology Index [NetTR]
SSPA.IDX	S&P ADR Index
SSPE.IDX	S&P EUROPE 350
SSPF.IDX	S&P EUROPE 350 - Financials [Sector]
SSPI.IDX	S&P EUROPE 350 - Information Technology [Sector]
SSPL.IDX	S&P 500Telecom&IT
SSPN.IDX	S&P 500Energy[Sector]
SSPT.IDX	S&P EUROPE 350 - Telecommunication Services [Sec
SSPU.IDX	S&P EURO
SSRF.IDX	S&P Preferred Stock Index
SSRW.IDX	Revenue Shares Small Cap Fund
SSTR.IDX	SPECTRUM-Long/Short 8% Index TR [NEWVA]
SSTU.IDX	S&P 500 EQUAL WEIGHTED Utilities & Telecommunica
SSUC.IDX	S&P GSCI Capped Component 35/20 Index
SSUP.IDX	S&P GSCI Capped Component 35/20 Index Excess Ret
SSUT.IDX	S&P GSCI Capped Component 35/20 Index Total Retu
SSWP.IDX	S&P GSCI Select Equal Weight Index Er
SSWT.IDX	Credit Suisse Water Index
SSXP.IDX	Credit Suisse Social Awareness Index [Price]
SSXT.IDX	DWS Swi X Index [NetTRw/fees]
STCE.IDX	S&P Global Clean Energy Index [EURO]
STCL.IDX	S&P Global Clean Energy Index
STDA.IDX	S&P Target Date Retirement Income Index
STDB.IDX	S&P Target Date 2010 Index
STDC.IDX	S&P Target Date 2015 Index
STDD.IDX	S&P Target Date 2020 Index
STDE.IDX	S&P Target Date 2025 Index
STDF.IDX	S&P Target Date 2030 Index
STDG.IDX	S&P Target Date 2035 Index
STDH.IDX	S&P Target Date 2040 Index
STDI.IDX	S&P Target Date 2045 Index
STFE.IDX	S&P Global Timber and Forestry Index [EURO]
STFU.IDX	S&P Global Timber and Forestry Index
STI.IDX	STI Index
STIC.IDX	S&P CTI Total Return USD
STIF.IDX	S&P Global Infrastructure Index [EURO]
STIL.IDX	SGI Smart WTI Long Invest Index [NEWVA]
STIR.IDX	S&P Global Infrastructure Index
STIS.IDX	S&P Commodity Trends Indicator
STMP.IDX	Tortoise MLP Index
STNC.IDX	Tsx American Preferred Stock Index
STNU.IDX	S&P/Tsx North American Pref Stock Index
STOXX.IDX	DJ Stoxx 50 Index Euro
STRA.IDX	S&P Target Risk Aggressive Index
STRB.IDX	S&P Target Risk Moderate Index
STRC.IDX	S&P Target Risk Growth Index
STRD.IDX	S&P Target Risk Conservative Index
STRL.IDX	S&P LAC40 [US$] [NetTR]
STRN.IDX	S&P 500 [NetTR]
STRP.IDX	Credit Suisse Water Index [Usd] Price
STRS.IDX	S&P 500 TR Short
STRT.IDX	S&P 500 Telecommunication Services [TR]
STRU.IDX	S&P 500 Household & Personal Products [TR]
STSI.IDX	SGI Smart WTI Short Invest Index [NEWVA]
STSU.IDX	S&P TOP IX150 Shariah [USD]
STSY.IDX	S&P TOP IX150 Shariah
STTR.IDX	S&P 500 Technology Hardware & Equipment [TR]
SUCD.IDX	S&P Select Sector Capped 20% Consumer Discretion
SUCS.IDX	S&P Select Sector Capped 20% Consumer Staples In
SUEP.IDX	S&P Select Sector Capped 20% Energy Index Net TR
SUFP.IDX	S&P Select Sector Capped 20% Financials Index Ne
SUHC.IDX	S&P Select Sector Capped 20% HealthCare Index Ne
SUIP.IDX	S&P Select Sector Capped 20% Industrials Index N
SUJP.IDX	S&P Mitsubishi Corporate Group Index
SUKP.IDX	S&P United Kingdom [PDS]
SUKS.IDX	S&P United Kingdom [USD]
SUMI.IDX	S&P Select Sector Capped 20% Materials Index Net
SUNI.IDX	MAC GLOBAL SOLAR INDEX
SUPI.IDX	S&P Select Sector Capped 20% Utilities Index Net
SURI.IDX	S&P /Citigroup BMI REIT SUS Index
SUTP.IDX	S&P Select Sector Capped 20% Technology Index Ne
SVO.IDX	PHLX SIG ENERGY MLP INDX
SVTR.IDX	Next 11 Vietnam [TotalReturn] Index
SW0B.IDX	S&P Developed Ex-U.S.BMI [Capped] Energy
SW0C.IDX	S&P Developed Ex-U.S.BMI [Capped] Materials
SW0D.IDX	S&P Developed Ex-U.S.BMI [Capped] Industrials
SW0E.IDX	S&P Developed Ex-U.S.BMI [Capped] Consumer Discr
SW0F.IDX	S&P Developed Ex-U.S.BMI [Capped] Consumer Stapl
SW0G.IDX	S&P Developed Ex-U.S.BMI [Capped] HealthCare
SW0H.IDX	S&P Developed Ex-U.S.BMI [Capped] Financials
SW0I.IDX	S&P Developed Ex-U.S.BMI [Capped] Information Te
SW1A.IDX	S&P Developed Ex-U.S.BMI [Capped] Utilities
SW1B.IDX	S&P Developed Ex-U.S.Cap Range Companies Between
SW1C.IDX	S&P Emerging Under USD 2 Billion
SW1J.IDX	S&P Developed Ex-U.S.BMI [Capped] Telecommunicat
SWCH.IDX	Credit Suisse Water Index  [Chf]
SWDI.IDX	VTL Navellier Revenue Weighted Index
SWDR.IDX	VTL Revenue Weighted ADR Index
SWET.IDX	Credit Suisse Water Index [Euro]
SWFI.IDX	Revenue Shares Large Cap Fund Financials [Sector
SWIB.IDX	SGI Wise Bottom
SWIT.IDX	SGI Wise Top
SWML.IDX	Wachovia MLP Index
SWSP.IDX	S&P World Commodity Index
SWTE.IDX	Wisdom Tree Earnings 500 Index
SWTM.IDX	Wisdom Tree Mid Cap Earnings Index
SWTS.IDX	Wisdom Tree Small Cap Earnings Index
SWTT.IDX	Wisdom Tree Earnings Index
SWTV.IDX	Wisdom Tree Large Cap Value Index
SWUB.IDX	SGI Wise US Bottom
SWUL.IDX	SGI Wise US Long/Short [NEWVA]
SWUT.IDX	SGI WISE US Top
SXTR.IDX	S&P 500 Utilities [Industry Group] [TR]
SYTR.IDX	S&P 500 Transportation [Industry Group] [TR]
SZTR.IDX	S&P 500 Retailing [Industry Group] [TR]
TA25.IDX	Tel Aviv 25 Index
TACK.IDX	AMEX Tick
TACX.IDX	AMEX Tick
TASI.IDX	Tadawul All Shares Index
TBO.IDX	AMEX Tobacco Index Settlement
TCFI.IDX	TSX Comp Stocks Above 50-Day Average
TCOF.IDX	TSX Comp Stocks Above 150-Day Average
TCOH.IDX	TSX Comp Stocks Above 100-Day Average
TCTH.IDX	TSX Comp Stocks Above 200-Day Average
TCTW.IDX	TSX Comp Stocks Above 20-Day Average
TICK.IDX	NYSE Tick
TICX.IDX	NYSE Tick
TIKI.IDX	DOW Tick
TIKX.IDX	DOW Tick
TNX.IDX	10-YEAR TREASURY NOTE
TOB.IDX	AMEX Tobacco Index
TOOC.IDX	Tsx Capped Composite Index
TPXR.IDX	S&P C.S. Fl-Tampa Home Price Index
TQCK.IDX	NASD Tick
TQCX.IDX	NASD Tick
TRA.IDX	Nasdaq Transportation
TRCCI.IDX	CRB Commodity Continuous Index
TRIA.IDX	AMEX Trin
TRIN.IDX	NYSE Trin
TRIQ.IDX	NASD Trin
TSFI.IDX	TSX 60 Stocks Above 50-Day Average
TSOF.IDX	TSX 60 Stocks Above 150-Day Average
TSOH.IDX	TSX 60 Stocks Above 100-Day Average
TSTH.IDX	TSX 60 Stocks Above 200-Day Average
TSTW.IDX	TSX 60 Stocks Above 20-Day Average
TSX.IDX	TSX COMPOSITE INDEX
TTCD.IDX	Tsx Consumer Discretionary Capped Index
TTCS.IDX	Tsx Consumer Staples Capped Index
TTEN.IDX	Tsx Capped Energy Index
TTFS.IDX	Tsx Financials Capped Index
TTGD.IDX	Tsx Global Gold Index
TTHC.IDX	Tsx Health Care Capped Index
TTIN.IDX	Tsx Industrials Capped Index
TTMN.IDX	Tsx Metals And Mining Capped Index
TTMT.IDX	Tsx Materials Capped Index
TTRE.IDX	Tsx Real Estate Capped Index
TTTK.IDX	Tsx Information Tech Capped Index
TTTS.IDX	Tsx Telecom Services Capped Index
TTUT.IDX	Tsx Utilities Capped Index
TVFI.IDX	TSX Venture Stocks Above 50-Day Average
TVOF.IDX	TSX Venture Stocks Above 150-Day Average
TVOH.IDX	TSX Venture Stocks Above 100-Day Average
TVTH.IDX	TSX Venture Stocks Above 200-Day Average
TVTW.IDX	TSX Venture Stocks Above 20-Day Average
TWII.IDX	Taiwan Weighted Index
TXBE.IDX	Tsx Global Base Metals Ew Index
TXBM.IDX	Tsx Global Base Metals Index
TXCT.IDX	Tsx Clean Technology Index
TXDC.IDX	Tsx Composite Dividend Index
TXDE.IDX	Tsx Diversified Banks Ew Index
TXDV.IDX	Tsx Canadian Dividend Aristocrats Index
TXEI.IDX	Tsx Equity Income Index
TXEW.IDX	Tsx 60 Equal Weight Index
TXFO.IDX	Tsx Completion Index
TXGM.IDX	Tsx Global Mining Index
TXOE.IDX	Tsx Oil And Gas Ew Index
TXPR.IDX	Tsx Preferred Share Index
TXSC.IDX	Tsx 60 Capped Index
TXSI.IDX	Tsx 60 Shariah Index
TXSX.IDX	Tsx 60 Index
TXTW.IDX	Tsx Smallcap Index
TYX.IDX	30-YEAR TREASURY BOND
UNCA.IDX	AMEX Unchanged Stocks
UNCD.IDX	OTC Unchanged Stocks
UNCE.IDX	ETFS  Unchanged Stocks
UNCN.IDX	NYSE Unchanged Stocks
UNCQ.IDX	NASD Unchanged Stocks
UNCS.IDX	TSX Unchanged Stocks
UNCT.IDX	Total Unchanged Stocks
UNCV.IDX	Tsxv Unchanged Stocks
UNCX.IDX	CAD Total Unchanged Stocks
UOI.IDX	US Oil Iopv
UTY.IDX	Phlx Utility Index
UVCA.IDX	AMEX Unchanged Volume
UVCD.IDX	OTC Unchanged Volume
UVCE.IDX	ETFS  Unchanged Volume
UVCN.IDX	NYSE Unchanged Volume
UVCQ.IDX	NASD Unchanged Volume
UVCS.IDX	TSX Unchanged Volume
UVCT.IDX	Total Unchanged Volume
UVCV.IDX	Tsxv Unchanged Volume
UVCX.IDX	CAD Total Unchanged Volume
VFTSE.IDX	FTSE Volatility Index
VFWA.IDX	VOL Index First Forward Implied Volatility
VFWB.IDX	VOL Index Second Forward Implied Volatility
VFY.IDX	Mini Biotechnology Index
VGH.IDX	Mini Pharmaceutical Index
VIO.IDX	CBOE OIL INDEX REDUCED LEAP 199
VIX.IDX	CBOE Volatility Index
VJW.IDX	Mini Securities Broker Dealer In
VLA.IDX	Value Line Index
VLG.IDX	Value Line Geometric
VVOL.IDX	VOL Index Average Forward Implied Volatility
VWA.IDX	CBOE MARKET VOLATILITY -SPX ASK
VWB.IDX	CBOE MARKET VOLATILITY -SPX BID
VXB.IDX	JUMBO CBOE VOLATILITY INDEX
VXD.IDX	CBOE DJIA VOLATILITY INDEX
VXDE.IDX	DEC CBOE VOLATILITY INDEX
VXJU.IDX	JUN CBOE VOLATILITY INDEX
VXMA.IDX	MAR CBOE VOLATILITY INDEX
VXN.IDX	CBOE NASDAQ Volatility Index
VXO.IDX	CBOE OEX VOLATILITY INDEX
VXSE.IDX	SEP CBOE VOLATILITY INDEX
VXV.IDX	CBOE S&P 500 3M VOLATILITY INDEX
WDXR.IDX	S&P C.S. Dc-Washington Home Price Index
WIV.IDX	Cboe/Cbot Wheat Volatility Index
WIX.IDX	Cboe/Cbot Wheat Volatility Index
WMX.IDX	ISE Walmart Suplr Index
XAL.IDX	AMEX Airline Index
XAO.IDX	XAO All Ordinaries
XAU.IDX	Phlx Gold Silver Index
XAX.IDX	AMEX Composite Index
XBD.IDX	AMEX Securities Broker Dealer
XBEL.IDX	Brussels BEL 20
XBS.IDX	AMEX Securities Broker/Dealer I
XCI.IDX	AMEX Computers Index
XEO.IDX	S& P 100 INDEX[EUROPEAN    STYLE
XFI.IDX	Financial Ndx
XHL.IDX	Healthcare Ndx
XIBX.IDX	IBEX 35
XID.IDX	Industrial Ndx
XII.IDX	AMEX Institutional Index
XIT.IDX	Info Tech Ndx
XJO.IDX	S&P/ASX 200
XMI.IDX	Major Market Index
XNA.IDX	Nat Resource Ndx
XNG.IDX	AMEX Natural Gas Index
XOI.IDX	AMEX Oil Index
XSP.IDX	S& P 500 MINI-SPX OPTIO    IND
XSV.IDX	AMEX Institutional Index Open S
XTC.IDX	AMEX North Ameican Telecom Index
XTV.IDX	North American Telecommunicatio
XU100.IDX	Borsa Istanbul 100 Index
ZAX.IDX	ZACKS MICRO CAP INDEX
ZOC.IDX	CBOE TECHNOLOGY INDEX REDUCED L
