Symbol	Description
DSFR.IDX	DJ US FORESTPAPR
DSFT.IDX	DJ US FOOTWEAR
DSFV.IDX	U.S. Financial Services Index
DSGF.IDX	DJ US GENFINAN
DSGI.IDX	DJ US GENINDUST
DSGT.IDX	DJ US GENRETAIL
DSGU.IDX	DJ US GASDISTRIB
DSHB.IDX	DJ US HOMECONS
DSHC.IDX	DJ US HLTHCARE
DSHD.IDX	DJ US DURHLDPROD
DSHG.IDX	DJ US HLDGOODS
DSHI.IDX	DJ US HMIMPRETL
DSHL.IDX	U.S. Hotel & Lodging REITs Index
DSHN.IDX	DJ US NDURHLDPRD
DSHP.IDX	DJ US HLTHCRPVDR
DSHR.IDX	DJ US COMRVEHTRK
DSHV.IDX	DJ US HVYCONS
DSIB.IDX	DJ US INSBROKERS
DSID.IDX	DJ US DVSFINDUS
DSIF.IDX	DJ US FLLINEINS
DSIG.IDX	DJ US INDGDS&SRV
DSIL.IDX	DJ US LIFEINSUR
DSIM.IDX	DJ US INDMETALS
DSIN.IDX	DJ US INDSTRIALS
DSIO.IDX	U.S. Industrial & Office REITs Index
DSIP.IDX	DJ US PROPCASINS
DSIQ.IDX	DJ US INDSTENGNG
DSIR.IDX	DJ US INSURANCE
DSIS.IDX	DJ US SUPPORTSRV
DSIT.IDX	DJ US INDSTTRANS
DSIU.IDX	DJ US REINSURAN
DSIV.IDX	DJ US BUSSUPSRV
DSIX.IDX	DJ US NLIFEINSUR
DSLE.IDX	DJ US LEISGOODS
DSLG.IDX	DJ US HOTELS
DSLW.IDX	DJ US LOWCAP
DSMC.IDX	DJ US HCREQPSRV
DSME.IDX	DJ US MEDIA
DSMF.IDX	DJ US MORTGFIN
DSMG.IDX	DJ US MINING
DSMR.IDX	U.S. Mortgage REITs Index
DSMS.IDX	DJ US MDSUPPLIES
DSMT.IDX	DJ US MARTRANSPT
DSMU.IDX	DJ US MULUTILTES
DSNC.IDX	DJ US CONSUMGDS
DSNF.IDX	DJ US NONFERMET
DSNG.IDX	DJ US PERHLDGDS
DSNS.IDX	DJ US INTERNET
DSOE.IDX	DJ US ELECOFFEQP
DSOG.IDX	DJ US OILGAS
DSOI.IDX	DJ US OILEQPSRV
DSOL.IDX	DJ US INTGOILGAS
DSOQ.IDX	DJ US OILEQPSRV
DSOS.IDX	DJ US EXPLPROD
DSPB.IDX	DJ US PUBLISHING
DSPC.IDX	DJ US WSTDSPSRV
DSPG.IDX	DJ US PERSGOODS
DSPL.IDX	DJ US PIPELINES
DSPM.IDX	DJ US GOLDMNG
DSPN.IDX	DJ US PHARMBIO
DSPP.IDX	DJ US PAPER
DSPR.IDX	DJ US PHARMCTCLS
DSPT.IDX	DJ US PLTPRECMET
DSRA.IDX	DJ US APPRLRET
DSRB.IDX	DJ US BRDLNRET
DSRD.IDX	DJ US DRUGRET
DSRE.IDX	U.S. Real Estate Index
DSRH.IDX	DJ US RESTHLDG
DSRI.IDX	DJ US RESTINVTR
DSRL.IDX	U.S. Retail REITs Index
DSRN.IDX	U.S. Residential REITs Index
DSRP.IDX	DJ US RECPRODUCT
DSRQ.IDX	DJ US RECSERVICE
DSRR.IDX	DJ US RAILROADS
DSRS.IDX	DJ US SPLTYRET
DSRT.IDX	DJ US RETAIL
DSRU.IDX	DJ US RESTRBARS
DSSB.IDX	DJ US INVSRV
DSSC.IDX	DJ US SEMCNDCTRS
DSSD.IDX	DJ US SOFTDRINKS
DSSF.IDX	DJ US CONSUMFIN
DSSP.IDX	DJ US SPECIALFIN
DSSR.IDX	U.S. Specialty REITs Index
DSST.IDX	DJ US STEEL
DSSV.IDX	DJ US SFTCPTRSRV
DSSW.IDX	DJ US SOFTWARE
DSTB.IDX	DJ US TOBACCO
DSTC.IDX	DJ US TECHNOLOGY
DSTK.IDX	DJ US TRUCKING
DSTL.IDX	DJ US TELECOM
DSTP.IDX	DJ US TOPCAP
DSTQ.IDX	DJ US TECHHRDEQ
DSTR.IDX	DJ US TIRES
DSTS.IDX	DJ US TRANSSRV
DSTT.IDX	DJ US TRVLTOUR
DSTY.IDX	DJ US TOYS
DSUO.IDX	DJ US GASWTRMUT
DSUT.IDX	DJ US UTILITIES
DSVE.IDX	U.S. Conventional Electricity Index
DSVN.IDX	DJ US DISVINTNER
DSWC.IDX	DJ US MOBTELECOM
DSWU.IDX	DJ US WATER
DTCI.IDX	DJ COMPREIT TR
DTEI.IDX	DJ EQUITYREIT TR
DTFI.IDX	DOW Tran Stocks Above 50-Day Average
DTFX.IDX	CME FX Index
DTOF.IDX	DOW Tran Stocks Above 150-Day Average
DTOH.IDX	DOW Tran Stocks Above 100-Day Average
DTTH.IDX	DOW Tran Stocks Above 200-Day Average
DTTW.IDX	DOW Tran Stocks Above 20-Day Average
DTWC.IDX	DJ COMPAVGTR
DTWI.IDX	DJ INDUS AVG TR
DTWT.IDX	DJ TRANSAVGTR
DTWU.IDX	DJ UTILITYAVGTR
DUBS.IDX	DJ UBS COMMODITY INDEX
DUFI.IDX	DOW Util Stocks Above 50-Day Average
DUOF.IDX	DOW Util Stocks Above 150-Day Average
DUOH.IDX	DOW Util Stocks Above 100-Day Average
DUSL.IDX	DJ US LRGCAP
DUSM.IDX	DJ US MIDCAP
DUSS.IDX	DJ US SMLCAP
DUTH.IDX	DOW Util Stocks Above 200-Day Average
DUTW.IDX	DOW Util Stocks Above 20-Day Average
DVAA.IDX	S&P 500 FORWARD DIVD - 2010
DVAB.IDX	S&P 500 FORWARD DIVD - 2011
DVCA.IDX	AMEX Declining Volume
DVCD.IDX	OTC Declining Volume
DVCE.IDX	ETFS  Declining Volume
DVCN.IDX	NYSE Declining Volume
DVCQ.IDX	NASD Declining Volume
DVCS.IDX	TSX Declining Volume
DVCT.IDX	Total Declining Volume
DVCV.IDX	Tsxv Declining Volume
DVCX.IDX	CAD Total Declining Volume
DVDE.IDX	IMPLIED FORWARD DVS DECEMBER
DVJN.IDX	IMPLIED FORWARD DVS JUNE
DVMR.IDX	IMPLIED FORWARD DVS MARCH
DVS.IDX	S&P 500 DIVIDEND INDEX - 10X
