Ticker,Sector,Insiders--buy trades,Insiders--sell trades,Insiders--net shares purchased,Insiders--shares purchased,Insiders--shares sold
FRT,09  - Services,9,1,34,119,85
FDX,11  - Transportation,9,10,-57,138,195
FIS,07  - Financial,17,10,11,1035,1024
FITB,07  - Financial,23,10,136,579,443
FE,12  - Utilities,16,13,168,316,148
FISV,10  - Technology,11,9,24,331,308
FLIR,02  - Capital Goods,3,3,60,290,230
FLS,02  - Capital Goods,10,10,-17,128,144
FLR,02  - Capital Goods,11,11,114,305,191
FMC,01  - Basic Materials,15,6,75,139,64
FL,09  - Services,17,13,-38,102,139
F,04  - Consumer Cyclical,21,21,1386,3305,1918
FTV,10  - Technology,12,12,-545,2702,3247
FBHS,02  - Capital Goods,10,10,92,160,68
BEN,07  - Financial,5,5,-45,21,67
FCX,01  - Basic Materials,8,4,-59,444,503
GPS,09  - Services,10,12,-82421,180,82601
GRMN,10  - Technology,9,9,-63,5810,5873
IT,09  - Services,17,11,62,342,281
GD,02  - Capital Goods,24,18,-9,457,465
GE,07  - Financial,9,8,633,1792,1159
GIS,05  - Consumer Non-Cyclical,8,8,65,379,314
GM,04  - Consumer Cyclical,14,14,886,1823,937
GPC,04  - Consumer Cyclical,13,13,26,49,23
GGP,09  - Services,9,5,255,428,173
GILD,08  - Health Care,10,10,93,654,561
GPN,07  - Financial,8,6,-50,49,100
GS,07  - Financial,14,18,281,2153,1872
GT,04  - Consumer Cyclical,11,11,123,290,167
HRB,09  - Services,0,2,-3,0,3
HAL,06  - Energy,13,11,-144,407,551
HBI,04  - Consumer Cyclical,18,18,239,977,738
HOG,04  - Consumer Cyclical,9,11,-79,93,172
HRS,02  - Capital Goods,14,5,-2,143,146
HIG,07  - Financial,10,10,-20,64,84
HAS,04  - Consumer Cyclical,7,8,107,231,124
HCA,08  - Health Care,24,25,91,1076,985
HCP,09  - Services,4,6,28,66,38
HP,06  - Energy,15,7,-46,216,262
HSIC,08  - Health Care,26,20,-94,232,326
HSY,05  - Consumer Non-Cyclical,22,11,67,242,175
HES,06  - Energy,20,6,76,196,120
HPE,10  - Technology,22,11,161,3318,3157
HOLX,08  - Health Care,16,10,590,834,244
HD,09  - Services,11,9,54,551,497
HON,02  - Capital Goods,11,13,97,283,186
HRL,05  - Consumer Non-Cyclical,20,11,444,1324,880
HST,09  - Services,17,10,-1469,672,2141
HPQ,10  - Technology,17,8,76,1809,1734
HUM,07  - Financial,16,15,-111,454,565
HBAN,07  - Financial,22,14,795,1359,563
IDXX,08  - Health Care,9,9,28,211,184
ITW,04  - Consumer Cyclical,19,13,53,242,189
ILMN,10  - Technology,11,11,78,183,105
INCY,08  - Health Care,13,11,10645,10916,271
IR,02  - Capital Goods,10,10,23,569,546
INTC,10  - Technology,12,7,243,1263,1020
ICE,07  - Financial,7,10,256,1015,759
IBM,10  - Technology,11,11,41,124,83
IFF,01  - Basic Materials,10,9,908,946,37
IP,01  - Basic Materials,16,14,298,673,375
IPG,09  - Services,7,10,22,1912,1890
INTU,10  - Technology,8,4,15,180,165
ISRG,08  - Health Care,16,12,8,135,127
IVZ,07  - Financial,17,11,98,767,669
IRM,11  - Transportation,12,14,42,202,161
JBHT,11  - Transportation,6,8,-229,12,241
SJM,05  - Consumer Non-Cyclical,1,1,2,3,1
JEC,02  - Capital Goods,17,11,95,154,59
JNJ,08  - Health Care,9,9,197,518,322
JCI,10  - Technology,15,13,385,538,153
JPM,07  - Financial,22,12,526,2249,1723
JNPR,10  - Technology,7,9,-598,603,1201
KSU,11  - Transportation,11,13,27,54,27
K,05  - Consumer Non-Cyclical,19,8,-490,132,621
KEY,07  - Financial,17,15,360,1942,1582
KMB,05  - Consumer Non-Cyclical,7,7,51,265,214
KIM,09  - Services,11,5,204,275,71
KMI,12  - Utilities,2,1,10,18,8
KLAC,10  - Technology,9,10,66,192,126
KSS,09  - Services,14,6,96,300,204
KHC,05  - Consumer Non-Cyclical,21,2,215,215,1
KR,09  - Services,24,21,-51,285,337
LB,09  - Services,7,3,2699,2711,12
LLL,10  - Technology,17,9,19,158,139
LH,08  - Health Care,16,10,121,251,130
LRCX,02  - Capital Goods,14,8,-77,475,552
LEG,04  - Consumer Cyclical,15,8,-53,288,340
LEN,02  - Capital Goods,9,6,-71,95,166
LUK,07  - Financial,8,3,1842,2249,407
LVLT,09  - Services,7,8,521,691,170
LNC,07  - Financial,15,14,-58,1423,1481
LKQ,04  - Consumer Cyclical,9,12,28,277,250
LMT,02  - Capital Goods,9,9,83,199,116
L,07  - Financial,12,12,0,262,262
LOW,09  - Services,10,8,28,671,644
LYB,01  - Basic Materials,16,14,63,92,29
MTB,07  - Financial,31,21,31,465,435
MAC,09  - Services,10,4,44,57,13
M,09  - Services,6,6,5,34,29
MNK,08  - Health Care,21,19,211,283,71
MRO,06  - Energy,15,4,546,565,18
MPC,06  - Energy,24,13,88,178,89
MAR,09  - Services,17,21,-409,305,714
MMC,07  - Financial,11,10,12,1454,1442
MLM,02  - Capital Goods,13,9,31,74,43
MAS,02  - Capital Goods,10,10,63,236,173
MA,07  - Financial,6,11,-1418,213,1632
MAT,04  - Consumer Cyclical,9,5,146,212,66
MKC,05  - Consumer Non-Cyclical,8,6,6,86,80
MCD,09  - Services,12,11,19,54,36
MCK,08  - Health Care,2,2,0,202,202
MJN,05  - Consumer Non-Cyclical,17,7,55,80,25
MDT,08  - Health Care,7,6,6,227,221
MRK,08  - Health Care,15,9,179,630,451
MET,07  - Financial,19,11,138,419,281
MTD,10  - Technology,9,11,6,163,157
