"TICKER"	"Ticker"
"CASH_Q3"	"Cash Q3"
"CASH_Q2"	"Cash Q2"
"CASH_Q1"	"Cash Q1"
"ASSETS_Y7"	"Total assets Y7"
"ASSETS_Y6"	"Total assets Y6"
"ASSETS_Y5"	"Total assets Y5"
"ASSETS_Y4"	"Total assets Y4"
"ASSETS_Y3"	"Total assets Y3"
"ASSETS_Y2"	"Total assets Y2"
"ASSETS_Q8"	"Total assets Q8"
"ASSETS_Q7"	"Total assets Q7"
"ASSETS_Q6"	"Total assets Q6"
"ASSETS_Q5"	"Total assets Q5"
"ASSETS_Q4"	"Total assets Q4"
"ASSETS_Q3"	"Total assets Q3"
"ASSETS_Q2"	"Total assets Q2"
"ASSETS_Q1"	"Total assets Q1"
"LIAB_Y7"	"Total liabilities Y7"
"LIAB_Y6"	"Total liabilities Y6"
"LIAB_Y5"	"Total liabilities Y5"
"LIAB_Y4"	"Total liabilities Y4"
"LIAB_Y3"	"Total liabilities Y3"
"LIAB_Y2"	"Total liabilities Y2"
"LIAB_Q8"	"Total liabilities Q8"
"LIAB_Q7"	"Total liabilities Q7"
"LIAB_Q6"	"Total liabilities Q6"
"LIAB_Q5"	"Total liabilities Q5"
"LIAB_Q4"	"Total liabilities Q4"
"LIAB_Q3"	"Total liabilities Q3"
"LIAB_Q2"	"Total liabilities Q2"
"LIAB_Q1"	"Total liabilities Q1"
"AR_Y7"	"Accounts receivable Y7"
"AR_Y6"	"Accounts receivable Y6"
"AR_Y5"	"Accounts receivable Y5"
"AR_Y4"	"Accounts receivable Y4"
"AR_Y3"	"Accounts receivable Y3"
"AR_Y2"	"Accounts receivable Y2"
"AR_Q8"	"Accounts receivable Q8"
"AR_Q7"	"Accounts receivable Q7"
"AR_Q6"	"Accounts receivable Q6"
"AR_Q5"	"Accounts receivable Q5"
"AR_Q4"	"Accounts receivable Q4"
"AR_Q3"	"Accounts receivable Q3"
"AR_Q2"	"Accounts receivable Q2"
"AR_Q1"	"Accounts receivable Q1"
"AP_Y7"	"Accounts payable Y7"
"AP_Y6"	"Accounts payable Y6"
"AP_Y5"	"Accounts payable Y5"
"AP_Y4"	"Accounts payable Y4"
"AP_Y3"	"Accounts payable Y3"
"AP_Y2"	"Accounts payable Y2"
"AP_Q8"	"Accounts payable Q8"
"AP_Q7"	"Accounts payable Q7"
"AP_Q6"	"Accounts payable Q6"
"AP_Q5"	"Accounts payable Q5"
"AP_Q4"	"Accounts payable Q4"
"AP_Q3"	"Accounts payable Q3"
"AP_Q2"	"Accounts payable Q2"
"AP_Q1"	"Accounts payable Q1"
"GWI_Y7"	"Goodwill and intangibles Y7"
"GWI_Y6"	"Goodwill and intangibles Y6"
"GWI_Y5"	"Goodwill and intangibles Y5"
"GWI_Y4"	"Goodwill and intangibles Y4"
"GWI_Y3"	"Goodwill and intangibles Y3"
"GWI_Y2"	"Goodwill and intangibles Y2"
"GWI_Q8"	"Goodwill and intangibles Q8"
"GWI_Q7"	"Goodwill and intangibles Q7"
"GWI_Q6"	"Goodwill and intangibles Q6"
"GWI_Q5"	"Goodwill and intangibles Q5"
"GWI_Q4"	"Goodwill and intangibles Q4"
"GWI_Q3"	"Goodwill and intangibles Q3"
"GWI_Q2"	"Goodwill and intangibles Q2"
"GWI_Q1"	"Goodwill and intangibles Q1"
"LTDEBT_Y7"	"Long-term debt Y7"
"LTDEBT_Y6"	"Long-term debt Y6"
"LTDEBT_Y5"	"Long-term debt Y5"
"LTDEBT_Y4"	"Long-term debt Y4"
"LTDEBT_Y3"	"Long-term debt Y3"
"LTDEBT_Y2"	"Long-term debt Y2"
"LTDEBT_Q8"	"Long-term debt Q8"
"LTDEBT_Q7"	"Long-term debt Q7"
"LTDEBT_Q6"	"Long-term debt Q6"
"LTDEBT_Q5"	"Long-term debt Q5"
"LTDEBT_Q4"	"Long-term debt Q4"
"LTDEBT_Q3"	"Long-term debt Q3"
"LTDEBT_Q2"	"Long-term debt Q2"
"LTDEBT_Q1"	"Long-term debt Q1"
"EQUITY_Y7"	"Equity (common) Y7"
"EQUITY_Y6"	"Equity (common) Y6"
"EQUITY_Y5"	"Equity (common) Y5"
"EQUITY_Y4"	"Equity (common) Y4"
"EQUITY_Y3"	"Equity (common) Y3"
"EQUITY_Y2"	"Equity (common) Y2"
"EQUITY_Q8"	"Equity (common) Q8"
"EQUITY_Q7"	"Equity (common) Q7"
"EQUITY_Q6"	"Equity (common) Q6"
"EQUITY_Q5"	"Equity (common) Q5"
"EQUITY_Q4"	"Equity (common) Q4"
"EQUITY_Q3"	"Equity (common) Q3"
"EQUITY_Q2"	"Equity (common) Q2"
"EQUITY_Q1"	"Equity (common) Q1"
