"AIG"	"07  - Financial"	136.586	1799.386	1687.197	1474.172	1427.960	1299.825	1279.073	1266.533	1156.549	1113.588	1071.296	1023.388	980.777	925.751	75353.000	66153.000	72043.000	69061.000	64623.000	58918.000	13064.000	13931.000	11981.000	14818.000	12926.000	13129.000	12692.000	12563.000	81.000	17343.000	3437.000	9001.000	7579.000	2196.000	-214.000	-1841.000	-136.000	1923.000	459.000	-3005.000	1185.000	1122.000	16292.000	365.000	3613.000	5841.000	5095.000	2877.000	1741.000	643.000	-968.000	1539.000	1182.000	630.000	-10307.000	1088.000	85476.000	75253.000	48500.000	41693.000	31217.000	29249.000	30719.000	29249.000	31952.000	33329.000	32277.000	30912.000	30747.000	31812.000	"0715 - Insurance (Property & Casualty)"	"N - New York"	"500"	06/30/2017	"UPD"
"AIV"	"09  - Services"	116.369	119.312	134.479	145.291	145.639	155.177	155.639	155.726	155.791	156.375	156.079	156.172	156.259	156.305	958.500	914.400	958.500	974.100	984.400	981.300	246.400	245.900	246.200	251.200	248.900	249.500	246.500	249.100	-196.500	-138.400	-85.300	41.500	11.600	55.400	19.200	16.500	17.000	4.800	-3.300	5.400	11.900	14.300	257.500	258.800	316.800	325.600	321.400	359.900	101.100	101.400	74.000	102.800	99.700	101.300	68.500	107.500	5181.500	4772.800	4413.100	4337.800	4022.800	3822.100	3807.700	3822.100	3811.500	3795.100	3760.800	3866.700	3901.300	4095.900	"0933 - Real Estate Operations"	"N - New York"	"500"	06/30/2017	"UPD"
"AIZ"	"07  - Financial"	110.633	96.626	84.276	76.649	72.182	68.164	67.633	66.717	65.087	62.245	60.262	57.476	56.201	55.230	8527.700	8272.800	8508.300	9052.000	10381.700	10330.500	2534.900	2549.600	2148.200	1797.800	1834.200	1758.500	1551.900	1600.600	278.600	539.000	483.700	488.900	470.900	141.600	-7.000	65.700	220.300	169.300	144.400	31.300	143.800	120.200	540.700	855.300	679.700	1027.600	341.900	248.700	346.800	-267.000	-333.200	37.300	258.700	177.600	24.200	-24.500	977.200	972.300	972.400	1638.100	1171.100	1164.700	1171.300	1164.700	1414.700	1165.300	1165.600	1067.000	1067.300	1136.600	"0709 - Insurance (Life)"	"N - New York"	"500"	06/30/2017	"UPD"
"AJG"	"07  - Financial"	104.812	111.667	121.000	128.900	152.900	172.200	176.000	176.700	177.000	177.400	177.600	178.200	178.900	179.900	1864.200	2134.700	2520.300	3179.600	4626.500	5392.400	1454.800	1334.900	1300.400	1427.100	1482.300	1385.000	1412.700	1563.400	163.300	144.100	195.000	268.600	303.400	356.800	133.300	62.300	46.500	150.000	122.800	95.100	55.700	171.900	229.500	284.000	343.000	349.900	402.300	652.600	238.000	326.100	109.400	35.600	243.400	233.700	169.700	35.700	550.000	675.000	725.000	825.000	2125.000	2071.700	2125.000	2071.700	2071.800	2344.400	2044.600	2144.600	2144.700	2644.800	"0712 - Insurance (Miscellaneous)"	"N - New York"	"500"	06/30/2017	"UPD"
"AKAM"	"10  - Technology"	177.309	183.866	177.900	178.196	178.279	178.391	178.547	177.791	176.403	175.499	174.429	173.336	173.158	172.674	1023.600	1158.500	1373.900	1577.900	1963.900	2197.400	551.000	579.200	567.700	572.100	584.100	616.100	609.200	608.900	171.200	200.900	204.000	293.500	333.900	321.400	88.000	88.400	74.900	73.600	76.000	91.600	80.900	57.800	402.500	446.300	530.000	563.900	658.100	764.200	182.600	217.800	191.400	244.400	248.800	181.800	142.600	224.600	0.000	0.000	0.000	0.000	604.900	618.000	619.400	618.000	623.500	629.000	634.500	640.100	645.700	651.400	"1036 - Software & Programming"	"M - Nasdaq"	"500"	06/30/2017	"UPD"
"ALB"	"01  - Basic Materials"	91.393	90.522	89.189	83.839	78.696	111.182	112.202	112.208	112.260	112.339	112.429	112.487	111.986	110.686	2362.800	2869.000	2519.200	2394.300	2445.500	2826.400	693.200	722.600	657.200	669.300	654.000	696.700	722.100	737.300	315.800	392.100	307.300	409.100	202.800	302.400	54.400	160.900	210.900	83.500	105.000	42.100	51.200	103.300	331.300	487.400	488.800	432.900	492.600	360.700	183.700	43.800	172.700	80.100	199.600	281.000	82.600	-137.000	851.900	749.300	686.600	1054.300	2223.000	3142.200	3559.000	3142.200	3105.400	3019.500	3048.400	2121.700	1398.400	1421.500	"0106 - Chemicals - Plastics and Rubbers"	"N - New York"	"500"	06/30/2017	"UPD"
"ALGN"	"08  - Health Care"	75.825	77.988	80.529	80.551	80.754	79.998	79.808	79.473	79.831	79.951	79.977	79.664	79.904	80.188	387.100	479.700	560.000	660.200	761.700	845.500	207.600	230.300	238.700	269.400	278.600	293.200	310.300	356.500	74.300	66.700	58.700	64.300	145.800	144.000	27.600	48.900	40.500	50.100	51.400	47.600	69.400	69.200	129.500	130.500	133.800	186.000	226.900	238.000	60.100	79.400	30.700	76.200	59.800	81.000	47.600	110.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"0812 - Medical Equipment & Supplies"	"M - Nasdaq"	"500"	06/30/2017	"UPD"
"ALK"	"11  - Transportation"	143.288	143.512	141.416	139.910	135.445	128.373	127.308	125.799	124.550	123.250	123.149	123.284	123.495	123.573	3832.300	4317.800	4657.000	5156.000	5368.000	5598.000	1515.000	1377.000	1347.000	1494.000	1566.000	1524.000	1749.000	2102.000	251.100	244.500	316.000	508.000	605.000	848.000	274.000	191.000	184.000	260.000	256.000	114.000	99.000	296.000	552.700	696.000	753.000	981.000	1030.000	1584.000	340.000	355.000	525.000	374.000	307.000	180.000	470.000	614.000	1313.000	1099.000	871.000	754.000	686.000	571.000	593.000	571.000	531.000	509.000	1861.000	2645.000	2531.000	2469.000	"1106 - Airline"	"N - New York"	"500"	06/30/2017	"UPD"
"ALL"	"07  - Financial"	540.300	520.700	489.400	464.400	438.200	401.100	397.000	384.900	378.100	373.600	371.500	368.000	365.700	363.600	32337.000	33217.000	33554.000	34714.000	35481.000	36105.000	9214.000	8857.000	8962.000	9241.000	9294.000	9350.000	9496.000	9634.000	911.000	787.000	2306.000	2263.000	2746.000	2055.000	621.000	460.000	217.000	242.000	491.000	811.000	666.000	550.000	3689.000	1929.000	3054.000	4242.000	3236.000	3616.000	1383.000	930.000	714.000	644.000	1384.000	1251.000	857.000	491.000	5908.000	5908.000	6057.000	6201.000	5140.000	5124.000	5175.000	5124.000	5108.000	5109.000	5110.000	6347.000	6346.000	6348.000	"0715 - Insurance (Property & Casualty)"	"N - New York"	"500"	06/30/2017	"UPD"
"ALLE"	"10  - Technology"	96.200	96.200	96.000	96.000	96.100	95.900	95.900	96.200	95.900	95.800	96.000	95.500	95.300	95.200	1967.700	2021.200	2023.300	2069.600	2118.300	2068.100	544.500	545.400	502.300	584.900	581.100	569.700	548.800	627.000	194.300	225.400	224.300	35.900	186.300	154.300	-27.100	71.900	57.700	95.000	1.600	74.800	68.400	105.500	207.800	265.500	269.200	223.900	255.900	257.000	92.300	131.500	-0.800	102.000	77.200	199.100	-40.900	104.900	0.000	3.500	2.800	1272.000	1215.000	1457.500	1575.900	1457.500	1446.900	1437.100	1426.400	1415.600	1404.800	1394.100	"1030 - Scientific & Technical Instruments"	"N - New York"	"500"	06/30/2017	"UPD"
