Date,GDP
1993-07-01,6882098000000.00
1993-10-01,7013738000000.00
1994-01-01,7115652000000.00
1994-04-01,7246931000000.00
1994-07-01,7331075000000.00
1994-10-01,7455288000000.00
1995-01-01,7522289000000.00
1995-04-01,7580997000000.00
1995-07-01,7683125000000.00
1995-10-01,7772586000000.00
1996-01-01,7868468000000.00
1996-04-01,8032840000000.00
1996-07-01,8131408000000.00
1996-10-01,8259771000000.00
1997-01-01,8362655000000.00
1997-04-01,8518825000000.00
1997-07-01,8662823000000.00
1997-10-01,8765907000000.00
1998-01-01,8866480000000.00
1998-04-01,8969699000000.00
1998-07-01,9121097000000.00
1998-10-01,9293991000000.00
1999-01-01,9417264000000.00
1999-04-01,9524152000000.00
1999-07-01,9681856000000.00
1999-10-01,9899378000000.00
2000-01-01,10002857000000.00
2000-04-01,10247679000000.00
2000-07-01,10319825000000.00
2000-10-01,10439025000000.00
2001-01-01,10472879000000.00
2001-04-01,10597822000000.00
2001-07-01,10596294000000.00
2001-10-01,10660294000000.00
2002-01-01,10788952000000.00
2002-04-01,10893207000000.00
2002-07-01,10992051000000.00
2002-10-01,11071463000000.00
2003-01-01,11183507000000.00
2003-04-01,11312875000000.00
2003-07-01,11567326000000.00
2003-10-01,11769275000000.00
2004-01-01,11920169000000.00
2004-04-01,12108987000000.00
2004-07-01,12303340000000.00
2004-10-01,12522425000000.00
2005-01-01,12761337000000.00
2005-04-01,12910022000000.00
2005-07-01,13142873000000.00
2005-10-01,13332316000000.00
2006-01-01,13603933000000.00
2006-04-01,13749806000000.00
2006-07-01,13867469000000.00
2006-10-01,14037228000000.00
2007-01-01,14208569000000.00
2007-04-01,14382363000000.00
2007-07-01,14535003000000.00
2007-10-01,14681501000000.00
2008-01-01,14651039000000.00
2008-04-01,14805611000000.00
2008-07-01,14835187000000.00
2008-10-01,14559543000000.00
2009-01-01,14394547000000.00
2009-04-01,14352850000000.00
2009-07-01,14420312000000.00
2009-10-01,14628021000000.00
2010-01-01,14721350000000.00
2010-04-01,14926098000000.00
2010-07-01,15079917000000.00
2010-10-01,15240843000000.00
2011-01-01,15285828000000.00
2011-04-01,15496189000000.00
2011-07-01,15591850000000.00
2011-10-01,15796460000000.00
2012-01-01,16019758000000.00
2012-04-01,16152257000000.00
2012-07-01,16257151000000.00
2012-10-01,16358863000000.00
2013-01-01,16569591000000.00
2013-04-01,16637926000000.00
2013-07-01,16848748000000.00
2013-10-01,17083137000000.00
2014-01-01,17102932000000.00
2014-04-01,17425766000000.00
2014-07-01,17719836000000.00
2014-10-01,17838454000000.00
2015-01-01,17970422000000.00
2015-04-01,18221299000000.00
2015-07-01,18331093000000.00
2015-10-01,18354372000000.00
2016-01-01,18409130000000.00
2016-04-01,18640732000000.00
2016-07-01,18799648000000.00
2016-10-01,18979245000000.00
2017-01-01,19162550000000.00
2017-04-01,19359123000000.00
2017-07-01,19588074000000.00
2017-10-01,19831829000000.00
2018-01-01,20041047000000.00
2018-04-01,20411924000000.00
2018-07-01,20658204000000.00
2018-10-01,20865140000000.00
