"AINV"	159.369	193.193	196.584	202.875	222.800	236.741	236.741	236.741	235.873	231.537	226.094	225.941	223.835	220.169	340.200	358.800	357.600	332.000	381.300	433.600	102.100	101.700	98.400	94.300	85.300	76.500	69.000	68.100	263.300	180.400	-86.300	104.500	270.900	75.400	-11.700	6.400	-1.700	-25.800	-23.400	-42.100	41.100	11.300	386.600	-476.400	237.800	-19.900	-292.800	42.000	113.500	176.400	83.100	55.900	120.700	295.000	153.100	14.400	1060.600	1053.400	1009.300	1156.100	1372.300	1498.800	1498.800	1390.900	1370.200	1384.700	1313.000	1099.000	1014.800	1034.000	"0721 - Misc. Financial Services"	"M - Nasdaq"	"None"
"AIZ"	110.633	96.626	84.276	76.649	72.182	68.164	68.559	67.633	66.717	65.087	62.245	60.262	57.476	56.201	8527.700	8272.800	8508.300	9052.000	10381.700	10330.500	2644.900	2534.900	2549.600	2148.200	1797.800	1834.200	1758.500	1551.900	278.600	539.000	483.700	488.900	470.900	141.600	32.800	-7.000	65.700	220.300	169.300	144.400	31.300	143.800	540.700	855.300	679.700	1027.600	341.900	248.700	349.800	346.800	-267.000	-333.200	37.300	258.700	177.600	24.200	977.200	972.300	972.400	1638.100	1171.100	1164.700	1171.200	1171.300	1164.700	1414.700	1165.300	1165.600	1067.000	1067.300	"0709 - Insurance (Life)"	"N - New York"	"500"
"AJG"	104.812	111.667	121.000	128.900	152.900	172.200	170.600	176.000	176.700	177.000	177.400	177.600	178.200	178.900	1864.200	2134.700	2520.300	3179.600	4626.500	5392.400	1371.400	1454.800	1334.900	1300.400	1427.100	1482.300	1385.000	1412.700	163.300	144.100	195.000	268.600	303.400	356.800	139.300	133.300	62.300	46.500	150.000	122.800	95.100	55.700	229.500	284.000	343.000	349.900	402.300	652.600	56.900	482.800	-0.400	209.400	-64.400	243.400	233.700	169.700	550.000	675.000	725.000	825.000	2125.000	2071.700	2125.000	2125.000	2071.700	2071.800	2344.400	2044.600	2144.600	2144.700	"0712 - Insurance (Miscellaneous)"	"N - New York"	"500"
"AJX"	-99999999.990	-99999999.990	-99999999.990	-99999999.990	11.224	15.302	14.894	15.274	17.663	15.307	15.743	17.937	17.967	17.977	-99999999.990	-99999999.990	-99999999.990	-99999999.990	7.000	49.000	18.100	14.800	16.200	16.400	16.800	18.600	18.600	21.300	-99999999.990	-99999999.990	-99999999.990	-99999999.990	3.400	24.700	9.000	7.600	8.000	7.600	6.600	7.600	5.900	8.300	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-1.200	-10.700	-10.000	-0.700	-15.700	-7.200	2.900	-13.600	14.000	-1.600	0.000	0.000	0.000	0.000	84.700	265.000	116.300	197.800	265.000	260.000	346.100	416.100	442.700	428.200	"0721 - Misc. Financial Services"	"N - New York"	"None"
"ALL"	540.300	520.700	489.400	464.400	438.200	401.100	407.000	397.000	384.900	378.100	373.600	371.500	368.000	365.700	32337.000	33217.000	33554.000	34714.000	35481.000	36105.000	9029.000	9214.000	8857.000	8962.000	9241.000	9294.000	9350.000	9496.000	911.000	787.000	2306.000	2263.000	2746.000	2055.000	326.000	621.000	460.000	217.000	242.000	491.000	811.000	666.000	3689.000	1929.000	3054.000	4242.000	3236.000	3616.000	737.000	1383.000	930.000	714.000	644.000	1384.000	1251.000	857.000	5908.000	5908.000	6057.000	6201.000	5140.000	5124.000	5186.000	5175.000	5124.000	5108.000	5109.000	5110.000	6347.000	6346.000	"0715 - Insurance (Property & Casualty)"	"N - New York"	"500"
"ALLY"	248.170	1.331	1.331	1.355	481.155	482.873	482.847	483.073	483.316	484.233	485.370	482.393	472.441	465.961	8017.000	6671.000	7342.000	8093.000	8391.000	8397.000	2087.000	2102.000	2124.000	2109.000	2069.000	2060.000	2067.000	2050.000	-1573.000	-981.000	568.000	-634.000	657.000	-1674.000	-1082.000	235.000	-939.000	232.000	342.000	261.000	246.000	213.000	12332.000	5394.000	3054.000	4595.000	3403.000	5111.000	1496.000	6181.000	2282.000	2390.000	32.000	1167.000	978.000	1175.000	86612.000	92885.000	74561.000	69465.000	66380.000	66234.000	65675.000	67293.000	66234.000	62044.000	61040.000	56836.000	54128.000	51061.000	"0703 - Consumer Financial Services"	"N - New York"	"None"
"AMG"	47.429	51.800	51.700	53.100	55.000	54.300	54.350	54.200	53.700	54.000	53.800	53.900	55.100	56.700	1358.200	1704.800	1805.500	2188.800	2510.900	2484.500	1281.600	613.100	589.800	545.400	554.100	544.700	550.400	544.300	138.600	164.900	174.000	360.500	449.100	524.800	262.000	111.500	151.300	108.300	111.300	113.100	155.600	126.300	480.700	708.500	633.200	957.100	1436.900	1208.400	470.500	1241.900	700.800	26.100	315.000	342.000	342.400	122.100	1392.000	1198.200	1630.600	1383.700	1894.900	1879.400	1863.400	1799.200	1879.400	2300.800	2136.900	2113.300	2109.600	2026.000	"0718 - Investment Services"	"N - New York"	"500"
"AMNB"	6.124	6.983	7.834	7.873	7.867	8.681	8.708	8.669	8.627	8.612	8.610	8.608	8.616	8.633	35.900	49.200	57.800	53.000	47.500	55.200	13.800	13.500	14.000	14.200	13.800	14.100	14.200	14.700	8.300	11.500	16.000	15.700	12.700	15.000	2.900	4.000	4.600	4.100	4.100	4.000	4.100	4.100	11.800	12.900	14.600	28.100	16.600	19.300	1.100	6.800	8.000	6.500	-0.200	4.800	5.000	10.100	20.600	27.200	27.300	27.400	27.500	27.600	27.600	27.600	27.600	27.600	27.700	27.700	27.700	27.700	"0727 - Regional Banks"	"M - Nasdaq"	"None"
"AMP"	257.400	241.400	218.700	203.200	191.600	181.700	183.800	180.400	176.300	172.600	168.300	164.000	160.300	157.500	9582.000	10240.000	10259.000	11230.000	12296.000	12200.000	3135.000	2893.000	3112.000	2774.000	2879.000	3010.000	3072.000	2911.000	1013.000	1176.000	1031.000	1337.000	1621.000	1562.000	415.000	397.000	357.000	364.000	335.000	215.000	400.000	403.000	1847.000	2178.000	1505.000	1364.000	2399.000	2572.000	619.000	371.000	669.000	1237.000	108.000	360.000	266.000	6.000	7852.000	7571.000	7384.000	8456.000	9929.000	10223.000	10408.000	10945.000	10223.000	5356.000	5201.000	5644.000	5236.000	5252.000	"0718 - Investment Services"	"N - New York"	"500"
"AMRK"	7.712	7.712	7.712	7.712	7.530	6.963	6.963	6.974	6.980	6.983	6.997	7.023	7.023	7.023	5858.900	6988.900	7782.300	7247.700	5979.400	6070.200	1453.400	2006.900	3536.100	1512.800	1735.200	1805.700	2126.400	1730.800	-99999999.990	12.700	10.600	12.500	8.300	7.100	2.600	5.600	7.000	1.200	1.100	2.000	2.800	1.200	-99999999.990	-75.600	25.400	-1.200	-16.700	-3.900	6.900	-109.000	-30.700	-50.300	24.800	-35.900	19.500	-88.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"0718 - Investment Services"	"M - Nasdaq"	"None"
"AMSF"	18.637	18.250	18.166	18.373	18.646	18.941	18.917	18.969	19.029	19.058	19.097	19.122	19.146	19.150	248.200	280.700	321.200	356.300	404.000	401.600	99.900	97.500	102.400	102.300	97.600	98.200	98.600	97.500	34.500	24.200	29.300	43.500	53.700	70.500	14.300	17.900	23.100	24.300	16.600	17.900	19.100	13.500	44.800	43.700	81.000	129.200	140.700	92.900	-6.200	36.600	30.100	30.300	26.000	26.500	31.300	23.800	36.100	25.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"0715 - Insurance (Property & Casualty)"	"M - Nasdaq"	"SmallCap 600"
"AMTD"	585.128	570.314	548.000	549.000	550.000	543.000	544.000	540.000	537.000	533.000	529.000	525.000	527.000	528.000	2566.800	2767.500	2647.000	2771.000	3129.000	3247.000	796.000	832.000	812.000	846.000	838.000	830.000	859.000	904.000	592.200	637.800	586.000	675.000	787.000	813.000	197.000	216.000	212.000	205.000	240.000	185.000	216.000	214.000	584.700	790.100	592.000	739.000	1025.000	746.000	581.000	103.000	151.000	870.000	11.000	436.000	-90.000	716.000	1323.100	1348.000	1350.000	1052.000	1099.000	1800.000	1810.000	1800.000	1783.000	1814.000	1828.000	1817.000	1769.000	1765.000	"0718 - Investment Services"	"M - Nasdaq"	"None"
"ANAT"	26.559	26.560	26.715	26.792	26.803	26.877	26.878	26.900	26.910	26.910	26.908	26.908	26.908	26.900	3078.800	3032.500	3009.600	3123.800	3057.200	3045.400	721.000	719.300	848.600	768.400	804.000	829.100	844.100	786.600	145.600	190.800	191.000	268.400	245.300	243.000	35.100	42.000	62.900	29.300	32.600	59.300	59.800	39.800	397.900	439.500	476.700	545.100	556.800	379.500	17.600	118.800	499.800	261.600	-30.500	98.600	71.800	110.100	12.500	12.500	112.500	113.800	108.200	128.400	122.500	126.100	128.400	136.000	140.200	146.100	136.100	139.700	"0715 - Insurance (Property & Casualty)"	"M - Nasdaq"	"None"
"ANCX"	10.503	10.278	10.254	10.320	10.424	10.513	10.519	10.520	10.540	10.553	10.577	10.596	10.620	10.725	35.100	35.200	36.700	35.900	38.500	43.700	10.800	11.200	11.400	12.000	12.300	12.800	12.900	13.600	7.600	11.400	17.700	13.200	13.900	15.400	4.000	3.900	3.900	4.100	4.900	4.400	3.000	1.400	2.400	3.400	2.800	102.300	-8.400	16.100	8.500	21.100	-0.500	-4.200	-1.000	-8.300	39.700	-99999999.990	6.200	6.200	6.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"0727 - Regional Banks"	"M - Nasdaq"	"None"
"ANTM"	410.900	360.200	321.500	298.500	275.900	263.000	263.100	261.300	261.200	261.800	263.000	263.200	263.500	264.400	58737.900	60804.000	61535.000	71122.400	73923.100	79239.900	20037.300	19920.700	20216.400	20355.400	21481.900	21414.900	21726.200	22534.000	2887.100	2646.700	2651.000	2634.300	2560.100	2560.000	859.100	654.800	180.900	703.000	780.600	617.800	368.400	1009.900	1416.700	3374.400	2735.300	3047.500	3369.300	4116.000	1173.000	343.400	949.100	2664.100	-697.800	963.500	274.700	2688.200	8147.800	8465.700	14170.800	13573.600	14019.600	15324.500	15468.400	15719.600	15324.500	14864.500	14202.400	14242.300	14358.500	15449.900	"0706 - Insurance (Accident & Health)"	"N - New York"	"500"
"APAM"	-99999999.990	-99999999.990	-99999999.990	13.780	27.514	35.449	35.732	36.431	36.696	37.760	38.265	38.646	38.902	41.020	382.300	455.100	505.600	685.800	828.700	805.500	415.100	198.300	192.000	174.500	355.300	184.100	181.500	184.100	42.500	0.000	0.000	-28.200	-10.300	65.800	32.300	15.900	17.500	13.500	27.800	15.700	16.500	15.400	116.000	103.200	130.100	112.200	351.600	321.200	214.300	84.300	22.600	111.700	184.100	74.200	12.100	119.000	380.000	324.800	290.000	200.000	200.000	199.300	200.000	200.000	199.300	199.400	199.400	199.400	199.500	199.500	"0718 - Investment Services"	"N - New York"	"None"
"APO"	96.965	116.364	127.694	139.173	155.349	173.272	170.431	176.170	180.449	183.438	184.021	184.439	185.183	186.537	2109.900	171.600	2860.000	3733.600	1560.100	1041.700	351.700	193.300	193.700	120.800	781.300	503.700	685.400	643.600	80.600	-486.200	262.900	564.800	96.200	106.000	51.500	35.900	2.900	-31.800	135.600	91.400	161.100	145.200	-218.100	743.800	265.600	1025.400	-372.900	582.700	677.600	255.200	16.900	124.200	302.200	271.000	42.100	204.800	1878.700	3928.400	12572.800	13174.000	15151.100	1826.500	1862.800	1856.800	1826.500	1880.600	2177.300	2194.700	2139.000	2150.900	"0718 - Investment Services"	"N - New York"	"None"
"ARCC"	176.732	204.860	230.151	266.939	305.287	314.375	314.469	314.469	314.450	314.293	313.954	313.954	313.799	422.000	483.400	634.500	748.000	881.700	989.000	1025.400	249.500	260.900	261.700	248.100	245.300	258.700	260.000	275.000	691.800	319.500	508.200	488.500	590.900	378.700	146.500	116.900	14.700	131.500	157.400	110.200	74.800	118.000	-656.500	-396.900	-250.900	-1297.600	-658.500	360.400	127.600	6.800	-349.800	79.100	373.600	186.000	68.300	-2341.000	0.000	0.000	0.000	2986.300	3924.500	4113.900	3582.200	3653.300	4113.900	3984.800	3785.400	3720.900	3874.000	4585.000	"0721 - Misc. Financial Services"	"M - Nasdaq"	"None"
"ARES"	79.722	79.722	79.722	79.722	80.358	80.673	80.674	80.676	80.678	80.683	80.716	80.794	80.774	81.107	217.200	207.000	334.000	478.700	603.900	814.400	511.100	143.900	159.500	136.000	369.500	335.500	358.200	241.700	247.500	97.300	220.600	180.500	35.000	18.700	30.100	-11.500	0.100	-3.300	37.400	36.100	28.200	-46.600	302.900	2489.300	2747.900	2174.900	1532.600	-528.000	1309.400	-1831.000	-6.400	-25.200	94.300	-328.400	-366.300	-291.800	12592.000	14123.100	14784.100	14321.000	13448.600	2575.200	13055.900	2978.600	2575.200	2651.500	2460.300	2968.100	3392.000	3512.400	"0718 - Investment Services"	"N - New York"	"None"
