"COMPANY"	"Company name"
"TOTLOE_Q4"	"Liabilities and equity Q4"
"TOTLOE_Q5"	"Liabilities and equity Q5"
"TOTLOE_Q6"	"Liabilities and equity Q6"
"TOTLOE_Q7"	"Liabilities and equity Q7"
"TOTLOE_Q8"	"Liabilities and equity Q8"
"BVPS_Q1"	"Book value/share Q1"
"BVPS_Q2"	"Book value/share Q2"
"BVPS_Q3"	"Book value/share Q3"
"BVPS_Q4"	"Book value/share Q4"
"BVPS_Q5"	"Book value/share Q5"
"BVPS_Q6"	"Book value/share Q6"
"BVPS_Q7"	"Book value/share Q7"
"BVPS_Q8"	"Book value/share Q8"
