"ALLE",1.800,1.400,1.500,10.200,53.800,52.900,11.300,13.700,16.300,16.300,16.500,15.600,15.900,15.900,33.800,38.900,38.200,39.600,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,14.700,13.990,-0.690,-0.050,0.270,0.490,0.150,0.270,0.770,1.450,1.580,1.190,1.590
"ALXN",0.700,0.800,7.400,4.100,3.000,47.700,0.000,0.000,23.200,23.900,0.000,0.000,24.500,24.000,98.400,131.500,215.600,307.000,499.700,709.500,126.100,161.000,191.000,176.300,355.600,195.700,205.700,219.000,4.820,6.190,10.350,12.180,16.670,38.690,42.290,36.480,36.610,35.820,36.550,37.930,39.050,39.540
"AMAT",21.500,59.000,95.000,95.000,95.000,103.000,24.000,24.000,32.000,42.000,37.000,38.000,38.000,38.000,1143.500,2236.000,2473.000,1319.000,1427.000,1450.000,365.000,371.000,363.000,374.000,386.000,386.000,393.000,416.000,5.620,6.670,5.710,5.900,6.480,6.270,6.790,6.530,6.450,6.250,5.900,6.300,6.660,7.130
"AMD",199.000,180.000,175.000,177.000,177.000,160.000,40.000,40.000,39.000,41.000,40.000,41.000,41.000,34.000,1405.000,1453.000,1354.000,1199.000,1075.000,937.000,240.000,233.000,238.000,226.000,240.000,242.000,258.000,265.000,1.420,2.190,0.730,0.720,0.240,-0.530,0.020,-0.180,-0.430,-0.520,-0.630,-0.520,0.470,0.440
"AME",67.500,69.700,75.500,73.600,79.900,91.800,22.700,22.700,23.700,22.700,23.400,23.700,23.600,23.600,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,7.440,8.540,10.500,12.860,13.230,13.570,13.550,14.300,13.820,13.720,14.030,14.390,14.550,14.150
"AMG",91.100,101.100,83.000,87.300,76.600,88.900,22.200,44.600,23.600,20.700,22.300,21.900,22.400,23.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,37.950,36.020,40.310,40.190,47.760,52.250,46.680,48.780,49.090,52.830,53.120,54.250,59.050,65.690
"AMGN",604.000,610.000,1053.000,1022.000,1061.000,1079.000,277.000,282.000,284.000,294.000,313.000,325.000,328.000,326.000,2894.000,3167.000,6710.000,4083.000,4297.000,4070.000,964.000,1119.000,1093.000,872.000,900.000,990.000,1078.000,769.000,24.940,21.030,24.590,29.340,33.960,37.050,36.160,36.940,37.340,38.090,40.120,41.200,40.590,41.570
"AMP",290.000,634.000,552.000,281.000,328.000,387.000,89.000,98.000,116.000,55.000,53.000,52.000,81.000,50.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,41.670,37.230,41.570,40.320,42.400,39.720,42.850,42.290,40.940,41.100,42.120,41.440,39.250,39.540
"AMT",247.500,313.300,403.200,459.800,581.700,596.800,148.900,149.800,149.800,160.200,181.300,190.400,186.400,184.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,8.730,8.310,9.050,8.950,9.980,15.880,17.280,15.630,15.700,16.350,15.940,15.760,15.870,16.040
"AMZN",39.000,65.000,92.000,141.000,210.000,459.000,114.000,116.000,115.000,117.000,116.000,118.000,133.000,139.000,1734.000,2909.000,4564.000,6565.000,9275.000,12540.000,3020.000,3197.000,3569.000,3526.000,3880.000,4135.000,4544.000,4813.000,15.360,17.120,18.080,21.330,23.250,28.660,25.200,26.560,28.660,31.330,34.960,37.510,40.430,46.020
"AN",98.600,108.700,132.400,141.700,140.000,149.200,35.800,36.100,42.700,47.200,48.000,47.100,49.700,50.300,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,13.250,12.860,13.640,17.000,17.670,20.850,20.080,20.150,21.180,19.590,20.970,21.790,22.870,24.080
"ANTM",418.900,430.300,511.800,602.700,600.700,653.000,154.100,164.800,179.700,187.100,185.700,172.900,177.300,235.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,57.950,64.650,74.040,82.970,87.900,87.620,87.660,88.920,88.220,89.940,92.140,94.010,95.260,98.680
"AON",182.000,245.000,228.000,210.000,255.000,273.000,65.000,68.000,72.000,68.000,69.000,73.000,70.000,70.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,28.120,24.080,23.630,26.160,22.240,21.370,22.400,22.490,20.940,21.940,19.440,20.520,20.310,20.650
"APA",362.000,438.000,508.000,568.000,505.000,497.000,130.000,125.000,126.000,116.000,117.000,118.000,118.000,119.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,2771.000,258.000,225.000,223.000,2065.000,95.000,91.000,161.000,126.000,69.250,75.500,80.540,84.550,67.540,20.870,56.190,41.120,25.950,20.870,5.320,18.840,17.020,16.460
"APC",743.000,839.000,742.000,686.000,772.000,825.000,216.000,201.000,199.000,209.000,220.000,217.000,220.000,233.000,494.000,605.000,1946.000,1021.000,1156.000,1429.000,103.000,85.000,938.000,303.000,102.000,61.000,252.000,315.000,41.790,36.360,41.260,43.540,38.980,25.230,32.210,32.260,27.710,25.230,22.960,22.120,24.370,22.120
"APD",121.900,115.500,123.700,141.800,278.200,113.400,28.200,22.800,49.000,25.700,35.000,32.600,20.400,30.500,114.700,118.800,126.400,133.700,139.800,137.100,33.400,32.900,16.900,32.700,34.100,33.200,15.100,14.800,26.140,27.210,30.670,33.580,34.630,33.730,35.250,33.680,34.140,32.010,32.530,32.580,32.900,42.760
"APH",40.700,43.000,59.600,63.600,80.400,68.300,34.100,17.000,17.200,18.100,18.000,18.100,18.400,19.300,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,6.680,6.400,7.520,8.990,9.280,10.480,9.920,10.180,10.490,11.010,11.470,12.000,11.920,12.080
"ARE",6.500,126.800,69.200,68.000,79.300,105.800,23.200,26.700,27.700,28.200,24.900,25.000,25.900,31.200,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,52.700,50.690,49.260,51.980,48.630,50.440,47.830,48.390,47.440,50.220,48.520,49.820,47.200,57.880
"ARNC",494.000,524.000,397.000,453.000,442.000,473.000,124.000,123.000,473.000,127.000,129.000,133.000,499.000,115.000,174.000,184.000,197.000,192.000,123.000,169.000,68.000,55.000,169.000,42.000,39.000,38.000,132.000,28.000,39.960,38.990,36.960,29.550,31.650,28.540,30.090,29.360,28.540,27.780,28.010,26.750,11.550,12.330
"ATVI",5.000,4.000,1.000,0.000,0.000,0.000,50.000,50.000,49.000,0.000,57.000,120.000,54.000,0.000,635.000,629.000,604.000,584.000,571.000,646.000,145.000,149.000,159.000,193.000,175.000,424.000,249.000,285.000,8.350,9.140,10.180,6.470,10.100,11.080,10.010,10.730,10.940,11.040,11.360,11.550,11.880,12.270
"AVB",170.000,369.500,323.400,239.200,250.600,255.400,64.400,63.600,62.900,64.000,130.600,67.800,68.000,49.300,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,39.480,48.870,70.190,67.760,69.280,73.680,69.790,73.540,71.980,71.980,71.970,73.260,74.240,74.690
"AVGO",34.000,4.000,1.000,2.000,110.000,191.000,53.000,43.000,41.000,84.000,340.000,139.000,106.000,111.000,280.000,317.000,335.000,398.000,695.000,1049.000,251.000,276.000,287.000,267.000,1054.000,814.000,806.000,808.000,6.320,8.190,9.870,11.680,12.920,17.860,15.740,16.150,17.140,18.490,52.470,49.170,47.350,47.700
"AVY",80.200,156.000,156.800,60.800,63.400,60.600,15.300,14.700,31.200,15.300,15.400,14.700,15.000,16.700,-99999999.990,93.800,98.600,96.000,102.500,91.900,22.800,22.200,21.300,22.300,22.700,22.400,22.300,-99999999.990,15.550,15.680,15.410,15.160,11.170,10.610,12.030,11.530,10.650,10.830,10.740,11.700,10.420,11.270
"AWK",309.400,304.500,300.200,609.100,294.000,308.000,70.800,141.800,71.900,79.300,80.000,81.000,81.000,83.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,23.610,24.140,25.180,26.590,27.480,28.210,27.820,28.140,28.760,28.460,28.550,28.950,29.430,29.310
"AXP",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,13.660,15.950,16.640,18.020,19.780,20.690,21.690,21.460,21.200,21.570,22.080,22.840,22.480,23.290
"AYI",29.800,30.400,31.300,31.900,32.600,32.600,8.200,8.100,8.300,8.300,8.300,8.400,8.600,8.500,-99999999.990,-99999999.990,-99999999.990,32.700,-99999999.990,41.100,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,16.340,17.940,20.140,23.540,27.180,31.550,30.410,31.550,33.140,34.330,36.500,37.890,39.500,41.210
"AZO",161.500,172.600,177.300,187.000,169.400,152.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-15.240,-29.420,-40.000,-46.940,-48.750,-53.910,-51.930,-55.670,-58.300,-57.720,-62.510,-61.470,-65.460,-63.880
"BA",516.000,498.000,463.000,386.000,333.000,275.000,75.000,67.000,72.000,73.000,73.000,81.000,79.000,87.000,4121.000,3918.000,3298.000,3071.000,3047.000,3331.000,800.000,857.000,905.000,917.000,2127.000,857.000,726.000,838.000,3.750,4.720,7.760,19.600,11.910,9.220,9.080,9.910,9.420,6.070,0.920,3.300,1.370,0.150
"BAC",23974.000,21620.000,16744.000,12755.000,10935.000,10549.000,5156.000,2496.000,2897.000,2523.000,4979.000,2409.000,2573.000,2652.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,21.620,20.870,20.300,20.440,21.290,22.360,21.920,22.370,22.490,22.990,23.520,23.890,23.690,24.050
"BAX",148.000,224.000,113.000,155.000,167.000,146.000,36.000,38.000,37.000,33.000,16.000,20.000,20.000,0.000,915.000,946.000,940.000,534.000,608.000,589.000,148.000,140.000,158.000,136.000,150.000,129.000,152.000,128.000,11.130,11.570,12.590,15.590,14.980,16.230,14.680,14.330,16.140,16.430,15.530,15.950,15.270,-99999999.990
"BBBY",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,15.460,16.340,18.160,18.700,14.700,15.680,15.120,15.560,15.840,16.280,16.620,17.190,17.710,18.780
"BBT",1795.000,1378.000,1060.000,891.000,768.000,735.000,177.000,186.000,191.000,192.000,188.000,185.000,180.000,166.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,23.730,25.010,27.250,24.970,30.200,33.030,31.010,32.210,31.650,32.190,32.730,33.230,33.090,33.250
"BBY",86.000,111.000,99.000,100.000,90.000,80.000,20.000,20.000,20.000,20.000,20.000,18.000,16.000,18.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,16.260,10.220,9.040,11.650,14.290,12.630,13.810,13.220,13.490,12.900,13.680,13.460,13.480,15.030
"BCR",12.700,36.400,39.600,45.000,44.800,44.900,22.500,11.200,11.200,11.300,13.400,14.900,14.900,15.100,182.800,181.900,401.300,260.600,302.000,259.200,124.600,65.200,69.400,68.300,71.300,74.200,79.000,70.000,17.470,20.640,23.120,26.330,23.870,19.640,22.370,19.950,19.720,19.730,22.000,23.240,22.640,22.870
