"AIG"	"07  - Financial"	6742.000	2444.000	2319.000	2142.000	1718.000	1281.000	316.000	321.000	304.000	306.000	320.000	329.000	305.000	298.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	97.640	56.430	58.090	68.150	74.860	68.980	78.440	77.400	70.790	76.540	80.770	82.760	74.560	75.520	48.273	23.200	35.300	51.050	56.010	61.970	56.290	60.340	61.970	55.820	59.830	65.310	60.910	64.110	03/31/2017
"AIV"	"09  - Services"	276.500	272.300	229.400	237.000	221.000	188.000	49.600	48.300	48.300	47.600	48.900	49.400	50.500	47.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	3.340	-3.400	5.790	6.190	7.150	9.430	9.450	9.270	9.400	9.270	10.310	9.980	10.690	10.000	25.840	22.910	27.060	25.910	37.150	40.030	37.730	36.030	40.030	40.060	45.180	45.450	43.740	43.260	03/31/2017
"AIZ"	"07  - Financial"	60.600	60.400	60.300	77.700	58.400	55.100	13.800	13.800	13.800	14.500	15.200	14.000	13.900	12.600	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	43.210	50.440	61.530	63.060	71.780	66.370	70.420	69.250	67.810	70.130	74.030	74.760	71.300	74.000	38.520	41.060	34.700	66.370	68.430	80.540	61.460	74.350	80.540	84.570	89.550	92.860	96.240	104.630	03/31/2017
"AJG"	"07  - Financial"	34.600	40.800	43.000	50.100	89.000	103.000	26.000	25.600	25.800	25.800	27.200	28.500	28.300	29.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	10.560	11.140	13.710	16.180	21.120	21.130	21.330	20.750	20.590	20.320	20.290	20.760	20.180	20.470	29.080	33.440	34.650	46.930	47.080	40.940	47.830	43.720	40.940	46.040	49.410	51.960	55.810	57.610	03/31/2017
"AKAM"	"10  - Technology"	1.700	0.000	0.000	0.000	13.900	16.700	0.200	0.300	17.300	4.700	4.600	4.700	4.700	4.600	54.800	104.700	149.500	93.900	125.300	148.600	36.700	38.400	37.700	40.800	37.700	42.300	46.800	52.200	12.280	11.730	13.190	14.760	16.520	17.490	17.040	17.280	17.550	17.650	17.950	18.170	18.600	18.820	47.050	32.280	40.910	47.180	62.960	52.630	73.780	71.310	52.630	50.990	54.900	66.680	60.940	50.620	03/31/2017
"ALB"	"01  - Basic Materials"	25.500	37.600	32.800	31.600	41.400	81.700	20.600	19.300	19.500	15.100	15.800	15.900	18.300	68.500	58.400	77.100	78.900	82.200	88.300	89.200	21.900	21.900	21.900	19.900	20.500	21.000	19.100	24.300	15.490	17.580	20.560	19.410	17.280	29.270	28.340	28.030	29.000	31.540	28.100	29.340	33.740	32.480	55.780	51.510	62.120	63.390	60.130	56.010	59.700	45.210	56.010	66.160	79.970	86.080	108.910	117.570	03/31/2017
"ALGN"	"08  - Health Care"	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.000	37.200	42.900	44.100	52.800	61.200	15.700	17.800	13.900	15.100	18.600	20.400	21.600	22.800	4.980	6.290	7.220	7.870	9.320	10.600	9.590	10.000	10.670	11.170	11.380	12.160	12.490	13.080	19.540	23.725	27.750	57.140	55.910	65.850	58.840	56.600	65.850	72.190	92.900	96.130	134.620	154.300	03/31/2017
"ALK"	"11  - Transportation"	102.100	74.800	46.000	35.000	28.000	8.000	3.000	1.000	1.000	5.000	2.000	5.000	18.000	21.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	7.710	8.180	10.050	14.500	15.700	18.780	17.170	18.580	19.170	19.710	21.310	23.260	23.770	24.410	14.172	18.772	21.545	36.685	59.760	80.510	64.060	74.860	80.510	70.430	67.530	88.730	85.090	92.630	03/31/2017
"ALL"	"07  - Financial"	367.000	367.000	373.000	367.000	322.000	292.000	73.000	73.000	73.000	73.000	72.000	73.000	77.000	85.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	35.200	35.140	42.050	44.570	42.930	45.570	48.040	47.250	47.490	49.180	50.340	51.650	51.160	53.080	31.880	27.410	40.170	54.540	70.250	62.090	69.660	58.280	62.090	65.050	68.960	74.120	81.290	89.050	03/31/2017
"ALLE"	"10  - Technology"	1.800	1.400	1.500	10.200	53.800	52.900	11.300	13.700	16.300	16.300	16.500	15.600	15.900	15.900	33.800	38.900	38.200	39.600	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	14.700	13.990	-0.690	-0.050	0.270	0.490	0.150	0.270	0.770	1.450	1.580	1.190	1.590	-99999999.990	-99999999.990	-99999999.990	44.190	55.460	65.920	61.150	59.610	65.920	65.450	71.220	64.000	78.640	80.770	03/31/2017
"ALXN"	"08  - Health Care"	0.700	0.800	7.400	4.100	3.000	47.700	0.000	0.000	23.200	23.900	0.000	0.000	24.500	24.000	98.400	131.500	215.600	307.000	499.700	709.500	126.100	161.000	191.000	176.300	355.600	195.700	205.700	219.000	4.820	6.190	10.350	12.180	16.670	38.690	42.290	36.480	36.610	35.820	36.550	37.930	39.050	39.540	40.275	71.500	93.740	132.884	185.030	190.750	169.230	172.190	190.750	139.280	125.860	122.350	127.780	126.710	03/31/2017
"AMAT"	"10  - Technology"	21.500	59.000	95.000	95.000	95.000	103.000	24.000	32.000	42.000	37.000	38.000	38.000	38.000	44.000	1143.500	2236.000	2473.000	1319.000	1427.000	1450.000	371.000	363.000	374.000	386.000	386.000	393.000	416.000	437.000	5.620	6.670	5.710	5.900	6.480	6.270	6.530	6.450	6.250	5.900	6.300	6.660	7.130	7.620	14.050	10.710	11.440	17.680	24.920	18.670	19.790	16.085	18.670	20.470	29.840	32.270	40.610	46.120	04/30/2017
"AMD"	"10  - Technology"	199.000	180.000	175.000	177.000	177.000	160.000	40.000	39.000	41.000	40.000	41.000	41.000	34.000	32.000	1405.000	1453.000	1354.000	1199.000	1075.000	937.000	233.000	238.000	226.000	240.000	242.000	258.000	265.000	265.000	1.420	2.190	0.730	0.720	0.240	-0.530	-0.180	-0.430	-0.520	-0.630	-0.520	0.470	0.440	0.440	8.180	5.400	2.400	3.870	2.670	2.870	2.260	1.810	2.870	3.550	7.400	11.340	13.300	13.920	04/01/2017
"AME"	"10  - Technology"	67.500	69.700	75.500	73.600	79.900	91.800	22.700	23.700	22.700	23.400	23.700	23.600	23.600	24.500	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	7.440	8.540	10.500	12.860	13.230	13.570	14.300	13.820	13.720	14.030	14.390	14.550	14.150	14.830	26.167	28.067	37.570	52.670	52.630	53.590	52.420	53.820	53.590	48.090	48.750	48.600	57.200	61.900	03/31/2017
"AMG"	"07  - Financial"	91.100	101.100	83.000	87.300	76.600	88.900	44.600	23.600	20.700	22.300	21.900	22.400	23.000	21.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	37.950	36.020	40.310	40.190	47.760	52.250	48.780	49.090	52.830	53.120	54.250	59.050	65.690	63.230	99.220	95.950	130.150	216.880	212.240	159.760	226.130	186.440	159.760	170.320	142.050	145.300	165.590	175.530	03/31/2017
"AMGN"	"08  - Health Care"	604.000	610.000	1053.000	1022.000	1061.000	1079.000	277.000	282.000	284.000	294.000	313.000	325.000	328.000	326.000	2894.000	3167.000	6710.000	4083.000	4297.000	4070.000	964.000	1119.000	1093.000	872.000	900.000	990.000	1078.000	769.000	24.940	21.030	24.590	29.340	33.960	37.050	36.160	36.940	37.340	38.090	40.120	41.200	40.590	41.570	54.900	64.210	86.200	114.080	159.290	162.330	157.910	151.780	162.330	158.300	170.060	146.210	163.320	177.130	03/31/2017
"AMP"	"07  - Financial"	290.000	634.000	552.000	281.000	328.000	387.000	89.000	98.000	116.000	55.000	53.000	52.000	81.000	50.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	41.670	37.230	41.570	40.320	42.400	39.720	42.850	42.290	40.940	41.100	42.120	41.440	39.250	39.540	57.550	49.640	62.630	115.050	132.250	106.420	125.280	112.670	106.420	95.900	101.080	110.940	127.850	134.740	03/31/2017
"AMT"	"09  - Services"	247.500	313.300	403.200	459.800	581.700	596.800	148.900	149.800	149.800	160.200	181.300	190.400	186.400	184.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	8.730	8.310	9.050	8.950	9.980	15.880	17.280	15.630	15.700	16.350	15.940	15.760	15.870	16.040	51.640	60.010	77.270	79.820	98.850	96.950	94.530	92.190	96.950	104.880	113.380	105.680	125.940	136.040	03/31/2017
"AMZN"	"09  - Services"	39.000	65.000	92.000	141.000	210.000	459.000	114.000	116.000	115.000	117.000	116.000	118.000	133.000	139.000	1734.000	2909.000	4564.000	6565.000	9275.000	12540.000	3020.000	3197.000	3569.000	3526.000	3880.000	4135.000	4544.000	4813.000	15.360	17.120	18.080	21.330	23.250	28.660	25.200	26.560	28.660	31.330	34.960	37.510	40.430	46.020	180.000	173.100	250.870	398.790	310.350	675.890	421.780	512.890	675.890	659.590	769.160	749.870	924.990	1001.810	03/31/2017
"AN"	"09  - Services"	98.600	108.700	132.400	141.700	140.000	149.200	35.800	36.100	42.700	47.200	48.000	47.100	49.700	50.300	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	13.250	12.860	13.640	17.000	17.670	20.850	20.080	20.150	21.180	19.590	20.970	21.790	22.870	24.080	28.200	36.870	39.700	49.690	60.410	59.660	61.550	59.840	59.660	50.650	47.350	48.650	42.000	42.010	03/31/2017
