Date,UNDEVS
2016-02-01,64590000000.00
2016-03-01,77198000000.00
2016-04-01,66301000000.00
2016-05-01,69522000000.00
2016-06-01,77825000000.00
2016-07-01,63246000000.00
2016-08-01,68661000000.00
2016-09-01,76546000000.00
2016-10-01,66818000000.00
2016-11-01,65154000000.00
2016-12-01,77519000000.00
2017-01-01,59591000000.00
2017-02-01,63104000000.00
2017-03-01,80044000000.00
2017-04-01,66107000000.00
2017-05-01,72468000000.00
2017-06-01,80960000000.00
2017-07-01,67395000000.00
2017-08-01,73188000000.00
2017-09-01,80601000000.00
2017-10-01,72402000000.00
2017-11-01,72474000000.00
2017-12-01,81712000000.00
2018-01-01,65020000000.00
2018-02-01,68309000000.00
2018-03-01,85881000000.00
2018-04-01,70983000000.00
2018-05-01,77288000000.00
