Date,WSCNDW01USQ470N
1980-10-01,120500.00
1981-01-01,88066.67
1981-04-01,112900.00
1981-07-01,90100.00
1981-10-01,70300.00
1982-01-01,58900.00
1982-04-01,91333.33
1982-07-01,103066.67
1982-10-01,100766.67
1983-01-01,107400.00
1983-04-01,161300.00
1983-07-01,164433.33
1983-10-01,134533.33
1984-01-01,125533.33
1984-04-01,179133.33
1984-07-01,152666.67
1984-10-01,125800.00
1985-01-01,115266.67
1985-04-01,169733.33
1985-07-01,156366.67
1985-10-01,139200.00
1986-01-01,124600.00
1986-04-01,186133.33
1986-07-01,163266.67
1986-10-01,127800.00
1987-01-01,116366.67
1987-04-01,160066.67
1987-07-01,149333.33
1987-10-01,114433.33
1988-01-01,99066.67
1988-04-01,147866.67
1988-07-01,134966.67
1988-10-01,114100.00
1989-01-01,101233.33
1989-04-01,134766.67
1989-07-01,122133.33
1989-10-01,100566.67
1990-01-01,98200.00
1990-04-01,119300.00
1990-07-01,102366.67
1990-10-01,77666.67
1991-01-01,61800.00
1991-04-01,100266.67
1991-07-01,94933.33
1991-10-01,81000.00
1992-01-01,87333.33
1992-04-01,113533.33
1992-07-01,107366.67
1992-10-01,91633.33
1993-01-01,80200.00
1993-04-01,122400.00
1993-07-01,118533.33
1993-10-01,108100.00
1994-01-01,98000.00
1994-04-01,140933.33
1994-07-01,132566.67
1994-10-01,114166.67
1995-01-01,89966.67
1995-04-01,123600.00
1995-07-01,129100.00
1995-10-01,108733.33
1996-01-01,100866.67
1996-04-01,142833.33
1996-07-01,136800.00
1996-10-01,111800.00
1997-01-01,99100.00
1997-04-01,139666.67
1997-07-01,133433.33
1997-10-01,119133.33
1998-01-01,108300.00
1998-04-01,149266.67
1998-07-01,148333.33
1998-10-01,133100.00
1999-01-01,121433.33
1999-04-01,149066.67
1999-07-01,148600.00
1999-10-01,127966.67
2000-01-01,119033.33
2000-04-01,149566.67
2000-07-01,135100.00
2000-10-01,119166.67
2001-01-01,115933.33
2001-04-01,153500.00
2001-07-01,143066.67
2001-10-01,121800.00
2002-01-01,123000.00
2002-04-01,158200.00
2002-07-01,152833.33
2002-10-01,134300.00
2003-01-01,124900.00
2003-04-01,163566.67
2003-07-01,170300.00
2003-10-01,157133.33
2004-01-01,141566.67
2004-04-01,179800.00
2004-07-01,177300.00
2004-10-01,153200.00
2005-01-01,149400.00
2005-04-01,191766.67
2005-07-01,189166.67
2005-10-01,159033.33
2006-01-01,154666.67
2006-04-01,173633.33
2006-07-01,152600.00
2006-10-01,119400.00
2007-01-01,107300.00
2007-04-01,136633.33
2007-07-01,116866.67
2007-10-01,90900.00
2008-01-01,77133.33
2008-04-01,94566.67
2008-07-01,79000.00
2008-10-01,51133.33
2009-01-01,38133.33
2009-04-01,51266.67
2009-07-01,54100.00
2009-10-01,41133.33
2010-01-01,44766.67
2010-04-01,57333.33
2010-07-01,53600.00
2010-10-01,39933.33
2011-01-01,41833.33
2011-04-01,54500.00
2011-07-01,56966.67
2011-10-01,49633.33
2012-01-01,51633.33
2012-04-01,69766.67
2012-07-01,71333.33
2012-10-01,67466.67
2013-01-01,69366.67
2013-04-01,81400.00
2013-07-01,80933.33
2013-10-01,76600.00
2014-01-01,68666.67
2014-04-01,91566.67
2014-07-01,93800.00
2014-10-01,80400.00
2015-01-01,71533.33
2015-04-01,106800.00
2015-07-01,106000.00
2015-10-01,86300.00
2016-01-01,83033.33
2016-04-01,107600.00
2016-07-01,104333.33
2016-10-01,96266.67
2017-01-01,89066.67
2017-04-01,109166.67
2017-07-01,106433.33
2017-10-01,96300.00
2018-01-01,96166.67
