Date,CAPUTLN2121S
1990-03-01,91.76
1990-04-01,93.01
1990-05-01,91.78
1990-06-01,92.98
1990-07-01,92.44
1990-08-01,88.41
1990-09-01,90.20
1990-10-01,88.95
1990-11-01,87.67
1990-12-01,84.22
1991-01-01,84.55
1991-02-01,88.59
1991-03-01,86.44
1991-04-01,79.76
1991-05-01,81.48
1991-06-01,85.34
1991-07-01,84.51
1991-08-01,85.11
1991-09-01,84.00
1991-10-01,84.15
1991-11-01,83.60
1991-12-01,83.72
1992-01-01,83.76
1992-02-01,84.35
1992-03-01,82.96
1992-04-01,83.27
1992-05-01,86.43
1992-06-01,82.04
1992-07-01,85.29
1992-08-01,84.38
1992-09-01,82.64
1992-10-01,82.94
1992-11-01,84.71
1992-12-01,84.74
1993-01-01,84.28
1993-02-01,81.00
1993-03-01,78.51
1993-04-01,79.50
1993-05-01,79.77
1993-06-01,82.86
1993-07-01,75.98
1993-08-01,74.04
1993-09-01,77.51
1993-10-01,80.02
1993-11-01,78.61
1993-12-01,78.66
1994-01-01,76.17
1994-02-01,83.82
1994-03-01,86.11
1994-04-01,87.29
1994-05-01,83.80
1994-06-01,84.42
1994-07-01,83.23
1994-08-01,84.95
1994-09-01,83.42
1994-10-01,81.85
1994-11-01,82.99
1994-12-01,85.61
1995-01-01,84.06
1995-02-01,83.70
1995-03-01,81.63
1995-04-01,81.51
1995-05-01,80.27
1995-06-01,82.00
1995-07-01,83.84
1995-08-01,80.70
1995-09-01,85.57
1995-10-01,85.23
1995-11-01,83.88
1995-12-01,82.59
1996-01-01,76.76
1996-02-01,81.37
1996-03-01,86.27
1996-04-01,85.47
1996-05-01,86.02
1996-06-01,87.64
1996-07-01,87.42
1996-08-01,87.64
1996-09-01,85.11
1996-10-01,84.97
1996-11-01,85.29
1996-12-01,84.84
1997-01-01,84.80
1997-02-01,88.79
1997-03-01,87.21
1997-04-01,85.81
1997-05-01,91.97
1997-06-01,86.66
1997-07-01,86.11
1997-08-01,85.99
1997-09-01,86.13
1997-10-01,85.31
1997-11-01,85.56
1997-12-01,89.25
1998-01-01,91.16
1998-02-01,87.38
1998-03-01,87.62
1998-04-01,87.68
1998-05-01,91.22
1998-06-01,87.02
1998-07-01,87.25
1998-08-01,86.87
1998-09-01,88.18
1998-10-01,88.28
1998-11-01,88.43
1998-12-01,86.27
1999-01-01,87.08
1999-02-01,88.32
1999-03-01,84.47
1999-04-01,83.45
1999-05-01,83.46
1999-06-01,83.10
1999-07-01,83.64
1999-08-01,84.05
1999-09-01,83.85
1999-10-01,83.25
1999-11-01,84.06
1999-12-01,84.25
2000-01-01,82.00
2000-02-01,82.01
2000-03-01,85.87
2000-04-01,82.67
2000-05-01,84.11
2000-06-01,84.59
2000-07-01,85.62
2000-08-01,85.42
2000-09-01,84.01
2000-10-01,85.89
2000-11-01,85.06
2000-12-01,84.47
2001-01-01,87.74
2001-02-01,88.35
2001-03-01,90.72
2001-04-01,90.60
2001-05-01,89.82
2001-06-01,89.84
2001-07-01,88.60
2001-08-01,89.10
2001-09-01,88.64
2001-10-01,88.60
2001-11-01,88.33
2001-12-01,87.06
2002-01-01,90.55
2002-02-01,89.00
2002-03-01,83.57
2002-04-01,81.71
2002-05-01,82.85
2002-06-01,80.76
2002-07-01,78.70
2002-08-01,81.16
2002-09-01,82.79
2002-10-01,81.10
2002-11-01,81.74
2002-12-01,82.96
2003-01-01,80.50
2003-02-01,79.89
2003-03-01,80.51
2003-04-01,82.23
2003-05-01,84.14
2003-06-01,82.31
2003-07-01,82.01
2003-08-01,82.63
2003-09-01,83.03
2003-10-01,83.64
2003-11-01,82.64
2003-12-01,85.07
2004-01-01,86.23
2004-02-01,86.06
2004-03-01,85.93
2004-04-01,87.35
2004-05-01,85.41
2004-06-01,89.51
2004-07-01,89.17
2004-08-01,88.08
2004-09-01,87.95
2004-10-01,87.69
2004-11-01,87.82
2004-12-01,88.21
2005-01-01,86.12
2005-02-01,89.45
2005-03-01,87.31
2005-04-01,87.73
2005-05-01,84.82
2005-06-01,87.60
2005-07-01,87.59
2005-08-01,86.12
2005-09-01,86.69
2005-10-01,85.28
2005-11-01,86.37
2005-12-01,83.77
2006-01-01,87.00
2006-02-01,85.19
2006-03-01,86.46
2006-04-01,88.82
2006-05-01,87.69
2006-06-01,85.34
2006-07-01,86.31
2006-08-01,85.00
2006-09-01,84.67
2006-10-01,86.23
2006-11-01,85.24
2006-12-01,87.06
2007-01-01,85.57
2007-02-01,84.80
2007-03-01,85.37
2007-04-01,86.25
2007-05-01,87.16
2007-06-01,88.97
2007-07-01,84.92
2007-08-01,87.40
2007-09-01,87.68
2007-10-01,86.57
2007-11-01,87.98
2007-12-01,87.46
2008-01-01,87.65
2008-02-01,88.40
2008-03-01,89.51
2008-04-01,89.27
2008-05-01,91.23
2008-06-01,85.51
2008-07-01,89.18
2008-08-01,90.78
2008-09-01,89.48
2008-10-01,90.73
2008-11-01,89.23
2008-12-01,88.15
2009-01-01,85.43
2009-02-01,85.43
2009-03-01,82.94
2009-04-01,80.67
2009-05-01,79.18
2009-06-01,79.30
2009-07-01,78.50
2009-08-01,78.65
2009-09-01,76.85
2009-10-01,76.25
2009-11-01,76.74
2009-12-01,75.35
2010-01-01,76.59
2010-02-01,78.97
2010-03-01,82.73
2010-04-01,84.25
2010-05-01,81.65
2010-06-01,81.49
2010-07-01,82.95
2010-08-01,82.56
2010-09-01,84.62
2010-10-01,84.28
2010-11-01,83.77
2010-12-01,84.31
2011-01-01,85.78
2011-02-01,85.55
2011-03-01,85.46
2011-04-01,87.16
2011-05-01,84.44
2011-06-01,84.20
2011-07-01,80.98
2011-08-01,83.37
2011-09-01,85.57
2011-10-01,87.94
2011-11-01,86.23
2011-12-01,87.08
2012-01-01,86.72
2012-02-01,82.82
2012-03-01,78.63
2012-04-01,78.53
2012-05-01,78.91
2012-06-01,80.94
2012-07-01,81.29
2012-08-01,80.00
2012-09-01,79.68
2012-10-01,78.30
2012-11-01,79.28
2012-12-01,78.39
2013-01-01,78.99
2013-02-01,81.91
2013-03-01,81.65
2013-04-01,80.28
2013-05-01,83.91
2013-06-01,83.67
2013-07-01,82.20
2013-08-01,81.37
2013-09-01,79.68
2013-10-01,76.63
2013-11-01,78.04
2013-12-01,82.29
2014-01-01,78.55
2014-02-01,80.99
2014-03-01,86.73
2014-04-01,86.61
2014-05-01,87.36
2014-06-01,81.09
2014-07-01,81.36
2014-08-01,82.66
2014-09-01,80.33
2014-10-01,79.78
2014-11-01,82.77
2014-12-01,84.15
2015-01-01,84.77
2015-02-01,78.71
2015-03-01,81.18
2015-04-01,80.06
2015-05-01,77.32
2015-06-01,68.52
2015-07-01,76.07
2015-08-01,80.69
2015-09-01,77.82
2015-10-01,75.13
2015-11-01,71.15
2015-12-01,65.80
2016-01-01,64.71
2016-02-01,64.09
2016-03-01,59.07
2016-04-01,56.56
2016-05-01,62.70
2016-06-01,66.38
2016-07-01,69.43
2016-08-01,68.33
2016-09-01,70.06
2016-10-01,75.50
2016-11-01,74.02
2016-12-01,74.53
2017-01-01,78.10
2017-02-01,82.26
2017-03-01,74.32
2017-04-01,78.53
2017-05-01,78.70
2017-06-01,80.41
2017-07-01,76.67
2017-08-01,76.42
2017-09-01,74.86
2017-10-01,75.96
2017-11-01,76.00
2017-12-01,82.29
2018-01-01,76.13
2018-02-01,84.78
2018-03-01,85.52
2018-04-01,82.95
