Date,U35SVS
2017-07-01,10017000000.00
2017-08-01,11241000000.00
2017-09-01,11373000000.00
2017-10-01,11158000000.00
2017-11-01,10666000000.00
2017-12-01,10570000000.00
2018-01-01,9851000000.00
2018-02-01,10171000000.00
2018-03-01,11812000000.00
2018-04-01,11132000000.00
2018-05-01,11581000000.00
