Date,CUMFNS
1979-10-01,83.23
1979-11-01,82.84
1979-12-01,82.94
1980-01-01,83.10
1980-02-01,82.79
1980-03-01,81.98
1980-04-01,80.06
1980-05-01,77.53
1980-06-01,76.17
1980-07-01,75.16
1980-08-01,75.54
1980-09-01,76.54
1980-10-01,77.70
1980-11-01,78.93
1980-12-01,78.91
1981-01-01,78.43
1981-02-01,77.76
1981-03-01,77.78
1981-04-01,77.96
1981-05-01,78.14
1981-06-01,77.51
1981-07-01,77.47
1981-08-01,77.33
1981-09-01,76.79
1981-10-01,75.91
1981-11-01,74.81
1981-12-01,73.38
1982-01-01,71.46
1982-02-01,73.28
1982-03-01,72.52
1982-04-01,71.86
1982-05-01,71.61
1982-06-01,71.37
1982-07-01,71.19
1982-08-01,70.48
1982-09-01,70.23
1982-10-01,69.33
1982-11-01,68.83
1982-12-01,68.54
1983-01-01,70.15
1983-02-01,70.04
1983-03-01,70.63
1983-04-01,71.43
1983-05-01,72.28
1983-06-01,72.81
1983-07-01,73.82
1983-08-01,74.36
1983-09-01,75.73
1983-10-01,76.51
1983-11-01,76.74
1983-12-01,76.86
1984-01-01,78.17
1984-02-01,78.89
1984-03-01,79.12
1984-04-01,79.41
1984-05-01,79.42
1984-06-01,79.61
1984-07-01,79.79
1984-08-01,79.72
1984-09-01,79.34
1984-10-01,79.42
1984-11-01,79.46
1984-12-01,79.49
1985-01-01,78.99
1985-02-01,78.49
1985-03-01,78.89
1985-04-01,78.32
1985-05-01,78.25
1985-06-01,78.19
1985-07-01,77.54
1985-08-01,77.81
1985-09-01,77.75
1985-10-01,77.38
1985-11-01,77.76
1985-12-01,77.98
1986-01-01,78.76
1986-02-01,78.25
1986-03-01,77.94
1986-04-01,78.16
1986-05-01,78.24
1986-06-01,77.90
1986-07-01,78.19
1986-08-01,78.35
1986-09-01,78.40
1986-10-01,78.61
1986-11-01,78.83
1986-12-01,79.33
1987-01-01,78.94
1987-02-01,79.91
1987-03-01,79.76
1987-04-01,80.00
1987-05-01,80.37
1987-06-01,80.43
1987-07-01,80.86
1987-08-01,81.19
1987-09-01,81.47
1987-10-01,82.59
1987-11-01,82.94
1987-12-01,83.32
1988-01-01,83.10
1988-02-01,83.24
1988-03-01,83.40
1988-04-01,84.08
1988-05-01,83.90
1988-06-01,84.01
1988-07-01,83.95
1988-08-01,83.98
1988-09-01,84.26
1988-10-01,84.61
1988-11-01,84.75
1988-12-01,85.05
1989-01-01,85.64
1989-02-01,84.66
1989-03-01,84.41
1989-04-01,84.47
1989-05-01,83.51
1989-06-01,83.48
1989-07-01,82.36
1989-08-01,82.85
1989-09-01,82.43
1989-10-01,82.06
1989-11-01,82.02
1989-12-01,81.87
1990-01-01,81.47
1990-02-01,82.46
1990-03-01,82.66
1990-04-01,82.20
1990-05-01,82.19
1990-06-01,82.25
1990-07-01,81.94
1990-08-01,82.03
1990-09-01,81.85
1990-10-01,81.04
1990-11-01,80.01
1990-12-01,79.31
1991-01-01,78.61
1991-02-01,77.99
1991-03-01,77.33
1991-04-01,77.51
1991-05-01,77.94
1991-06-01,78.66
1991-07-01,78.81
1991-08-01,78.86
1991-09-01,79.60
1991-10-01,79.34
1991-11-01,79.05
1991-12-01,78.77
1992-01-01,78.12
1992-02-01,78.64
1992-03-01,79.25
1992-04-01,79.48
1992-05-01,79.75
1992-06-01,79.76
1992-07-01,80.27
1992-08-01,79.73
1992-09-01,79.57
1992-10-01,79.91
1992-11-01,80.06
1992-12-01,79.80
1993-01-01,80.42
1993-02-01,80.47
1993-03-01,80.15
1993-04-01,80.46
1993-05-01,80.27
1993-06-01,80.01
1993-07-01,80.11
1993-08-01,79.82
1993-09-01,80.21
1993-10-01,80.75
1993-11-01,80.94
1993-12-01,81.22
1994-01-01,81.17
1994-02-01,81.07
1994-03-01,81.92
1994-04-01,82.39
1994-05-01,82.66
1994-06-01,82.62
1994-07-01,82.67
1994-08-01,83.05
1994-09-01,83.17
1994-10-01,83.69
1994-11-01,84.03
1994-12-01,84.64
1995-01-01,84.47
1995-02-01,83.93
1995-03-01,83.81
1995-04-01,83.31
1995-05-01,83.15
1995-06-01,83.21
1995-07-01,82.31
1995-08-01,82.84
1995-09-01,83.20
1995-10-01,82.74
1995-11-01,82.40
1995-12-01,82.29
1996-01-01,81.23
1996-02-01,82.07
1996-03-01,81.48
1996-04-01,81.96
1996-05-01,82.13
1996-06-01,82.54
1996-07-01,82.32
1996-08-01,82.30
1996-09-01,82.54
1996-10-01,81.97
1996-11-01,82.22
1996-12-01,82.49
1997-01-01,82.09
1997-02-01,82.77
1997-03-01,83.14
1997-04-01,82.52
1997-05-01,82.62
1997-06-01,82.65
1997-07-01,82.66
1997-08-01,83.15
1997-09-01,83.29
1997-10-01,83.43
1997-11-01,83.71
1997-12-01,83.41
1998-01-01,83.49
1998-02-01,82.96
1998-03-01,82.25
1998-04-01,82.05
1998-05-01,81.90
1998-06-01,80.71
1998-07-01,79.90
1998-08-01,81.35
1998-09-01,80.69
1998-10-01,81.03
1998-11-01,80.73
1998-12-01,80.74
1999-01-01,80.58
1999-02-01,80.83
1999-03-01,80.39
1999-04-01,80.36
1999-05-01,80.70
1999-06-01,80.07
1999-07-01,80.10
1999-08-01,80.25
1999-09-01,79.58
1999-10-01,80.45
1999-11-01,80.61
1999-12-01,80.81
2000-01-01,80.57
2000-02-01,80.38
2000-03-01,80.56
2000-04-01,80.84
2000-05-01,80.39
2000-06-01,80.24
2000-07-01,80.03
2000-08-01,79.17
2000-09-01,79.21
2000-10-01,78.67
2000-11-01,78.17
2000-12-01,77.46
2001-01-01,76.74
2001-02-01,76.01
2001-03-01,75.57
2001-04-01,75.10
2001-05-01,74.40
2001-06-01,73.73
2001-07-01,73.22
2001-08-01,72.72
2001-09-01,72.43
2001-10-01,71.88
2001-11-01,71.58
2001-12-01,71.68
2002-01-01,72.00
2002-02-01,71.90
2002-03-01,72.38
2002-04-01,72.48
2002-05-01,72.81
2002-06-01,73.60
2002-07-01,73.32
2002-08-01,73.46
2002-09-01,73.54
2002-10-01,73.26
2002-11-01,73.59
2002-12-01,73.22
2003-01-01,73.59
2003-02-01,73.69
2003-03-01,73.80
2003-04-01,73.20
2003-05-01,73.28
2003-06-01,73.66
2003-07-01,73.85
2003-08-01,73.58
2003-09-01,74.17
2003-10-01,74.30
2003-11-01,75.04
2003-12-01,74.90
2004-01-01,74.95
2004-02-01,75.53
2004-03-01,75.43
2004-04-01,75.75
2004-05-01,76.36
2004-06-01,75.80
2004-07-01,76.49
2004-08-01,76.82
2004-09-01,76.76
2004-10-01,77.47
2004-11-01,77.36
2004-12-01,77.81
2005-01-01,78.30
2005-02-01,78.81
2005-03-01,78.30
2005-04-01,78.43
2005-05-01,78.54
2005-06-01,78.48
2005-07-01,78.05
2005-08-01,78.24
2005-09-01,77.31
2005-10-01,78.32
2005-11-01,78.78
2005-12-01,78.78
2006-01-01,79.28
2006-02-01,78.90
2006-03-01,78.74
2006-04-01,79.01
2006-05-01,78.57
2006-06-01,78.73
2006-07-01,78.36
2006-08-01,78.73
2006-09-01,78.62
2006-10-01,78.16
2006-11-01,78.02
2006-12-01,78.98
2007-01-01,78.38
2007-02-01,78.50
2007-03-01,78.97
2007-04-01,79.31
2007-05-01,79.04
2007-06-01,79.11
2007-07-01,79.00
2007-08-01,78.61
2007-09-01,78.85
2007-10-01,78.48
2007-11-01,78.79
2007-12-01,78.86
2008-01-01,78.52
2008-02-01,78.02
2008-03-01,77.79
2008-04-01,76.98
2008-05-01,76.62
2008-06-01,76.18
2008-07-01,75.39
2008-08-01,74.55
2008-09-01,72.08
2008-10-01,71.73
2008-11-01,70.12
2008-12-01,67.81
2009-01-01,65.84
2009-02-01,65.85
2009-03-01,64.74
2009-04-01,64.39
2009-05-01,63.82
2009-06-01,63.71
2009-07-01,64.76
2009-08-01,65.60
2009-09-01,66.27
2009-10-01,66.50
2009-11-01,67.26
2009-12-01,67.25
2010-01-01,68.11
2010-02-01,68.18
2010-03-01,69.10
2010-04-01,69.79
2010-05-01,70.86
2010-06-01,70.89
2010-07-01,71.41
2010-08-01,71.61
2010-09-01,71.72
2010-10-01,71.89
2010-11-01,72.02
2010-12-01,72.47
2011-01-01,72.68
2011-02-01,72.85
2011-03-01,73.34
2011-04-01,72.98
2011-05-01,73.09
2011-06-01,73.16
2011-07-01,73.64
2011-08-01,73.89
2011-09-01,74.11
2011-10-01,74.48
2011-11-01,74.23
2011-12-01,74.71
2012-01-01,75.25
2012-02-01,75.45
2012-03-01,75.00
2012-04-01,75.34
2012-05-01,74.94
2012-06-01,75.00
2012-07-01,74.82
2012-08-01,74.61
2012-09-01,74.50
2012-10-01,74.17
2012-11-01,74.64
2012-12-01,75.20
2013-01-01,74.88
2013-02-01,75.20
2013-03-01,75.06
2013-04-01,74.74
2013-05-01,74.91
2013-06-01,75.07
2013-07-01,74.30
2013-08-01,75.01
2013-09-01,75.09
2013-10-01,75.13
2013-11-01,75.09
2013-12-01,75.11
2014-01-01,74.24
2014-02-01,75.05
2014-03-01,75.66
2014-04-01,75.57
2014-05-01,75.75
2014-06-01,76.03
2014-07-01,76.31
2014-08-01,76.00
2014-09-01,76.00
2014-10-01,75.96
2014-11-01,76.63
2014-12-01,76.45
2015-01-01,76.09
2015-02-01,75.72
2015-03-01,75.99
2015-04-01,75.98
2015-05-01,75.93
2015-06-01,75.69
2015-07-01,76.18
2015-08-01,75.98
2015-09-01,75.65
2015-10-01,75.60
2015-11-01,75.39
2015-12-01,75.16
2016-01-01,75.51
2016-02-01,75.15
2016-03-01,74.89
2016-04-01,74.54
2016-05-01,74.36
2016-06-01,74.45
2016-07-01,74.47
2016-08-01,74.14
2016-09-01,74.26
2016-10-01,74.34
2016-11-01,74.30
2016-12-01,74.48
2017-01-01,74.66
2017-02-01,74.71
2017-03-01,74.33
2017-04-01,75.12
2017-05-01,74.77
2017-06-01,74.82
2017-07-01,74.58
2017-08-01,74.37
2017-09-01,74.21
2017-10-01,75.15
2017-11-01,75.28
2017-12-01,75.18
2018-01-01,74.72
2018-02-01,75.69
2018-03-01,75.52
2018-04-01,75.87
2018-05-01,75.29
