Date,UBTPNO
1999-10-01,20961000000.00
1999-11-01,19274000000.00
1999-12-01,18426000000.00
2000-01-01,19717000000.00
2000-02-01,20566000000.00
2000-03-01,21811000000.00
2000-04-01,18813000000.00
2000-05-01,19989000000.00
2000-06-01,20624000000.00
2000-07-01,13962000000.00
2000-08-01,19813000000.00
2000-09-01,19915000000.00
2000-10-01,20053000000.00
2000-11-01,18026000000.00
2000-12-01,15708000000.00
2001-01-01,17091000000.00
2001-02-01,18615000000.00
2001-03-01,19793000000.00
2001-04-01,18046000000.00
2001-05-01,19105000000.00
2001-06-01,18453000000.00
2001-07-01,12643000000.00
2001-08-01,18593000000.00
2001-09-01,16334000000.00
2001-10-01,18250000000.00
2001-11-01,17915000000.00
2001-12-01,15341000000.00
2002-01-01,18034000000.00
2002-02-01,19062000000.00
2002-03-01,19834000000.00
2002-04-01,21270000000.00
2002-05-01,21859000000.00
2002-06-01,19335000000.00
2002-07-01,14684000000.00
2002-08-01,20494000000.00
2002-09-01,19237000000.00
2002-10-01,21391000000.00
2002-11-01,19274000000.00
2002-12-01,14988000000.00
2003-01-01,18758000000.00
2003-02-01,20191000000.00
2003-03-01,20110000000.00
2003-04-01,19578000000.00
2003-05-01,19503000000.00
2003-06-01,19572000000.00
2003-07-01,14776000000.00
2003-08-01,18800000000.00
2003-09-01,20386000000.00
2003-10-01,22052000000.00
2003-11-01,18700000000.00
2003-12-01,17567000000.00
2004-01-01,18195000000.00
2004-02-01,20212000000.00
2004-03-01,22158000000.00
2004-04-01,20541000000.00
2004-05-01,19889000000.00
2004-06-01,20573000000.00
2004-07-01,14837000000.00
2004-08-01,20253000000.00
2004-09-01,20190000000.00
2004-10-01,19660000000.00
2004-11-01,19014000000.00
2004-12-01,18216000000.00
2005-01-01,18890000000.00
2005-02-01,20530000000.00
2005-03-01,20594000000.00
2005-04-01,21210000000.00
2005-05-01,21198000000.00
2005-06-01,21289000000.00
2005-07-01,14790000000.00
2005-08-01,22039000000.00
2005-09-01,21520000000.00
2005-10-01,21942000000.00
2005-11-01,19080000000.00
2005-12-01,18279000000.00
2006-01-01,19277000000.00
2006-02-01,20076000000.00
2006-03-01,22231000000.00
2006-04-01,19702000000.00
2006-05-01,21192000000.00
2006-06-01,21264000000.00
2006-07-01,15330000000.00
2006-08-01,22047000000.00
2006-09-01,20508000000.00
2006-10-01,21185000000.00
2006-11-01,19729000000.00
2006-12-01,18406000000.00
2007-01-01,19110000000.00
2007-02-01,20504000000.00
2007-03-01,22037000000.00
2007-04-01,19982000000.00
2007-05-01,21659000000.00
2007-06-01,20932000000.00
2007-07-01,16894000000.00
2007-08-01,21895000000.00
2007-09-01,19603000000.00
2007-10-01,21327000000.00
2007-11-01,20046000000.00
2007-12-01,16834000000.00
2008-01-01,18541000000.00
2008-02-01,20217000000.00
2008-03-01,19236000000.00
2008-04-01,19316000000.00
2008-05-01,18661000000.00
2008-06-01,18993000000.00
2008-07-01,14332000000.00
2008-08-01,16561000000.00
2008-09-01,16157000000.00
2008-10-01,16438000000.00
2008-11-01,13459000000.00
2008-12-01,11640000000.00
2009-01-01,11519000000.00
2009-02-01,12317000000.00
2009-03-01,12694000000.00
2009-04-01,12285000000.00
2009-05-01,11327000000.00
2009-06-01,12649000000.00
2009-07-01,10109000000.00
2009-08-01,13429000000.00
2009-09-01,14287000000.00
2009-10-01,15300000000.00
2009-11-01,13789000000.00
2009-12-01,13696000000.00
2010-01-01,14529000000.00
2010-02-01,13897000000.00
2010-03-01,16009000000.00
2010-04-01,16253000000.00
2010-05-01,16448000000.00
2010-06-01,17838000000.00
2010-07-01,14501000000.00
2010-08-01,18053000000.00
2010-09-01,18139000000.00
2010-10-01,18710000000.00
2010-11-01,16946000000.00
2010-12-01,16348000000.00
2011-01-01,16209000000.00
2011-02-01,17135000000.00
2011-03-01,20208000000.00
2011-04-01,17552000000.00
2011-05-01,18145000000.00
2011-06-01,18207000000.00
2011-07-01,15384000000.00
2011-08-01,19431000000.00
2011-09-01,19053000000.00
2011-10-01,19446000000.00
2011-11-01,18438000000.00
2011-12-01,17672000000.00
2012-01-01,18777000000.00
2012-02-01,20798000000.00
2012-03-01,22019000000.00
2012-04-01,20540000000.00
2012-05-01,21944000000.00
2012-06-01,21619000000.00
2012-07-01,17799000000.00
2012-08-01,22622000000.00
2012-09-01,20387000000.00
2012-10-01,23117000000.00
2012-11-01,21760000000.00
2012-12-01,18737000000.00
2013-01-01,19576000000.00
2013-02-01,21564000000.00
2013-03-01,22570000000.00
2013-04-01,22559000000.00
2013-05-01,23235000000.00
2013-06-01,22171000000.00
2013-07-01,18163000000.00
2013-08-01,23463000000.00
2013-09-01,22250000000.00
2013-10-01,24159000000.00
2013-11-01,22496000000.00
2013-12-01,19824000000.00
2014-01-01,21590000000.00
2014-02-01,23823000000.00
2014-03-01,25228000000.00
2014-04-01,24042000000.00
2014-05-01,25140000000.00
2014-06-01,24916000000.00
2014-07-01,22422000000.00
2014-08-01,25627000000.00
2014-09-01,25332000000.00
2014-10-01,26843000000.00
2014-11-01,23631000000.00
2014-12-01,23281000000.00
2015-01-01,23350000000.00
2015-02-01,24724000000.00
2015-03-01,27281000000.00
2015-04-01,25863000000.00
2015-05-01,25365000000.00
2015-06-01,26243000000.00
2015-07-01,22752000000.00
2015-08-01,26640000000.00
2015-09-01,25914000000.00
2015-10-01,26253000000.00
2015-11-01,24541000000.00
2015-12-01,22951000000.00
2016-01-01,22588000000.00
2016-02-01,26838000000.00
2016-03-01,27762000000.00
2016-04-01,25270000000.00
2016-05-01,25874000000.00
2016-06-01,26297000000.00
2016-07-01,20998000000.00
2016-08-01,27780000000.00
2016-09-01,26761000000.00
2016-10-01,24987000000.00
2016-11-01,24815000000.00
2016-12-01,23372000000.00
2017-01-01,23514000000.00
2017-02-01,26457000000.00
2017-03-01,28472000000.00
2017-04-01,25093000000.00
2017-05-01,27413000000.00
2017-06-01,27351000000.00
2017-07-01,21062000000.00
2017-08-01,28072000000.00
2017-09-01,26165000000.00
2017-10-01,26184000000.00
2017-11-01,25489000000.00
2017-12-01,23200000000.00
2018-01-01,24494000000.00
2018-02-01,27306000000.00
2018-03-01,28817000000.00
2018-04-01,26676000000.00
