Date,U34DTI
2015-10-01,4349000000.00
2015-11-01,4450000000.00
2015-12-01,4165000000.00
2016-01-01,4322000000.00
2016-02-01,4394000000.00
2016-03-01,4279000000.00
2016-04-01,4346000000.00
2016-05-01,4473000000.00
2016-06-01,4308000000.00
2016-07-01,4384000000.00
2016-08-01,4530000000.00
2016-09-01,4328000000.00
2016-10-01,4454000000.00
2016-11-01,4603000000.00
2016-12-01,4221000000.00
2017-01-01,4464000000.00
2017-02-01,4673000000.00
2017-03-01,4536000000.00
2017-04-01,4603000000.00
2017-05-01,4738000000.00
2017-06-01,4611000000.00
2017-07-01,4646000000.00
2017-08-01,4799000000.00
2017-09-01,4547000000.00
2017-10-01,4685000000.00
2017-11-01,4777000000.00
2017-12-01,4396000000.00
2018-01-01,4580000000.00
2018-02-01,4751000000.00
2018-03-01,4513000000.00
2018-04-01,4698000000.00
