Date,UDAPUO
2013-12-01,71314000000.00
2014-01-01,70719000000.00
2014-02-01,71091000000.00
2014-03-01,70093000000.00
2014-04-01,69242000000.00
2014-05-01,68671000000.00
2014-06-01,71377000000.00
2014-07-01,70672000000.00
2014-08-01,68870000000.00
2014-09-01,67699000000.00
2014-10-01,68842000000.00
2014-11-01,68520000000.00
2014-12-01,69756000000.00
2015-01-01,69630000000.00
2015-02-01,66912000000.00
2015-03-01,66480000000.00
2015-04-01,65937000000.00
2015-05-01,64386000000.00
2015-06-01,64699000000.00
2015-07-01,63358000000.00
2015-08-01,61477000000.00
2015-09-01,62872000000.00
2015-10-01,63647000000.00
2015-11-01,66526000000.00
2015-12-01,66070000000.00
2016-01-01,67069000000.00
2016-02-01,66367000000.00
2016-03-01,67631000000.00
2016-04-01,69898000000.00
2016-05-01,68437000000.00
2016-06-01,69107000000.00
2016-07-01,69140000000.00
2016-08-01,69111000000.00
2016-09-01,67561000000.00
2016-10-01,67985000000.00
2016-11-01,71538000000.00
2016-12-01,71796000000.00
2017-01-01,72941000000.00
2017-02-01,72160000000.00
2017-03-01,73090000000.00
2017-04-01,75015000000.00
2017-05-01,73979000000.00
2017-06-01,73746000000.00
2017-07-01,74795000000.00
2017-08-01,73578000000.00
2017-09-01,72530000000.00
2017-10-01,71285000000.00
2017-11-01,70245000000.00
2017-12-01,72494000000.00
2018-01-01,71845000000.00
2018-02-01,70456000000.00
2018-03-01,70167000000.00
2018-04-01,69932000000.00
2018-05-01,69797000000.00
