Date,CCLACBM027NBOG
2012-06-01,605489500000.00
2012-07-01,603659700000.00
2012-08-01,608446100000.00
2012-09-01,608145200000.00
2012-10-01,606242100000.00
2012-11-01,609713900000.00
2012-12-01,625714400000.00
2013-01-01,620587000000.00
2013-02-01,608716900000.00
2013-03-01,600585200000.00
2013-04-01,603255200000.00
2013-05-01,606815800000.00
2013-06-01,611487200000.00
2013-07-01,608470700000.00
2013-08-01,612171700000.00
2013-09-01,612651100000.00
2013-10-01,612223800000.00
2013-11-01,607145100000.00
2013-12-01,619183400000.00
2014-01-01,613589100000.00
2014-02-01,602240100000.00
2014-03-01,592310800000.00
2014-04-01,597643600000.00
2014-05-01,603246900000.00
2014-06-01,607750500000.00
2014-07-01,609841300000.00
2014-08-01,615586300000.00
2014-09-01,618195100000.00
2014-10-01,617221600000.00
2014-11-01,623403800000.00
2014-12-01,643826500000.00
2015-01-01,639683500000.00
2015-02-01,626209500000.00
2015-03-01,615006800000.00
2015-04-01,622819000000.00
2015-05-01,627400700000.00
2015-06-01,633417200000.00
2015-07-01,637725500000.00
2015-08-01,645146000000.00
2015-09-01,649718600000.00
2015-10-01,652077100000.00
2015-11-01,658569500000.00
2015-12-01,681521600000.00
2016-01-01,679398800000.00
2016-02-01,664445600000.00
2016-03-01,657595400000.00
2016-04-01,664619400000.00
2016-05-01,669743100000.00
2016-06-01,683420900000.00
2016-07-01,693359400000.00
2016-08-01,699764300000.00
2016-09-01,703553400000.00
2016-10-01,704330000000.00
2016-11-01,711278500000.00
2016-12-01,736938400000.00
2017-01-01,730122000000.00
2017-02-01,715540500000.00
2017-03-01,702401100000.00
2017-04-01,707785400000.00
2017-05-01,711272000000.00
2017-06-01,720299900000.00
2017-07-01,724679600000.00
2017-08-01,729944200000.00
2017-09-01,736867200000.00
2017-10-01,747157600000.00
2017-11-01,764977000000.00
2017-12-01,790804700000.00
2018-01-01,783691000000.00
2018-02-01,767791000000.00
2018-03-01,755461100000.00
2018-04-01,773551000000.00
2018-05-01,778714300000.00
