Date,UBTPVS
2011-03-01,20429000000.00
2011-04-01,17703000000.00
2011-05-01,18302000000.00
2011-06-01,18597000000.00
2011-07-01,15216000000.00
2011-08-01,19633000000.00
2011-09-01,18941000000.00
2011-10-01,19419000000.00
2011-11-01,18126000000.00
2011-12-01,16912000000.00
2012-01-01,18426000000.00
2012-02-01,20269000000.00
2012-03-01,21904000000.00
2012-04-01,20400000000.00
2012-05-01,22088000000.00
2012-06-01,21784000000.00
2012-07-01,17616000000.00
2012-08-01,22645000000.00
2012-09-01,20303000000.00
2012-10-01,22967000000.00
2012-11-01,21252000000.00
2012-12-01,18033000000.00
2013-01-01,19484000000.00
2013-02-01,20980000000.00
2013-03-01,22634000000.00
2013-04-01,22859000000.00
2013-05-01,23344000000.00
2013-06-01,22424000000.00
2013-07-01,18547000000.00
2013-08-01,23509000000.00
2013-09-01,22468000000.00
2013-10-01,24485000000.00
2013-11-01,22299000000.00
2013-12-01,19159000000.00
2014-01-01,21118000000.00
2014-02-01,23349000000.00
2014-03-01,24967000000.00
2014-04-01,24057000000.00
2014-05-01,24871000000.00
2014-06-01,24729000000.00
2014-07-01,22451000000.00
2014-08-01,24902000000.00
2014-09-01,24797000000.00
2014-10-01,26923000000.00
2014-11-01,22739000000.00
2014-12-01,22192000000.00
2015-01-01,22663000000.00
2015-02-01,24113000000.00
2015-03-01,27713000000.00
2015-04-01,26156000000.00
2015-05-01,25295000000.00
2015-06-01,26649000000.00
2015-07-01,23091000000.00
2015-08-01,26356000000.00
2015-09-01,26019000000.00
2015-10-01,26528000000.00
2015-11-01,23724000000.00
2015-12-01,22448000000.00
2016-01-01,22761000000.00
2016-02-01,26505000000.00
2016-03-01,27786000000.00
2016-04-01,25845000000.00
2016-05-01,25485000000.00
2016-06-01,26874000000.00
2016-07-01,21110000000.00
2016-08-01,26913000000.00
2016-09-01,26724000000.00
2016-10-01,25896000000.00
2016-11-01,24379000000.00
2016-12-01,22509000000.00
2017-01-01,23358000000.00
2017-02-01,25603000000.00
2017-03-01,28302000000.00
2017-04-01,25209000000.00
2017-05-01,27223000000.00
2017-06-01,27770000000.00
2017-07-01,21249000000.00
2017-08-01,27894000000.00
2017-09-01,25712000000.00
2017-10-01,26934000000.00
2017-11-01,25081000000.00
2017-12-01,22112000000.00
2018-01-01,24659000000.00
2018-02-01,26459000000.00
2018-03-01,28548000000.00
2018-04-01,27056000000.00
