Date,UCOGNO
2000-02-01,123721000000.00
2000-03-01,130705000000.00
2000-04-01,122507000000.00
2000-05-01,126775000000.00
2000-06-01,131099000000.00
2000-07-01,112571000000.00
2000-08-01,127280000000.00
2000-09-01,132277000000.00
2000-10-01,131913000000.00
2000-11-01,127703000000.00
2000-12-01,120288000000.00
2001-01-01,117049000000.00
2001-02-01,120472000000.00
2001-03-01,127591000000.00
2001-04-01,120133000000.00
2001-05-01,129243000000.00
2001-06-01,125316000000.00
2001-07-01,111259000000.00
2001-08-01,131307000000.00
2001-09-01,124721000000.00
2001-10-01,128475000000.00
2001-11-01,123389000000.00
2001-12-01,118246000000.00
2002-01-01,115866000000.00
2002-02-01,115811000000.00
2002-03-01,124008000000.00
2002-04-01,122009000000.00
2002-05-01,127527000000.00
2002-06-01,126072000000.00
2002-07-01,113319000000.00
2002-08-01,129893000000.00
2002-09-01,131747000000.00
2002-10-01,136277000000.00
2002-11-01,127542000000.00
2002-12-01,124035000000.00
2003-01-01,123855000000.00
2003-02-01,125304000000.00
2003-03-01,136322000000.00
2003-04-01,126251000000.00
2003-05-01,131103000000.00
2003-06-01,133798000000.00
2003-07-01,124218000000.00
2003-08-01,135573000000.00
2003-09-01,140004000000.00
2003-10-01,143986000000.00
2003-11-01,132893000000.00
2003-12-01,131722000000.00
2004-01-01,126509000000.00
2004-02-01,131645000000.00
2004-03-01,145958000000.00
2004-04-01,136595000000.00
2004-05-01,141333000000.00
2004-06-01,145681000000.00
2004-07-01,129720000000.00
2004-08-01,148073000000.00
2004-09-01,147715000000.00
2004-10-01,152815000000.00
2004-11-01,150373000000.00
2004-12-01,145148000000.00
2005-01-01,138054000000.00
2005-02-01,142089000000.00
2005-03-01,158187000000.00
2005-04-01,151918000000.00
2005-05-01,158570000000.00
2005-06-01,162219000000.00
2005-07-01,147908000000.00
2005-08-01,171551000000.00
2005-09-01,171526000000.00
2005-10-01,170397000000.00
2005-11-01,162503000000.00
2005-12-01,159099000000.00
2006-01-01,154859000000.00
2006-02-01,151865000000.00
2006-03-01,171268000000.00
2006-04-01,160655000000.00
2006-05-01,177235000000.00
2006-06-01,175729000000.00
2006-07-01,159575000000.00
2006-08-01,177496000000.00
2006-09-01,162281000000.00
2006-10-01,164983000000.00
2006-11-01,161390000000.00
2006-12-01,161829000000.00
2007-01-01,152804000000.00
2007-02-01,154866000000.00
2007-03-01,173367000000.00
2007-04-01,168003000000.00
2007-05-01,182736000000.00
2007-06-01,181030000000.00
2007-07-01,169193000000.00
2007-08-01,184738000000.00
2007-09-01,177998000000.00
2007-10-01,189933000000.00
2007-11-01,188644000000.00
2007-12-01,182472000000.00
2008-01-01,177638000000.00
2008-02-01,179969000000.00
2008-03-01,189996000000.00
2008-04-01,196025000000.00
2008-05-01,207994000000.00
2008-06-01,210987000000.00
2008-07-01,205143000000.00
2008-08-01,205449000000.00
2008-09-01,191340000000.00
2008-10-01,183630000000.00
2008-11-01,157265000000.00
2008-12-01,147288000000.00
2009-01-01,140092000000.00
2009-02-01,139037000000.00
2009-03-01,148160000000.00
2009-04-01,145343000000.00
2009-05-01,151032000000.00
2009-06-01,159166000000.00
2009-07-01,150836000000.00
2009-08-01,161241000000.00
2009-09-01,160915000000.00
2009-10-01,166678000000.00
2009-11-01,161942000000.00
2009-12-01,164251000000.00
2010-01-01,155909000000.00
2010-02-01,152901000000.00
2010-03-01,174844000000.00
2010-04-01,168891000000.00
2010-05-01,170639000000.00
2010-06-01,173489000000.00
2010-07-01,165501000000.00
2010-08-01,177034000000.00
2010-09-01,176622000000.00
2010-10-01,180978000000.00
2010-11-01,178443000000.00
2010-12-01,183314000000.00
2011-01-01,177290000000.00
2011-02-01,177177000000.00
2011-03-01,206784000000.00
2011-04-01,199286000000.00
2011-05-01,202445000000.00
2011-06-01,204740000000.00
2011-07-01,195891000000.00
2011-08-01,207128000000.00
2011-09-01,202095000000.00
2011-10-01,204135000000.00
2011-11-01,200638000000.00
2011-12-01,196108000000.00
2012-01-01,189228000000.00
2012-02-01,195476000000.00
2012-03-01,210434000000.00
2012-04-01,202293000000.00
2012-05-01,210289000000.00
2012-06-01,199661000000.00
2012-07-01,194993000000.00
2012-08-01,213294000000.00
2012-09-01,206727000000.00
2012-10-01,213863000000.00
2012-11-01,203330000000.00
2012-12-01,197891000000.00
2013-01-01,196625000000.00
2013-02-01,198219000000.00
2013-03-01,210530000000.00
2013-04-01,204013000000.00
2013-05-01,212449000000.00
2013-06-01,205693000000.00
2013-07-01,206202000000.00
2013-08-01,217543000000.00
2013-09-01,211368000000.00
2013-10-01,218153000000.00
2013-11-01,209133000000.00
2013-12-01,206455000000.00
2014-01-01,199686000000.00
2014-02-01,199684000000.00
2014-03-01,216871000000.00
2014-04-01,215049000000.00
2014-05-01,219318000000.00
2014-06-01,215911000000.00
2014-07-01,208594000000.00
2014-08-01,215998000000.00
2014-09-01,213425000000.00
2014-10-01,213178000000.00
2014-11-01,197418000000.00
2014-12-01,192544000000.00
2015-01-01,174499000000.00
2015-02-01,177249000000.00
2015-03-01,197641000000.00
2015-04-01,192063000000.00
2015-05-01,195049000000.00
2015-06-01,198758000000.00
2015-07-01,186317000000.00
2015-08-01,191628000000.00
2015-09-01,192284000000.00
2015-10-01,191024000000.00
2015-11-01,181146000000.00
2015-12-01,178769000000.00
2016-01-01,164311000000.00
2016-02-01,171442000000.00
2016-03-01,186444000000.00
2016-04-01,178115000000.00
2016-05-01,183478000000.00
2016-06-01,188969000000.00
2016-07-01,172512000000.00
2016-08-01,189555000000.00
2016-09-01,188591000000.00
2016-10-01,188438000000.00
2016-11-01,183694000000.00
2016-12-01,189008000000.00
2017-01-01,179779000000.00
2017-02-01,178854000000.00
2017-03-01,197649000000.00
2017-04-01,187624000000.00
2017-05-01,197034000000.00
2017-06-01,195819000000.00
2017-07-01,183289000000.00
2017-08-01,203662000000.00
2017-09-01,199943000000.00
2017-10-01,205310000000.00
2017-11-01,203682000000.00
2017-12-01,198713000000.00
2018-01-01,195830000000.00
2018-02-01,192795000000.00
2018-03-01,213592000000.00
2018-04-01,207473000000.00
