Date,UDEFTI
2003-06-01,14956000000.00
2003-07-01,14884000000.00
2003-08-01,15034000000.00
2003-09-01,14881000000.00
2003-10-01,15064000000.00
2003-11-01,15217000000.00
2003-12-01,15691000000.00
2004-01-01,15670000000.00
2004-02-01,16094000000.00
2004-03-01,15969000000.00
2004-04-01,16163000000.00
2004-05-01,16498000000.00
2004-06-01,16957000000.00
2004-07-01,16882000000.00
2004-08-01,17036000000.00
2004-09-01,17312000000.00
2004-10-01,17634000000.00
2004-11-01,18306000000.00
2004-12-01,18585000000.00
2005-01-01,18536000000.00
2005-02-01,18434000000.00
2005-03-01,17552000000.00
2005-04-01,17401000000.00
2005-05-01,17303000000.00
2005-06-01,16776000000.00
2005-07-01,17072000000.00
2005-08-01,16660000000.00
2005-09-01,16682000000.00
2005-10-01,16670000000.00
2005-11-01,16647000000.00
2005-12-01,16459000000.00
2006-01-01,16101000000.00
2006-02-01,16315000000.00
2006-03-01,16515000000.00
2006-04-01,16535000000.00
2006-05-01,16665000000.00
2006-06-01,16528000000.00
2006-07-01,16894000000.00
2006-08-01,17057000000.00
2006-09-01,17220000000.00
2006-10-01,17243000000.00
2006-11-01,17373000000.00
2006-12-01,16953000000.00
2007-01-01,17659000000.00
2007-02-01,17583000000.00
2007-03-01,17357000000.00
2007-04-01,17825000000.00
2007-05-01,17582000000.00
2007-06-01,17632000000.00
2007-07-01,17727000000.00
2007-08-01,17619000000.00
2007-09-01,17923000000.00
2007-10-01,18137000000.00
2007-11-01,18293000000.00
2007-12-01,18787000000.00
2008-01-01,18564000000.00
2008-02-01,18674000000.00
2008-03-01,18445000000.00
2008-04-01,18577000000.00
2008-05-01,18160000000.00
2008-06-01,17715000000.00
2008-07-01,17535000000.00
2008-08-01,17069000000.00
2008-09-01,16632000000.00
2008-10-01,16680000000.00
2008-11-01,16758000000.00
2008-12-01,16360000000.00
2009-01-01,17322000000.00
2009-02-01,17391000000.00
2009-03-01,17730000000.00
2009-04-01,18056000000.00
2009-05-01,18231000000.00
2009-06-01,18084000000.00
2009-07-01,18443000000.00
2009-08-01,18478000000.00
2009-09-01,18570000000.00
2009-10-01,19298000000.00
2009-11-01,19795000000.00
2009-12-01,19761000000.00
2010-01-01,20547000000.00
2010-02-01,20673000000.00
2010-03-01,20716000000.00
2010-04-01,20270000000.00
2010-05-01,19988000000.00
2010-06-01,19996000000.00
2010-07-01,20094000000.00
2010-08-01,19895000000.00
2010-09-01,19711000000.00
2010-10-01,20013000000.00
2010-11-01,20642000000.00
2010-12-01,20518000000.00
2011-01-01,20696000000.00
2011-02-01,20574000000.00
2011-03-01,21553000000.00
2011-04-01,21129000000.00
2011-05-01,21328000000.00
2011-06-01,20615000000.00
2011-07-01,20709000000.00
2011-08-01,20602000000.00
2011-09-01,19921000000.00
2011-10-01,20200000000.00
2011-11-01,20439000000.00
2011-12-01,20005000000.00
2012-01-01,20093000000.00
2012-02-01,20095000000.00
2012-03-01,19829000000.00
2012-04-01,20007000000.00
2012-05-01,20037000000.00
2012-06-01,19820000000.00
2012-07-01,20275000000.00
2012-08-01,20381000000.00
2012-09-01,19827000000.00
2012-10-01,19760000000.00
2012-11-01,20472000000.00
2012-12-01,20308000000.00
2013-01-01,20484000000.00
2013-02-01,20914000000.00
2013-03-01,20509000000.00
2013-04-01,20570000000.00
2013-05-01,20315000000.00
2013-06-01,20628000000.00
2013-07-01,20575000000.00
2013-08-01,19383000000.00
2013-09-01,19920000000.00
2013-10-01,19789000000.00
2013-11-01,19534000000.00
2013-12-01,19832000000.00
2014-01-01,19614000000.00
2014-02-01,20310000000.00
2014-03-01,20432000000.00
2014-04-01,19986000000.00
2014-05-01,19831000000.00
2014-06-01,20167000000.00
2014-07-01,19969000000.00
2014-08-01,19806000000.00
2014-09-01,19447000000.00
2014-10-01,19558000000.00
2014-11-01,19792000000.00
2014-12-01,19571000000.00
2015-01-01,19590000000.00
2015-02-01,20240000000.00
2015-03-01,20121000000.00
2015-04-01,20715000000.00
2015-05-01,21042000000.00
2015-06-01,22101000000.00
2015-07-01,22094000000.00
2015-08-01,22620000000.00
2015-09-01,21918000000.00
2015-10-01,21092000000.00
2015-11-01,20850000000.00
2015-12-01,20614000000.00
2016-01-01,21547000000.00
2016-02-01,21115000000.00
2016-03-01,20752000000.00
2016-04-01,20909000000.00
2016-05-01,21003000000.00
2016-06-01,20482000000.00
2016-07-01,21413000000.00
2016-08-01,20860000000.00
2016-09-01,20777000000.00
2016-10-01,21023000000.00
2016-11-01,20857000000.00
2016-12-01,20595000000.00
2017-01-01,20939000000.00
2017-02-01,21316000000.00
2017-03-01,21114000000.00
2017-04-01,21767000000.00
2017-05-01,21859000000.00
2017-06-01,21820000000.00
2017-07-01,22618000000.00
2017-08-01,22728000000.00
2017-09-01,22561000000.00
2017-10-01,22675000000.00
2017-11-01,22300000000.00
2017-12-01,22510000000.00
2018-01-01,22359000000.00
2018-02-01,22575000000.00
2018-03-01,22641000000.00
2018-04-01,22288000000.00
2018-05-01,22491000000.00
