Date,RTWVDAL684NMFRBDAL
1999-03-01,110.19
1999-04-01,109.87
1999-05-01,109.43
1999-06-01,110.43
1999-07-01,111.00
1999-08-01,109.74
1999-09-01,109.29
1999-10-01,108.60
1999-11-01,109.30
1999-12-01,109.33
2000-01-01,109.10
2000-02-01,110.85
2000-03-01,111.86
2000-04-01,112.70
2000-05-01,115.47
2000-06-01,113.77
2000-07-01,113.99
2000-08-01,114.96
2000-09-01,116.80
2000-10-01,118.63
2000-11-01,119.20
2000-12-01,117.03
2001-01-01,116.58
2001-02-01,117.92
2001-03-01,119.96
2001-04-01,120.76
2001-05-01,120.81
2001-06-01,121.85
2001-07-01,121.83
2001-08-01,119.68
2001-09-01,120.29
2001-10-01,120.86
2001-11-01,121.74
2001-12-01,121.12
2002-01-01,122.32
2002-02-01,123.01
2002-03-01,122.51
2002-04-01,121.96
2002-05-01,119.68
2002-06-01,117.55
2002-07-01,115.60
2002-08-01,117.24
2002-09-01,117.82
2002-10-01,118.60
2002-11-01,117.07
2002-12-01,115.59
2003-01-01,113.61
2003-02-01,113.57
2003-03-01,113.40
2003-04-01,112.38
2003-05-01,107.86
2003-06-01,107.30
2003-07-01,108.86
2003-08-01,110.31
2003-09-01,109.26
2003-10-01,106.65
2003-11-01,106.09
2003-12-01,103.62
2004-01-01,102.14
2004-02-01,102.75
2004-03-01,104.04
2004-04-01,104.89
2004-05-01,107.04
2004-06-01,106.10
2004-07-01,104.59
2004-08-01,104.42
2004-09-01,103.86
2004-10-01,102.30
2004-11-01,99.23
2004-12-01,97.43
2005-01-01,98.29
2005-02-01,98.61
2005-03-01,98.19
2005-04-01,99.64
2005-05-01,100.14
2005-06-01,101.21
2005-07-01,101.60
2005-08-01,100.46
2005-09-01,101.10
2005-10-01,102.36
2005-11-01,102.44
2005-12-01,101.07
2006-01-01,100.13
2006-02-01,100.45
2006-03-01,100.88
2006-04-01,100.29
2006-05-01,98.07
2006-06-01,99.46
2006-07-01,99.29
2006-08-01,98.32
2006-09-01,98.41
2006-10-01,98.43
2006-11-01,97.05
2006-12-01,95.77
2007-01-01,97.15
2007-02-01,96.78
2007-03-01,96.78
2007-04-01,95.21
2007-05-01,94.57
2007-06-01,94.25
2007-07-01,92.39
2007-08-01,92.81
2007-09-01,91.36
2007-10-01,88.96
2007-11-01,87.63
2007-12-01,88.44
2008-01-01,88.26
2008-02-01,87.30
2008-03-01,85.76
2008-04-01,85.46
2008-05-01,85.82
2008-06-01,86.33
2008-07-01,85.59
2008-08-01,87.98
2008-09-01,90.85
2008-10-01,98.10
2008-11-01,99.63
2008-12-01,97.36
2009-01-01,98.61
2009-02-01,101.55
2009-03-01,101.99
2009-04-01,99.19
2009-05-01,95.59
2009-06-01,94.27
2009-07-01,93.53
2009-08-01,91.94
2009-09-01,91.19
2009-10-01,89.65
2009-11-01,89.21
2009-12-01,89.52
2010-01-01,89.65
2010-02-01,90.79
2010-03-01,90.16
2010-04-01,89.46
2010-05-01,92.57
2010-06-01,93.27
2010-07-01,91.39
2010-08-01,90.52
2010-09-01,89.80
2010-10-01,87.10
2010-11-01,87.21
2010-12-01,87.87
2011-01-01,86.88
2011-02-01,86.07
2011-03-01,85.70
2011-04-01,84.27
2011-05-01,84.66
2011-06-01,84.64
2011-07-01,83.76
2011-08-01,84.52
2011-09-01,87.26
2011-10-01,88.11
2011-11-01,88.37
2011-12-01,89.00
2012-01-01,88.66
2012-02-01,86.87
2012-03-01,87.64
2012-04-01,88.00
2012-05-01,89.65
2012-06-01,91.05
2012-07-01,90.07
2012-08-01,89.23
2012-09-01,88.31
2012-10-01,88.17
2012-11-01,88.47
2012-12-01,87.38
2013-01-01,87.14
2013-02-01,87.75
2013-03-01,88.87
2013-04-01,88.23
2013-05-01,88.67
2013-06-01,89.76
2013-07-01,89.94
2013-08-01,89.70
2013-09-01,89.57
2013-10-01,88.63
2013-11-01,89.17
2013-12-01,89.21
2014-01-01,90.28
2014-02-01,90.35
2014-03-01,90.57
2014-04-01,89.91
2014-05-01,89.67
2014-06-01,89.71
2014-07-01,89.05
2014-08-01,89.75
2014-09-01,91.15
2014-10-01,92.40
2014-11-01,93.21
2014-12-01,94.62
2015-01-01,96.90
2015-02-01,98.12
2015-03-01,100.53
2015-04-01,99.87
2015-05-01,99.21
2015-06-01,100.12
2015-07-01,101.69
2015-08-01,103.21
2015-09-01,104.41
2015-10-01,103.67
2015-11-01,105.02
2015-12-01,105.97
2016-01-01,108.52
2016-02-01,106.90
2016-03-01,104.96
2016-04-01,103.40
2016-05-01,104.80
2016-06-01,105.54
2016-07-01,105.65
2016-08-01,104.72
2016-09-01,105.94
2016-10-01,107.17
2016-11-01,109.24
2016-12-01,110.38
2017-01-01,110.23
2017-02-01,108.68
2017-03-01,108.39
2017-04-01,107.62
2017-05-01,107.37
2017-06-01,105.65
2017-07-01,103.00
2017-08-01,101.68
2017-09-01,101.26
2017-10-01,103.34
2017-11-01,103.72
2017-12-01,103.04
2018-01-01,100.95
2018-02-01,100.00
2018-03-01,101.04
