Date,IPG2211A2N
1973-07-01,49.32
1973-08-01,51.09
1973-09-01,50.08
1973-10-01,47.08
1973-11-01,47.88
1973-12-01,49.80
1974-01-01,53.82
1974-02-01,51.66
1974-03-01,49.80
1974-04-01,46.83
1974-05-01,45.42
1974-06-01,47.11
1974-07-01,50.71
1974-08-01,51.74
1974-09-01,48.67
1974-10-01,47.12
1974-11-01,47.75
1974-12-01,52.94
1975-01-01,55.70
1975-02-01,54.41
1975-03-01,52.14
1975-04-01,49.34
1975-05-01,46.11
1975-06-01,47.38
1975-07-01,50.53
1975-08-01,52.26
1975-09-01,49.43
1975-10-01,46.75
1975-11-01,47.80
1975-12-01,54.41
1976-01-01,60.61
1976-02-01,56.93
1976-03-01,52.92
1976-04-01,48.72
1976-05-01,46.68
1976-06-01,49.25
1976-07-01,52.02
1976-08-01,53.38
1976-09-01,51.10
1976-10-01,49.14
1976-11-01,53.26
1976-12-01,60.82
1977-01-01,66.11
1977-02-01,61.36
1977-03-01,54.99
1977-04-01,50.51
1977-05-01,49.32
1977-06-01,52.31
1977-07-01,55.76
1977-08-01,55.93
1977-09-01,53.23
1977-10-01,50.74
1977-11-01,51.90
1977-12-01,59.58
1978-01-01,65.47
1978-02-01,64.46
1978-03-01,58.73
1978-04-01,51.41
1978-05-01,49.99
1978-06-01,53.20
1978-07-01,55.52
1978-08-01,57.51
1978-09-01,55.06
1978-10-01,52.20
1978-11-01,54.05
1978-12-01,60.76
1979-01-01,68.71
1979-02-01,68.12
1979-03-01,61.37
1979-04-01,55.27
1979-05-01,51.40
1979-06-01,53.25
1979-07-01,55.44
1979-08-01,57.65
1979-09-01,54.23
1979-10-01,52.76
1979-11-01,54.65
1979-12-01,60.09
1980-01-01,65.38
1980-02-01,64.77
1980-03-01,60.88
1980-04-01,53.11
1980-05-01,49.80
1980-06-01,52.43
1980-07-01,58.53
1980-08-01,60.41
1980-09-01,57.74
1980-10-01,54.76
1980-11-01,56.46
1980-12-01,63.44
1981-01-01,69.27
1981-02-01,63.63
1981-03-01,60.10
1981-04-01,54.14
1981-05-01,52.25
1981-06-01,56.49
1981-07-01,60.62
1981-08-01,60.65
1981-09-01,56.37
1981-10-01,54.68
1981-11-01,55.72
1981-12-01,63.43
1982-01-01,70.67
1982-02-01,64.27
1982-03-01,59.78
1982-04-01,54.11
1982-05-01,49.86
1982-06-01,52.71
1982-07-01,56.64
1982-08-01,57.19
1982-09-01,54.00
1982-10-01,51.70
1982-11-01,54.07
1982-12-01,58.77
1983-01-01,65.96
1983-02-01,59.16
1983-03-01,57.31
1983-04-01,52.97
1983-05-01,49.17
1983-06-01,51.71
1983-07-01,57.93
1983-08-01,61.59
1983-09-01,57.81
1983-10-01,53.78
1983-11-01,55.80
1983-12-01,65.63
1984-01-01,73.27
1984-02-01,66.25
1984-03-01,63.28
1984-04-01,57.45
1984-05-01,55.15
1984-06-01,57.93
1984-07-01,60.68
1984-08-01,62.36
1984-09-01,58.08
1984-10-01,54.72
1984-11-01,57.17
1984-12-01,63.35
1985-01-01,72.68
1985-02-01,70.85
1985-03-01,62.62
1985-04-01,57.61
1985-05-01,55.45
1985-06-01,58.22
1985-07-01,62.76
1985-08-01,63.39
1985-09-01,60.75
1985-10-01,56.46
1985-11-01,58.14
1985-12-01,68.88
1986-01-01,73.50
1986-02-01,68.16
1986-03-01,62.39
1986-04-01,57.19
1986-05-01,55.96
1986-06-01,60.03
1986-07-01,65.91
1986-08-01,64.65
1986-09-01,61.17
1986-10-01,57.70
1986-11-01,59.50
1986-12-01,68.33
1987-01-01,74.02
1987-02-01,70.25
1987-03-01,65.80
1987-04-01,60.32
1987-05-01,59.02
1987-06-01,64.03
1987-07-01,69.03
1987-08-01,70.24
1987-09-01,64.30
1987-10-01,60.54
1987-11-01,62.62
1987-12-01,70.77
1988-01-01,80.08
1988-02-01,76.36
1988-03-01,70.50
1988-04-01,63.42
1988-05-01,61.58
1988-06-01,67.27
1988-07-01,73.17
1988-08-01,75.95
1988-09-01,67.72
1988-10-01,63.46
1988-11-01,65.27
1988-12-01,74.05
1989-01-01,78.14
1989-02-01,76.85
1989-03-01,73.54
1989-04-01,65.27
1989-05-01,63.86
1989-06-01,68.66
1989-07-01,74.25
1989-08-01,75.27
1989-09-01,69.51
1989-10-01,66.06
1989-11-01,69.26
1989-12-01,84.40
1990-01-01,84.64
1990-02-01,77.42
1990-03-01,73.42
1990-04-01,67.46
1990-05-01,66.01
1990-06-01,71.65
1990-07-01,76.84
1990-08-01,77.33
1990-09-01,73.28
1990-10-01,67.62
1990-11-01,68.77
1990-12-01,77.92
1991-01-01,86.29
1991-02-01,77.80
1991-03-01,73.61
1991-04-01,67.35
1991-05-01,69.02
1991-06-01,75.08
1991-07-01,80.35
1991-08-01,79.41
1991-09-01,73.81
1991-10-01,68.96
1991-11-01,72.72
1991-12-01,79.74
1992-01-01,85.56
1992-02-01,80.42
1992-03-01,74.74
1992-04-01,69.84
1992-05-01,67.38
1992-06-01,71.42
1992-07-01,77.73
1992-08-01,76.78
1992-09-01,72.57
1992-10-01,69.24
1992-11-01,73.72
1992-12-01,84.78
1993-01-01,88.23
1993-02-01,84.79
1993-03-01,79.69
1993-04-01,71.27
1993-05-01,67.91
1993-06-01,74.55
1993-07-01,82.34
1993-08-01,82.29
1993-09-01,74.83
1993-10-01,69.88
1993-11-01,74.63
1993-12-01,84.47
1994-01-01,94.40
1994-02-01,87.41
1994-03-01,79.48
1994-04-01,71.18
1994-05-01,69.59
1994-06-01,78.20
1994-07-01,83.53
1994-08-01,82.13
1994-09-01,75.92
1994-10-01,71.48
1994-11-01,75.48
1994-12-01,85.08
1995-01-01,92.74
1995-02-01,87.67
1995-03-01,81.52
1995-04-01,74.05
1995-05-01,73.50
1995-06-01,78.55
1995-07-01,86.24
1995-08-01,89.81
1995-09-01,78.74
1995-10-01,73.94
1995-11-01,79.89
1995-12-01,91.09
1996-01-01,99.27
1996-02-01,93.17
1996-03-01,87.21
1996-04-01,77.47
1996-05-01,76.93
1996-06-01,82.20
1996-07-01,86.23
1996-08-01,86.82
1996-09-01,79.44
1996-10-01,74.91
1996-11-01,81.30
1996-12-01,90.75
1997-01-01,98.75
1997-02-01,90.05
1997-03-01,83.27
1997-04-01,76.38
1997-05-01,74.08
1997-06-01,80.01
1997-07-01,88.72
1997-08-01,88.05
1997-09-01,82.18
1997-10-01,77.73
1997-11-01,82.28
1997-12-01,92.36
1998-01-01,95.07
1998-02-01,88.08
1998-03-01,86.81
1998-04-01,76.98
1998-05-01,78.27
1998-06-01,86.71
1998-07-01,94.11
1998-08-01,93.80
1998-09-01,87.79
1998-10-01,80.33
1998-11-01,81.67
1998-12-01,91.96
1999-01-01,102.45
1999-02-01,91.47
1999-03-01,91.02
1999-04-01,80.75
1999-05-01,79.64
1999-06-01,88.12
1999-07-01,97.78
1999-08-01,96.70
1999-09-01,87.49
1999-10-01,80.86
1999-11-01,82.44
1999-12-01,94.77
2000-01-01,102.50
2000-02-01,94.52
2000-03-01,88.35
2000-04-01,81.67
2000-05-01,84.72
2000-06-01,91.33
2000-07-01,96.30
2000-08-01,99.67
2000-09-01,90.95
2000-10-01,83.38
2000-11-01,88.25
2000-12-01,102.69
2001-01-01,109.34
2001-02-01,97.40
2001-03-01,93.06
2001-04-01,83.13
2001-05-01,82.78
2001-06-01,90.66
2001-07-01,96.33
2001-08-01,99.81
2001-09-01,88.51
2001-10-01,82.90
2001-11-01,83.15
2001-12-01,93.28
2002-01-01,103.26
2002-02-01,95.46
2002-03-01,93.51
2002-04-01,86.05
2002-05-01,85.50
2002-06-01,93.49
2002-07-01,102.69
2002-08-01,101.91
2002-09-01,93.56
2002-10-01,87.13
2002-11-01,88.80
2002-12-01,101.04
2003-01-01,110.43
2003-02-01,104.08
2003-03-01,94.80
2003-04-01,85.31
2003-05-01,85.74
2003-06-01,91.37
2003-07-01,102.52
2003-08-01,104.77
2003-09-01,93.18
2003-10-01,86.75
2003-11-01,88.83
2003-12-01,103.82
2004-01-01,114.00
2004-02-01,106.44
2004-03-01,95.66
2004-04-01,86.98
2004-05-01,89.32
2004-06-01,95.81
2004-07-01,102.10
2004-08-01,100.50
2004-09-01,94.30
2004-10-01,87.77
2004-11-01,89.83
2004-12-01,105.98
2005-01-01,111.45
2005-02-01,101.95
2005-03-01,99.23
2005-04-01,86.68
2005-05-01,87.38
2005-06-01,99.74
2005-07-01,108.80
2005-08-01,109.99
2005-09-01,99.56
2005-10-01,90.17
2005-11-01,90.63
2005-12-01,108.50
2006-01-01,104.81
2006-02-01,101.63
2006-03-01,98.69
2006-04-01,87.70
2006-05-01,90.24
2006-06-01,100.78
2006-07-01,111.37
2006-08-01,111.99
2006-09-01,96.12
2006-10-01,90.69
2006-11-01,92.59
2006-12-01,103.37
2007-01-01,112.39
2007-02-01,112.13
2007-03-01,99.47
2007-04-01,91.05
2007-05-01,92.30
2007-06-01,101.26
2007-07-01,107.94
2007-08-01,114.50
2007-09-01,101.86
2007-10-01,93.28
2007-11-01,94.15
2007-12-01,107.04
2008-01-01,115.17
2008-02-01,108.52
2008-03-01,100.71
2008-04-01,91.21
2008-05-01,91.44
2008-06-01,104.18
2008-07-01,111.08
2008-08-01,107.89
2008-09-01,98.01
2008-10-01,91.24
2008-11-01,94.03
2008-12-01,109.66
2009-01-01,117.10
2009-02-01,104.66
2009-03-01,98.00
2009-04-01,88.32
2009-05-01,87.73
2009-06-01,97.55
2009-07-01,104.17
2009-08-01,106.00
2009-09-01,95.09
2009-10-01,89.38
2009-11-01,89.46
2009-12-01,110.88
2010-01-01,119.25
2010-02-01,110.75
2010-03-01,98.34
2010-04-01,86.26
2010-05-01,90.85
2010-06-01,104.48
2010-07-01,113.14
2010-08-01,113.26
2010-09-01,100.34
2010-10-01,89.06
2010-11-01,92.83
2010-12-01,114.54
2011-01-01,119.75
2011-02-01,107.49
2011-03-01,99.18
2011-04-01,89.36
2011-05-01,90.09
2011-06-01,102.93
2011-07-01,114.93
2011-08-01,113.77
2011-09-01,99.58
2011-10-01,90.33
2011-11-01,93.75
2011-12-01,107.33
2012-01-01,111.84
2012-02-01,103.35
2012-03-01,93.41
2012-04-01,87.46
2012-05-01,92.77
2012-06-01,101.25
2012-07-01,113.39
2012-08-01,110.17
2012-09-01,96.90
2012-10-01,90.26
2012-11-01,94.20
2012-12-01,105.01
2013-01-01,115.22
2013-02-01,106.44
2013-03-01,102.66
2013-04-01,90.60
2013-05-01,90.69
2013-06-01,100.66
2013-07-01,110.35
2013-08-01,108.42
2013-09-01,99.35
2013-10-01,91.68
2013-11-01,97.00
2013-12-01,113.38
2014-01-01,124.06
2014-02-01,112.72
2014-03-01,104.45
2014-04-01,89.83
2014-05-01,91.88
2014-06-01,101.66
2014-07-01,108.64
2014-08-01,108.39
2014-09-01,100.41
2014-10-01,92.11
2014-11-01,99.06
2014-12-01,108.90
2015-01-01,119.83
2015-02-01,116.03
2015-03-01,103.93
2015-04-01,89.08
2015-05-01,90.64
2015-06-01,102.85
2015-07-01,111.97
2015-08-01,110.78
2015-09-01,101.84
2015-10-01,91.07
2015-11-01,92.36
2015-12-01,102.54
2016-01-01,117.21
2016-02-01,106.25
2016-03-01,94.47
2016-04-01,88.38
2016-05-01,89.62
2016-06-01,103.50
2016-07-01,114.21
2016-08-01,115.48
2016-09-01,102.18
2016-10-01,90.69
2016-11-01,92.27
2016-12-01,113.26
2017-01-01,115.11
2017-02-01,98.79
2017-03-01,100.38
2017-04-01,86.52
2017-05-01,90.23
2017-06-01,100.55
2017-07-01,111.22
2017-08-01,108.03
2017-09-01,97.25
2017-10-01,92.02
2017-11-01,96.48
2017-12-01,115.12
2018-01-01,127.68
2018-02-01,107.01
2018-03-01,103.26
2018-04-01,91.01
2018-05-01,93.99
