Date,UCOGTI
1999-10-01,124388000000.00
1999-11-01,124442000000.00
1999-12-01,121984000000.00
2000-01-01,124893000000.00
2000-02-01,126640000000.00
2000-03-01,125747000000.00
2000-04-01,127987000000.00
2000-05-01,128027000000.00
2000-06-01,127746000000.00
2000-07-01,129826000000.00
2000-08-01,130812000000.00
2000-09-01,131668000000.00
2000-10-01,133709000000.00
2000-11-01,132460000000.00
2000-12-01,128148000000.00
2001-01-01,131386000000.00
2001-02-01,129767000000.00
2001-03-01,127877000000.00
2001-04-01,128378000000.00
2001-05-01,128120000000.00
2001-06-01,125787000000.00
2001-07-01,126017000000.00
2001-08-01,125609000000.00
2001-09-01,125669000000.00
2001-10-01,125697000000.00
2001-11-01,123089000000.00
2001-12-01,118835000000.00
2002-01-01,120224000000.00
2002-02-01,119808000000.00
2002-03-01,119057000000.00
2002-04-01,120741000000.00
2002-05-01,121018000000.00
2002-06-01,120603000000.00
2002-07-01,122622000000.00
2002-08-01,123950000000.00
2002-09-01,125957000000.00
2002-10-01,127404000000.00
2002-11-01,125765000000.00
2002-12-01,121561000000.00
2003-01-01,124088000000.00
2003-02-01,126781000000.00
2003-03-01,124395000000.00
2003-04-01,125701000000.00
2003-05-01,125354000000.00
2003-06-01,124341000000.00
2003-07-01,125717000000.00
2003-08-01,126970000000.00
2003-09-01,127158000000.00
2003-10-01,129108000000.00
2003-11-01,126786000000.00
2003-12-01,121435000000.00
2004-01-01,124446000000.00
2004-02-01,126923000000.00
2004-03-01,126718000000.00
2004-04-01,128876000000.00
2004-05-01,130710000000.00
2004-06-01,130742000000.00
2004-07-01,133027000000.00
2004-08-01,134336000000.00
2004-09-01,134509000000.00
2004-10-01,136872000000.00
2004-11-01,135644000000.00
2004-12-01,129626000000.00
2005-01-01,134271000000.00
2005-02-01,135914000000.00
2005-03-01,135954000000.00
2005-04-01,138521000000.00
2005-05-01,137696000000.00
2005-06-01,138137000000.00
2005-07-01,141615000000.00
2005-08-01,143387000000.00
2005-09-01,144074000000.00
2005-10-01,148025000000.00
2005-11-01,144712000000.00
2005-12-01,139719000000.00
2006-01-01,145147000000.00
2006-02-01,145616000000.00
2006-03-01,145682000000.00
2006-04-01,149329000000.00
2006-05-01,151625000000.00
2006-06-01,151728000000.00
2006-07-01,154577000000.00
2006-08-01,155861000000.00
2006-09-01,155207000000.00
2006-10-01,156245000000.00
2006-11-01,154399000000.00
2006-12-01,148080000000.00
2007-01-01,150827000000.00
2007-02-01,153070000000.00
2007-03-01,153370000000.00
2007-04-01,157078000000.00
2007-05-01,161033000000.00
2007-06-01,162217000000.00
2007-07-01,164442000000.00
2007-08-01,164723000000.00
2007-09-01,169219000000.00
2007-10-01,171420000000.00
2007-11-01,170889000000.00
2007-12-01,165753000000.00
2008-01-01,174134000000.00
2008-02-01,175627000000.00
2008-03-01,177704000000.00
2008-04-01,176718000000.00
2008-05-01,178541000000.00
2008-06-01,183061000000.00
2008-07-01,183120000000.00
2008-08-01,183245000000.00
2008-09-01,178230000000.00
2008-10-01,173238000000.00
2008-11-01,165488000000.00
2008-12-01,150207000000.00
2009-01-01,152215000000.00
2009-02-01,150491000000.00
2009-03-01,151292000000.00
2009-04-01,151212000000.00
2009-05-01,153463000000.00
2009-06-01,152922000000.00
2009-07-01,154254000000.00
2009-08-01,156617000000.00
2009-09-01,154335000000.00
2009-10-01,158687000000.00
2009-11-01,157742000000.00
2009-12-01,153643000000.00
2010-01-01,156397000000.00
2010-02-01,160396000000.00
2010-03-01,160625000000.00
2010-04-01,161354000000.00
2010-05-01,158939000000.00
2010-06-01,157088000000.00
2010-07-01,160774000000.00
2010-08-01,162055000000.00
2010-09-01,164038000000.00
2010-10-01,169687000000.00
2010-11-01,169963000000.00
2010-12-01,168854000000.00
2011-01-01,174174000000.00
2011-02-01,177173000000.00
2011-03-01,179008000000.00
2011-04-01,184737000000.00
2011-05-01,185369000000.00
2011-06-01,182067000000.00
2011-07-01,184403000000.00
2011-08-01,183698000000.00
2011-09-01,182435000000.00
2011-10-01,189253000000.00
2011-11-01,187371000000.00
2011-12-01,181842000000.00
2012-01-01,186786000000.00
2012-02-01,189301000000.00
2012-03-01,189203000000.00
2012-04-01,189054000000.00
2012-05-01,187107000000.00
2012-06-01,183809000000.00
2012-07-01,186591000000.00
2012-08-01,188482000000.00
2012-09-01,192990000000.00
2012-10-01,194599000000.00
2012-11-01,190814000000.00
2012-12-01,185641000000.00
2013-01-01,190352000000.00
2013-02-01,191583000000.00
2013-03-01,192196000000.00
2013-04-01,192139000000.00
2013-05-01,191709000000.00
2013-06-01,188023000000.00
2013-07-01,191475000000.00
2013-08-01,194236000000.00
2013-09-01,195014000000.00
2013-10-01,198125000000.00
2013-11-01,194316000000.00
2013-12-01,187270000000.00
2014-01-01,193168000000.00
2014-02-01,196967000000.00
2014-03-01,196331000000.00
2014-04-01,198046000000.00
2014-05-01,198662000000.00
2014-06-01,195690000000.00
2014-07-01,196830000000.00
2014-08-01,196605000000.00
2014-09-01,197023000000.00
2014-10-01,197548000000.00
2014-11-01,193285000000.00
2014-12-01,181213000000.00
2015-01-01,182576000000.00
2015-02-01,183423000000.00
2015-03-01,183814000000.00
2015-04-01,185457000000.00
2015-05-01,187878000000.00
2015-06-01,187164000000.00
2015-07-01,188272000000.00
2015-08-01,188128000000.00
2015-09-01,187658000000.00
2015-10-01,192865000000.00
2015-11-01,189098000000.00
2015-12-01,179476000000.00
2016-01-01,181737000000.00
2016-02-01,181310000000.00
2016-03-01,181436000000.00
2016-04-01,183815000000.00
2016-05-01,185307000000.00
2016-06-01,185802000000.00
2016-07-01,186568000000.00
2016-08-01,188292000000.00
2016-09-01,187332000000.00
2016-10-01,191350000000.00
2016-11-01,189998000000.00
2016-12-01,185274000000.00
2017-01-01,190316000000.00
2017-02-01,190560000000.00
2017-03-01,188590000000.00
2017-04-01,190538000000.00
2017-05-01,189682000000.00
2017-06-01,186848000000.00
2017-07-01,190458000000.00
2017-08-01,191925000000.00
2017-09-01,194163000000.00
2017-10-01,198184000000.00
2017-11-01,197356000000.00
2017-12-01,193144000000.00
2018-01-01,199100000000.00
2018-02-01,199518000000.00
2018-03-01,198275000000.00
2018-04-01,200775000000.00
