Date,RTWVDGA684NMFRBDAL
1998-03-01,108.77
1998-04-01,108.92
1998-05-01,109.39
1998-06-01,111.06
1998-07-01,111.71
1998-08-01,113.56
1998-09-01,111.80
1998-10-01,109.56
1998-11-01,109.70
1998-12-01,108.98
1999-01-01,109.09
1999-02-01,110.67
1999-03-01,112.05
1999-04-01,111.44
1999-05-01,110.93
1999-06-01,111.83
1999-07-01,112.47
1999-08-01,111.31
1999-09-01,110.63
1999-10-01,110.07
1999-11-01,110.55
1999-12-01,110.28
2000-01-01,110.06
2000-02-01,111.77
2000-03-01,112.63
2000-04-01,113.30
2000-05-01,115.89
2000-06-01,114.44
2000-07-01,114.78
2000-08-01,115.55
2000-09-01,117.14
2000-10-01,119.01
2000-11-01,119.82
2000-12-01,118.09
2001-01-01,118.23
2001-02-01,119.40
2001-03-01,121.54
2001-04-01,122.18
2001-05-01,122.03
2001-06-01,122.77
2001-07-01,123.05
2001-08-01,121.42
2001-09-01,122.39
2001-10-01,123.03
2001-11-01,123.80
2001-12-01,123.20
2002-01-01,124.43
2002-02-01,125.07
2002-03-01,124.54
2002-04-01,123.94
2002-05-01,122.15
2002-06-01,120.75
2002-07-01,119.33
2002-08-01,120.84
2002-09-01,121.54
2002-10-01,122.42
2002-11-01,120.93
2002-12-01,119.81
2003-01-01,117.99
2003-02-01,117.96
2003-03-01,117.41
2003-04-01,116.32
2003-05-01,111.78
2003-06-01,111.14
2003-07-01,112.67
2003-08-01,113.98
2003-09-01,112.49
2003-10-01,109.77
2003-11-01,109.10
2003-12-01,107.17
2004-01-01,105.59
2004-02-01,106.48
2004-03-01,107.89
2004-04-01,108.80
2004-05-01,111.18
2004-06-01,110.17
2004-07-01,108.65
2004-08-01,108.50
2004-09-01,107.86
2004-10-01,106.15
2004-11-01,102.90
2004-12-01,101.51
2005-01-01,102.38
2005-02-01,102.75
2005-03-01,102.34
2005-04-01,103.87
2005-05-01,104.39
2005-06-01,105.27
2005-07-01,105.66
2005-08-01,104.39
2005-09-01,104.90
2005-10-01,106.19
2005-11-01,106.29
2005-12-01,104.88
2006-01-01,104.05
2006-02-01,104.17
2006-03-01,104.77
2006-04-01,104.28
2006-05-01,102.05
2006-06-01,103.38
2006-07-01,103.37
2006-08-01,102.36
2006-09-01,102.32
2006-10-01,102.34
2006-11-01,101.30
2006-12-01,100.59
2007-01-01,101.90
2007-02-01,101.58
2007-03-01,101.65
2007-04-01,100.15
2007-05-01,99.46
2007-06-01,99.04
2007-07-01,97.23
2007-08-01,97.45
2007-09-01,96.07
2007-10-01,93.62
2007-11-01,92.40
2007-12-01,93.30
2008-01-01,92.59
2008-02-01,91.37
2008-03-01,89.52
2008-04-01,89.01
2008-05-01,89.82
2008-06-01,90.08
2008-07-01,89.22
2008-08-01,91.06
2008-09-01,94.07
2008-10-01,99.54
2008-11-01,100.89
2008-12-01,98.51
2009-01-01,99.48
2009-02-01,101.96
2009-03-01,102.77
2009-04-01,100.06
2009-05-01,96.77
2009-06-01,95.71
2009-07-01,94.91
2009-08-01,93.36
2009-09-01,92.82
2009-10-01,91.40
2009-11-01,90.77
2009-12-01,90.96
2010-01-01,90.84
2010-02-01,91.84
2010-03-01,91.20
2010-04-01,90.38
2010-05-01,93.10
2010-06-01,93.60
2010-07-01,91.95
2010-08-01,91.03
2010-09-01,90.27
2010-10-01,87.69
2010-11-01,87.70
2010-12-01,88.32
2011-01-01,87.31
2011-02-01,86.64
2011-03-01,86.43
2011-04-01,85.11
2011-05-01,85.39
2011-06-01,85.43
2011-07-01,84.46
2011-08-01,85.30
2011-09-01,87.76
2011-10-01,88.49
2011-11-01,88.66
2011-12-01,89.17
2012-01-01,88.51
2012-02-01,86.82
2012-03-01,87.63
2012-04-01,87.70
2012-05-01,89.30
2012-06-01,90.57
2012-07-01,89.44
2012-08-01,88.65
2012-09-01,87.93
2012-10-01,87.75
2012-11-01,87.92
2012-12-01,86.97
2013-01-01,86.83
2013-02-01,87.54
2013-03-01,88.69
2013-04-01,88.17
2013-05-01,88.69
2013-06-01,89.71
2013-07-01,90.03
2013-08-01,89.88
2013-09-01,89.70
2013-10-01,88.61
2013-11-01,89.17
2013-12-01,89.40
2014-01-01,90.51
2014-02-01,90.56
2014-03-01,90.68
2014-04-01,89.88
2014-05-01,89.66
2014-06-01,89.77
2014-07-01,89.24
2014-08-01,90.02
2014-09-01,91.39
2014-10-01,92.65
2014-11-01,93.67
2014-12-01,95.11
2015-01-01,97.12
2015-02-01,98.58
2015-03-01,100.98
2015-04-01,100.24
2015-05-01,99.56
2015-06-01,100.66
2015-07-01,102.36
2015-08-01,104.04
2015-09-01,105.19
2015-10-01,104.15
2015-11-01,105.24
2015-12-01,105.92
2016-01-01,108.32
2016-02-01,106.87
2016-03-01,104.77
2016-04-01,103.21
2016-05-01,104.52
2016-06-01,104.91
2016-07-01,104.99
2016-08-01,104.10
2016-09-01,105.10
2016-10-01,106.16
2016-11-01,108.74
2016-12-01,110.21
2017-01-01,110.15
2017-02-01,108.67
2017-03-01,108.47
2017-04-01,107.68
2017-05-01,107.50
2017-06-01,106.12
2017-07-01,103.82
2017-08-01,102.72
2017-09-01,102.22
2017-10-01,104.02
2017-11-01,104.34
2017-12-01,103.74
2018-01-01,101.73
2018-02-01,101.18
2018-03-01,102.11
