Date,U33ETI
2013-05-01,5661000000.00
2013-06-01,5624000000.00
2013-07-01,5642000000.00
2013-08-01,5708000000.00
2013-09-01,5743000000.00
2013-10-01,5753000000.00
2013-11-01,5598000000.00
2013-12-01,5717000000.00
2014-01-01,5583000000.00
2014-02-01,5964000000.00
2014-03-01,6069000000.00
2014-04-01,5953000000.00
2014-05-01,6219000000.00
2014-06-01,6206000000.00
2014-07-01,6229000000.00
2014-08-01,6317000000.00
2014-09-01,6399000000.00
2014-10-01,6382000000.00
2014-11-01,6382000000.00
2014-12-01,6142000000.00
2015-01-01,6315000000.00
2015-02-01,6588000000.00
2015-03-01,6692000000.00
2015-04-01,6479000000.00
2015-05-01,6637000000.00
2015-06-01,6619000000.00
2015-07-01,6640000000.00
2015-08-01,6966000000.00
2015-09-01,6965000000.00
2015-10-01,7051000000.00
2015-11-01,7275000000.00
2015-12-01,7237000000.00
2016-01-01,7219000000.00
2016-02-01,7341000000.00
2016-03-01,7425000000.00
2016-04-01,7248000000.00
2016-05-01,7395000000.00
2016-06-01,7407000000.00
2016-07-01,7373000000.00
2016-08-01,7562000000.00
2016-09-01,7571000000.00
2016-10-01,7446000000.00
2016-11-01,7690000000.00
2016-12-01,7470000000.00
2017-01-01,7540000000.00
2017-02-01,7766000000.00
2017-03-01,7883000000.00
2017-04-01,7582000000.00
2017-05-01,7821000000.00
2017-06-01,7856000000.00
2017-07-01,7937000000.00
2017-08-01,8006000000.00
2017-09-01,8215000000.00
2017-10-01,7900000000.00
2017-11-01,8135000000.00
2017-12-01,7942000000.00
2018-01-01,7931000000.00
2018-02-01,8270000000.00
2018-03-01,8457000000.00
2018-04-01,8171000000.00
