Date,U34DVS
2000-11-01,9461000000.00
2000-12-01,13903000000.00
2001-01-01,8093000000.00
2001-02-01,8639000000.00
2001-03-01,11208000000.00
2001-04-01,7695000000.00
2001-05-01,7997000000.00
2001-06-01,10026000000.00
2001-07-01,6847000000.00
2001-08-01,6910000000.00
2001-09-01,8499000000.00
2001-10-01,6494000000.00
2001-11-01,6352000000.00
2001-12-01,9198000000.00
2002-01-01,4483000000.00
2002-02-01,5179000000.00
2002-03-01,6389000000.00
2002-04-01,4927000000.00
2002-05-01,4981000000.00
2002-06-01,6071000000.00
2002-07-01,4160000000.00
2002-08-01,4444000000.00
2002-09-01,5749000000.00
2002-10-01,3995000000.00
2002-11-01,5002000000.00
2002-12-01,6057000000.00
2003-01-01,3620000000.00
2003-02-01,4042000000.00
2003-03-01,5526000000.00
2003-04-01,3752000000.00
2003-05-01,4046000000.00
2003-06-01,5787000000.00
2003-07-01,3961000000.00
2003-08-01,4384000000.00
2003-09-01,5721000000.00
2003-10-01,4486000000.00
2003-11-01,4991000000.00
2003-12-01,6769000000.00
2004-01-01,3977000000.00
2004-02-01,4325000000.00
2004-03-01,5625000000.00
2004-04-01,4438000000.00
2004-05-01,4722000000.00
2004-06-01,5395000000.00
2004-07-01,3884000000.00
2004-08-01,4713000000.00
2004-09-01,5213000000.00
2004-10-01,4202000000.00
2004-11-01,4771000000.00
2004-12-01,5628000000.00
2005-01-01,3742000000.00
2005-02-01,3791000000.00
2005-03-01,5540000000.00
2005-04-01,3531000000.00
2005-05-01,4331000000.00
2005-06-01,5244000000.00
2005-07-01,3712000000.00
2005-08-01,4361000000.00
2005-09-01,5369000000.00
2005-10-01,4394000000.00
2005-11-01,4441000000.00
2005-12-01,5994000000.00
2006-01-01,4320000000.00
2006-02-01,4740000000.00
2006-03-01,6272000000.00
2006-04-01,4806000000.00
2006-05-01,5190000000.00
2006-06-01,6529000000.00
2006-07-01,4078000000.00
2006-08-01,5020000000.00
2006-09-01,6630000000.00
2006-10-01,5154000000.00
2006-11-01,5357000000.00
2006-12-01,6024000000.00
2007-01-01,3909000000.00
2007-02-01,4596000000.00
2007-03-01,5910000000.00
2007-04-01,4440000000.00
2007-05-01,4701000000.00
2007-06-01,6068000000.00
2007-07-01,4000000000.00
2007-08-01,4696000000.00
2007-09-01,6262000000.00
2007-10-01,4184000000.00
2007-11-01,4589000000.00
2007-12-01,6241000000.00
2008-01-01,3310000000.00
2008-02-01,3749000000.00
2008-03-01,4981000000.00
2008-04-01,3327000000.00
2008-05-01,3772000000.00
2008-06-01,5157000000.00
2008-07-01,3260000000.00
2008-08-01,3493000000.00
2008-09-01,4830000000.00
2008-10-01,3013000000.00
2008-11-01,3956000000.00
2008-12-01,4623000000.00
2009-01-01,2325000000.00
2009-02-01,2527000000.00
2009-03-01,3711000000.00
2009-04-01,2438000000.00
2009-05-01,2699000000.00
2009-06-01,4239000000.00
2009-07-01,2881000000.00
2009-08-01,3191000000.00
2009-09-01,4029000000.00
2009-10-01,2963000000.00
2009-11-01,3387000000.00
2009-12-01,3958000000.00
2010-01-01,2372000000.00
2010-02-01,2476000000.00
2010-03-01,3867000000.00
2010-04-01,2581000000.00
2010-05-01,2991000000.00
2010-06-01,3726000000.00
2010-07-01,2664000000.00
2010-08-01,3015000000.00
2010-09-01,3654000000.00
2010-10-01,2728000000.00
2010-11-01,3517000000.00
2010-12-01,3967000000.00
2011-01-01,2537000000.00
2011-02-01,2739000000.00
2011-03-01,3490000000.00
2011-04-01,2790000000.00
2011-05-01,3001000000.00
2011-06-01,3597000000.00
2011-07-01,2766000000.00
2011-08-01,3050000000.00
2011-09-01,3839000000.00
2011-10-01,2757000000.00
2011-11-01,3084000000.00
2011-12-01,4111000000.00
2012-01-01,2472000000.00
2012-02-01,2889000000.00
2012-03-01,3652000000.00
2012-04-01,2711000000.00
2012-05-01,3016000000.00
2012-06-01,3721000000.00
2012-07-01,2727000000.00
2012-08-01,3008000000.00
2012-09-01,3644000000.00
2012-10-01,3016000000.00
2012-11-01,3107000000.00
2012-12-01,4170000000.00
2013-01-01,2683000000.00
2013-02-01,2947000000.00
2013-03-01,3939000000.00
2013-04-01,2875000000.00
2013-05-01,3349000000.00
2013-06-01,4019000000.00
2013-07-01,2904000000.00
2013-08-01,3262000000.00
2013-09-01,3912000000.00
2013-10-01,2986000000.00
2013-11-01,2955000000.00
2013-12-01,3807000000.00
2014-01-01,2616000000.00
2014-02-01,2542000000.00
2014-03-01,3595000000.00
2014-04-01,2596000000.00
2014-05-01,2851000000.00
2014-06-01,3685000000.00
2014-07-01,2509000000.00
2014-08-01,2841000000.00
2014-09-01,3527000000.00
2014-10-01,2553000000.00
2014-11-01,2352000000.00
2014-12-01,3528000000.00
2015-01-01,2259000000.00
2015-02-01,2376000000.00
2015-03-01,3407000000.00
2015-04-01,2555000000.00
2015-05-01,2694000000.00
2015-06-01,3616000000.00
2015-07-01,2479000000.00
2015-08-01,2719000000.00
2015-09-01,3425000000.00
2015-10-01,2487000000.00
2015-11-01,2625000000.00
2015-12-01,3527000000.00
2016-01-01,2074000000.00
2016-02-01,2316000000.00
2016-03-01,3131000000.00
2016-04-01,2317000000.00
2016-05-01,2603000000.00
2016-06-01,3529000000.00
2016-07-01,2369000000.00
2016-08-01,2668000000.00
2016-09-01,3477000000.00
2016-10-01,2440000000.00
2016-11-01,2543000000.00
2016-12-01,3628000000.00
2017-01-01,2202000000.00
2017-02-01,2263000000.00
2017-03-01,3321000000.00
2017-04-01,2395000000.00
2017-05-01,2705000000.00
2017-06-01,3561000000.00
2017-07-01,2489000000.00
2017-08-01,2644000000.00
2017-09-01,3627000000.00
2017-10-01,2781000000.00
2017-11-01,2860000000.00
2017-12-01,4098000000.00
2018-01-01,2490000000.00
2018-02-01,2443000000.00
2018-03-01,3645000000.00
2018-04-01,2840000000.00
