Date,CPIEHOUSE
1994-06-01,151.50
1994-07-01,152.00
1994-08-01,152.60
1994-09-01,152.30
1994-10-01,152.30
1994-11-01,152.10
1994-12-01,151.90
1995-01-01,153.20
1995-02-01,153.90
1995-03-01,154.40
1995-04-01,154.60
1995-05-01,154.70
1995-06-01,155.60
1995-07-01,156.40
1995-08-01,156.80
1995-09-01,156.60
1995-10-01,156.70
1995-11-01,156.50
1995-12-01,156.70
1996-01-01,158.00
1996-02-01,158.80
1996-03-01,159.40
1996-04-01,159.40
1996-05-01,159.60
1996-06-01,160.20
1996-07-01,161.30
1996-08-01,161.70
1996-09-01,161.30
1996-10-01,161.50
1996-11-01,161.40
1996-12-01,161.60
1997-01-01,162.90
1997-02-01,163.80
1997-03-01,164.10
1997-04-01,163.90
1997-05-01,163.70
1997-06-01,164.80
1997-07-01,165.60
1997-08-01,165.70
1997-09-01,165.40
1997-10-01,165.60
1997-11-01,165.60
1997-12-01,165.60
1998-01-01,166.30
1998-02-01,166.90
1998-03-01,167.30
1998-04-01,167.60
1998-05-01,167.70
1998-06-01,168.60
1998-07-01,169.30
1998-08-01,169.60
1998-09-01,169.50
1998-10-01,169.40
1998-11-01,169.30
1998-12-01,169.20
1999-01-01,169.80
1999-02-01,170.40
1999-03-01,171.00
1999-04-01,171.30
1999-05-01,171.40
1999-06-01,172.50
1999-07-01,173.20
1999-08-01,173.50
1999-09-01,173.70
1999-10-01,173.40
1999-11-01,173.30
1999-12-01,173.20
2000-01-01,174.40
2000-02-01,175.90
2000-03-01,176.60
2000-04-01,176.70
2000-05-01,176.80
2000-06-01,178.60
2000-07-01,179.60
2000-08-01,179.90
2000-09-01,180.30
2000-10-01,180.60
2000-11-01,180.50
2000-12-01,180.70
2001-01-01,183.10
2001-02-01,183.90
2001-03-01,184.70
2001-04-01,184.60
2001-05-01,185.10
2001-06-01,186.60
2001-07-01,186.80
2001-08-01,187.20
2001-09-01,186.40
2001-10-01,185.60
2001-11-01,185.70
2001-12-01,185.50
2002-01-01,186.50
2002-02-01,187.60
2002-03-01,188.40
2002-04-01,188.70
2002-05-01,188.90
2002-06-01,190.00
2002-07-01,190.50
2002-08-01,191.00
2002-09-01,190.70
2002-10-01,190.70
2002-11-01,190.50
2002-12-01,190.30
2003-01-01,191.60
2003-02-01,192.80
2003-03-01,194.10
2003-04-01,193.70
2003-05-01,194.10
2003-06-01,194.90
2003-07-01,195.70
2003-08-01,195.80
2003-09-01,195.40
2003-10-01,195.50
2003-11-01,194.70
2003-12-01,194.70
2004-01-01,196.20
2004-02-01,197.00
2004-03-01,198.50
2004-04-01,199.20
2004-05-01,199.60
2004-06-01,201.30
2004-07-01,202.10
2004-08-01,202.40
2004-09-01,201.90
2004-10-01,201.90
2004-11-01,201.40
2004-12-01,201.20
2005-01-01,202.50
2005-02-01,203.80
2005-03-01,206.10
2005-04-01,206.30
2005-05-01,205.90
2005-06-01,207.10
2005-07-01,208.60
2005-08-01,208.80
2005-09-01,208.30
2005-10-01,210.30
2005-11-01,210.10
2005-12-01,209.60
2006-01-01,211.50
2006-02-01,212.10
2006-03-01,213.00
2006-04-01,213.40
2006-05-01,213.90
2006-06-01,215.40
2006-07-01,216.40
2006-08-01,217.00
2006-09-01,216.80
2006-10-01,216.20
2006-11-01,216.30
2006-12-01,216.50
2007-01-01,218.09
2007-02-01,219.36
2007-03-01,220.39
2007-04-01,221.00
2007-05-01,221.24
2007-06-01,223.01
2007-07-01,223.67
2007-08-01,223.52
2007-09-01,223.20
2007-10-01,223.10
2007-11-01,223.19
2007-12-01,223.37
2008-01-01,224.93
2008-02-01,226.00
2008-03-01,227.85
2008-04-01,228.25
2008-05-01,229.12
2008-06-01,231.40
2008-07-01,233.33
2008-08-01,232.55
2008-09-01,231.13
2008-10-01,230.08
2008-11-01,228.75
2008-12-01,228.07
2009-01-01,229.18
2009-02-01,229.55
2009-03-01,229.92
2009-04-01,229.53
2009-05-01,229.15
2009-06-01,230.39
2009-07-01,230.54
2009-08-01,230.11
2009-09-01,229.27
2009-10-01,228.81
2009-11-01,227.72
2009-12-01,227.37
2010-01-01,227.85
2010-02-01,227.76
2010-03-01,227.92
2010-04-01,227.75
2010-05-01,227.92
2010-06-01,228.62
2010-07-01,228.94
2010-08-01,228.87
2010-09-01,228.49
2010-10-01,228.07
2010-11-01,227.74
2010-12-01,228.12
2011-01-01,228.80
2011-02-01,229.38
2011-03-01,229.89
2011-04-01,230.09
2011-05-01,230.68
2011-06-01,231.72
2011-07-01,232.40
2011-08-01,232.65
2011-09-01,232.68
2011-10-01,232.30
2011-11-01,232.14
2011-12-01,232.29
2012-01-01,232.97
2012-02-01,233.25
2012-03-01,233.69
2012-04-01,233.94
2012-05-01,234.16
2012-06-01,235.22
2012-07-01,235.55
2012-08-01,235.98
2012-09-01,236.22
2012-10-01,236.02
2012-11-01,236.17
2012-12-01,236.40
2013-01-01,237.14
2013-02-01,237.75
2013-03-01,238.00
2013-04-01,238.32
2013-05-01,239.20
2013-06-01,240.42
2013-07-01,240.79
2013-08-01,240.95
2013-09-01,241.23
2013-10-01,240.81
2013-11-01,240.98
2013-12-01,241.48
2014-01-01,242.96
2014-02-01,243.66
2014-03-01,244.73
2014-04-01,244.44
2014-05-01,245.51
2014-06-01,246.65
2014-07-01,247.26
2014-08-01,247.37
2014-09-01,247.46
2014-10-01,247.27
2014-11-01,247.16
2014-12-01,247.44
2015-01-01,248.29
2015-02-01,248.87
2015-03-01,249.34
2015-04-01,249.73
2015-05-01,250.16
2015-06-01,251.68
2015-07-01,252.19
2015-08-01,252.40
2015-09-01,252.72
2015-10-01,252.55
2015-11-01,252.52
2015-12-01,252.71
2016-01-01,253.63
2016-02-01,254.28
2016-03-01,254.76
2016-04-01,255.06
2016-05-01,256.16
2016-06-01,257.70
2016-07-01,258.40
2016-08-01,259.01
2016-09-01,259.68
2016-10-01,259.82
2016-11-01,259.89
2016-12-01,260.46
2017-01-01,261.65
2017-02-01,262.51
2017-03-01,262.79
2017-04-01,263.33
2017-05-01,264.18
2017-06-01,265.42
2017-07-01,265.68
2017-08-01,266.44
2017-09-01,266.84
2017-10-01,267.06
2017-11-01,267.12
2017-12-01,267.79
2018-01-01,268.91
2018-02-01,269.81
2018-03-01,270.60
2018-04-01,271.18
2018-05-01,272.10
