Date,RTWVDDE684NMFRBDAL
2010-01-01,99.17
2010-02-01,100.57
2010-03-01,100.45
2010-04-01,99.41
2010-05-01,102.51
2010-06-01,102.76
2010-07-01,100.66
2010-08-01,99.51
2010-09-01,98.87
2010-10-01,96.36
2010-11-01,96.29
2010-12-01,96.96
2011-01-01,96.10
2011-02-01,95.12
2011-03-01,94.79
2011-04-01,93.47
2011-05-01,93.81
2011-06-01,94.04
2011-07-01,93.09
2011-08-01,93.43
2011-09-01,95.88
2011-10-01,96.53
2011-11-01,96.66
2011-12-01,97.20
2012-01-01,97.26
2012-02-01,95.84
2012-03-01,96.66
2012-04-01,96.52
2012-05-01,97.68
2012-06-01,99.14
2012-07-01,98.54
2012-08-01,97.74
2012-09-01,96.53
2012-10-01,96.38
2012-11-01,96.71
2012-12-01,95.75
2013-01-01,95.69
2013-02-01,96.56
2013-03-01,98.28
2013-04-01,97.76
2013-05-01,98.14
2013-06-01,98.07
2013-07-01,98.52
2013-08-01,97.76
2013-09-01,97.36
2013-10-01,96.14
2013-11-01,96.66
2013-12-01,96.27
2014-01-01,97.17
2014-02-01,97.06
2014-03-01,97.14
2014-04-01,96.84
2014-05-01,96.97
2014-06-01,97.30
2014-07-01,96.75
2014-08-01,97.58
2014-09-01,99.34
2014-10-01,100.41
2014-11-01,101.36
2014-12-01,102.06
2015-01-01,103.79
2015-02-01,104.50
2015-03-01,106.58
2015-04-01,106.21
2015-05-01,105.37
2015-06-01,105.83
2015-07-01,106.61
2015-08-01,107.19
2015-09-01,107.74
2015-10-01,107.31
2015-11-01,108.29
2015-12-01,108.61
2016-01-01,110.57
2016-02-01,109.45
2016-03-01,108.32
2016-04-01,107.12
2016-05-01,107.50
2016-06-01,107.97
2016-07-01,109.06
2016-08-01,108.43
2016-09-01,109.05
2016-10-01,110.73
2016-11-01,111.74
2016-12-01,112.58
2017-01-01,112.57
2017-02-01,111.41
2017-03-01,111.24
2017-04-01,110.56
2017-05-01,110.24
2017-06-01,109.17
2017-07-01,107.32
2017-08-01,106.47
2017-09-01,106.07
2017-10-01,107.29
2017-11-01,107.39
2017-12-01,106.68
2018-01-01,108.64
2018-02-01,103.95
2018-03-01,105.40
