Date,RTWVDMD684NMFRBDAL
1995-08-01,95.40
1995-09-01,96.14
1995-10-01,95.65
1995-11-01,95.96
1995-12-01,96.41
1996-01-01,97.35
1996-02-01,97.36
1996-03-01,97.65
1996-04-01,97.92
1996-05-01,98.30
1996-06-01,98.45
1996-07-01,98.35
1996-08-01,97.90
1996-09-01,98.39
1996-10-01,98.80
1996-11-01,98.14
1996-12-01,99.08
1997-01-01,100.12
1997-02-01,101.87
1997-03-01,102.80
1997-04-01,103.28
1997-05-01,102.40
1997-06-01,102.45
1997-07-01,103.63
1997-08-01,105.61
1997-09-01,105.63
1997-10-01,105.98
1997-11-01,106.84
1997-12-01,110.56
1998-01-01,112.98
1998-02-01,111.87
1998-03-01,111.63
1998-04-01,111.31
1998-05-01,111.59
1998-06-01,113.35
1998-07-01,114.01
1998-08-01,115.21
1998-09-01,112.62
1998-10-01,110.32
1998-11-01,110.87
1998-12-01,110.47
1999-01-01,110.89
1999-02-01,112.68
1999-03-01,114.56
1999-04-01,114.47
1999-05-01,114.03
1999-06-01,115.17
1999-07-01,115.93
1999-08-01,114.83
1999-09-01,114.67
1999-10-01,113.94
1999-11-01,115.07
1999-12-01,115.32
2000-01-01,114.88
2000-02-01,117.02
2000-03-01,118.43
2000-04-01,119.37
2000-05-01,122.56
2000-06-01,120.60
2000-07-01,121.20
2000-08-01,122.71
2000-09-01,125.08
2000-10-01,126.98
2000-11-01,127.82
2000-12-01,125.32
2001-01-01,124.16
2001-02-01,126.00
2001-03-01,128.26
2001-04-01,129.66
2001-05-01,130.04
2001-06-01,131.50
2001-07-01,131.54
2001-08-01,129.10
2001-09-01,129.89
2001-10-01,130.49
2001-11-01,130.81
2001-12-01,129.45
2002-01-01,130.73
2002-02-01,131.47
2002-03-01,130.94
2002-04-01,130.40
2002-05-01,128.23
2002-06-01,126.30
2002-07-01,124.42
2002-08-01,126.01
2002-09-01,126.55
2002-10-01,127.66
2002-11-01,125.84
2002-12-01,124.58
2003-01-01,122.81
2003-02-01,124.41
2003-03-01,124.43
2003-04-01,123.47
2003-05-01,119.22
2003-06-01,118.48
2003-07-01,120.01
2003-08-01,121.47
2003-09-01,120.16
2003-10-01,117.30
2003-11-01,116.49
2003-12-01,114.51
2004-01-01,112.81
2004-02-01,113.58
2004-03-01,114.91
2004-04-01,115.59
2004-05-01,117.94
2004-06-01,117.27
2004-07-01,115.86
2004-08-01,115.90
2004-09-01,115.12
2004-10-01,113.68
2004-11-01,110.69
2004-12-01,109.15
2005-01-01,109.12
2005-02-01,109.56
2005-03-01,109.24
2005-04-01,110.62
2005-05-01,111.14
2005-06-01,112.25
2005-07-01,112.81
2005-08-01,111.72
2005-09-01,112.23
2005-10-01,113.46
2005-11-01,113.54
2005-12-01,112.13
2006-01-01,111.38
2006-02-01,111.75
2006-03-01,112.25
2006-04-01,111.51
2006-05-01,108.95
2006-06-01,109.91
2006-07-01,109.95
2006-08-01,108.90
2006-09-01,108.57
2006-10-01,108.21
2006-11-01,106.99
2006-12-01,106.12
2007-01-01,107.34
2007-02-01,107.12
2007-03-01,107.22
2007-04-01,105.71
2007-05-01,105.18
2007-06-01,104.83
2007-07-01,102.91
2007-08-01,103.13
2007-09-01,101.48
2007-10-01,98.84
2007-11-01,97.72
2007-12-01,98.61
2008-01-01,98.08
2008-02-01,97.09
2008-03-01,95.45
2008-04-01,94.90
2008-05-01,95.24
2008-06-01,95.90
2008-07-01,94.94
2008-08-01,97.24
2008-09-01,99.82
2008-10-01,106.59
2008-11-01,107.77
2008-12-01,105.88
2009-01-01,107.00
2009-02-01,109.36
2009-03-01,110.08
2009-04-01,107.30
2009-05-01,103.93
2009-06-01,103.09
2009-07-01,102.13
2009-08-01,100.26
2009-09-01,99.37
2009-10-01,97.91
2009-11-01,97.29
2009-12-01,97.60
2010-01-01,97.83
2010-02-01,99.14
2010-03-01,98.54
2010-04-01,97.87
2010-05-01,100.89
2010-06-01,101.65
2010-07-01,99.69
2010-08-01,98.60
2010-09-01,97.61
2010-10-01,94.82
2010-11-01,95.04
2010-12-01,95.74
2011-01-01,94.83
2011-02-01,94.16
2011-03-01,93.82
2011-04-01,92.50
2011-05-01,92.84
2011-06-01,92.74
2011-07-01,91.74
2011-08-01,92.28
2011-09-01,94.69
2011-10-01,95.40
2011-11-01,95.58
2011-12-01,96.29
2012-01-01,96.05
2012-02-01,94.57
2012-03-01,95.35
2012-04-01,95.27
2012-05-01,96.82
2012-06-01,98.07
2012-07-01,97.26
2012-08-01,96.53
2012-09-01,95.54
2012-10-01,95.17
2012-11-01,95.40
2012-12-01,94.50
2013-01-01,94.48
2013-02-01,95.29
2013-03-01,96.47
2013-04-01,96.06
2013-05-01,96.57
2013-06-01,97.49
2013-07-01,97.86
2013-08-01,97.76
2013-09-01,97.24
2013-10-01,95.98
2013-11-01,96.51
2013-12-01,96.75
2014-01-01,97.82
2014-02-01,98.02
2014-03-01,98.09
2014-04-01,97.29
2014-05-01,97.18
2014-06-01,97.20
2014-07-01,96.56
2014-08-01,97.41
2014-09-01,98.93
2014-10-01,100.06
2014-11-01,101.42
2014-12-01,103.17
2015-01-01,105.52
2015-02-01,107.05
2015-03-01,109.29
2015-04-01,108.50
2015-05-01,107.46
2015-06-01,108.44
2015-07-01,110.13
2015-08-01,111.41
2015-09-01,111.99
2015-10-01,111.00
2015-11-01,112.45
2015-12-01,112.90
2016-01-01,114.99
2016-02-01,113.42
2016-03-01,111.75
2016-04-01,110.14
2016-05-01,111.10
2016-06-01,111.46
2016-07-01,111.90
2016-08-01,110.97
2016-09-01,111.63
2016-10-01,113.02
2016-11-01,115.76
2016-12-01,117.23
2017-01-01,116.90
2017-02-01,115.29
2017-03-01,115.32
2017-04-01,114.61
2017-05-01,113.93
2017-06-01,112.65
2017-07-01,110.24
2017-08-01,108.89
2017-09-01,108.18
2017-10-01,109.63
2017-11-01,109.85
2017-12-01,109.25
2018-01-01,107.17
2018-02-01,106.72
2018-03-01,107.48
