Date,U32SNO
2014-10-01,31506000000.00
2014-11-01,27070000000.00
2014-12-01,27838000000.00
2015-01-01,27893000000.00
2015-02-01,28386000000.00
2015-03-01,30989000000.00
2015-04-01,29747000000.00
2015-05-01,29658000000.00
2015-06-01,30957000000.00
2015-07-01,29197000000.00
2015-08-01,28956000000.00
2015-09-01,29590000000.00
2015-10-01,28475000000.00
2015-11-01,25858000000.00
2015-12-01,25780000000.00
2016-01-01,26813000000.00
2016-02-01,28505000000.00
2016-03-01,29519000000.00
2016-04-01,28657000000.00
2016-05-01,29230000000.00
2016-06-01,29025000000.00
2016-07-01,26962000000.00
2016-08-01,29034000000.00
2016-09-01,27753000000.00
2016-10-01,28308000000.00
2016-11-01,26857000000.00
2016-12-01,25286000000.00
2017-01-01,27809000000.00
2017-02-01,27628000000.00
2017-03-01,32590000000.00
2017-04-01,29666000000.00
2017-05-01,32252000000.00
2017-06-01,31729000000.00
2017-07-01,29745000000.00
2017-08-01,32523000000.00
2017-09-01,31887000000.00
2017-10-01,31860000000.00
2017-11-01,30050000000.00
2017-12-01,28530000000.00
2018-01-01,31299000000.00
2018-02-01,31367000000.00
2018-03-01,34818000000.00
2018-04-01,34649000000.00
2018-05-01,35564000000.00
