Date,UMXTVS
2015-06-01,408013000000.00
2015-07-01,382867000000.00
2015-08-01,387446000000.00
2015-09-01,390088000000.00
2015-10-01,382448000000.00
2015-11-01,357134000000.00
2015-12-01,361633000000.00
2016-01-01,330458000000.00
2016-02-01,343913000000.00
2016-03-01,381538000000.00
2016-04-01,362481000000.00
2016-05-01,372965000000.00
2016-06-01,387892000000.00
2016-07-01,355772000000.00
2016-08-01,382626000000.00
2016-09-01,381177000000.00
2016-10-01,373859000000.00
2016-11-01,361311000000.00
2016-12-01,371427000000.00
2017-01-01,353250000000.00
2017-02-01,351974000000.00
2017-03-01,400192000000.00
2017-04-01,375195000000.00
2017-05-01,395660000000.00
2017-06-01,402887000000.00
2017-07-01,374646000000.00
2017-08-01,404975000000.00
2017-09-01,400359000000.00
2017-10-01,404125000000.00
2017-11-01,392455000000.00
2017-12-01,390692000000.00
2018-01-01,381559000000.00
2018-02-01,375948000000.00
2018-03-01,423257000000.00
2018-04-01,408092000000.00
