Date,UMTMTI
2012-01-01,605962000000.00
2012-02-01,613776000000.00
2012-03-01,612921000000.00
2012-04-01,617237000000.00
2012-05-01,618121000000.00
2012-06-01,609376000000.00
2012-07-01,618798000000.00
2012-08-01,622165000000.00
2012-09-01,622133000000.00
2012-10-01,625933000000.00
2012-11-01,622746000000.00
2012-12-01,607331000000.00
2013-01-01,623885000000.00
2013-02-01,630608000000.00
2013-03-01,627988000000.00
2013-04-01,632049000000.00
2013-05-01,630257000000.00
2013-06-01,621308000000.00
2013-07-01,629792000000.00
2013-08-01,632143000000.00
2013-09-01,628594000000.00
2013-10-01,632507000000.00
2013-11-01,627310000000.00
2013-12-01,611873000000.00
2014-01-01,628761000000.00
2014-02-01,640537000000.00
2014-03-01,638345000000.00
2014-04-01,644206000000.00
2014-05-01,650371000000.00
2014-06-01,641052000000.00
2014-07-01,649129000000.00
2014-08-01,650852000000.00
2014-09-01,646891000000.00
2014-10-01,648709000000.00
2014-11-01,646263000000.00
2014-12-01,623146000000.00
2015-01-01,637264000000.00
2015-02-01,643183000000.00
2015-03-01,639579000000.00
2015-04-01,644744000000.00
2015-05-01,647029000000.00
2015-06-01,642137000000.00
2015-07-01,648123000000.00
2015-08-01,646893000000.00
2015-09-01,638811000000.00
2015-10-01,642683000000.00
2015-11-01,637892000000.00
2015-12-01,619108000000.00
2016-01-01,629819000000.00
2016-02-01,632254000000.00
2016-03-01,627466000000.00
2016-04-01,631181000000.00
2016-05-01,632825000000.00
2016-06-01,623869000000.00
2016-07-01,631219000000.00
2016-08-01,632999000000.00
2016-09-01,626377000000.00
2016-10-01,631018000000.00
2016-11-01,630467000000.00
2016-12-01,615222000000.00
2017-01-01,631030000000.00
2017-02-01,637152000000.00
2017-03-01,633057000000.00
2017-04-01,639170000000.00
2017-05-01,640430000000.00
2017-06-01,632491000000.00
2017-07-01,643505000000.00
2017-08-01,646655000000.00
2017-09-01,647570000000.00
2017-10-01,654124000000.00
2017-11-01,654206000000.00
2017-12-01,642764000000.00
2018-01-01,660215000000.00
2018-02-01,667814000000.00
2018-03-01,663752000000.00
2018-04-01,670203000000.00
