Date,A939RC0Q052SBEA
1984-04-01,17007.00
1984-07-01,17271.00
1984-10-01,17483.00
1985-01-01,17827.00
1985-04-01,18064.00
1985-07-01,18404.00
1985-10-01,18602.00
1986-01-01,18829.00
1986-04-01,18951.00
1986-07-01,19172.00
1986-10-01,19332.00
1987-01-01,19570.00
1987-04-01,19881.00
1987-07-01,20157.00
1987-10-01,20608.00
1988-01-01,20845.00
1988-04-01,21281.00
1988-07-01,21599.00
1988-10-01,22006.00
1989-01-01,22427.00
1989-04-01,22786.00
1989-07-01,23059.00
1989-10-01,23205.00
1990-01-01,23664.00
1990-04-01,23926.00
1990-07-01,24061.00
1990-10-01,23951.00
1991-01-01,24003.00
1991-04-01,24277.00
1991-07-01,24485.00
1991-10-01,24641.00
1992-01-01,24965.00
1992-04-01,25317.00
1992-07-01,25590.00
1992-10-01,25932.00
1993-01-01,26051.00
1993-04-01,26285.00
1993-07-01,26482.00
1993-10-01,26889.00
1994-01-01,27212.00
1994-04-01,27640.00
1994-07-01,27863.00
1994-10-01,28248.00
1995-01-01,28431.00
1995-04-01,28575.00
1995-07-01,28863.00
1995-10-01,29122.00
1996-01-01,29399.00
1996-04-01,29941.00
1996-07-01,30204.00
1996-10-01,30581.00
1997-01-01,30923.00
1997-04-01,31385.00
1997-07-01,31792.00
1997-10-01,32045.00
1998-01-01,32332.00
1998-04-01,32625.00
1998-07-01,33072.00
1998-10-01,33618.00
1999-01-01,33970.00
1999-04-01,34271.00
1999-07-01,34718.00
1999-10-01,35376.00
2000-01-01,35659.00
2000-04-01,36448.00
2000-07-01,36629.00
2000-10-01,36937.00
2001-01-01,36978.00
2001-04-01,37349.00
2001-07-01,37255.00
2001-10-01,37377.00
2002-01-01,37759.00
2002-04-01,38024.00
2002-07-01,38283.00
2002-10-01,38421.00
2003-01-01,38777.00
2003-04-01,39175.00
2003-07-01,39952.00
2003-10-01,40515.00
2004-01-01,41023.00
2004-04-01,41592.00
2004-07-01,42124.00
2004-10-01,42680.00
2005-01-01,43443.00
2005-04-01,43892.00
2005-07-01,44562.00
2005-10-01,45043.00
2006-01-01,45842.00
2006-04-01,46245.00
2006-07-01,46489.00
2006-10-01,46896.00
2007-01-01,47348.00
2007-04-01,47869.00
2007-07-01,48234.00
2007-10-01,48494.00
2008-01-01,48332.00
2008-04-01,48701.00
2008-07-01,48681.00
2008-10-01,47609.00
2009-01-01,46970.00
2009-04-01,46732.00
2009-07-01,46767.00
2009-10-01,47250.00
2010-01-01,47527.00
2010-04-01,48110.00
2010-07-01,48559.00
2010-10-01,49016.00
2011-01-01,48961.00
2011-04-01,49592.00
2011-07-01,49896.00
2011-10-01,50432.00
2012-01-01,50950.00
2012-04-01,51337.00
2012-07-01,51573.00
2012-10-01,51692.00
2013-01-01,52179.00
2013-04-01,52305.00
2013-07-01,52858.00
2013-10-01,53540.00
2014-01-01,53549.00
2014-04-01,54366.00
2014-07-01,55198.00
2014-10-01,55440.00
2015-01-01,55783.00
2015-04-01,56370.00
2015-07-01,56675.00
2015-10-01,56745.00
2016-01-01,56771.00
2016-04-01,57335.00
2016-07-01,57813.00
2016-10-01,58244.00
2017-01-01,58620.00
2017-04-01,59114.00
2017-07-01,59767.00
2017-10-01,60427.00
2018-01-01,60961.00
