Date,UDXTNO
1998-06-01,142539000000.00
1998-07-01,115722000000.00
1998-08-01,122479000000.00
1998-09-01,138454000000.00
1998-10-01,126167000000.00
1998-11-01,124058000000.00
1998-12-01,133268000000.00
1999-01-01,114516000000.00
1999-02-01,128977000000.00
1999-03-01,142249000000.00
1999-04-01,128146000000.00
1999-05-01,127956000000.00
1999-06-01,141717000000.00
1999-07-01,123089000000.00
1999-08-01,130680000000.00
1999-09-01,145938000000.00
1999-10-01,135822000000.00
1999-11-01,131561000000.00
1999-12-01,141225000000.00
2000-01-01,127583000000.00
2000-02-01,134978000000.00
2000-03-01,152718000000.00
2000-04-01,136247000000.00
2000-05-01,137519000000.00
2000-06-01,155505000000.00
2000-07-01,126716000000.00
2000-08-01,135665000000.00
2000-09-01,150464000000.00
2000-10-01,137643000000.00
2000-11-01,132059000000.00
2000-12-01,136153000000.00
2001-01-01,122376000000.00
2001-02-01,128072000000.00
2001-03-01,136966000000.00
2001-04-01,118176000000.00
2001-05-01,126833000000.00
2001-06-01,133816000000.00
2001-07-01,112770000000.00
2001-08-01,120980000000.00
2001-09-01,123664000000.00
2001-10-01,117120000000.00
2001-11-01,113708000000.00
2001-12-01,119613000000.00
2002-01-01,105220000000.00
2002-02-01,111875000000.00
2002-03-01,122776000000.00
2002-04-01,118159000000.00
2002-05-01,121457000000.00
2002-06-01,123179000000.00
2002-07-01,110548000000.00
2002-08-01,115571000000.00
2002-09-01,122888000000.00
2002-10-01,118623000000.00
2002-11-01,111994000000.00
2002-12-01,115411000000.00
2003-01-01,108284000000.00
2003-02-01,113850000000.00
2003-03-01,125436000000.00
2003-04-01,114192000000.00
2003-05-01,116548000000.00
2003-06-01,125128000000.00
2003-07-01,111881000000.00
2003-08-01,117168000000.00
2003-09-01,129064000000.00
2003-10-01,127851000000.00
2003-11-01,118359000000.00
2003-12-01,126410000000.00
2004-01-01,114202000000.00
2004-02-01,121931000000.00
2004-03-01,144472000000.00
2004-04-01,127935000000.00
2004-05-01,127708000000.00
2004-06-01,136723000000.00
2004-07-01,120114000000.00
2004-08-01,129765000000.00
2004-09-01,140079000000.00
2004-10-01,131693000000.00
2004-11-01,129811000000.00
2004-12-01,138270000000.00
2005-01-01,126211000000.00
2005-02-01,133152000000.00
2005-03-01,149987000000.00
2005-04-01,135513000000.00
2005-05-01,137423000000.00
2005-06-01,150954000000.00
2005-07-01,126051000000.00
2005-08-01,144896000000.00
2005-09-01,152615000000.00
2005-10-01,145782000000.00
2005-11-01,141432000000.00
2005-12-01,147528000000.00
2006-01-01,140260000000.00
2006-02-01,143837000000.00
2006-03-01,167778000000.00
2006-04-01,147755000000.00
2006-05-01,156136000000.00
2006-06-01,165670000000.00
2006-07-01,143556000000.00
2006-08-01,152964000000.00
2006-09-01,161266000000.00
2006-10-01,155143000000.00
2006-11-01,146784000000.00
2006-12-01,155195000000.00
2007-01-01,144601000000.00
2007-02-01,147184000000.00
2007-03-01,168833000000.00
2007-04-01,157381000000.00
2007-05-01,160843000000.00
2007-06-01,163703000000.00
2007-07-01,150058000000.00
2007-08-01,162118000000.00
2007-09-01,162808000000.00
2007-10-01,163952000000.00
2007-11-01,152012000000.00
2007-12-01,160056000000.00
2008-01-01,154534000000.00
2008-02-01,157423000000.00
2008-03-01,174107000000.00
2008-04-01,167279000000.00
2008-05-01,165503000000.00
2008-06-01,175810000000.00
2008-07-01,159410000000.00
2008-08-01,156936000000.00
2008-09-01,162368000000.00
2008-10-01,144986000000.00
2008-11-01,126836000000.00
2008-12-01,128699000000.00
2009-01-01,106219000000.00
2009-02-01,109532000000.00
2009-03-01,123167000000.00
2009-04-01,110980000000.00
2009-05-01,111776000000.00
2009-06-01,123869000000.00
2009-07-01,115534000000.00
2009-08-01,116983000000.00
2009-09-01,129022000000.00
2009-10-01,122905000000.00
2009-11-01,114526000000.00
2009-12-01,124555000000.00
2010-01-01,115430000000.00
2010-02-01,121734000000.00
2010-03-01,147408000000.00
2010-04-01,132245000000.00
2010-05-01,136591000000.00
2010-06-01,146129000000.00
2010-07-01,130057000000.00
2010-08-01,138431000000.00
2010-09-01,146781000000.00
2010-10-01,132711000000.00
2010-11-01,134852000000.00
2010-12-01,144771000000.00
2011-01-01,131200000000.00
2011-02-01,134034000000.00
2011-03-01,160004000000.00
2011-04-01,142698000000.00
2011-05-01,147690000000.00
2011-06-01,156156000000.00
2011-07-01,140054000000.00
2011-08-01,150345000000.00
2011-09-01,156693000000.00
2011-10-01,150033000000.00
2011-11-01,142199000000.00
2011-12-01,153186000000.00
2012-01-01,141309000000.00
2012-02-01,152150000000.00
2012-03-01,167091000000.00
2012-04-01,151571000000.00
2012-05-01,154370000000.00
2012-06-01,155358000000.00
2012-07-01,138997000000.00
2012-08-01,145621000000.00
2012-09-01,147303000000.00
2012-10-01,149543000000.00
2012-11-01,139654000000.00
2012-12-01,142880000000.00
2013-01-01,141948000000.00
2013-02-01,143049000000.00
2013-03-01,156463000000.00
2013-04-01,150914000000.00
2013-05-01,154516000000.00
2013-06-01,155829000000.00
2013-07-01,143172000000.00
2013-08-01,148073000000.00
2013-09-01,153512000000.00
2013-10-01,150983000000.00
2013-11-01,140502000000.00
2013-12-01,145614000000.00
2014-01-01,142108000000.00
2014-02-01,144480000000.00
2014-03-01,164287000000.00
2014-04-01,153265000000.00
2014-05-01,154494000000.00
2014-06-01,165813000000.00
2014-07-01,149031000000.00
2014-08-01,153457000000.00
2014-09-01,164194000000.00
2014-10-01,156029000000.00
2014-11-01,137792000000.00
2014-12-01,148960000000.00
2015-01-01,138361000000.00
2015-02-01,140403000000.00
2015-03-01,159452000000.00
2015-04-01,149589000000.00
2015-05-01,145426000000.00
2015-06-01,159487000000.00
2015-07-01,142938000000.00
2015-08-01,145671000000.00
2015-09-01,152872000000.00
2015-10-01,146203000000.00
2015-11-01,135349000000.00
2015-12-01,141389000000.00
2016-01-01,131995000000.00
2016-02-01,140469000000.00
2016-03-01,154610000000.00
2016-04-01,142592000000.00
2016-05-01,143459000000.00
2016-06-01,152527000000.00
2016-07-01,135178000000.00
2016-08-01,146340000000.00
2016-09-01,149330000000.00
2016-10-01,142987000000.00
2016-11-01,137169000000.00
2016-12-01,142122000000.00
2017-01-01,136420000000.00
2017-02-01,140184000000.00
2017-03-01,163291000000.00
2017-04-01,147107000000.00
2017-05-01,155056000000.00
2017-06-01,161718000000.00
2017-07-01,144134000000.00
2017-08-01,156212000000.00
2017-09-01,160624000000.00
2017-10-01,157919000000.00
2017-11-01,149205000000.00
2017-12-01,152839000000.00
2018-01-01,147938000000.00
2018-02-01,151411000000.00
2018-03-01,172531000000.00
2018-04-01,163553000000.00
2018-05-01,167168000000.00
