Date,MTSR133FMS
2004-07-01,134415000000.00
2004-08-01,137729000000.00
2004-09-01,207351000000.00
2004-10-01,136896000000.00
2004-11-01,134547000000.00
2004-12-01,215749000000.00
2005-01-01,202217000000.00
2005-02-01,100871000000.00
2005-03-01,148759000000.00
2005-04-01,277614000000.00
2005-05-01,152731000000.00
2005-06-01,234808000000.00
2005-07-01,142092000000.00
2005-08-01,155438000000.00
2005-09-01,251628000000.00
2005-10-01,149488000000.00
2005-11-01,138840000000.00
2005-12-01,241883000000.00
2006-01-01,230010000000.00
2006-02-01,112853000000.00
2006-03-01,164563000000.00
2006-04-01,315090000000.00
2006-05-01,192657000000.00
2006-06-01,264355000000.00
2006-07-01,159761000000.00
2006-08-01,153878000000.00
2006-09-01,283298000000.00
2006-10-01,167693000000.00
2006-11-01,145866000000.00
2006-12-01,259969000000.00
2007-01-01,260609000000.00
2007-02-01,120312000000.00
2007-03-01,166490000000.00
2007-04-01,383641000000.00
2007-05-01,164239000000.00
2007-06-01,276517000000.00
2007-07-01,170439000000.00
2007-08-01,166545000000.00
2007-09-01,285354000000.00
2007-10-01,178175000000.00
2007-11-01,151055000000.00
2007-12-01,276982000000.00
2008-01-01,255217000000.00
2008-02-01,105723000000.00
2008-03-01,178816000000.00
2008-04-01,403751000000.00
2008-05-01,124272000000.00
2008-06-01,259912000000.00
2008-07-01,160494000000.00
2008-08-01,157016000000.00
2008-09-01,272228000000.00
2008-10-01,164827000000.00
2008-11-01,144769000000.00
2008-12-01,237786000000.00
2009-01-01,226090000000.00
2009-02-01,87312000000.00
2009-03-01,128926000000.00
2009-04-01,266206000000.00
2009-05-01,117217000000.00
2009-06-01,215340000000.00
2009-07-01,151481000000.00
2009-08-01,145529000000.00
2009-09-01,218880000000.00
2009-10-01,135293000000.00
2009-11-01,133563000000.00
2009-12-01,218919000000.00
2010-01-01,205239000000.00
2010-02-01,107520000000.00
2010-03-01,153358000000.00
2010-04-01,245260000000.00
2010-05-01,146794000000.00
2010-06-01,251048000000.00
2010-07-01,155546000000.00
2010-08-01,163998000000.00
2010-09-01,245207000000.00
2010-10-01,145951000000.00
2010-11-01,148970000000.00
2010-12-01,236875000000.00
2011-01-01,226550000000.00
2011-02-01,110656000000.00
2011-03-01,150894000000.00
2011-04-01,289543000000.00
2011-05-01,174936000000.00
2011-06-01,249658000000.00
2011-07-01,159063000000.00
2011-08-01,169246000000.00
2011-09-01,240153000000.00
2011-10-01,163072000000.00
2011-11-01,152402000000.00
2011-12-01,239963000000.00
2012-01-01,234319000000.00
2012-02-01,103413000000.00
2012-03-01,171215000000.00
2012-04-01,318807000000.00
2012-05-01,180713000000.00
2012-06-01,260177000000.00
2012-07-01,184585000000.00
2012-08-01,178860000000.00
2012-09-01,261566000000.00
2012-10-01,184316000000.00
2012-11-01,161730000000.00
2012-12-01,269508000000.00
2013-01-01,272225000000.00
2013-02-01,122815000000.00
2013-03-01,186018000000.00
2013-04-01,406723000000.00
2013-05-01,197182000000.00
2013-06-01,286627000000.00
2013-07-01,200030000000.00
2013-08-01,185370000000.00
2013-09-01,301469000000.00
2013-10-01,198927000000.00
2013-11-01,182453000000.00
2013-12-01,285041000000.00
2014-01-01,295997000000.00
2014-02-01,144349000000.00
2014-03-01,215846000000.00
2014-04-01,414237000000.00
2014-05-01,199889000000.00
2014-06-01,323646000000.00
2014-07-01,214493000000.00
2014-08-01,194248000000.00
2014-09-01,351245000000.00
2014-10-01,212719000000.00
2014-11-01,191436000000.00
2014-12-01,335327000000.00
2015-01-01,306742000000.00
2015-02-01,139388000000.00
2015-03-01,234187000000.00
2015-04-01,471801000000.00
2015-05-01,212386000000.00
2015-06-01,342933000000.00
2015-07-01,225493000000.00
2015-08-01,210837000000.00
2015-09-01,365451000000.00
2015-10-01,211046000000.00
2015-11-01,204968000000.00
2015-12-01,349631000000.00
2016-01-01,313579000000.00
2016-02-01,169147000000.00
2016-03-01,227848000000.00
2016-04-01,438432000000.00
2016-05-01,224603000000.00
2016-06-01,329572000000.00
2016-07-01,209998000000.00
2016-08-01,231327000000.00
2016-09-01,356623000000.00
2016-10-01,221692000000.00
2016-11-01,199875000000.00
2016-12-01,319204000000.00
2017-01-01,344069000000.00
2017-02-01,171713000000.00
2017-03-01,216584000000.00
2017-04-01,455605000000.00
2017-05-01,240418000000.00
2017-06-01,338660000000.00
2017-07-01,232040000000.00
2017-08-01,226311000000.00
2017-09-01,348722000000.00
2017-10-01,235341000000.00
2017-11-01,208374000000.00
2017-12-01,325797000000.00
2018-01-01,361038000000.00
2018-02-01,155623000000.00
2018-03-01,210832000000.00
2018-04-01,510447000000.00
2018-05-01,217075000000.00
