Date,UNXAUO
2011-08-01,204491000000.00
2011-09-01,206210000000.00
2011-10-01,210307000000.00
2011-11-01,210250000000.00
2011-12-01,212012000000.00
2012-01-01,217260000000.00
2012-02-01,223385000000.00
2012-03-01,225751000000.00
2012-04-01,227718000000.00
2012-05-01,229225000000.00
2012-06-01,226855000000.00
2012-07-01,223752000000.00
2012-08-01,220575000000.00
2012-09-01,218728000000.00
2012-10-01,218768000000.00
2012-11-01,216891000000.00
2012-12-01,215898000000.00
2013-01-01,221241000000.00
2013-02-01,222271000000.00
2013-03-01,221633000000.00
2013-04-01,223717000000.00
2013-05-01,224639000000.00
2013-06-01,225278000000.00
2013-07-01,224323000000.00
2013-08-01,222663000000.00
2013-09-01,222955000000.00
2013-10-01,222247000000.00
2013-11-01,221356000000.00
2013-12-01,220506000000.00
2014-01-01,225331000000.00
2014-02-01,227909000000.00
2014-03-01,229605000000.00
2014-04-01,230683000000.00
2014-05-01,228777000000.00
2014-06-01,230157000000.00
2014-07-01,230141000000.00
2014-08-01,227962000000.00
2014-09-01,227534000000.00
2014-10-01,225865000000.00
2014-11-01,223476000000.00
2014-12-01,221358000000.00
2015-01-01,224003000000.00
2015-02-01,225217000000.00
2015-03-01,225023000000.00
2015-04-01,225272000000.00
2015-05-01,223111000000.00
2015-06-01,220576000000.00
2015-07-01,218980000000.00
2015-08-01,216537000000.00
2015-09-01,214744000000.00
2015-10-01,213602000000.00
2015-11-01,212180000000.00
2015-12-01,208663000000.00
2016-01-01,210936000000.00
2016-02-01,212796000000.00
2016-03-01,213642000000.00
2016-04-01,213845000000.00
2016-05-01,211968000000.00
2016-06-01,210459000000.00
2016-07-01,210360000000.00
2016-08-01,210734000000.00
2016-09-01,209722000000.00
2016-10-01,209728000000.00
2016-11-01,209349000000.00
2016-12-01,207584000000.00
2017-01-01,210760000000.00
2017-02-01,213678000000.00
2017-03-01,215053000000.00
2017-04-01,216938000000.00
2017-05-01,216866000000.00
2017-06-01,215877000000.00
2017-07-01,215873000000.00
2017-08-01,214472000000.00
2017-09-01,216669000000.00
2017-10-01,217421000000.00
2017-11-01,215784000000.00
2017-12-01,214490000000.00
2018-01-01,216534000000.00
2018-02-01,218679000000.00
2018-03-01,219483000000.00
2018-04-01,220651000000.00
2018-05-01,220952000000.00
