Date,U34XUO
2000-09-01,50605000000.00
2000-10-01,51106000000.00
2000-11-01,51377000000.00
2000-12-01,50777000000.00
2001-01-01,50375000000.00
2001-02-01,50221000000.00
2001-03-01,48986000000.00
2001-04-01,47577000000.00
2001-05-01,46704000000.00
2001-06-01,44795000000.00
2001-07-01,43374000000.00
2001-08-01,41391000000.00
2001-09-01,40117000000.00
2001-10-01,39292000000.00
2001-11-01,38704000000.00
2001-12-01,38534000000.00
2002-01-01,37486000000.00
2002-02-01,37313000000.00
2002-03-01,35918000000.00
2002-04-01,35460000000.00
2002-05-01,35028000000.00
2002-06-01,33970000000.00
2002-07-01,33293000000.00
2002-08-01,32064000000.00
2002-09-01,29942000000.00
2002-10-01,29472000000.00
2002-11-01,28761000000.00
2002-12-01,27807000000.00
2003-01-01,28497000000.00
2003-02-01,29183000000.00
2003-03-01,29821000000.00
2003-04-01,30471000000.00
2003-05-01,30577000000.00
2003-06-01,29700000000.00
2003-07-01,29744000000.00
2003-08-01,29013000000.00
2003-09-01,29496000000.00
2003-10-01,30705000000.00
2003-11-01,30082000000.00
2003-12-01,28680000000.00
2004-01-01,28509000000.00
2004-02-01,28893000000.00
2004-03-01,28917000000.00
2004-04-01,29239000000.00
2004-05-01,28722000000.00
2004-06-01,27671000000.00
2004-07-01,27089000000.00
2004-08-01,25901000000.00
2004-09-01,27179000000.00
2004-10-01,28716000000.00
2004-11-01,28149000000.00
2004-12-01,28218000000.00
2005-01-01,28789000000.00
2005-02-01,29252000000.00
2005-03-01,29705000000.00
2005-04-01,29618000000.00
2005-05-01,29122000000.00
2005-06-01,29258000000.00
2005-07-01,29220000000.00
2005-08-01,28532000000.00
2005-09-01,28258000000.00
2005-10-01,28374000000.00
2005-11-01,27862000000.00
2005-12-01,27055000000.00
2006-01-01,26889000000.00
2006-02-01,27402000000.00
2006-03-01,28736000000.00
2006-04-01,27862000000.00
2006-05-01,27230000000.00
2006-06-01,27201000000.00
2006-07-01,27462000000.00
2006-08-01,27053000000.00
2006-09-01,27745000000.00
2006-10-01,27404000000.00
2006-11-01,26982000000.00
2006-12-01,27283000000.00
2007-01-01,27262000000.00
2007-02-01,27396000000.00
2007-03-01,27186000000.00
2007-04-01,27001000000.00
2007-05-01,27227000000.00
2007-06-01,26637000000.00
2007-07-01,26956000000.00
2007-08-01,26353000000.00
2007-09-01,26774000000.00
2007-10-01,26581000000.00
2007-11-01,25885000000.00
2007-12-01,25844000000.00
2008-01-01,25643000000.00
2008-02-01,25893000000.00
2008-03-01,25926000000.00
2008-04-01,25866000000.00
2008-05-01,25642000000.00
2008-06-01,25019000000.00
2008-07-01,24438000000.00
2008-08-01,24238000000.00
2008-09-01,24013000000.00
2008-10-01,24116000000.00
2008-11-01,23401000000.00
2008-12-01,23250000000.00
2009-01-01,23509000000.00
2009-02-01,24136000000.00
2009-03-01,24570000000.00
2009-04-01,25072000000.00
2009-05-01,25383000000.00
2009-06-01,25313000000.00
2009-07-01,25616000000.00
2009-08-01,25634000000.00
2009-09-01,26272000000.00
2009-10-01,26452000000.00
2009-11-01,26081000000.00
2009-12-01,26568000000.00
2010-01-01,26797000000.00
2010-02-01,27107000000.00
2010-03-01,26824000000.00
2010-04-01,26904000000.00
2010-05-01,26139000000.00
2010-06-01,25649000000.00
2010-07-01,25422000000.00
2010-08-01,25990000000.00
2010-09-01,26555000000.00
2010-10-01,26363000000.00
2010-11-01,25555000000.00
2010-12-01,26442000000.00
2011-01-01,26924000000.00
2011-02-01,27562000000.00
2011-03-01,27877000000.00
2011-04-01,28059000000.00
2011-05-01,28072000000.00
2011-06-01,28938000000.00
2011-07-01,29000000000.00
2011-08-01,29566000000.00
2011-09-01,30481000000.00
2011-10-01,31625000000.00
2011-11-01,31597000000.00
2011-12-01,32378000000.00
2012-01-01,32221000000.00
2012-02-01,32768000000.00
2012-03-01,33303000000.00
2012-04-01,33481000000.00
2012-05-01,33177000000.00
2012-06-01,33019000000.00
2012-07-01,32845000000.00
2012-08-01,32693000000.00
2012-09-01,33075000000.00
2012-10-01,32968000000.00
2012-11-01,32475000000.00
2012-12-01,33316000000.00
2013-01-01,33405000000.00
2013-02-01,33158000000.00
2013-03-01,32756000000.00
2013-04-01,32838000000.00
2013-05-01,33293000000.00
2013-06-01,33367000000.00
2013-07-01,32782000000.00
2013-08-01,32198000000.00
2013-09-01,32316000000.00
2013-10-01,32120000000.00
2013-11-01,31964000000.00
2013-12-01,32180000000.00
2014-01-01,31633000000.00
2014-02-01,31638000000.00
2014-03-01,31520000000.00
2014-04-01,31200000000.00
2014-05-01,30120000000.00
2014-06-01,28877000000.00
2014-07-01,28086000000.00
2014-08-01,27578000000.00
2014-09-01,26700000000.00
2014-10-01,26051000000.00
2014-11-01,25548000000.00
2014-12-01,25163000000.00
2015-01-01,25162000000.00
2015-02-01,25447000000.00
2015-03-01,25513000000.00
2015-04-01,25593000000.00
2015-05-01,25321000000.00
2015-06-01,24959000000.00
2015-07-01,24912000000.00
2015-08-01,24633000000.00
2015-09-01,24571000000.00
2015-10-01,24561000000.00
2015-11-01,24241000000.00
2015-12-01,23919000000.00
2016-01-01,23916000000.00
2016-02-01,24049000000.00
2016-03-01,24039000000.00
2016-04-01,24108000000.00
2016-05-01,23868000000.00
2016-06-01,23645000000.00
2016-07-01,23486000000.00
2016-08-01,22939000000.00
2016-09-01,22887000000.00
2016-10-01,22808000000.00
2016-11-01,22449000000.00
2016-12-01,22400000000.00
2017-01-01,22655000000.00
2017-02-01,23438000000.00
2017-03-01,23718000000.00
2017-04-01,24089000000.00
2017-05-01,23958000000.00
2017-06-01,24002000000.00
2017-07-01,24089000000.00
2017-08-01,24094000000.00
2017-09-01,24481000000.00
2017-10-01,24831000000.00
2017-11-01,24960000000.00
2017-12-01,25059000000.00
2018-01-01,25195000000.00
2018-02-01,25762000000.00
2018-03-01,25882000000.00
2018-04-01,26011000000.00
2018-05-01,26116000000.00
