Date,RTWVDNY684NMFRBDAL
2011-11-01,95.53
2011-12-01,96.35
2012-01-01,96.31
2012-02-01,94.70
2012-03-01,95.38
2012-04-01,95.29
2012-05-01,96.87
2012-06-01,98.35
2012-07-01,98.26
2012-08-01,97.62
2012-09-01,96.39
2012-10-01,95.61
2012-11-01,95.93
2012-12-01,94.65
2013-01-01,94.78
2013-02-01,95.46
2013-03-01,96.89
2013-04-01,96.05
2013-05-01,96.69
2013-06-01,97.00
2013-07-01,97.41
2013-08-01,97.22
2013-09-01,96.80
2013-10-01,95.36
2013-11-01,95.86
2013-12-01,95.68
2014-01-01,96.85
2014-02-01,96.88
2014-03-01,96.87
2014-04-01,96.38
2014-05-01,96.28
2014-06-01,96.44
2014-07-01,95.88
2014-08-01,97.13
2014-09-01,98.45
2014-10-01,99.48
2014-11-01,100.36
2014-12-01,101.48
2015-01-01,103.09
2015-02-01,104.02
2015-03-01,106.58
2015-04-01,105.79
2015-05-01,104.60
2015-06-01,105.17
2015-07-01,106.56
2015-08-01,107.85
2015-09-01,108.32
2015-10-01,107.25
2015-11-01,108.88
2015-12-01,109.22
2016-01-01,111.53
2016-02-01,110.11
2016-03-01,108.53
2016-04-01,107.02
2016-05-01,107.92
2016-06-01,108.36
2016-07-01,109.16
2016-08-01,108.39
2016-09-01,108.99
2016-10-01,110.45
2016-11-01,111.85
2016-12-01,112.90
2017-01-01,112.96
2017-02-01,111.87
2017-03-01,111.73
2017-04-01,111.08
2017-05-01,110.39
2017-06-01,109.30
2017-07-01,107.39
2017-08-01,106.85
2017-09-01,106.19
2017-10-01,107.42
2017-11-01,107.69
2017-12-01,107.00
2018-01-01,105.16
2018-02-01,104.73
2018-03-01,105.58
