Date,RTWVDSC684NMFRBDAL
2000-11-01,136.14
2000-12-01,133.49
2001-01-01,132.87
2001-02-01,134.55
2001-03-01,136.83
2001-04-01,137.78
2001-05-01,137.94
2001-06-01,139.19
2001-07-01,139.14
2001-08-01,136.95
2001-09-01,137.80
2001-10-01,138.48
2001-11-01,139.35
2001-12-01,138.02
2002-01-01,139.18
2002-02-01,140.00
2002-03-01,139.43
2002-04-01,138.69
2002-05-01,136.32
2002-06-01,134.31
2002-07-01,132.47
2002-08-01,134.42
2002-09-01,135.06
2002-10-01,135.74
2002-11-01,133.87
2002-12-01,132.04
2003-01-01,129.52
2003-02-01,128.89
2003-03-01,128.46
2003-04-01,127.22
2003-05-01,121.56
2003-06-01,120.51
2003-07-01,122.48
2003-08-01,124.28
2003-09-01,122.97
2003-10-01,119.56
2003-11-01,118.82
2003-12-01,115.70
2004-01-01,113.72
2004-02-01,114.61
2004-03-01,116.46
2004-04-01,117.80
2004-05-01,119.98
2004-06-01,118.90
2004-07-01,117.04
2004-08-01,117.08
2004-09-01,116.57
2004-10-01,114.58
2004-11-01,110.91
2004-12-01,108.71
2005-01-01,110.14
2005-02-01,110.56
2005-03-01,109.95
2005-04-01,111.71
2005-05-01,112.60
2005-06-01,114.03
2005-07-01,114.46
2005-08-01,112.94
2005-09-01,113.56
2005-10-01,115.11
2005-11-01,115.30
2005-12-01,113.67
2006-01-01,112.74
2006-02-01,112.99
2006-03-01,113.69
2006-04-01,113.06
2006-05-01,110.64
2006-06-01,112.33
2006-07-01,112.26
2006-08-01,111.08
2006-09-01,111.21
2006-10-01,111.29
2006-11-01,109.88
2006-12-01,108.78
2007-01-01,110.42
2007-02-01,110.05
2007-03-01,110.07
2007-04-01,108.11
2007-05-01,107.41
2007-06-01,107.07
2007-07-01,104.88
2007-08-01,105.56
2007-09-01,103.80
2007-10-01,100.87
2007-11-01,99.31
2007-12-01,100.30
2008-01-01,100.32
2008-02-01,99.44
2008-03-01,97.52
2008-04-01,97.18
2008-05-01,97.73
2008-06-01,98.44
2008-07-01,97.54
2008-08-01,100.62
2008-09-01,103.78
2008-10-01,112.15
2008-11-01,114.17
2008-12-01,111.22
2009-01-01,112.73
2009-02-01,115.56
2009-03-01,115.77
2009-04-01,112.88
2009-05-01,109.19
2009-06-01,107.69
2009-07-01,106.98
2009-08-01,105.24
2009-09-01,104.44
2009-10-01,102.83
2009-11-01,102.12
2009-12-01,102.49
2010-01-01,102.78
2010-02-01,104.28
2010-03-01,103.81
2010-04-01,103.14
2010-05-01,106.72
2010-06-01,107.47
2010-07-01,105.12
2010-08-01,104.09
2010-09-01,103.19
2010-10-01,100.13
2010-11-01,100.24
2010-12-01,100.91
2011-01-01,99.91
2011-02-01,98.86
2011-03-01,98.42
2011-04-01,96.82
2011-05-01,97.34
2011-06-01,97.22
2011-07-01,96.31
2011-08-01,96.94
2011-09-01,99.92
2011-10-01,100.76
2011-11-01,101.14
2011-12-01,101.93
2012-01-01,101.63
2012-02-01,99.67
2012-03-01,100.51
2012-04-01,100.91
2012-05-01,102.71
2012-06-01,104.16
2012-07-01,103.07
2012-08-01,102.16
2012-09-01,101.13
2012-10-01,101.00
2012-11-01,101.24
2012-12-01,99.93
2013-01-01,99.54
2013-02-01,100.10
2013-03-01,101.49
2013-04-01,100.74
2013-05-01,101.26
2013-06-01,102.14
2013-07-01,102.20
2013-08-01,101.79
2013-09-01,101.62
2013-10-01,100.59
2013-11-01,101.18
2013-12-01,101.05
2014-01-01,102.01
2014-02-01,101.99
2014-03-01,102.13
2014-04-01,101.64
2014-05-01,101.58
2014-06-01,101.66
2014-07-01,101.07
2014-08-01,101.86
2014-09-01,103.69
2014-10-01,105.06
2014-11-01,106.16
2014-12-01,107.56
2015-01-01,110.02
2015-02-01,111.16
2015-03-01,113.96
2015-04-01,113.21
2015-05-01,112.21
2015-06-01,113.18
2015-07-01,114.58
2015-08-01,116.02
2015-09-01,117.07
2015-10-01,116.41
2015-11-01,118.10
2015-12-01,118.60
2016-01-01,121.13
2016-02-01,119.34
2016-03-01,117.82
2016-04-01,116.22
2016-05-01,117.39
2016-06-01,118.15
2016-07-01,118.76
2016-08-01,117.75
2016-09-01,118.86
2016-10-01,120.87
2016-11-01,122.78
2016-12-01,124.05
2017-01-01,123.88
2017-02-01,122.20
2017-03-01,122.32
2017-04-01,121.35
2017-05-01,121.02
2017-06-01,119.51
2017-07-01,117.04
2017-08-01,115.57
2017-09-01,115.13
2017-10-01,117.09
2017-11-01,117.37
2017-12-01,116.51
2018-01-01,114.03
2018-02-01,112.73
2018-03-01,113.70
