Date,U34ITI
2010-06-01,2916000000.00
2010-07-01,2982000000.00
2010-08-01,2986000000.00
2010-09-01,3083000000.00
2010-10-01,3113000000.00
2010-11-01,3026000000.00
2010-12-01,2943000000.00
2011-01-01,3036000000.00
2011-02-01,3062000000.00
2011-03-01,3138000000.00
2011-04-01,3207000000.00
2011-05-01,3160000000.00
2011-06-01,3069000000.00
2011-07-01,3126000000.00
2011-08-01,3199000000.00
2011-09-01,3148000000.00
2011-10-01,3255000000.00
2011-11-01,3164000000.00
2011-12-01,3144000000.00
2012-01-01,3158000000.00
2012-02-01,3309000000.00
2012-03-01,3276000000.00
2012-04-01,3257000000.00
2012-05-01,3245000000.00
2012-06-01,3177000000.00
2012-07-01,3227000000.00
2012-08-01,3275000000.00
2012-09-01,3130000000.00
2012-10-01,3211000000.00
2012-11-01,3194000000.00
2012-12-01,3123000000.00
2013-01-01,3213000000.00
2013-02-01,3190000000.00
2013-03-01,3109000000.00
2013-04-01,3128000000.00
2013-05-01,3099000000.00
2013-06-01,3041000000.00
2013-07-01,3148000000.00
2013-08-01,3158000000.00
2013-09-01,3115000000.00
2013-10-01,3179000000.00
2013-11-01,3064000000.00
2013-12-01,3030000000.00
2014-01-01,3101000000.00
2014-02-01,3051000000.00
2014-03-01,3004000000.00
2014-04-01,3034000000.00
2014-05-01,3002000000.00
2014-06-01,2956000000.00
2014-07-01,2995000000.00
2014-08-01,2984000000.00
2014-09-01,2917000000.00
2014-10-01,2949000000.00
2014-11-01,2830000000.00
2014-12-01,2802000000.00
2015-01-01,2897000000.00
2015-02-01,2891000000.00
2015-03-01,2882000000.00
2015-04-01,2946000000.00
2015-05-01,2897000000.00
2015-06-01,2897000000.00
2015-07-01,2982000000.00
2015-08-01,3001000000.00
2015-09-01,2908000000.00
2015-10-01,2955000000.00
2015-11-01,2854000000.00
2015-12-01,2824000000.00
2016-01-01,2862000000.00
2016-02-01,2807000000.00
2016-03-01,2744000000.00
2016-04-01,2768000000.00
2016-05-01,2749000000.00
2016-06-01,2685000000.00
2016-07-01,2697000000.00
2016-08-01,2689000000.00
2016-09-01,2622000000.00
2016-10-01,2630000000.00
2016-11-01,2542000000.00
2016-12-01,2445000000.00
2017-01-01,2541000000.00
2017-02-01,2516000000.00
2017-03-01,2503000000.00
2017-04-01,2553000000.00
2017-05-01,2553000000.00
2017-06-01,2549000000.00
2017-07-01,2606000000.00
2017-08-01,2624000000.00
2017-09-01,2581000000.00
2017-10-01,2623000000.00
2017-11-01,2548000000.00
2017-12-01,2472000000.00
2018-01-01,2565000000.00
2018-02-01,2553000000.00
2018-03-01,2549000000.00
2018-04-01,2586000000.00
