Date,U33IUO
2005-04-01,4493000000.00
2005-05-01,4531000000.00
2005-06-01,4519000000.00
2005-07-01,4554000000.00
2005-08-01,4440000000.00
2005-09-01,4430000000.00
2005-10-01,4412000000.00
2005-11-01,4371000000.00
2005-12-01,4239000000.00
2006-01-01,4247000000.00
2006-02-01,4382000000.00
2006-03-01,4321000000.00
2006-04-01,4378000000.00
2006-05-01,4399000000.00
2006-06-01,4415000000.00
2006-07-01,4562000000.00
2006-08-01,4645000000.00
2006-09-01,4853000000.00
2006-10-01,4669000000.00
2006-11-01,4762000000.00
2006-12-01,4777000000.00
2007-01-01,5121000000.00
2007-02-01,5263000000.00
2007-03-01,5215000000.00
2007-04-01,5140000000.00
2007-05-01,5113000000.00
2007-06-01,5028000000.00
2007-07-01,5020000000.00
2007-08-01,4978000000.00
2007-09-01,5231000000.00
2007-10-01,5418000000.00
2007-11-01,5519000000.00
2007-12-01,5574000000.00
2008-01-01,5676000000.00
2008-02-01,5771000000.00
2008-03-01,5740000000.00
2008-04-01,6018000000.00
2008-05-01,6090000000.00
2008-06-01,6115000000.00
2008-07-01,6055000000.00
2008-08-01,5998000000.00
2008-09-01,5932000000.00
2008-10-01,5768000000.00
2008-11-01,5575000000.00
2008-12-01,5231000000.00
2009-01-01,5043000000.00
2009-02-01,4738000000.00
2009-03-01,4460000000.00
2009-04-01,4199000000.00
2009-05-01,4152000000.00
2009-06-01,4017000000.00
2009-07-01,3879000000.00
2009-08-01,3854000000.00
2009-09-01,3800000000.00
2009-10-01,3759000000.00
2009-11-01,3612000000.00
2009-12-01,3577000000.00
2010-01-01,3753000000.00
2010-02-01,3944000000.00
2010-03-01,4057000000.00
2010-04-01,4246000000.00
2010-05-01,4329000000.00
2010-06-01,4431000000.00
2010-07-01,4550000000.00
2010-08-01,4717000000.00
2010-09-01,4902000000.00
2010-10-01,5084000000.00
2010-11-01,5477000000.00
2010-12-01,5844000000.00
2011-01-01,6123000000.00
2011-02-01,6745000000.00
2011-03-01,6786000000.00
2011-04-01,6919000000.00
2011-05-01,6915000000.00
2011-06-01,7101000000.00
2011-07-01,7202000000.00
2011-08-01,7203000000.00
2011-09-01,7262000000.00
2011-10-01,7383000000.00
2011-11-01,7356000000.00
2011-12-01,7406000000.00
2012-01-01,7724000000.00
2012-02-01,8056000000.00
2012-03-01,8108000000.00
2012-04-01,8087000000.00
2012-05-01,8001000000.00
2012-06-01,7788000000.00
2012-07-01,7514000000.00
2012-08-01,7308000000.00
2012-09-01,7290000000.00
2012-10-01,7458000000.00
2012-11-01,7268000000.00
2012-12-01,7207000000.00
2013-01-01,7343000000.00
2013-02-01,7314000000.00
2013-03-01,7033000000.00
2013-04-01,7288000000.00
2013-05-01,7180000000.00
2013-06-01,7155000000.00
2013-07-01,7258000000.00
2013-08-01,7073000000.00
2013-09-01,6994000000.00
2013-10-01,7042000000.00
2013-11-01,7192000000.00
2013-12-01,6955000000.00
2014-01-01,7409000000.00
2014-02-01,7688000000.00
2014-03-01,7424000000.00
2014-04-01,7621000000.00
2014-05-01,7541000000.00
2014-06-01,7532000000.00
2014-07-01,7780000000.00
2014-08-01,8069000000.00
2014-09-01,7903000000.00
2014-10-01,7825000000.00
2014-11-01,7742000000.00
2014-12-01,7536000000.00
2015-01-01,7717000000.00
2015-02-01,7906000000.00
2015-03-01,7843000000.00
2015-04-01,7942000000.00
2015-05-01,7743000000.00
2015-06-01,7522000000.00
2015-07-01,7431000000.00
2015-08-01,7300000000.00
2015-09-01,7100000000.00
2015-10-01,6945000000.00
2015-11-01,7070000000.00
2015-12-01,6991000000.00
2016-01-01,7154000000.00
2016-02-01,7277000000.00
2016-03-01,7378000000.00
2016-04-01,7936000000.00
2016-05-01,7862000000.00
2016-06-01,7817000000.00
2016-07-01,7967000000.00
2016-08-01,8070000000.00
2016-09-01,8008000000.00
2016-10-01,7995000000.00
2016-11-01,7968000000.00
2016-12-01,7824000000.00
2017-01-01,7841000000.00
2017-02-01,7895000000.00
2017-03-01,7755000000.00
2017-04-01,8149000000.00
2017-05-01,8186000000.00
2017-06-01,8057000000.00
2017-07-01,8300000000.00
2017-08-01,8300000000.00
2017-09-01,7931000000.00
2017-10-01,7694000000.00
2017-11-01,7879000000.00
2017-12-01,7765000000.00
2018-01-01,8009000000.00
2018-02-01,8383000000.00
2018-03-01,8173000000.00
2018-04-01,8327000000.00
