Date,RTWVDWI684NMFRBDAL
2015-03-01,110.95
2015-04-01,109.97
2015-05-01,109.17
2015-06-01,110.47
2015-07-01,112.89
2015-08-01,114.82
2015-09-01,115.96
2015-10-01,114.72
2015-11-01,116.11
2015-12-01,117.67
2016-01-01,120.91
2016-02-01,119.16
2016-03-01,116.16
2016-04-01,114.11
2016-05-01,115.76
2016-06-01,116.40
2016-07-01,116.81
2016-08-01,115.93
2016-09-01,117.30
2016-10-01,118.42
2016-11-01,120.77
2016-12-01,122.05
2017-01-01,121.83
2017-02-01,120.07
2017-03-01,119.92
2017-04-01,119.07
2017-05-01,119.26
2017-06-01,117.32
2017-07-01,114.23
2017-08-01,113.23
2017-09-01,112.32
2017-10-01,114.66
2017-11-01,115.13
2017-12-01,114.64
2018-01-01,112.20
2018-02-01,111.75
2018-03-01,113.10
