Date,WJFUELUSGULF
1997-04-18,0.54
1997-04-25,0.53
1997-05-02,0.53
1997-05-09,0.53
1997-05-16,0.56
1997-05-23,0.57
1997-05-30,0.55
1997-06-06,0.53
1997-06-13,0.51
1997-06-20,0.52
1997-06-27,0.53
1997-07-04,0.54
1997-07-11,0.53
1997-07-18,0.53
1997-07-25,0.54
1997-08-01,0.56
1997-08-08,0.57
1997-08-15,0.56
1997-08-22,0.56
1997-08-29,0.55
1997-09-05,0.54
1997-09-12,0.52
1997-09-19,0.54
1997-09-26,0.56
1997-10-03,0.58
1997-10-10,0.58
1997-10-17,0.56
1997-10-24,0.57
1997-10-31,0.57
1997-11-07,0.56
1997-11-14,0.56
1997-11-21,0.55
1997-11-28,0.52
1997-12-05,0.49
1997-12-12,0.49
1997-12-19,0.51
1997-12-26,0.49
1998-01-02,0.50
1998-01-09,0.48
1998-01-16,0.47
1998-01-23,0.46
1998-01-30,0.49
1998-02-06,0.47
1998-02-13,0.45
1998-02-20,0.45
1998-02-27,0.43
1998-03-06,0.42
1998-03-13,0.40
1998-03-20,0.39
1998-03-27,0.44
1998-04-03,0.42
1998-04-10,0.41
1998-04-17,0.43
1998-04-24,0.43
1998-05-01,0.44
1998-05-08,0.43
1998-05-15,0.42
1998-05-22,0.40
1998-05-29,0.40
1998-06-05,0.40
1998-06-12,0.38
1998-06-19,0.38
1998-06-26,0.40
1998-07-03,0.40
1998-07-10,0.39
1998-07-17,0.40
1998-07-24,0.38
1998-07-31,0.37
1998-08-07,0.38
1998-08-14,0.38
1998-08-21,0.37
1998-08-28,0.37
1998-09-04,0.39
1998-09-11,0.41
1998-09-18,0.42
1998-09-25,0.43
1998-10-02,0.43
1998-10-09,0.44
1998-10-16,0.42
1998-10-23,0.41
1998-10-30,0.41
1998-11-06,0.41
1998-11-13,0.39
1998-11-20,0.35
1998-11-27,0.33
1998-12-04,0.30
1998-12-11,0.30
1998-12-18,0.31
1998-12-25,0.29
1999-01-01,0.32
1999-01-08,0.35
1999-01-15,0.34
1999-01-22,0.32
1999-01-29,0.33
1999-02-05,0.32
1999-02-12,0.30
1999-02-19,0.30
1999-02-26,0.32
1999-03-05,0.33
1999-03-12,0.36
1999-03-19,0.38
1999-03-26,0.40
1999-04-02,0.44
1999-04-09,0.43
1999-04-16,0.43
1999-04-23,0.43
1999-04-30,0.43
1999-05-07,0.44
1999-05-14,0.42
1999-05-21,0.40
1999-05-28,0.40
1999-06-04,0.40
1999-06-11,0.44
1999-06-18,0.45
1999-06-25,0.45
1999-07-02,0.48
1999-07-09,0.51
1999-07-16,0.52
1999-07-23,0.51
1999-07-30,0.53
1999-08-06,0.54
1999-08-13,0.56
1999-08-20,0.58
1999-08-27,0.57
1999-09-03,0.58
1999-09-10,0.61
1999-09-17,0.62
1999-09-24,0.62
1999-10-01,0.63
1999-10-08,0.58
1999-10-15,0.59
1999-10-22,0.60
1999-10-29,0.60
1999-11-05,0.61
1999-11-12,0.65
1999-11-19,0.69
1999-11-26,0.71
1999-12-03,0.68
1999-12-10,0.68
1999-12-17,0.70
1999-12-24,0.72
1999-12-31,0.73
2000-01-07,0.73
2000-01-14,0.74
2000-01-21,0.87
2000-01-28,0.79
2000-02-04,0.81
2000-02-11,0.76
2000-02-18,0.77
2000-02-25,0.77
2000-03-03,0.83
2000-03-10,0.84
2000-03-17,0.76
2000-03-24,0.70
2000-03-31,0.75
2000-04-07,0.70
2000-04-14,0.69
2000-04-21,0.76
2000-04-28,0.73
2000-05-05,0.71
2000-05-12,0.75
2000-05-19,0.80
2000-05-26,0.78
2000-06-02,0.77
2000-06-09,0.76
2000-06-16,0.78
2000-06-23,0.79
2000-06-30,0.83
2000-07-07,0.79
2000-07-14,0.80
2000-07-21,0.81
2000-07-28,0.78
2000-08-04,0.81
2000-08-11,0.85
2000-08-18,0.89
2000-08-25,0.95
2000-09-01,1.00
2000-09-08,1.03
2000-09-15,1.07
2000-09-22,1.03
2000-09-29,0.95
2000-10-06,0.96
2000-10-13,1.03
2000-10-20,0.97
2000-10-27,0.98
2000-11-03,0.95
2000-11-10,1.00
2000-11-17,1.07
2000-11-24,1.09
2000-12-01,1.01
2000-12-08,0.97
2000-12-15,0.89
2000-12-22,0.77
2000-12-29,0.78
2001-01-05,0.84
2001-01-12,0.84
2001-01-19,0.89
2001-01-26,0.91
2001-02-02,0.87
2001-02-09,0.87
2001-02-16,0.79
2001-02-23,0.77
2001-03-02,0.78
2001-03-09,0.78
2001-03-16,0.74
2001-03-23,0.73
2001-03-30,0.74
2001-04-06,0.72
2001-04-13,0.79
2001-04-20,0.80
2001-04-27,0.77
2001-05-04,0.82
2001-05-11,0.83
2001-05-18,0.80
2001-05-25,0.83
2001-06-01,0.79
2001-06-08,0.77
2001-06-15,0.81
2001-06-22,0.76
2001-06-29,0.73
2001-07-06,0.74
2001-07-13,0.71
2001-07-20,0.68
2001-07-27,0.71
2001-08-03,0.74
2001-08-10,0.76
2001-08-17,0.76
2001-08-24,0.76
2001-08-31,0.79
2001-09-07,0.80
2001-09-14,0.82
2001-09-21,0.70
2001-09-28,0.64
2001-10-05,0.64
2001-10-12,0.64
2001-10-19,0.61
2001-10-26,0.61
2001-11-02,0.60
2001-11-09,0.58
2001-11-16,0.54
2001-11-23,0.52
2001-11-30,0.51
2001-12-07,0.50
2001-12-14,0.48
2001-12-21,0.53
2001-12-28,0.57
2002-01-04,0.55
2002-01-11,0.54
2002-01-18,0.51
2002-01-25,0.53
2002-02-01,0.54
2002-02-08,0.54
2002-02-15,0.56
2002-02-22,0.55
2002-03-01,0.57
2002-03-08,0.60
2002-03-15,0.63
2002-03-22,0.65
2002-03-29,0.65
2002-04-05,0.69
2002-04-12,0.66
2002-04-19,0.65
2002-04-26,0.67
2002-05-03,0.68
2002-05-10,0.66
2002-05-17,0.69
2002-05-24,0.67
2002-05-31,0.64
2002-06-07,0.63
2002-06-14,0.64
2002-06-21,0.66
2002-06-28,0.68
2002-07-05,0.69
2002-07-12,0.69
2002-07-19,0.71
2002-07-26,0.68
2002-08-02,0.69
2002-08-09,0.68
2002-08-16,0.72
2002-08-23,0.75
2002-08-30,0.76
2002-09-06,0.76
2002-09-13,0.80
2002-09-20,0.81
2002-09-27,0.82
2002-10-04,0.83
2002-10-11,0.81
2002-10-18,0.82
2002-10-25,0.76
2002-11-01,0.73
2002-11-08,0.71
2002-11-15,0.68
2002-11-22,0.73
2002-11-29,0.73
2002-12-06,0.74
2002-12-13,0.76
2002-12-20,0.83
2002-12-27,0.91
2003-01-03,0.89
2003-01-10,0.85
2003-01-17,0.88
2003-01-24,0.89
2003-01-31,0.93
2003-02-07,1.04
2003-02-14,1.04
2003-02-21,1.05
2003-02-28,1.09
2003-03-07,1.08
2003-03-14,1.00
2003-03-21,0.79
2003-03-28,0.73
2003-04-04,0.74
2003-04-11,0.75
2003-04-18,0.78
2003-04-25,0.76
2003-05-02,0.68
2003-05-09,0.69
2003-05-16,0.73
2003-05-23,0.73
2003-05-30,0.72
2003-06-06,0.75
2003-06-13,0.76
2003-06-20,0.74
2003-06-27,0.75
2003-07-04,0.77
2003-07-11,0.78
2003-07-18,0.79
2003-07-25,0.77
2003-08-01,0.80
2003-08-08,0.84
2003-08-15,0.82
2003-08-22,0.81
2003-08-29,0.82
2003-09-05,0.76
2003-09-12,0.75
2003-09-19,0.72
2003-09-26,0.72
2003-10-03,0.79
2003-10-10,0.83
2003-10-17,0.85
2003-10-24,0.82
2003-10-31,0.79
2003-11-07,0.80
2003-11-14,0.84
2003-11-21,0.86
2003-11-28,0.82
2003-12-05,0.86
2003-12-12,0.86
2003-12-19,0.89
2003-12-26,0.88
2004-01-02,0.89
2004-01-09,0.98
2004-01-16,0.99
2004-01-23,1.05
2004-01-30,0.98
2004-02-06,0.92
2004-02-13,0.92
2004-02-20,0.96
2004-02-27,0.95
2004-03-05,0.97
2004-03-12,0.91
2004-03-19,0.96
2004-03-26,0.95
2004-04-02,0.91
2004-04-09,0.92
2004-04-16,1.00
2004-04-23,0.99
2004-04-30,1.01
2004-05-07,1.08
2004-05-14,1.15
2004-05-21,1.10
2004-05-28,1.04
2004-06-04,1.03
2004-06-11,1.01
2004-06-18,1.03
2004-06-25,1.05
2004-07-02,1.08
2004-07-09,1.13
2004-07-16,1.11
2004-07-23,1.15
2004-07-30,1.19
2004-08-06,1.21
2004-08-13,1.22
2004-08-20,1.27
2004-08-27,1.23
2004-09-03,1.23
2004-09-10,1.26
2004-09-17,1.34
2004-09-24,1.42
2004-10-01,1.50
2004-10-08,1.49
2004-10-15,1.55
2004-10-22,1.56
2004-10-29,1.48
2004-11-05,1.34
2004-11-12,1.33
2004-11-19,1.35
2004-11-26,1.38
2004-12-03,1.25
2004-12-10,1.15
2004-12-17,1.30
2004-12-24,1.29
2004-12-31,1.19
2005-01-07,1.23
2005-01-14,1.33
2005-01-21,1.38
2005-01-28,1.41
2005-02-04,1.29
2005-02-11,1.26
2005-02-18,1.33
2005-02-25,1.46
2005-03-04,1.49
2005-03-11,1.52
2005-03-18,1.59
2005-03-25,1.61
2005-04-01,1.63
2005-04-08,1.63
2005-04-15,1.54
2005-04-22,1.56
2005-04-29,1.53
2005-05-06,1.52
2005-05-13,1.48
2005-05-20,1.42
2005-05-27,1.46
2005-06-03,1.60
2005-06-10,1.64
2005-06-17,1.67
2005-06-24,1.67
2005-07-01,1.65
2005-07-08,1.74
2005-07-15,1.67
2005-07-22,1.61
2005-07-29,1.65
2005-08-05,1.70
2005-08-12,1.86
2005-08-19,1.86
2005-08-26,1.89
2005-09-02,2.24
2005-09-09,2.04
2005-09-16,1.92
2005-09-23,2.19
2005-09-30,2.71
2005-10-07,2.94
2005-10-14,2.61
2005-10-21,2.22
2005-10-28,1.92
2005-11-04,1.82
2005-11-11,1.74
2005-11-18,1.66
2005-11-25,1.68
2005-12-02,1.62
2005-12-09,1.74
2005-12-16,1.77
2005-12-23,1.69
2005-12-30,1.74
2006-01-06,1.83
2006-01-13,1.73
2006-01-20,1.84
2006-01-27,1.84
2006-02-03,1.83
2006-02-10,1.74
2006-02-17,1.72
2006-02-24,1.77
2006-03-03,1.85
2006-03-10,1.81
2006-03-17,1.89
2006-03-24,1.85
2006-03-31,1.94
2006-04-07,1.97
2006-04-14,2.05
2006-04-21,2.15
2006-04-28,2.12
2006-05-05,2.09
2006-05-12,2.12
2006-05-19,2.02
2006-05-26,2.05
2006-06-02,2.09
2006-06-09,2.16
2006-06-16,2.09
2006-06-23,2.02
2006-06-30,2.05
2006-07-07,2.12
2006-07-14,2.14
2006-07-21,2.18
2006-07-28,2.16
2006-08-04,2.23
2006-08-11,2.16
2006-08-18,2.09
2006-08-25,2.14
2006-09-01,2.04
2006-09-08,1.95
2006-09-15,1.74
2006-09-22,1.72
2006-09-29,1.82
2006-10-06,1.74
2006-10-13,1.77
2006-10-20,1.75
2006-10-27,1.73
2006-11-03,1.66
2006-11-10,1.72
2006-11-17,1.71
2006-11-24,1.75
2006-12-01,1.85
2006-12-08,1.88
2006-12-15,1.83
2006-12-22,1.77
2006-12-29,1.73
2007-01-05,1.67
2007-01-12,1.60
2007-01-19,1.64
2007-01-26,1.67
2007-02-02,1.72
2007-02-09,1.75
2007-02-16,1.70
2007-02-23,1.74
2007-03-02,1.83
2007-03-09,1.81
2007-03-16,1.80
2007-03-23,1.81
2007-03-30,1.96
2007-04-06,2.01
2007-04-13,2.06
2007-04-20,2.02
2007-04-27,2.05
2007-05-04,2.02
2007-05-11,2.01
2007-05-18,2.06
2007-05-25,2.09
2007-06-01,2.05
2007-06-08,2.09
2007-06-15,2.09
2007-06-22,2.14
2007-06-29,2.09
2007-07-06,2.14
2007-07-13,2.15
2007-07-20,2.12
2007-07-27,2.12
2007-08-03,2.15
2007-08-10,2.05
2007-08-17,2.09
2007-08-24,2.08
2007-08-31,2.12
2007-09-07,2.18
2007-09-14,2.26
2007-09-21,2.32
2007-09-28,2.29
2007-10-05,2.29
2007-10-12,2.28
2007-10-19,2.40
2007-10-26,2.43
2007-11-02,2.58
2007-11-09,2.69
2007-11-16,2.63
2007-11-23,2.74
2007-11-30,2.66
2007-12-07,2.56
2007-12-14,2.60
2007-12-21,2.59
2007-12-28,2.65
2008-01-04,2.72
2008-01-11,2.62
2008-01-18,2.59
2008-01-25,2.53
2008-02-01,2.56
2008-02-08,2.53
2008-02-15,2.72
2008-02-22,2.84
2008-02-29,2.89
2008-03-07,3.03
2008-03-14,3.22
2008-03-21,3.22
2008-03-28,3.07
2008-04-04,3.08
2008-04-11,3.35
2008-04-18,3.47
2008-04-25,3.49
2008-05-02,3.35
2008-05-09,3.58
2008-05-16,3.75
2008-05-23,3.97
2008-05-30,3.85
2008-06-06,3.78
2008-06-13,3.95
2008-06-20,3.85
2008-06-27,3.91
2008-07-04,4.11
2008-07-11,4.05
2008-07-18,3.95
2008-07-25,3.72
2008-08-01,3.60
2008-08-08,3.33
2008-08-15,3.15
2008-08-22,3.23
2008-08-29,3.32
2008-09-05,3.22
2008-09-12,3.71
2008-09-19,3.47
2008-09-26,3.24
2008-10-03,2.87
2008-10-10,2.52
2008-10-17,2.29
2008-10-24,2.14
2008-10-31,2.02
2008-11-07,2.05
2008-11-14,1.93
2008-11-21,1.76
2008-11-28,1.76
2008-12-05,1.54
2008-12-12,1.33
2008-12-19,1.35
2008-12-26,1.31
2009-01-02,1.36
2009-01-09,1.58
2009-01-16,1.50
2009-01-23,1.38
2009-01-30,1.39
2009-02-06,1.33
2009-02-13,1.29
2009-02-20,1.17
2009-02-27,1.23
2009-03-06,1.16
2009-03-13,1.17
2009-03-20,1.26
2009-03-27,1.45
2009-04-03,1.38
2009-04-10,1.41
2009-04-17,1.41
2009-04-24,1.33
2009-05-01,1.31
2009-05-08,1.43
2009-05-15,1.46
2009-05-22,1.51
2009-05-29,1.59
2009-06-05,1.76
2009-06-12,1.82
2009-06-19,1.84
2009-06-26,1.80
2009-07-03,1.78
2009-07-10,1.61
2009-07-17,1.63
2009-07-24,1.79
2009-07-31,1.80
2009-08-07,1.92
2009-08-14,1.90
2009-08-21,1.88
2009-08-28,1.87
2009-09-04,1.73
2009-09-11,1.74
2009-09-18,1.79
2009-09-25,1.75
2009-10-02,1.75
2009-10-09,1.81
2009-10-16,1.95
2009-10-23,2.05
2009-10-30,2.02
2009-11-06,2.00
2009-11-13,1.97
2009-11-20,2.00
2009-11-27,1.96
2009-12-04,2.01
2009-12-11,1.93
2009-12-18,1.94
2009-12-25,1.96
2010-01-01,2.07
2010-01-08,2.17
2010-01-15,2.10
2010-01-22,1.99
2010-01-29,1.94
2010-02-05,1.96
2010-02-12,1.93
2010-02-19,2.03
2010-02-26,2.05
2010-03-05,2.09
2010-03-12,2.11
2010-03-19,2.10
2010-03-26,2.09
2010-04-02,2.18
2010-04-09,2.26
2010-04-16,2.24
2010-04-23,2.21
2010-04-30,2.27
2010-05-07,2.20
2010-05-14,2.13
2010-05-21,1.96
2010-05-28,1.97
2010-06-04,2.02
2010-06-11,2.02
2010-06-18,2.11
2010-06-25,2.10
2010-07-02,1.99
2010-07-09,1.99
2010-07-16,2.03
2010-07-23,2.05
2010-07-30,2.04
2010-08-06,2.18
2010-08-13,2.09
2010-08-20,2.05
2010-08-27,2.03
2010-09-03,2.05
2010-09-10,2.09
2010-09-17,2.12
2010-09-24,2.12
2010-10-01,2.19
2010-10-08,2.26
2010-10-15,2.25
2010-10-22,2.23
2010-10-29,2.25
2010-11-05,2.31
2010-11-12,2.39
2010-11-19,2.29
2010-11-26,2.29
2010-12-03,2.38
2010-12-10,2.42
2010-12-17,2.45
2010-12-24,2.48
2010-12-31,2.49
2011-01-07,2.51
2011-01-14,2.62
2011-01-21,2.66
2011-01-28,2.67
2011-02-04,2.77
2011-02-11,2.78
2011-02-18,2.82
2011-02-25,2.96
2011-03-04,3.13
2011-03-11,3.10
2011-03-18,3.10
2011-03-25,3.15
2011-04-01,3.15
2011-04-08,3.27
2011-04-15,3.25
2011-04-22,3.24
2011-04-29,3.32
2011-05-06,3.18
2011-05-13,3.09
2011-05-20,3.02
2011-05-27,3.04
2011-06-03,3.12
2011-06-10,3.15
2011-06-17,3.12
2011-06-24,2.93
2011-07-01,2.94
2011-07-08,3.08
2011-07-15,3.14
2011-07-22,3.16
2011-07-29,3.16
2011-08-05,3.06
2011-08-12,2.91
2011-08-19,2.99
2011-08-26,3.02
2011-09-02,3.08
2011-09-09,3.02
2011-09-16,2.96
2011-09-23,2.90
2011-09-30,2.88
2011-10-07,2.86
2011-10-14,2.95
2011-10-21,3.00
2011-10-28,3.04
2011-11-04,3.03
2011-11-11,3.13
2011-11-18,3.09
2011-11-25,2.95
2011-12-02,2.97
2011-12-09,2.91
2011-12-16,2.79
2011-12-23,2.85
2011-12-30,2.91
2012-01-06,3.08
2012-01-13,3.13
2012-01-20,3.07
2012-01-27,3.07
2012-02-03,3.09
2012-02-10,3.20
2012-02-17,3.18
2012-02-24,3.29
2012-03-02,3.25
2012-03-09,3.25
2012-03-16,3.29
2012-03-23,3.24
2012-03-30,3.26
2012-04-06,3.27
2012-04-13,3.21
2012-04-20,3.21
2012-04-27,3.22
2012-05-04,3.19
2012-05-11,3.04
2012-05-18,2.95
2012-05-25,2.88
2012-06-01,2.77
2012-06-08,2.70
2012-06-15,2.68
2012-06-22,2.66
2012-06-29,2.67
2012-07-06,2.80
2012-07-13,2.85
2012-07-20,2.96
2012-07-27,2.93
2012-08-03,2.96
2012-08-10,3.11
2012-08-17,3.17
2012-08-24,3.20
2012-08-31,3.26
2012-09-07,3.23
2012-09-14,3.26
2012-09-21,3.14
2012-09-28,3.14
2012-10-05,3.14
2012-10-12,3.21
2012-10-19,3.15
2012-10-26,3.02
2012-11-02,2.95
2012-11-09,2.91
2012-11-16,2.92
2012-11-23,3.04
2012-11-30,3.00
2012-12-07,2.93
2012-12-14,2.88
2012-12-21,2.94
2012-12-28,3.02
2013-01-04,2.99
2013-01-11,3.07
2013-01-18,3.09
2013-01-25,3.13
2013-02-01,3.18
2013-02-08,3.25
2013-02-15,3.28
2013-02-22,3.21
2013-03-01,3.09
2013-03-08,3.01
2013-03-15,2.99
2013-03-22,2.92
2013-03-29,2.94
2013-04-05,2.96
2013-04-12,2.88
2013-04-19,2.69
2013-04-26,2.73
2013-05-03,2.69
2013-05-10,2.75
2013-05-17,2.74
2013-05-24,2.74
2013-05-31,2.71
2013-06-07,2.76
2013-06-14,2.79
2013-06-21,2.80
2013-06-28,2.74
2013-07-05,2.81
2013-07-12,2.89
2013-07-19,2.94
2013-07-26,2.90
2013-08-02,2.94
2013-08-09,2.92
2013-08-16,2.99
2013-08-23,3.02
2013-08-30,3.10
2013-09-06,3.04
2013-09-13,2.98
2013-09-20,2.91
2013-09-27,2.85
2013-10-04,2.86
2013-10-11,2.92
2013-10-18,2.90
2013-10-25,2.85
2013-11-01,2.88
2013-11-08,2.75
2013-11-15,2.79
2013-11-22,2.86
2013-11-29,2.94
2013-12-06,2.95
2013-12-13,2.91
2013-12-20,2.93
2013-12-27,3.03
2014-01-03,2.96
2014-01-10,2.91
2014-01-17,2.91
2014-01-24,2.94
2014-01-31,2.93
2014-02-07,2.88
2014-02-14,2.98
2014-02-21,3.05
2014-02-28,2.97
2014-03-07,2.99
2014-03-14,2.90
2014-03-21,2.83
2014-03-28,2.85
2014-04-04,2.83
2014-04-11,2.86
2014-04-18,2.93
2014-04-25,2.94
2014-05-02,2.87
2014-05-09,2.84
2014-05-16,2.89
2014-05-23,2.89
2014-05-30,2.85
2014-06-06,2.80
2014-06-13,2.85
2014-06-20,2.95
2014-06-27,2.94
2014-07-04,2.85
2014-07-11,2.79
2014-07-18,2.79
2014-07-25,2.83
2014-08-01,2.84
