Date,UNAPNO
2004-04-01,4048000000.00
2004-05-01,5911000000.00
2004-06-01,6420000000.00
2004-07-01,10315000000.00
2004-08-01,6064000000.00
2004-09-01,6086000000.00
2004-10-01,4061000000.00
2004-11-01,8956000000.00
2004-12-01,10814000000.00
2005-01-01,4379000000.00
2005-02-01,6092000000.00
2005-03-01,5549000000.00
2005-04-01,4752000000.00
2005-05-01,17984000000.00
2005-06-01,14506000000.00
2005-07-01,9008000000.00
2005-08-01,12167000000.00
2005-09-01,6805000000.00
2005-10-01,8899000000.00
2005-11-01,24660000000.00
2005-12-01,28432000000.00
2006-01-01,6422000000.00
2006-02-01,11129000000.00
2006-03-01,21462000000.00
2006-04-01,11792000000.00
2006-05-01,10110000000.00
2006-06-01,12985000000.00
2006-07-01,8329000000.00
2006-08-01,6709000000.00
2006-09-01,23816000000.00
2006-10-01,11622000000.00
2006-11-01,14692000000.00
2006-12-01,25401000000.00
2007-01-01,8062000000.00
2007-02-01,13428000000.00
2007-03-01,24507000000.00
2007-04-01,17925000000.00
2007-05-01,14565000000.00
2007-06-01,23413000000.00
2007-07-01,20475000000.00
2007-08-01,14855000000.00
2007-09-01,17640000000.00
2007-10-01,13395000000.00
2007-11-01,21533000000.00
2007-12-01,36494000000.00
2008-01-01,15242000000.00
2008-02-01,15876000000.00
2008-03-01,21078000000.00
2008-04-01,10627000000.00
2008-05-01,13442000000.00
2008-06-01,12797000000.00
2008-07-01,9758000000.00
2008-08-01,8441000000.00
2008-09-01,10103000000.00
2008-10-01,6411000000.00
2008-11-01,5136000000.00
2008-12-01,15352000000.00
2009-01-01,1887000000.00
2009-02-01,-3793000000.00
2009-03-01,1366000000.00
2009-04-01,-3882000000.00
2009-05-01,1614000000.00
2009-06-01,680000000.00
2009-07-01,3382000000.00
2009-08-01,1816000000.00
2009-09-01,335000000.00
2009-10-01,1258000000.00
2009-11-01,1290000000.00
2009-12-01,6047000000.00
2010-01-01,3756000000.00
2010-02-01,8460000000.00
2010-03-01,4409000000.00
2010-04-01,8017000000.00
2010-05-01,5489000000.00
2010-06-01,5777000000.00
2010-07-01,7524000000.00
2010-08-01,5379000000.00
2010-09-01,13228000000.00
2010-10-01,10875000000.00
2010-11-01,6141000000.00
2010-12-01,12267000000.00
2011-01-01,5211000000.00
2011-02-01,8190000000.00
2011-03-01,13231000000.00
2011-04-01,5252000000.00
2011-05-01,9250000000.00
2011-06-01,7837000000.00
2011-07-01,9841000000.00
2011-08-01,15076000000.00
2011-09-01,10956000000.00
2011-10-01,6443000000.00
2011-11-01,16780000000.00
2011-12-01,33122000000.00
2012-01-01,15190000000.00
2012-02-01,18681000000.00
2012-03-01,12936000000.00
2012-04-01,7701000000.00
2012-05-01,10634000000.00
2012-06-01,12759000000.00
2012-07-01,21016000000.00
2012-08-01,2872000000.00
2012-09-01,18134000000.00
2012-10-01,14831000000.00
2012-11-01,14992000000.00
2012-12-01,30751000000.00
2013-01-01,7053000000.00
2013-02-01,21340000000.00
2013-03-01,12014000000.00
2013-04-01,8602000000.00
2013-05-01,18738000000.00
2013-06-01,31128000000.00
2013-07-01,12415000000.00
2013-08-01,9922000000.00
2013-09-01,23452000000.00
2013-10-01,15511000000.00
2013-11-01,25410000000.00
2013-12-01,37293000000.00
2014-01-01,8745000000.00
2014-02-01,15244000000.00
2014-03-01,17191000000.00
2014-04-01,8703000000.00
2014-05-01,12135000000.00
2014-06-01,18222000000.00
2014-07-01,72574000000.00
2014-08-01,13666000000.00
2014-09-01,18185000000.00
2014-10-01,10802000000.00
2014-11-01,16757000000.00
2014-12-01,22892000000.00
2015-01-01,6788000000.00
2015-02-01,7831000000.00
2015-03-01,16961000000.00
2015-04-01,7841000000.00
2015-05-01,4211000000.00
2015-06-01,19196000000.00
2015-07-01,15281000000.00
2015-08-01,9550000000.00
2015-09-01,11200000000.00
2015-10-01,12351000000.00
2015-11-01,13234000000.00
2015-12-01,24335000000.00
2016-01-01,9967000000.00
2016-02-01,5887000000.00
2016-03-01,10033000000.00
2016-04-01,10771000000.00
2016-05-01,13448000000.00
2016-06-01,9270000000.00
2016-07-01,11958000000.00
2016-08-01,5799000000.00
2016-09-01,11567000000.00
2016-10-01,20732000000.00
2016-11-01,8821000000.00
2016-12-01,18965000000.00
2017-01-01,3943000000.00
2017-02-01,8354000000.00
2017-03-01,16831000000.00
2017-04-01,7410000000.00
2017-05-01,8260000000.00
2017-06-01,30121000000.00
2017-07-01,8248000000.00
2017-08-01,8150000000.00
2017-09-01,14749000000.00
2017-10-01,10690000000.00
2017-11-01,16561000000.00
2017-12-01,27811000000.00
2018-01-01,6646000000.00
2018-02-01,10707000000.00
2018-03-01,26361000000.00
2018-04-01,11526000000.00
2018-05-01,12999000000.00
