Date,PCETRIM12M159SFRBDAL
1993-10-01,2.50
1993-11-01,2.43
1993-12-01,2.40
1994-01-01,2.36
1994-02-01,2.36
1994-03-01,2.42
1994-04-01,2.31
1994-05-01,2.27
1994-06-01,2.34
1994-07-01,2.35
1994-08-01,2.34
1994-09-01,2.31
1994-10-01,2.26
1994-11-01,2.28
1994-12-01,2.25
1995-01-01,2.35
1995-02-01,2.29
1995-03-01,2.24
1995-04-01,2.30
1995-05-01,2.26
1995-06-01,2.18
1995-07-01,2.15
1995-08-01,2.20
1995-09-01,2.21
1995-10-01,2.30
1995-11-01,2.26
1995-12-01,2.30
1996-01-01,2.24
1996-02-01,2.24
1996-03-01,2.25
1996-04-01,2.21
1996-05-01,2.24
1996-06-01,2.28
1996-07-01,2.32
1996-08-01,2.31
1996-09-01,2.37
1996-10-01,2.34
1996-11-01,2.40
1996-12-01,2.39
1997-01-01,2.35
1997-02-01,2.36
1997-03-01,2.31
1997-04-01,2.31
1997-05-01,2.23
1997-06-01,2.22
1997-07-01,2.13
1997-08-01,2.05
1997-09-01,2.04
1997-10-01,1.89
1997-11-01,1.80
1997-12-01,1.72
1998-01-01,1.65
1998-02-01,1.60
1998-03-01,1.63
1998-04-01,1.61
1998-05-01,1.69
1998-06-01,1.62
1998-07-01,1.67
1998-08-01,1.73
1998-09-01,1.68
1998-10-01,1.75
1998-11-01,1.76
1998-12-01,1.80
1999-01-01,1.83
1999-02-01,1.79
1999-03-01,1.72
1999-04-01,1.77
1999-05-01,1.71
1999-06-01,1.72
1999-07-01,1.77
1999-08-01,1.73
1999-09-01,1.77
1999-10-01,1.78
1999-11-01,1.82
1999-12-01,1.85
2000-01-01,1.98
2000-02-01,2.09
2000-03-01,2.21
2000-04-01,2.16
2000-05-01,2.22
2000-06-01,2.28
2000-07-01,2.30
2000-08-01,2.33
2000-09-01,2.39
2000-10-01,2.43
2000-11-01,2.46
2000-12-01,2.49
2001-01-01,2.49
2001-02-01,2.50
2001-03-01,2.46
2001-04-01,2.56
2001-05-01,2.56
2001-06-01,2.64
2001-07-01,2.61
2001-08-01,2.64
2001-09-01,2.52
2001-10-01,2.50
2001-11-01,2.46
2001-12-01,2.38
2002-01-01,2.24
2002-02-01,2.23
2002-03-01,2.22
2002-04-01,2.17
2002-05-01,2.12
2002-06-01,2.02
2002-07-01,2.04
2002-08-01,2.01
2002-09-01,2.08
2002-10-01,2.08
2002-11-01,2.06
2002-12-01,2.10
2003-01-01,2.07
2003-02-01,2.01
2003-03-01,2.01
2003-04-01,1.85
2003-05-01,1.82
2003-06-01,1.74
2003-07-01,1.76
2003-08-01,1.78
2003-09-01,1.75
2003-10-01,1.72
2003-11-01,1.71
2003-12-01,1.73
2004-01-01,1.83
2004-02-01,1.91
2004-03-01,1.90
2004-04-01,2.14
2004-05-01,2.23
2004-06-01,2.37
2004-07-01,2.34
2004-08-01,2.31
2004-09-01,2.27
2004-10-01,2.28
2004-11-01,2.29
2004-12-01,2.32
2005-01-01,2.38
2005-02-01,2.39
2005-03-01,2.42
2005-04-01,2.29
2005-05-01,2.26
2005-06-01,2.18
2005-07-01,2.21
2005-08-01,2.23
2005-09-01,2.38
2005-10-01,2.47
2005-11-01,2.54
2005-12-01,2.50
2006-01-01,2.44
2006-02-01,2.37
2006-03-01,2.39
2006-04-01,2.49
2006-05-01,2.59
2006-06-01,2.75
2006-07-01,2.77
2006-08-01,2.84
2006-09-01,2.73
2006-10-01,2.63
2006-11-01,2.50
2006-12-01,2.63
2007-01-01,2.72
2007-02-01,2.87
2007-03-01,2.80
2007-04-01,2.70
2007-05-01,2.55
2007-06-01,2.46
2007-07-01,2.38
2007-08-01,2.33
2007-09-01,2.42
2007-10-01,2.51
2007-11-01,2.67
2007-12-01,2.63
2008-01-01,2.52
2008-02-01,2.39
2008-03-01,2.46
2008-04-01,2.50
2008-05-01,2.57
2008-06-01,2.60
2008-07-01,2.71
2008-08-01,2.65
2008-09-01,2.57
2008-10-01,2.44
2008-11-01,2.37
2008-12-01,2.23
2009-01-01,2.31
2009-02-01,2.31
2009-03-01,2.20
2009-04-01,2.17
2009-05-01,2.07
2009-06-01,1.97
2009-07-01,1.71
2009-08-01,1.69
2009-09-01,1.58
2009-10-01,1.61
2009-11-01,1.50
2009-12-01,1.46
2010-01-01,1.26
2010-02-01,1.15
2010-03-01,1.07
2010-04-01,0.95
2010-05-01,0.91
2010-06-01,0.86
2010-07-01,0.90
2010-08-01,0.91
2010-09-01,0.93
2010-10-01,0.82
2010-11-01,0.85
2010-12-01,0.88
2011-01-01,0.97
2011-02-01,1.09
2011-03-01,1.23
2011-04-01,1.39
2011-05-01,1.53
2011-06-01,1.59
2011-07-01,1.69
2011-08-01,1.76
2011-09-01,1.82
2011-10-01,1.93
2011-11-01,1.98
2011-12-01,2.06
2012-01-01,2.11
2012-02-01,2.04
2012-03-01,2.05
2012-04-01,2.02
2012-05-01,1.95
2012-06-01,1.90
2012-07-01,1.82
2012-08-01,1.78
2012-09-01,1.78
2012-10-01,1.76
2012-11-01,1.70
2012-12-01,1.62
2013-01-01,1.59
2013-02-01,1.65
2013-03-01,1.58
2013-04-01,1.43
2013-05-01,1.39
2013-06-01,1.46
2013-07-01,1.50
2013-08-01,1.50
2013-09-01,1.50
2013-10-01,1.49
2013-11-01,1.55
2013-12-01,1.60
2014-01-01,1.59
2014-02-01,1.52
2014-03-01,1.57
2014-04-01,1.71
2014-05-01,1.76
2014-06-01,1.74
2014-07-01,1.78
2014-08-01,1.73
2014-09-01,1.72
2014-10-01,1.70
2014-11-01,1.69
2014-12-01,1.65
2015-01-01,1.55
2015-02-01,1.60
2015-03-01,1.60
2015-04-01,1.62
2015-05-01,1.59
2015-06-01,1.63
2015-07-01,1.61
2015-08-01,1.64
2015-09-01,1.66
2015-10-01,1.62
2015-11-01,1.62
2015-12-01,1.62
2016-01-01,1.72
2016-02-01,1.74
2016-03-01,1.72
2016-04-01,1.75
2016-05-01,1.79
2016-06-01,1.74
2016-07-01,1.77
2016-08-01,1.79
2016-09-01,1.79
2016-10-01,1.88
2016-11-01,1.85
2016-12-01,1.91
2017-01-01,1.94
2017-02-01,1.90
2017-03-01,1.82
2017-04-01,1.76
2017-05-01,1.71
2017-06-01,1.70
2017-07-01,1.64
2017-08-01,1.61
2017-09-01,1.62
2017-10-01,1.62
2017-11-01,1.65
2017-12-01,1.67
2018-01-01,1.70
2018-02-01,1.69
2018-03-01,1.76
2018-04-01,1.77
2018-05-01,1.84
