Date,CPIULFNS
1979-03-01,68.10
1979-04-01,68.90
1979-05-01,69.80
1979-06-01,70.80
1979-07-01,71.60
1979-08-01,72.50
1979-09-01,73.40
1979-10-01,74.10
1979-11-01,74.90
1979-12-01,75.60
1980-01-01,76.80
1980-02-01,78.00
1980-03-01,79.20
1980-04-01,80.10
1980-05-01,81.00
1980-06-01,82.00
1980-07-01,81.90
1980-08-01,82.30
1980-09-01,83.00
1980-10-01,83.80
1980-11-01,84.60
1980-12-01,85.40
1981-01-01,86.10
1981-02-01,87.00
1981-03-01,87.60
1981-04-01,88.30
1981-05-01,89.20
1981-06-01,90.00
1981-07-01,91.10
1981-08-01,91.80
1981-09-01,92.90
1981-10-01,93.20
1981-11-01,93.60
1981-12-01,93.80
1982-01-01,94.00
1982-02-01,94.20
1982-03-01,94.10
1982-04-01,94.50
1982-05-01,95.50
1982-06-01,96.80
1982-07-01,97.40
1982-08-01,97.70
1982-09-01,97.80
1982-10-01,98.20
1982-11-01,98.10
1982-12-01,97.60
1983-01-01,97.70
1983-02-01,97.70
1983-03-01,97.70
1983-04-01,98.50
1983-05-01,99.10
1983-06-01,99.50
1983-07-01,100.00
1983-08-01,100.40
1983-09-01,101.00
1983-10-01,101.30
1983-11-01,101.50
1983-12-01,101.60
1984-01-01,101.80
1984-02-01,102.20
1984-03-01,102.50
1984-04-01,103.10
1984-05-01,103.60
1984-06-01,103.90
1984-07-01,104.20
1984-08-01,104.60
1984-09-01,105.30
1984-10-01,105.60
1984-11-01,105.60
1984-12-01,105.60
1985-01-01,105.70
1985-02-01,106.00
1985-03-01,106.60
1985-04-01,107.20
1985-05-01,107.70
1985-06-01,108.10
1985-07-01,108.30
1985-08-01,108.60
1985-09-01,109.00
1985-10-01,109.40
1985-11-01,109.70
1985-12-01,109.90
1986-01-01,110.10
1986-02-01,109.70
1986-03-01,109.10
1986-04-01,108.80
1986-05-01,109.10
1986-06-01,109.80
1986-07-01,109.60
1986-08-01,109.60
1986-09-01,110.20
1986-10-01,110.30
1986-11-01,110.40
1986-12-01,110.40
1987-01-01,111.00
1987-02-01,111.40
1987-03-01,112.00
1987-04-01,112.70
1987-05-01,113.00
1987-06-01,113.50
1987-07-01,113.80
1987-08-01,114.50
1987-09-01,115.10
1987-10-01,115.50
1987-11-01,115.70
1987-12-01,115.50
1988-01-01,115.70
1988-02-01,116.00
1988-03-01,116.60
1988-04-01,117.20
1988-05-01,117.60
1988-06-01,118.10
1988-07-01,118.40
1988-08-01,118.90
1988-09-01,119.70
1988-10-01,120.20
1988-11-01,120.30
1988-12-01,120.40
1989-01-01,120.80
1989-02-01,121.30
1989-03-01,122.00
1989-04-01,122.90
1989-05-01,123.50
1989-06-01,123.90
1989-07-01,124.20
1989-08-01,124.30
1989-09-01,124.80
1989-10-01,125.40
1989-11-01,125.60
1989-12-01,125.80
1990-01-01,126.70
1990-02-01,127.30
1990-03-01,128.10
1990-04-01,128.40
1990-05-01,128.70
1990-06-01,129.40
1990-07-01,130.00
1990-08-01,131.30
1990-09-01,132.60
1990-10-01,133.50
1990-11-01,133.70
1990-12-01,133.70
1991-01-01,134.30
1991-02-01,134.60
1991-03-01,134.80
1991-04-01,134.90
1991-05-01,135.40
1991-06-01,135.70
1991-07-01,136.10
1991-08-01,136.70
1991-09-01,137.40
1991-10-01,137.70
1991-11-01,138.00
1991-12-01,138.10
1992-01-01,138.30
1992-02-01,138.80
1992-03-01,139.50
1992-04-01,139.70
1992-05-01,140.10
1992-06-01,140.70
1992-07-01,141.10
1992-08-01,141.40
1992-09-01,141.80
1992-10-01,142.40
1992-11-01,142.70
1992-12-01,142.50
1993-01-01,143.10
1993-02-01,143.70
1993-03-01,144.20
1993-04-01,144.60
1993-05-01,144.80
1993-06-01,145.10
1993-07-01,145.20
1993-08-01,145.60
1993-09-01,145.90
1993-10-01,146.40
1993-11-01,146.60
1993-12-01,146.40
1994-01-01,146.60
1994-02-01,147.30
1994-03-01,148.00
1994-04-01,148.10
1994-05-01,148.30
1994-06-01,148.80
1994-07-01,149.10
1994-08-01,149.80
1994-09-01,150.20
1994-10-01,150.40
1994-11-01,150.60
1994-12-01,150.20
1995-01-01,150.80
1995-02-01,151.50
1995-03-01,152.10
1995-04-01,152.50
1995-05-01,152.90
1995-06-01,153.30
1995-07-01,153.40
1995-08-01,153.70
1995-09-01,154.00
1995-10-01,154.40
1995-11-01,154.40
1995-12-01,154.20
1996-01-01,155.00
1996-02-01,155.70
1996-03-01,156.50
1996-04-01,157.00
1996-05-01,157.40
1996-06-01,157.50
1996-07-01,157.70
1996-08-01,157.90
1996-09-01,158.40
1996-10-01,158.80
1996-11-01,159.00
1996-12-01,159.00
1997-01-01,159.60
1997-02-01,160.20
1997-03-01,160.60
1997-04-01,160.80
1997-05-01,160.70
1997-06-01,161.00
1997-07-01,161.10
1997-08-01,161.30
1997-09-01,161.80
1997-10-01,162.20
1997-11-01,162.10
1997-12-01,161.80
1998-01-01,161.90
1998-02-01,162.30
1998-03-01,162.60
1998-04-01,163.00
1998-05-01,163.30
1998-06-01,163.50
1998-07-01,163.60
1998-08-01,163.90
1998-09-01,164.10
1998-10-01,164.40
1998-11-01,164.30
1998-12-01,164.20
1999-01-01,164.50
1999-02-01,164.70
1999-03-01,165.30
1999-04-01,166.70
1999-05-01,166.60
1999-06-01,166.70
1999-07-01,167.20
1999-08-01,167.70
1999-09-01,168.50
1999-10-01,168.80
1999-11-01,168.80
1999-12-01,168.80
2000-01-01,169.30
2000-02-01,170.50
2000-03-01,172.00
2000-04-01,172.20
2000-05-01,172.20
2000-06-01,173.30
2000-07-01,173.60
2000-08-01,173.50
2000-09-01,174.60
2000-10-01,174.90
2000-11-01,175.00
2000-12-01,174.70
2001-01-01,175.90
2001-02-01,176.60
2001-03-01,177.10
2001-04-01,177.80
2001-05-01,178.60
2001-06-01,179.00
2001-07-01,178.20
2001-08-01,178.20
2001-09-01,179.00
2001-10-01,178.20
2001-11-01,177.80
2001-12-01,177.00
2002-01-01,177.40
2002-02-01,178.20
2002-03-01,179.20
2002-04-01,180.40
2002-05-01,180.40
2002-06-01,180.60
2002-07-01,180.80
2002-08-01,181.50
2002-09-01,181.80
2002-10-01,182.20
2002-11-01,182.10
2002-12-01,181.60
2003-01-01,182.40
2003-02-01,183.90
2003-03-01,185.20
2003-04-01,184.70
2003-05-01,184.30
2003-06-01,184.50
2003-07-01,184.60
2003-08-01,185.30
2003-09-01,186.00
2003-10-01,185.60
2003-11-01,184.90
2003-12-01,184.40
2004-01-01,185.50
2004-02-01,186.60
2004-03-01,188.00
2004-04-01,188.60
2004-05-01,189.60
2004-06-01,190.30
2004-07-01,189.90
2004-08-01,189.90
2004-09-01,190.40
2004-10-01,191.40
2004-11-01,191.50
2004-12-01,190.60
2005-01-01,190.90
2005-02-01,192.30
2005-03-01,194.00
2005-04-01,195.30
2005-05-01,195.10
2005-06-01,195.20
2005-07-01,196.10
2005-08-01,197.30
2005-09-01,200.00
2005-10-01,200.40
2005-11-01,198.50
2005-12-01,197.40
2006-01-01,199.00
2006-02-01,199.50
2006-03-01,200.80
2006-04-01,202.80
2006-05-01,203.90
2006-06-01,204.30
2006-07-01,204.90
2006-08-01,205.40
2006-09-01,204.10
2006-10-01,202.60
2006-11-01,202.30
2006-12-01,202.60
2007-01-01,203.04
2007-02-01,204.10
2007-03-01,206.20
2007-04-01,207.68
2007-05-01,208.99
2007-06-01,209.35
2007-07-01,209.18
2007-08-01,208.61
2007-09-01,209.10
2007-10-01,209.48
2007-11-01,210.85
2007-12-01,210.61
2008-01-01,211.51
2008-02-01,212.14
2008-03-01,214.24
2008-04-01,215.46
2008-05-01,217.41
2008-06-01,219.76
2008-07-01,220.76
2008-08-01,219.55
2008-09-01,218.99
2008-10-01,216.25
2008-11-01,211.42
2008-12-01,208.86
2009-01-01,209.78
2009-02-01,211.08
2009-03-01,211.78
2009-04-01,212.46
2009-05-01,213.24
2009-06-01,215.39
2009-07-01,215.07
2009-08-01,215.62
2009-09-01,215.80
2009-10-01,215.99
2009-11-01,216.21
2009-12-01,215.70
2010-01-01,216.36
2010-02-01,216.44
2010-03-01,217.43
2010-04-01,217.84
2010-05-01,218.01
2010-06-01,217.79
2010-07-01,217.86
2010-08-01,218.15
2010-09-01,218.18
2010-10-01,218.43
2010-11-01,218.54
2010-12-01,218.92
2011-01-01,219.82
2011-02-01,220.94
2011-03-01,223.19
2011-04-01,224.73
2011-05-01,225.83
2011-06-01,225.49
2011-07-01,225.57
2011-08-01,226.09
2011-09-01,226.33
2011-10-01,225.72
2011-11-01,225.53
2011-12-01,224.81
2012-01-01,225.74
2012-02-01,226.93
2012-03-01,228.89
2012-04-01,229.62
2012-05-01,229.29
2012-06-01,228.86
2012-07-01,228.42
2012-08-01,229.81
2012-09-01,230.99
2012-10-01,230.79
2012-11-01,229.51
2012-12-01,228.71
2013-01-01,229.34
2013-02-01,231.54
2013-03-01,232.24
2013-04-01,231.88
2013-05-01,232.41
2013-06-01,233.02
2013-07-01,233.09
2013-08-01,233.35
2013-09-01,233.65
2013-10-01,232.89
2013-11-01,232.38
2013-12-01,232.31
2014-01-01,233.16
2014-02-01,234.05
2014-03-01,235.67
2014-04-01,236.43
2014-05-01,237.23
2014-06-01,237.74
2014-07-01,237.52
2014-08-01,236.94
2014-09-01,237.02
2014-10-01,236.24
2014-11-01,234.75
2014-12-01,233.08
2015-01-01,231.71
2015-02-01,232.86
2015-03-01,234.58
2015-04-01,235.13
2015-05-01,236.51
2015-06-01,237.40
2015-07-01,237.37
2015-08-01,236.87
2015-09-01,236.29
2015-10-01,236.10
2015-11-01,235.63
2015-12-01,234.76
2016-01-01,235.10
2016-02-01,235.30
2016-03-01,236.60
2016-04-01,237.84
2016-05-01,239.04
2016-06-01,240.01
2016-07-01,239.55
2016-08-01,239.78
2016-09-01,240.42
2016-10-01,240.74
2016-11-01,240.40
2016-12-01,240.51
2017-01-01,241.99
2017-02-01,242.79
2017-03-01,242.96
2017-04-01,243.71
2017-05-01,243.91
2017-06-01,244.22
2017-07-01,243.94
2017-08-01,244.74
2017-09-01,246.16
2017-10-01,245.93
2017-11-01,246.01
2017-12-01,245.79
2018-01-01,247.16
2018-02-01,248.47
2018-03-01,249.10
2018-04-01,250.12
2018-05-01,251.33
