Date,IPB5610CN
1978-12-01,89.82
1979-01-01,88.19
1979-02-01,90.71
1979-03-01,91.79
1979-04-01,92.80
1979-05-01,91.96
1979-06-01,92.35
1979-07-01,88.13
1979-08-01,91.91
1979-09-01,91.76
1979-10-01,93.96
1979-11-01,94.35
1979-12-01,92.63
1980-01-01,93.12
1980-02-01,94.28
1980-03-01,95.07
1980-04-01,93.56
1980-05-01,92.68
1980-06-01,92.68
1980-07-01,87.70
1980-08-01,89.17
1980-09-01,91.06
1980-10-01,91.43
1980-11-01,93.33
1980-12-01,93.99
1981-01-01,93.10
1981-02-01,95.62
1981-03-01,96.16
1981-04-01,91.83
1981-05-01,91.64
1981-06-01,94.85
1981-07-01,94.19
1981-08-01,96.67
1981-09-01,96.22
1981-10-01,96.19
1981-11-01,95.43
1981-12-01,94.05
1982-01-01,93.56
1982-02-01,96.18
1982-03-01,94.58
1982-04-01,91.52
1982-05-01,89.53
1982-06-01,88.81
1982-07-01,85.32
1982-08-01,87.30
1982-09-01,86.46
1982-10-01,86.88
1982-11-01,86.88
1982-12-01,85.04
1983-01-01,87.54
1983-02-01,87.28
1983-03-01,85.59
1983-04-01,85.74
1983-05-01,85.04
1983-06-01,85.23
1983-07-01,83.88
1983-08-01,86.55
1983-09-01,87.45
1983-10-01,89.20
1983-11-01,89.27
1983-12-01,87.98
1984-01-01,92.82
1984-02-01,93.22
1984-03-01,91.95
1984-04-01,92.51
1984-05-01,92.78
1984-06-01,93.37
1984-07-01,92.05
1984-08-01,93.33
1984-09-01,94.28
1984-10-01,91.96
1984-11-01,92.37
1984-12-01,92.04
1985-01-01,91.74
1985-02-01,93.99
1985-03-01,93.19
1985-04-01,91.75
1985-05-01,91.12
1985-06-01,91.07
1985-07-01,87.55
1985-08-01,88.96
1985-09-01,90.29
1985-10-01,90.34
1985-11-01,89.45
1985-12-01,90.40
1986-01-01,91.74
1986-02-01,92.19
1986-03-01,89.27
1986-04-01,86.09
1986-05-01,85.17
1986-06-01,85.09
1986-07-01,81.72
1986-08-01,84.19
1986-09-01,83.70
1986-10-01,84.87
1986-11-01,85.80
1986-12-01,85.08
1987-01-01,87.22
1987-02-01,88.76
1987-03-01,87.67
1987-04-01,87.48
1987-05-01,86.77
1987-06-01,87.86
1987-07-01,85.77
1987-08-01,89.65
1987-09-01,90.66
1987-10-01,91.54
1987-11-01,92.86
1987-12-01,91.96
1988-01-01,92.46
1988-02-01,93.94
1988-03-01,93.41
1988-04-01,92.07
1988-05-01,91.13
1988-06-01,92.17
1988-07-01,89.65
1988-08-01,92.03
1988-09-01,91.33
1988-10-01,92.10
1988-11-01,92.64
1988-12-01,91.97
1989-01-01,93.30
1989-02-01,93.41
1989-03-01,93.15
1989-04-01,92.79
1989-05-01,91.36
1989-06-01,91.27
1989-07-01,89.16
1989-08-01,91.92
1989-09-01,92.20
1989-10-01,93.25
1989-11-01,94.13
1989-12-01,90.60
1990-01-01,95.08
1990-02-01,95.55
1990-03-01,94.42
1990-04-01,93.84
1990-05-01,92.41
1990-06-01,92.55
1990-07-01,91.30
1990-08-01,92.97
1990-09-01,93.27
1990-10-01,94.52
1990-11-01,94.18
1990-12-01,92.55
1991-01-01,93.36
1991-02-01,94.08
1991-03-01,92.38
1991-04-01,91.15
1991-05-01,89.74
1991-06-01,90.50
1991-07-01,88.49
1991-08-01,90.26
1991-09-01,90.84
1991-10-01,91.78
1991-11-01,91.00
1991-12-01,90.46
1992-01-01,91.47
1992-02-01,90.80
1992-03-01,91.23
1992-04-01,90.91
1992-05-01,89.40
1992-06-01,90.48
1992-07-01,89.56
1992-08-01,89.19
1992-09-01,90.56
1992-10-01,91.41
1992-11-01,91.26
1992-12-01,90.28
1993-01-01,90.62
1993-02-01,90.91
1993-03-01,89.65
1993-04-01,89.06
1993-05-01,87.95
1993-06-01,89.02
1993-07-01,86.58
1993-08-01,87.90
1993-09-01,88.69
1993-10-01,90.46
1993-11-01,90.96
1993-12-01,90.07
1994-01-01,89.53
1994-02-01,90.93
1994-03-01,92.22
1994-04-01,90.41
1994-05-01,90.20
1994-06-01,91.14
1994-07-01,89.33
1994-08-01,91.40
1994-09-01,91.51
1994-10-01,91.06
1994-11-01,91.86
1994-12-01,91.62
1995-01-01,92.49
1995-02-01,92.99
1995-03-01,92.18
1995-04-01,91.98
1995-05-01,91.64
1995-06-01,92.10
1995-07-01,91.01
1995-08-01,90.73
1995-09-01,90.82
1995-10-01,90.78
1995-11-01,90.51
1995-12-01,88.96
1996-01-01,88.84
1996-02-01,90.10
1996-03-01,90.65
1996-04-01,90.89
1996-05-01,90.29
1996-06-01,91.85
1996-07-01,90.56
1996-08-01,91.72
1996-09-01,91.88
1996-10-01,92.26
1996-11-01,92.21
1996-12-01,92.35
1997-01-01,92.24
1997-02-01,94.55
1997-03-01,94.18
1997-04-01,93.96
1997-05-01,93.89
1997-06-01,93.38
1997-07-01,92.64
1997-08-01,93.55
1997-09-01,94.34
1997-10-01,94.12
1997-11-01,93.67
1997-12-01,93.54
1998-01-01,95.10
1998-02-01,95.03
1998-03-01,93.60
1998-04-01,93.68
1998-05-01,93.20
1998-06-01,92.24
1998-07-01,90.04
1998-08-01,90.57
1998-09-01,89.06
1998-10-01,90.93
1998-11-01,89.93
1998-12-01,88.51
1999-01-01,89.53
1999-02-01,90.23
1999-03-01,90.55
1999-04-01,90.17
1999-05-01,90.28
1999-06-01,90.03
1999-07-01,88.70
1999-08-01,89.34
1999-09-01,89.79
1999-10-01,91.44
1999-11-01,91.94
1999-12-01,91.12
2000-01-01,90.43
2000-02-01,91.10
2000-03-01,91.85
2000-04-01,90.72
2000-05-01,89.78
2000-06-01,90.11
2000-07-01,88.61
2000-08-01,89.65
2000-09-01,89.95
2000-10-01,91.20
2000-11-01,89.96
2000-12-01,88.34
2001-01-01,88.30
2001-02-01,89.29
2001-03-01,89.07
2001-04-01,88.74
2001-05-01,87.54
2001-06-01,86.70
2001-07-01,85.92
2001-08-01,87.18
2001-09-01,88.02
2001-10-01,88.47
2001-11-01,87.35
2001-12-01,85.09
2002-01-01,85.82
2002-02-01,86.18
2002-03-01,85.62
2002-04-01,86.28
2002-05-01,86.56
2002-06-01,86.68
2002-07-01,85.63
2002-08-01,86.70
2002-09-01,85.85
2002-10-01,85.43
2002-11-01,86.49
2002-12-01,86.05
2003-01-01,86.26
2003-02-01,86.64
2003-03-01,87.32
2003-04-01,86.73
2003-05-01,85.71
2003-06-01,86.38
2003-07-01,84.92
2003-08-01,86.36
2003-09-01,86.77
2003-10-01,87.36
2003-11-01,86.57
2003-12-01,85.72
2004-01-01,86.52
2004-02-01,86.45
2004-03-01,87.25
2004-04-01,87.37
2004-05-01,87.22
2004-06-01,87.48
2004-07-01,88.13
2004-08-01,87.98
2004-09-01,86.33
2004-10-01,87.99
2004-11-01,89.09
2004-12-01,88.96
2005-01-01,88.47
2005-02-01,90.03
2005-03-01,90.80
2005-04-01,90.56
2005-05-01,89.36
2005-06-01,89.29
2005-07-01,88.40
2005-08-01,87.63
2005-09-01,77.87
2005-10-01,80.72
2005-11-01,84.07
2005-12-01,85.08
2006-01-01,86.89
2006-02-01,86.91
2006-03-01,87.67
2006-04-01,88.28
2006-05-01,88.73
2006-06-01,89.34
2006-07-01,89.06
2006-08-01,89.38
2006-09-01,89.46
2006-10-01,90.14
2006-11-01,88.95
2006-12-01,90.02
2007-01-01,88.72
2007-02-01,89.96
2007-03-01,90.74
2007-04-01,90.91
2007-05-01,91.63
2007-06-01,91.26
2007-07-01,90.42
2007-08-01,90.55
2007-09-01,90.88
2007-10-01,90.70
2007-11-01,92.20
2007-12-01,92.27
2008-01-01,91.52
2008-02-01,91.91
2008-03-01,92.83
2008-04-01,92.38
2008-05-01,92.21
2008-06-01,91.92
2008-07-01,92.64
2008-08-01,91.59
2008-09-01,80.97
2008-10-01,88.14
2008-11-01,88.83
2008-12-01,86.00
2009-01-01,85.01
2009-02-01,85.34
2009-03-01,83.43
2009-04-01,82.68
2009-05-01,82.89
2009-06-01,82.78
2009-07-01,83.12
2009-08-01,84.75
2009-09-01,84.84
2009-10-01,85.06
2009-11-01,85.29
2009-12-01,84.49
2010-01-01,86.14
2010-02-01,88.05
2010-03-01,88.74
2010-04-01,88.87
2010-05-01,88.87
2010-06-01,88.97
2010-07-01,89.17
2010-08-01,90.59
2010-09-01,91.65
2010-10-01,91.46
2010-11-01,91.01
2010-12-01,91.36
2011-01-01,91.16
2011-02-01,90.06
2011-03-01,92.53
2011-04-01,92.04
2011-05-01,92.31
2011-06-01,92.40
2011-07-01,92.07
2011-08-01,93.97
2011-09-01,94.24
2011-10-01,96.47
2011-11-01,97.20
2011-12-01,97.42
2012-01-01,98.77
2012-02-01,98.55
2012-03-01,98.52
2012-04-01,98.53
2012-05-01,98.34
2012-06-01,98.41
2012-07-01,99.51
2012-08-01,99.63
2012-09-01,100.92
2012-10-01,102.55
2012-11-01,103.30
2012-12-01,102.99
2013-01-01,102.77
2013-02-01,103.29
2013-03-01,103.52
2013-04-01,104.21
2013-05-01,104.44
2013-06-01,104.63
2013-07-01,105.85
2013-08-01,106.93
2013-09-01,107.85
2013-10-01,106.81
2013-11-01,108.26
2013-12-01,107.81
2014-01-01,108.28
2014-02-01,109.18
2014-03-01,110.65
2014-04-01,112.87
2014-05-01,112.62
2014-06-01,113.64
2014-07-01,115.02
2014-08-01,116.18
2014-09-01,116.73
2014-10-01,117.00
2014-11-01,117.36
2014-12-01,117.90
2015-01-01,115.55
2015-02-01,113.51
2015-03-01,111.65
2015-04-01,110.72
2015-05-01,108.76
2015-06-01,107.93
2015-07-01,109.11
2015-08-01,110.09
2015-09-01,109.54
2015-10-01,108.12
2015-11-01,107.57
2015-12-01,105.54
2016-01-01,104.73
2016-02-01,103.84
2016-03-01,102.45
2016-04-01,100.54
2016-05-01,100.61
2016-06-01,100.50
2016-07-01,101.07
2016-08-01,101.31
2016-09-01,101.41
2016-10-01,102.73
2016-11-01,103.76
2016-12-01,102.45
2017-01-01,103.33
2017-02-01,104.68
2017-03-01,105.25
2017-04-01,106.49
2017-05-01,106.57
2017-06-01,107.80
2017-07-01,108.27
2017-08-01,106.99
2017-09-01,106.05
2017-10-01,109.92
2017-11-01,112.67
2017-12-01,111.87
2018-01-01,110.00
2018-02-01,112.52
2018-03-01,114.06
2018-04-01,114.29
2018-05-01,115.55
