Date,UMVPNO
2017-08-01,59840000000.00
2017-09-01,56241000000.00
2017-10-01,57354000000.00
2017-11-01,55411000000.00
2017-12-01,50312000000.00
2018-01-01,51773000000.00
2018-02-01,57591000000.00
2018-03-01,63302000000.00
2018-04-01,58426000000.00
2018-05-01,57807000000.00
