Date,UDAPTI
2004-10-01,10616000000.00
2004-11-01,10590000000.00
2004-12-01,10697000000.00
2005-01-01,10905000000.00
2005-02-01,11192000000.00
2005-03-01,11136000000.00
2005-04-01,11195000000.00
2005-05-01,11346000000.00
2005-06-01,11554000000.00
2005-07-01,11832000000.00
2005-08-01,11563000000.00
2005-09-01,11786000000.00
2005-10-01,12109000000.00
2005-11-01,11988000000.00
2005-12-01,11751000000.00
2006-01-01,11694000000.00
2006-02-01,11895000000.00
2006-03-01,11939000000.00
2006-04-01,12036000000.00
2006-05-01,12332000000.00
2006-06-01,12518000000.00
2006-07-01,12776000000.00
2006-08-01,12730000000.00
2006-09-01,13120000000.00
2006-10-01,13065000000.00
2006-11-01,13161000000.00
2006-12-01,12523000000.00
2007-01-01,12632000000.00
2007-02-01,12799000000.00
2007-03-01,12959000000.00
2007-04-01,13198000000.00
2007-05-01,13271000000.00
2007-06-01,13313000000.00
2007-07-01,13517000000.00
2007-08-01,13494000000.00
2007-09-01,13590000000.00
2007-10-01,13544000000.00
2007-11-01,13721000000.00
2007-12-01,14186000000.00
2008-01-01,14082000000.00
2008-02-01,13924000000.00
2008-03-01,13578000000.00
2008-04-01,13532000000.00
2008-05-01,13478000000.00
2008-06-01,13391000000.00
2008-07-01,12844000000.00
2008-08-01,12433000000.00
2008-09-01,11872000000.00
2008-10-01,11883000000.00
2008-11-01,11852000000.00
2008-12-01,11249000000.00
2009-01-01,12041000000.00
2009-02-01,11771000000.00
2009-03-01,11974000000.00
2009-04-01,12363000000.00
2009-05-01,12428000000.00
2009-06-01,12475000000.00
2009-07-01,12733000000.00
2009-08-01,12855000000.00
2009-09-01,12524000000.00
2009-10-01,12982000000.00
2009-11-01,12647000000.00
2009-12-01,12332000000.00
2010-01-01,12787000000.00
2010-02-01,12971000000.00
2010-03-01,12862000000.00
2010-04-01,12849000000.00
2010-05-01,12853000000.00
2010-06-01,12685000000.00
2010-07-01,12790000000.00
2010-08-01,12694000000.00
2010-09-01,12540000000.00
2010-10-01,12545000000.00
2010-11-01,12719000000.00
2010-12-01,12472000000.00
2011-01-01,12491000000.00
2011-02-01,12505000000.00
2011-03-01,12942000000.00
2011-04-01,12902000000.00
2011-05-01,13194000000.00
2011-06-01,12925000000.00
2011-07-01,13065000000.00
2011-08-01,13058000000.00
2011-09-01,13220000000.00
2011-10-01,12946000000.00
2011-11-01,13233000000.00
2011-12-01,12817000000.00
2012-01-01,12847000000.00
2012-02-01,13043000000.00
2012-03-01,12472000000.00
2012-04-01,12648000000.00
2012-05-01,12809000000.00
2012-06-01,12750000000.00
2012-07-01,12901000000.00
2012-08-01,13102000000.00
2012-09-01,12641000000.00
2012-10-01,12608000000.00
2012-11-01,12909000000.00
2012-12-01,12829000000.00
2013-01-01,12787000000.00
2013-02-01,13399000000.00
2013-03-01,13064000000.00
2013-04-01,12883000000.00
2013-05-01,13000000000.00
2013-06-01,12623000000.00
2013-07-01,12911000000.00
2013-08-01,12278000000.00
2013-09-01,12178000000.00
2013-10-01,12008000000.00
2013-11-01,11513000000.00
2013-12-01,11522000000.00
2014-01-01,11578000000.00
2014-02-01,12369000000.00
2014-03-01,12282000000.00
2014-04-01,12309000000.00
2014-05-01,12313000000.00
2014-06-01,12202000000.00
2014-07-01,12434000000.00
2014-08-01,12464000000.00
2014-09-01,12126000000.00
2014-10-01,12260000000.00
2014-11-01,12085000000.00
2014-12-01,11663000000.00
2015-01-01,12169000000.00
2015-02-01,12422000000.00
2015-03-01,12148000000.00
2015-04-01,12577000000.00
2015-05-01,12653000000.00
2015-06-01,12146000000.00
2015-07-01,12335000000.00
2015-08-01,12710000000.00
2015-09-01,11985000000.00
2015-10-01,11954000000.00
2015-11-01,12072000000.00
2015-12-01,11866000000.00
2016-01-01,12790000000.00
2016-02-01,12655000000.00
2016-03-01,11826000000.00
2016-04-01,12269000000.00
2016-05-01,11935000000.00
2016-06-01,11403000000.00
2016-07-01,12364000000.00
2016-08-01,11998000000.00
2016-09-01,11732000000.00
2016-10-01,11859000000.00
2016-11-01,11799000000.00
2016-12-01,11475000000.00
2017-01-01,11893000000.00
2017-02-01,12079000000.00
2017-03-01,11861000000.00
2017-04-01,12655000000.00
2017-05-01,12654000000.00
2017-06-01,12462000000.00
2017-07-01,12918000000.00
2017-08-01,13181000000.00
2017-09-01,12984000000.00
2017-10-01,13154000000.00
2017-11-01,13102000000.00
2017-12-01,13031000000.00
2018-01-01,12813000000.00
2018-02-01,12906000000.00
2018-03-01,12818000000.00
2018-04-01,12748000000.00
2018-05-01,12882000000.00
