Date,TFAABSHNO
1994-07-01,20132040000000.00
1994-10-01,20410548000000.00
1995-01-01,20924204000000.00
1995-04-01,21478139000000.00
1995-07-01,22132483000000.00
1995-10-01,22780205000000.00
1996-01-01,23356918000000.00
1996-04-01,23789358000000.00
1996-07-01,24059591000000.00
1996-10-01,24392019000000.00
1997-01-01,24633496000000.00
1997-04-01,26012786000000.00
1997-07-01,27068909000000.00
1997-10-01,27425101000000.00
1998-01-01,29026920000000.00
1998-04-01,29475009000000.00
1998-07-01,28363406000000.00
1998-10-01,30586607000000.00
1999-01-01,31040978000000.00
1999-04-01,32175479000000.00
1999-07-01,31791811000000.00
1999-10-01,34759196000000.00
2000-01-01,35743427000000.00
2000-04-01,34990835000000.00
2000-07-01,35276537000000.00
2000-10-01,34027729000000.00
2001-01-01,32720465000000.00
2001-04-01,33767401000000.00
2001-07-01,32150975000000.00
2001-10-01,33581465000000.00
2002-01-01,34026744000000.00
2002-04-01,32799365000000.00
2002-07-01,31127842000000.00
2002-10-01,32162089000000.00
2003-01-01,32140080000000.00
2003-04-01,33990936000000.00
2003-07-01,34754339000000.00
2003-10-01,36760087000000.00
2004-01-01,38539912000000.00
2004-04-01,39175005000000.00
2004-07-01,39605280000000.00
2004-10-01,41752834000000.00
2005-01-01,42165283000000.00
2005-04-01,43086273000000.00
2005-07-01,44279721000000.00
2005-10-01,45449095000000.00
2006-01-01,47737067000000.00
2006-04-01,47788020000000.00
2006-07-01,48538412000000.00
2006-10-01,50300110000000.00
2007-01-01,51452217000000.00
2007-04-01,52612230000000.00
2007-07-01,53255102000000.00
2007-10-01,52862371000000.00
2008-01-01,51407249000000.00
2008-04-01,50918667000000.00
2008-07-01,49750794000000.00
2008-10-01,46278117000000.00
2009-01-01,45446334000000.00
2009-04-01,46615248000000.00
2009-07-01,48166721000000.00
2009-10-01,48868979000000.00
2010-01-01,49727941000000.00
2010-04-01,48609994000000.00
2010-07-01,50425222000000.00
2010-10-01,52991840000000.00
2011-01-01,54349125000000.00
2011-04-01,54659100000000.00
2011-07-01,52244353000000.00
2011-10-01,53751815000000.00
2012-01-01,55949846000000.00
2012-04-01,55578094000000.00
2012-07-01,57114988000000.00
2012-10-01,57893155000000.00
2013-01-01,60289160000000.00
2013-04-01,61241098000000.00
2013-07-01,63177792000000.00
2013-10-01,65487841000000.00
2014-01-01,66475844000000.00
2014-04-01,67763696000000.00
2014-07-01,67841838000000.00
2014-10-01,69303350000000.01
2015-01-01,70513493000000.00
2015-04-01,70755955000000.00
2015-07-01,69206297999999.99
2015-10-01,70781957000000.00
2016-01-01,70994098000000.00
2016-04-01,71508931000000.00
2016-07-01,73412914000000.00
2016-10-01,74892352000000.00
2017-01-01,76690920000000.00
2017-04-01,77686172000000.00
2017-07-01,79186099000000.00
2017-10-01,81234602000000.00
2018-01-01,81745158000000.00
