Date,FINSLC1
1983-07-01,6894727000000.00
1983-10-01,6986303000000.00
1984-01-01,7038767000000.00
1984-04-01,7169748000000.00
1984-07-01,7236836000000.00
1984-10-01,7339829000000.00
1985-01-01,7466408000000.00
1985-04-01,7528605000000.00
1985-07-01,7650217000000.00
1985-10-01,7681632000000.00
1986-01-01,7757848000000.00
1986-04-01,7820138000000.00
1986-07-01,7932285000000.00
1986-10-01,7980246000000.00
1987-01-01,7972003000000.00
1987-04-01,8083094000000.00
1987-07-01,8181339000000.00
1987-10-01,8215968000000.00
1988-01-01,8338629000000.00
1988-04-01,8442264000000.00
1988-07-01,8489681000000.00
1988-10-01,8597049000000.00
1989-01-01,8645439000000.00
1989-04-01,8731317000000.00
1989-07-01,8837320000000.00
1989-10-01,8847741000000.00
1990-01-01,8947540000000.00
1990-04-01,8951722000000.00
1990-07-01,8971227000000.00
1990-10-01,8940124000000.00
1991-01-01,8905758000000.00
1991-04-01,8978741000000.00
1991-07-01,8996629000000.00
1991-10-01,8993410000000.00
1992-01-01,9141126000000.00
1992-04-01,9209542000000.00
1992-07-01,9304195000000.00
1992-10-01,9395088000000.00
1993-01-01,9388511000000.00
1993-04-01,9462270000000.00
1993-07-01,9542305000000.00
1993-10-01,9651003000000.00
1994-01-01,9703906000000.00
1994-04-01,9788300000000.00
1994-07-01,9888115000000.00
1994-10-01,9970609000000.00
1995-01-01,10021616000000.00
1995-04-01,10092757000000.00
1995-07-01,10213754000000.00
1995-10-01,10277246000000.00
1996-01-01,10361544000000.00
1996-04-01,10511895000000.00
1996-07-01,10565324000000.00
1996-10-01,10707487000000.00
1997-01-01,10782377000000.00
1997-04-01,10874758000000.00
1997-07-01,11047241000000.00
1997-10-01,11119664000000.00
1998-01-01,11195349000000.00
1998-04-01,11388324000000.00
1998-07-01,11519564000000.00
1998-10-01,11706118000000.00
1999-01-01,11773626000000.00
1999-04-01,11921752000000.00
1999-07-01,12066254000000.00
1999-10-01,12217956000000.00
2000-01-01,12339985000000.00
2000-04-01,12483424000000.00
2000-07-01,12540311000000.00
2000-10-01,12615817000000.00
2001-01-01,12681907000000.00
2001-04-01,12725717000000.00
2001-07-01,12708153000000.00
2001-10-01,12802570000000.00
2002-01-01,12828095000000.00
2002-04-01,12870412000000.00
2002-07-01,12925950000000.00
2002-10-01,12931200000000.00
2003-01-01,12995405000000.00
2003-04-01,13152635000000.00
2003-07-01,13364627000000.00
2003-10-01,13483229000000.00
2004-01-01,13551101000000.00
2004-04-01,13624289000000.00
2004-07-01,13759628000000.00
2004-10-01,13873947000000.00
2005-01-01,13988771000000.00
2005-04-01,14138457000000.00
2005-07-01,14271716000000.00
2005-10-01,14276420000000.00
2006-01-01,14468780000000.00
2006-04-01,14506320000000.00
2006-07-01,14520284000000.00
2006-10-01,14673683000000.00
2007-01-01,14703271000000.00
2007-04-01,14785496000000.00
2007-07-01,14885864000000.00
2007-10-01,14970130000000.00
2008-01-01,14909363000000.00
2008-04-01,14992852000000.00
2008-07-01,14910653000000.00
2008-10-01,14649979000000.00
2009-01-01,14527355000000.00
2009-04-01,14545833000000.00
2009-07-01,14605147000000.00
2009-10-01,14586898000000.00
2010-01-01,14591530000000.00
2010-04-01,14694310000000.00
2010-07-01,14724465000000.00
2010-10-01,14878339000000.00
2011-01-01,14855331000000.00
2011-04-01,14924472000000.00
2011-07-01,15035147000000.00
2011-10-01,15100985000000.00
2012-01-01,15225032000000.00
2012-04-01,15276858000000.00
2012-07-01,15302695000000.00
2012-10-01,15364632000000.00
2013-01-01,15434333000000.00
2013-04-01,15459141000000.00
2013-07-01,15516561000000.00
2013-10-01,15674256000000.00
2014-01-01,15707413000000.00
2014-04-01,15852340000000.00
2014-07-01,16040283000000.00
2014-10-01,16131585000000.00
2015-01-01,16202291000000.00
2015-04-01,16338632000000.00
2015-07-01,16414142000000.00
2015-10-01,16462138000000.00
2016-01-01,16512674000000.00
2016-04-01,16632600000000.00
2016-07-01,16741079000000.00
2016-10-01,16769987000000.00
2017-01-01,16883467000000.00
2017-04-01,17006646000000.00
2017-07-01,17106271000000.00
2017-10-01,17251559000000.00
2018-01-01,17337610000000.00
