Date,U34DNO
1999-05-01,7428000000.00
1999-06-01,9519000000.00
1999-07-01,7344000000.00
1999-08-01,6943000000.00
1999-09-01,11721000000.00
1999-10-01,9098000000.00
1999-11-01,9807000000.00
1999-12-01,14540000000.00
2000-01-01,8841000000.00
2000-02-01,8052000000.00
2000-03-01,11229000000.00
2000-04-01,9556000000.00
2000-05-01,8375000000.00
2000-06-01,15284000000.00
2000-07-01,8562000000.00
2000-08-01,7400000000.00
2000-09-01,13380000000.00
2000-10-01,9776000000.00
2000-11-01,9630000000.00
2000-12-01,13254000000.00
2001-01-01,7731000000.00
2001-02-01,8525000000.00
2001-03-01,10044000000.00
2001-04-01,6293000000.00
2001-05-01,7232000000.00
2001-06-01,8213000000.00
2001-07-01,5485000000.00
2001-08-01,5180000000.00
2001-09-01,7266000000.00
2001-10-01,5737000000.00
2001-11-01,5834000000.00
2001-12-01,8918000000.00
2002-01-01,3464000000.00
2002-02-01,5022000000.00
2002-03-01,5024000000.00
2002-04-01,4528000000.00
2002-05-01,4623000000.00
2002-06-01,4983000000.00
2002-07-01,3546000000.00
2002-08-01,3282000000.00
2002-09-01,3605000000.00
2002-10-01,3469000000.00
2002-11-01,4368000000.00
2002-12-01,5095000000.00
2003-01-01,4295000000.00
2003-02-01,4674000000.00
2003-03-01,6155000000.00
2003-04-01,4432000000.00
2003-05-01,4171000000.00
2003-06-01,4901000000.00
2003-07-01,4029000000.00
2003-08-01,3708000000.00
2003-09-01,6234000000.00
2003-10-01,5603000000.00
2003-11-01,4328000000.00
2003-12-01,5333000000.00
2004-01-01,3758000000.00
2004-02-01,4674000000.00
2004-03-01,5671000000.00
2004-04-01,4789000000.00
2004-05-01,4261000000.00
2004-06-01,4340000000.00
2004-07-01,3283000000.00
2004-08-01,3597000000.00
2004-09-01,5024000000.00
2004-10-01,4090000000.00
2004-11-01,4233000000.00
2004-12-01,5184000000.00
2005-01-01,4473000000.00
2005-02-01,4487000000.00
2005-03-01,5497000000.00
2005-04-01,3616000000.00
2005-05-01,3970000000.00
2005-06-01,5036000000.00
2005-07-01,3649000000.00
2005-08-01,3777000000.00
2005-09-01,4926000000.00
2005-10-01,4585000000.00
2005-11-01,4196000000.00
2005-12-01,5280000000.00
2006-01-01,4414000000.00
2006-02-01,5466000000.00
2006-03-01,7131000000.00
2006-04-01,4183000000.00
2006-05-01,4769000000.00
2006-06-01,6407000000.00
2006-07-01,3983000000.00
2006-08-01,4809000000.00
2006-09-01,7351000000.00
2006-10-01,4937000000.00
2006-11-01,4855000000.00
2006-12-01,6149000000.00
2007-01-01,4052000000.00
2007-02-01,4864000000.00
2007-03-01,5419000000.00
2007-04-01,4479000000.00
2007-05-01,5253000000.00
2007-06-01,5378000000.00
2007-07-01,3787000000.00
2007-08-01,4149000000.00
2007-09-01,6569000000.00
2007-10-01,4091000000.00
2007-11-01,3884000000.00
2007-12-01,6160000000.00
2008-01-01,3140000000.00
2008-02-01,4082000000.00
2008-03-01,4774000000.00
2008-04-01,3305000000.00
2008-05-01,3578000000.00
2008-06-01,4079000000.00
2008-07-01,3021000000.00
2008-08-01,3491000000.00
2008-09-01,4506000000.00
2008-10-01,3170000000.00
2008-11-01,3392000000.00
2008-12-01,4229000000.00
2009-01-01,2320000000.00
2009-02-01,3065000000.00
2009-03-01,3920000000.00
2009-04-01,2759000000.00
2009-05-01,3034000000.00
2009-06-01,4254000000.00
2009-07-01,3318000000.00
2009-08-01,3335000000.00
2009-09-01,4487000000.00
2009-10-01,3210000000.00
2009-11-01,3161000000.00
2009-12-01,4376000000.00
2010-01-01,2489000000.00
2010-02-01,2774000000.00
2010-03-01,3177000000.00
2010-04-01,2792000000.00
2010-05-01,2242000000.00
2010-06-01,3321000000.00
2010-07-01,2635000000.00
2010-08-01,3724000000.00
2010-09-01,4016000000.00
2010-10-01,2638000000.00
2010-11-01,2897000000.00
2010-12-01,4591000000.00
2011-01-01,2805000000.00
2011-02-01,3343000000.00
2011-03-01,3623000000.00
2011-04-01,2984000000.00
2011-05-01,3055000000.00
2011-06-01,4303000000.00
2011-07-01,2857000000.00
2011-08-01,3606000000.00
2011-09-01,4708000000.00
2011-10-01,3940000000.00
2011-11-01,3250000000.00
2011-12-01,5066000000.00
2012-01-01,2429000000.00
2012-02-01,3565000000.00
2012-03-01,4000000000.00
2012-04-01,3056000000.00
2012-05-01,2990000000.00
2012-06-01,3690000000.00
2012-07-01,2636000000.00
2012-08-01,2978000000.00
2012-09-01,4025000000.00
2012-10-01,3117000000.00
2012-11-01,2817000000.00
2012-12-01,4699000000.00
2013-01-01,2870000000.00
2013-02-01,2718000000.00
2013-03-01,3704000000.00
2013-04-01,3149000000.00
2013-05-01,4000000000.00
2013-06-01,4173000000.00
2013-07-01,2444000000.00
2013-08-01,2836000000.00
2013-09-01,4060000000.00
2013-10-01,3039000000.00
2013-11-01,2978000000.00
2013-12-01,4046000000.00
2014-01-01,2237000000.00
2014-02-01,2764000000.00
2014-03-01,3570000000.00
2014-04-01,2351000000.00
2014-05-01,1916000000.00
2014-06-01,2478000000.00
2014-07-01,1926000000.00
2014-08-01,2335000000.00
2014-09-01,2750000000.00
2014-10-01,2030000000.00
2014-11-01,1991000000.00
2014-12-01,3227000000.00
2015-01-01,2300000000.00
2015-02-01,2607000000.00
2015-03-01,3518000000.00
2015-04-01,2671000000.00
2015-05-01,2457000000.00
2015-06-01,3260000000.00
2015-07-01,2435000000.00
2015-08-01,2464000000.00
2015-09-01,3368000000.00
2015-10-01,2537000000.00
2015-11-01,2366000000.00
2015-12-01,3294000000.00
2016-01-01,2087000000.00
2016-02-01,2492000000.00
2016-03-01,3079000000.00
2016-04-01,2397000000.00
2016-05-01,2400000000.00
2016-06-01,3269000000.00
2016-07-01,2253000000.00
2016-08-01,2188000000.00
2016-09-01,3443000000.00
2016-10-01,2396000000.00
2016-11-01,2238000000.00
2016-12-01,3615000000.00
2017-01-01,2458000000.00
2017-02-01,3053000000.00
2017-03-01,3543000000.00
2017-04-01,2774000000.00
2017-05-01,2585000000.00
2017-06-01,3549000000.00
2017-07-01,2585000000.00
2017-08-01,2650000000.00
2017-09-01,4004000000.00
2017-10-01,3103000000.00
2017-11-01,3008000000.00
2017-12-01,4216000000.00
2018-01-01,2630000000.00
2018-02-01,3003000000.00
2018-03-01,3725000000.00
2018-04-01,2988000000.00
