Date,U24AVS
2016-05-01,34675000000.00
2016-06-01,35834000000.00
2016-07-01,34030000000.00
2016-08-01,34664000000.00
2016-09-01,33661000000.00
2016-10-01,35655000000.00
2016-11-01,33328000000.00
2016-12-01,38726000000.00
2017-01-01,37499000000.00
2017-02-01,34296000000.00
2017-03-01,38068000000.00
2017-04-01,39855000000.00
2017-05-01,40311000000.00
2017-06-01,38294000000.00
2017-07-01,41284000000.00
2017-08-01,43015000000.00
2017-09-01,41937000000.00
2017-10-01,44692000000.00
2017-11-01,46012000000.00
2017-12-01,46620000000.00
2018-01-01,46687000000.00
2018-02-01,41697000000.00
2018-03-01,48030000000.00
2018-04-01,50222000000.00
