Date,UMTMNO
2001-03-01,356885000000.00
2001-04-01,315057000000.00
2001-05-01,336114000000.00
2001-06-01,340589000000.00
2001-07-01,288080000000.00
2001-08-01,328478000000.00
2001-09-01,320727000000.00
2001-10-01,328245000000.00
2001-11-01,305656000000.00
2001-12-01,311217000000.00
2002-01-01,289997000000.00
2002-02-01,306057000000.00
2002-03-01,333237000000.00
2002-04-01,317142000000.00
2002-05-01,329014000000.00
2002-06-01,326347000000.00
2002-07-01,296043000000.00
2002-08-01,331646000000.00
2002-09-01,330746000000.00
2002-10-01,332414000000.00
2002-11-01,314870000000.00
2002-12-01,315632000000.00
2003-01-01,305612000000.00
2003-02-01,316969000000.00
2003-03-01,349765000000.00
2003-04-01,319674000000.00
2003-05-01,327867000000.00
2003-06-01,342944000000.00
2003-07-01,305215000000.00
2003-08-01,331634000000.00
2003-09-01,349740000000.00
2003-10-01,355752000000.00
2003-11-01,327177000000.00
2003-12-01,343463000000.00
2004-01-01,315468000000.00
2004-02-01,333072000000.00
2004-03-01,384320000000.00
2004-04-01,348254000000.00
2004-05-01,351857000000.00
2004-06-01,373020000000.00
2004-07-01,331914000000.00
2004-08-01,363368000000.00
2004-09-01,374274000000.00
2004-10-01,370096000000.00
2004-11-01,367311000000.00
2004-12-01,376047000000.00
2005-01-01,348438000000.00
2005-02-01,361395000000.00
2005-03-01,403840000000.00
2005-04-01,379714000000.00
2005-05-01,400414000000.00
2005-06-01,422690000000.00
2005-07-01,359709000000.00
2005-08-01,416547000000.00
2005-09-01,418716000000.00
2005-10-01,415437000000.00
2005-11-01,413948000000.00
2005-12-01,423184000000.00
2006-01-01,384291000000.00
2006-02-01,395142000000.00
2006-03-01,460884000000.00
2006-04-01,406834000000.00
2006-05-01,435162000000.00
2006-06-01,453341000000.00
2006-07-01,393870000000.00
2006-08-01,436786000000.00
2006-09-01,446257000000.00
2006-10-01,424408000000.00
2006-11-01,417682000000.00
2006-12-01,434989000000.00
2007-01-01,396888000000.00
2007-02-01,403406000000.00
2007-03-01,467630000000.00
2007-04-01,437380000000.00
2007-05-01,457339000000.00
2007-06-01,470077000000.00
2007-07-01,431768000000.00
2007-08-01,471007000000.00
2007-09-01,454684000000.00
2007-10-01,470947000000.00
2007-11-01,456887000000.00
2007-12-01,479014000000.00
2008-01-01,443768000000.00
2008-02-01,452656000000.00
2008-03-01,490803000000.00
2008-04-01,474114000000.00
2008-05-01,490298000000.00
2008-06-01,509533000000.00
2008-07-01,471878000000.00
2008-08-01,476013000000.00
2008-09-01,465628000000.00
2008-10-01,431534000000.00
2008-11-01,368278000000.00
2008-12-01,377621000000.00
2009-01-01,317620000000.00
2009-02-01,315767000000.00
2009-03-01,353276000000.00
2009-04-01,328369000000.00
2009-05-01,341505000000.00
2009-06-01,364450000000.00
2009-07-01,344055000000.00
2009-08-01,361374000000.00
2009-09-01,373616000000.00
2009-10-01,372882000000.00
2009-11-01,354128000000.00
2009-12-01,378695000000.00
2010-01-01,359861000000.00
2010-02-01,364895000000.00
2010-03-01,425819000000.00
2010-04-01,402056000000.00
2010-05-01,404469000000.00
2010-06-01,424093000000.00
2010-07-01,392074000000.00
2010-08-01,418066000000.00
2010-09-01,437094000000.00
2010-10-01,419273000000.00
2010-11-01,411100000000.00
2010-12-01,437099000000.00
2011-01-01,409163000000.00
2011-02-01,409779000000.00
2011-03-01,493024000000.00
2011-04-01,450393000000.00
2011-05-01,466570000000.00
2011-06-01,478964000000.00
2011-07-01,443075000000.00
2011-08-01,482213000000.00
2011-09-01,478308000000.00
2011-10-01,461529000000.00
2011-11-01,456305000000.00
2011-12-01,482337000000.00
2012-01-01,444172000000.00
2012-02-01,469842000000.00
2012-03-01,507632000000.00
2012-04-01,468191000000.00
2012-05-01,486091000000.00
2012-06-01,484419000000.00
2012-07-01,458131000000.00
2012-08-01,472162000000.00
2012-09-01,481879000000.00
2012-10-01,489189000000.00
2012-11-01,462347000000.00
2012-12-01,485655000000.00
2013-01-01,447914000000.00
2013-02-01,466377000000.00
2013-03-01,491380000000.00
2013-04-01,475036000000.00
2013-05-01,502696000000.00
2013-06-01,512048000000.00
2013-07-01,466809000000.00
2013-08-01,489049000000.00
2013-09-01,503218000000.00
2013-10-01,497947000000.00
2013-11-01,479089000000.00
2013-12-01,495763000000.00
2014-01-01,451377000000.00
2014-02-01,463997000000.00
2014-03-01,517983000000.00
2014-04-01,497231000000.00
2014-05-01,501814000000.00
2014-06-01,522812000000.00
2014-07-01,539702000000.00
2014-08-01,495769000000.00
2014-09-01,510808000000.00
2014-10-01,497105000000.00
2014-11-01,454486000000.00
2014-12-01,472907000000.00
2015-01-01,421571000000.00
2015-02-01,424342000000.00
2015-03-01,489792000000.00
2015-04-01,457798000000.00
2015-05-01,451968000000.00
2015-06-01,494339000000.00
2015-07-01,449673000000.00
2015-08-01,452239000000.00
2015-09-01,463452000000.00
2015-10-01,457728000000.00
2015-11-01,431728000000.00
2015-12-01,444847000000.00
2016-01-01,398149000000.00
2016-02-01,416089000000.00
2016-03-01,468952000000.00
2016-04-01,437507000000.00
2016-05-01,443954000000.00
2016-06-01,461574000000.00
2016-07-01,414431000000.00
2016-08-01,451937000000.00
2016-09-01,458257000000.00
2016-10-01,455475000000.00
2016-11-01,433315000000.00
2016-12-01,453095000000.00
2017-01-01,416052000000.00
2017-02-01,420706000000.00
2017-03-01,494350000000.00
2017-04-01,447430000000.00
2017-05-01,467363000000.00
2017-06-01,503599000000.00
2017-07-01,433166000000.00
2017-08-01,476236000000.00
2017-09-01,487841000000.00
2017-10-01,479220000000.00
2017-11-01,471586000000.00
2017-12-01,481888000000.00
2018-01-01,447613000000.00
2018-02-01,458838000000.00
2018-03-01,529870000000.00
2018-04-01,489344000000.00
