Date,UMXDTI
1997-12-01,415242000000.00
1998-01-01,424084000000.00
1998-02-01,430710000000.00
1998-03-01,426774000000.00
1998-04-01,430649000000.00
1998-05-01,432312000000.00
1998-06-01,426873000000.00
1998-07-01,430584000000.00
1998-08-01,432551000000.00
1998-09-01,428662000000.00
1998-10-01,432311000000.00
1998-11-01,432368000000.00
1998-12-01,417004000000.00
1999-01-01,424191000000.00
1999-02-01,428369000000.00
1999-03-01,425423000000.00
1999-04-01,428322000000.00
1999-05-01,430633000000.00
1999-06-01,424324000000.00
1999-07-01,430135000000.00
1999-08-01,431950000000.00
1999-09-01,430296000000.00
1999-10-01,435706000000.00
1999-11-01,438993000000.00
1999-12-01,429202000000.00
2000-01-01,437782000000.00
2000-02-01,445624000000.00
2000-03-01,442347000000.00
2000-04-01,448514000000.00
2000-05-01,450189000000.00
2000-06-01,446728000000.00
2000-07-01,455098000000.00
2000-08-01,458280000000.00
2000-09-01,454110000000.00
2000-10-01,460598000000.00
2000-11-01,461864000000.00
2000-12-01,449480000000.00
2001-01-01,460721000000.00
2001-02-01,461633000000.00
2001-03-01,452219000000.00
2001-04-01,453130000000.00
2001-05-01,450290000000.00
2001-06-01,439150000000.00
2001-07-01,438805000000.00
2001-08-01,435549000000.00
2001-09-01,426924000000.00
2001-10-01,425932000000.00
2001-11-01,418876000000.00
2001-12-01,400726000000.00
2002-01-01,406540000000.00
2002-02-01,406094000000.00
2002-03-01,399325000000.00
2002-04-01,401971000000.00
2002-05-01,401907000000.00
2002-06-01,396968000000.00
2002-07-01,402314000000.00
2002-08-01,403917000000.00
2002-09-01,402540000000.00
2002-10-01,406191000000.00
2002-11-01,404367000000.00
2002-12-01,395280000000.00
2003-01-01,402472000000.00
2003-02-01,410314000000.00
2003-03-01,403750000000.00
2003-04-01,405603000000.00
2003-05-01,405241000000.00
2003-06-01,396538000000.00
2003-07-01,398076000000.00
2003-08-01,397424000000.00
2003-09-01,392041000000.00
2003-10-01,394767000000.00
2003-11-01,391493000000.00
2003-12-01,378849000000.00
2004-01-01,387444000000.00
2004-02-01,394155000000.00
2004-03-01,392700000000.00
2004-04-01,397264000000.00
2004-05-01,401565000000.00
2004-06-01,399892000000.00
2004-07-01,408203000000.00
2004-08-01,412072000000.00
2004-09-01,409553000000.00
2004-10-01,416348000000.00
2004-11-01,418618000000.00
2004-12-01,406810000000.00
2005-01-01,422941000000.00
2005-02-01,432250000000.00
2005-03-01,432935000000.00
2005-04-01,437632000000.00
2005-05-01,438989000000.00
2005-06-01,434756000000.00
2005-07-01,443604000000.00
2005-08-01,444543000000.00
2005-09-01,442503000000.00
2005-10-01,449985000000.00
2005-11-01,449608000000.00
2005-12-01,440688000000.00
2006-01-01,457696000000.00
2006-02-01,463094000000.00
2006-03-01,463897000000.00
2006-04-01,473129000000.00
2006-05-01,478788000000.00
2006-06-01,478441000000.00
2006-07-01,489344000000.00
2006-08-01,493511000000.00
2006-09-01,493834000000.00
2006-10-01,500184000000.00
2006-11-01,499591000000.00
2006-12-01,487133000000.00
2007-01-01,500648000000.00
2007-02-01,508071000000.00
2007-03-01,506132000000.00
2007-04-01,513408000000.00
2007-05-01,519644000000.00
2007-06-01,516385000000.00
2007-07-01,522902000000.00
2007-08-01,524374000000.00
2007-09-01,526383000000.00
2007-10-01,531788000000.00
2007-11-01,533657000000.00
2007-12-01,523602000000.00
2008-01-01,541976000000.00
2008-02-01,548240000000.00
2008-03-01,548978000000.00
2008-04-01,551193000000.00
2008-05-01,554328000000.00
2008-06-01,553719000000.00
2008-07-01,561084000000.00
2008-08-01,563520000000.00
2008-09-01,552174000000.00
2008-10-01,548039000000.00
2008-11-01,538613000000.00
2008-12-01,508087000000.00
2009-01-01,513764000000.00
2009-02-01,510490000000.00
2009-03-01,499998000000.00
2009-04-01,496085000000.00
2009-05-01,493804000000.00
2009-06-01,482711000000.00
2009-07-01,484007000000.00
2009-08-01,482120000000.00
2009-09-01,474633000000.00
2009-10-01,480165000000.00
2009-11-01,480142000000.00
2009-12-01,466506000000.00
2010-01-01,477640000000.00
2010-02-01,486673000000.00
2010-03-01,486513000000.00
2010-04-01,492885000000.00
2010-05-01,495035000000.00
2010-06-01,492663000000.00
2010-07-01,501579000000.00
2010-08-01,504846000000.00
2010-09-01,505988000000.00
2010-10-01,515886000000.00
2010-11-01,519224000000.00
2010-12-01,512135000000.00
2011-01-01,531487000000.00
2011-02-01,542385000000.00
2011-03-01,546248000000.00
2011-04-01,560284000000.00
2011-05-01,567740000000.00
2011-06-01,562526000000.00
2011-07-01,572785000000.00
2011-08-01,575149000000.00
2011-09-01,569206000000.00
2011-10-01,579354000000.00
2011-11-01,578442000000.00
2011-12-01,563388000000.00
2012-01-01,580201000000.00
2012-02-01,587989000000.00
2012-03-01,587650000000.00
2012-04-01,591808000000.00
2012-05-01,592704000000.00
2012-06-01,584300000000.00
2012-07-01,593198000000.00
2012-08-01,596521000000.00
2012-09-01,597145000000.00
2012-10-01,601013000000.00
2012-11-01,597146000000.00
2012-12-01,582143000000.00
2013-01-01,598534000000.00
2013-02-01,604622000000.00
2013-03-01,602335000000.00
2013-04-01,606348000000.00
2013-05-01,604855000000.00
2013-06-01,595881000000.00
2013-07-01,604180000000.00
2013-08-01,608027000000.00
2013-09-01,604086000000.00
2013-10-01,608090000000.00
2013-11-01,603109000000.00
2013-12-01,587522000000.00
2014-01-01,604553000000.00
2014-02-01,615532000000.00
2014-03-01,613263000000.00
2014-04-01,619468000000.00
2014-05-01,625750000000.00
2014-06-01,616127000000.00
2014-07-01,624293000000.00
2014-08-01,626236000000.00
2014-09-01,622733000000.00
2014-10-01,624435000000.00
2014-11-01,621762000000.00
2014-12-01,599021000000.00
2015-01-01,612952000000.00
2015-02-01,618167000000.00
2015-03-01,614777000000.00
2015-04-01,619202000000.00
2015-05-01,621019000000.00
2015-06-01,615247000000.00
2015-07-01,621091000000.00
2015-08-01,619283000000.00
2015-09-01,611884000000.00
2015-10-01,616572000000.00
2015-11-01,612016000000.00
2015-12-01,593604000000.00
2016-01-01,603175000000.00
2016-02-01,605980000000.00
2016-03-01,601651000000.00
2016-04-01,605086000000.00
2016-05-01,606588000000.00
2016-06-01,598342000000.00
2016-07-01,604663000000.00
2016-08-01,607065000000.00
2016-09-01,600584000000.00
2016-10-01,604964000000.00
2016-11-01,604558000000.00
2016-12-01,589827000000.00
2017-01-01,605443000000.00
2017-02-01,611068000000.00
2017-03-01,607378000000.00
2017-04-01,612748000000.00
2017-05-01,613857000000.00
2017-06-01,606066000000.00
2017-07-01,616324000000.00
2017-08-01,619440000000.00
2017-09-01,620564000000.00
2017-10-01,626983000000.00
2017-11-01,627406000000.00
2017-12-01,615874000000.00
2018-01-01,633549000000.00
2018-02-01,640869000000.00
2018-03-01,636825000000.00
2018-04-01,643501000000.00
