Date,PCEPI
1966-12-01,19.42
1967-01-01,19.42
1967-02-01,19.44
1967-03-01,19.45
1967-04-01,19.48
1967-05-01,19.52
1967-06-01,19.58
1967-07-01,19.65
1967-08-01,19.71
1967-09-01,19.77
1967-10-01,19.82
1967-11-01,19.89
1967-12-01,19.92
1968-01-01,20.01
1968-02-01,20.09
1968-03-01,20.16
1968-04-01,20.22
1968-05-01,20.30
1968-06-01,20.36
1968-07-01,20.42
1968-08-01,20.51
1968-09-01,20.58
1968-10-01,20.67
1968-11-01,20.74
1968-12-01,20.78
1969-01-01,20.86
1969-02-01,20.92
1969-03-01,21.02
1969-04-01,21.11
1969-05-01,21.20
1969-06-01,21.30
1969-07-01,21.39
1969-08-01,21.45
1969-09-01,21.54
1969-10-01,21.62
1969-11-01,21.71
1969-12-01,21.81
1970-01-01,21.89
1970-02-01,21.97
1970-03-01,22.03
1970-04-01,22.14
1970-05-01,22.21
1970-06-01,22.27
1970-07-01,22.35
1970-08-01,22.41
1970-09-01,22.51
1970-10-01,22.62
1970-11-01,22.71
1970-12-01,22.81
1971-01-01,22.86
1971-02-01,22.92
1971-03-01,23.00
1971-04-01,23.09
1971-05-01,23.19
1971-06-01,23.29
1971-07-01,23.36
1971-08-01,23.43
1971-09-01,23.46
1971-10-01,23.50
1971-11-01,23.55
1971-12-01,23.64
1972-01-01,23.74
1972-02-01,23.83
1972-03-01,23.87
1972-04-01,23.90
1972-05-01,23.96
1972-06-01,23.99
1972-07-01,24.08
1972-08-01,24.15
1972-09-01,24.26
1972-10-01,24.28
1972-11-01,24.36
1972-12-01,24.43
1973-01-01,24.51
1973-02-01,24.64
1973-03-01,24.81
1973-04-01,25.00
1973-05-01,25.12
1973-06-01,25.26
1973-07-01,25.36
1973-08-01,25.65
1973-09-01,25.75
1973-10-01,25.90
1973-11-01,26.11
1973-12-01,26.32
1974-01-01,26.57
1974-02-01,26.88
1974-03-01,27.20
1974-04-01,27.39
1974-05-01,27.66
1974-06-01,27.89
1974-07-01,28.10
1974-08-01,28.39
1974-09-01,28.69
1974-10-01,28.89
1974-11-01,29.11
1974-12-01,29.34
1975-01-01,29.52
1975-02-01,29.68
1975-03-01,29.79
1975-04-01,29.89
1975-05-01,30.01
1975-06-01,30.20
1975-07-01,30.45
1975-08-01,30.59
1975-09-01,30.74
1975-10-01,30.92
1975-11-01,31.11
1975-12-01,31.29
1976-01-01,31.41
1976-02-01,31.45
1976-03-01,31.49
1976-04-01,31.57
1976-05-01,31.72
1976-06-01,31.85
1976-07-01,32.01
1976-08-01,32.19
1976-09-01,32.37
1976-10-01,32.54
1976-11-01,32.69
1976-12-01,32.87
1977-01-01,33.06
1977-02-01,33.32
1977-03-01,33.48
1977-04-01,33.68
1977-05-01,33.85
1977-06-01,34.04
1977-07-01,34.22
1977-08-01,34.38
1977-09-01,34.51
1977-10-01,34.67
1977-11-01,34.87
1977-12-01,35.04
1978-01-01,35.25
1978-02-01,35.42
1978-03-01,35.65
1978-04-01,35.92
1978-05-01,36.18
1978-06-01,36.41
1978-07-01,36.61
1978-08-01,36.80
1978-09-01,37.01
1978-10-01,37.30
1978-11-01,37.51
1978-12-01,37.69
1979-01-01,37.97
1979-02-01,38.17
1979-03-01,38.47
1979-04-01,38.87
1979-05-01,39.27
1979-06-01,39.60
1979-07-01,39.90
1979-08-01,40.20
1979-09-01,40.55
1979-10-01,40.88
1979-11-01,41.17
1979-12-01,41.51
1980-01-01,41.94
1980-02-01,42.40
1980-03-01,42.92
1980-04-01,43.14
1980-05-01,43.48
1980-06-01,43.75
1980-07-01,44.09
1980-08-01,44.46
1980-09-01,44.87
1980-10-01,45.22
1980-11-01,45.59
1980-12-01,45.89
1981-01-01,46.33
1981-02-01,46.80
1981-03-01,47.12
1981-04-01,47.33
1981-05-01,47.54
1981-06-01,47.73
1981-07-01,48.01
1981-08-01,48.31
1981-09-01,48.60
1981-10-01,48.82
1981-11-01,49.08
1981-12-01,49.23
1982-01-01,49.52
1982-02-01,49.67
1982-03-01,49.79
1982-04-01,49.82
1982-05-01,50.11
1982-06-01,50.47
1982-07-01,50.77
1982-08-01,50.93
1982-09-01,51.07
1982-10-01,51.36
1982-11-01,51.52
1982-12-01,51.60
1983-01-01,51.85
1983-02-01,51.94
1983-03-01,52.01
1983-04-01,52.25
1983-05-01,52.40
1983-06-01,52.60
1983-07-01,52.89
1983-08-01,53.12
1983-09-01,53.31
1983-10-01,53.40
1983-11-01,53.47
1983-12-01,53.50
1984-01-01,53.73
1984-02-01,54.10
1984-03-01,54.27
1984-04-01,54.48
1984-05-01,54.55
1984-06-01,54.65
1984-07-01,54.84
1984-08-01,55.01
1984-09-01,55.09
1984-10-01,55.22
1984-11-01,55.30
1984-12-01,55.45
1985-01-01,55.73
1985-02-01,56.00
1985-03-01,56.22
1985-04-01,56.31
1985-05-01,56.45
1985-06-01,56.61
1985-07-01,56.75
1985-08-01,56.94
1985-09-01,57.03
1985-10-01,57.12
1985-11-01,57.29
1985-12-01,57.48
1986-01-01,57.75
1986-02-01,57.75
1986-03-01,57.62
1986-04-01,57.50
1986-05-01,57.60
1986-06-01,57.81
1986-07-01,57.82
1986-08-01,57.89
1986-09-01,58.08
1986-10-01,58.18
1986-11-01,58.28
1986-12-01,58.36
1987-01-01,58.63
1987-02-01,58.84
1987-03-01,59.00
1987-04-01,59.21
1987-05-01,59.36
1987-06-01,59.58
1987-07-01,59.71
1987-08-01,59.95
1987-09-01,60.15
1987-10-01,60.35
1987-11-01,60.47
1987-12-01,60.58
1988-01-01,60.81
1988-02-01,60.89
1988-03-01,61.10
1988-04-01,61.40
1988-05-01,61.58
1988-06-01,61.84
1988-07-01,62.14
1988-08-01,62.33
1988-09-01,62.63
1988-10-01,62.83
1988-11-01,62.98
1988-12-01,63.17
1989-01-01,63.48
1989-02-01,63.69
1989-03-01,63.92
1989-04-01,64.34
1989-05-01,64.58
1989-06-01,64.71
1989-07-01,64.86
1989-08-01,64.86
1989-09-01,65.01
1989-10-01,65.26
1989-11-01,65.40
1989-12-01,65.59
1990-01-01,66.08
1990-02-01,66.37
1990-03-01,66.61
1990-04-01,66.75
1990-05-01,66.90
1990-06-01,67.19
1990-07-01,67.35
1990-08-01,67.80
1990-09-01,68.22
1990-10-01,68.60
1990-11-01,68.69
1990-12-01,68.74
1991-01-01,69.00
1991-02-01,69.02
1991-03-01,69.03
1991-04-01,69.15
1991-05-01,69.44
1991-06-01,69.56
1991-07-01,69.67
1991-08-01,69.83
1991-09-01,70.07
1991-10-01,70.20
1991-11-01,70.35
1991-12-01,70.52
1992-01-01,70.61
1992-02-01,70.79
1992-03-01,70.96
1992-04-01,71.15
1992-05-01,71.25
1992-06-01,71.37
1992-07-01,71.61
1992-08-01,71.70
1992-09-01,71.82
1992-10-01,72.08
1992-11-01,72.22
1992-12-01,72.35
1993-01-01,72.52
1993-02-01,72.63
1993-03-01,72.78
1993-04-01,72.98
1993-05-01,73.20
1993-06-01,73.23
1993-07-01,73.35
1993-08-01,73.47
1993-09-01,73.55
1993-10-01,73.78
1993-11-01,73.92
1993-12-01,73.93
1994-01-01,73.96
1994-02-01,74.13
1994-03-01,74.33
1994-04-01,74.42
1994-05-01,74.53
1994-06-01,74.71
1994-07-01,74.94
1994-08-01,75.11
1994-09-01,75.20
1994-10-01,75.32
1994-11-01,75.47
1994-12-01,75.52
1995-01-01,75.67
1995-02-01,75.80
1995-03-01,75.93
1995-04-01,76.13
1995-05-01,76.24
1995-06-01,76.31
1995-07-01,76.40
1995-08-01,76.57
1995-09-01,76.62
1995-10-01,76.82
1995-11-01,76.82
1995-12-01,76.97
1996-01-01,77.14
1996-02-01,77.26
1996-03-01,77.49
1996-04-01,77.72
1996-05-01,77.85
1996-06-01,77.85
1996-07-01,78.02
1996-08-01,78.10
1996-09-01,78.31
1996-10-01,78.54
1996-11-01,78.69
1996-12-01,78.78
1997-01-01,78.88
1997-02-01,79.05
1997-03-01,79.13
1997-04-01,79.20
1997-05-01,79.17
1997-06-01,79.27
1997-07-01,79.31
1997-08-01,79.38
1997-09-01,79.56
1997-10-01,79.66
1997-11-01,79.67
1997-12-01,79.66
1998-01-01,79.69
1998-02-01,79.64
1998-03-01,79.65
1998-04-01,79.75
1998-05-01,79.86
1998-06-01,79.79
1998-07-01,79.99
1998-08-01,80.10
1998-09-01,80.04
1998-10-01,80.22
1998-11-01,80.22
1998-12-01,80.30
1999-01-01,80.45
1999-02-01,80.43
1999-03-01,80.48
1999-04-01,80.86
1999-05-01,80.89
1999-06-01,80.91
1999-07-01,81.12
1999-08-01,81.26
1999-09-01,81.55
1999-10-01,81.68
1999-11-01,81.75
1999-12-01,81.95
2000-01-01,82.19
2000-02-01,82.45
2000-03-01,82.80
2000-04-01,82.72
2000-05-01,82.78
2000-06-01,83.06
2000-07-01,83.26
2000-08-01,83.24
2000-09-01,83.60
2000-10-01,83.72
2000-11-01,83.83
2000-12-01,83.94
2001-01-01,84.31
2001-02-01,84.42
2001-03-01,84.43
2001-04-01,84.58
2001-05-01,84.81
2001-06-01,84.97
2001-07-01,84.95
2001-08-01,84.95
2001-09-01,84.67
2001-10-01,84.98
2001-11-01,84.92
2001-12-01,84.83
2002-01-01,84.89
2002-02-01,85.04
2002-03-01,85.27
2002-04-01,85.64
2002-05-01,85.71
2002-06-01,85.82
2002-07-01,86.00
2002-08-01,86.16
2002-09-01,86.31
2002-10-01,86.47
2002-11-01,86.56
2002-12-01,86.63
2003-01-01,86.85
2003-02-01,87.21
2003-03-01,87.42
2003-04-01,87.27
2003-05-01,87.17
2003-06-01,87.27
2003-07-01,87.50
2003-08-01,87.78
2003-09-01,88.03
2003-10-01,88.00
2003-11-01,88.09
2003-12-01,88.29
2004-01-01,88.61
2004-02-01,88.82
2004-03-01,88.97
2004-04-01,89.12
2004-05-01,89.43
2004-06-01,89.72
2004-07-01,89.83
2004-08-01,89.91
2004-09-01,90.08
2004-10-01,90.43
2004-11-01,90.73
2004-12-01,90.79
2005-01-01,90.85
2005-02-01,91.12
2005-03-01,91.39
2005-04-01,91.66
2005-05-01,91.74
2005-06-01,91.79
2005-07-01,92.18
2005-08-01,92.56
2005-09-01,93.46
2005-10-01,93.59
2005-11-01,93.38
2005-12-01,93.40
2006-01-01,93.81
2006-02-01,93.85
2006-03-01,94.01
2006-04-01,94.40
2006-05-01,94.61
2006-06-01,94.83
2006-07-01,95.17
2006-08-01,95.47
2006-09-01,95.23
2006-10-01,94.98
2006-11-01,95.00
2006-12-01,95.39
2007-01-01,95.69
2007-02-01,96.01
2007-03-01,96.34
2007-04-01,96.53
2007-05-01,96.80
2007-06-01,97.00
2007-07-01,97.14
2007-08-01,97.23
2007-09-01,97.60
2007-10-01,97.88
2007-11-01,98.37
2007-12-01,98.64
2008-01-01,98.89
2008-02-01,99.11
2008-03-01,99.42
2008-04-01,99.65
2008-05-01,100.09
2008-06-01,100.79
2008-07-01,101.22
2008-08-01,101.14
2008-09-01,101.24
2008-10-01,100.68
2008-11-01,99.55
2008-12-01,99.01
2009-01-01,99.07
2009-02-01,99.28
2009-03-01,99.19
2009-04-01,99.34
2009-05-01,99.47
2009-06-01,100.07
2009-07-01,100.02
2009-08-01,100.29
2009-09-01,100.45
2009-10-01,100.76
2009-11-01,101.00
2009-12-01,101.05
2010-01-01,101.23
2010-02-01,101.25
2010-03-01,101.36
2010-04-01,101.35
2010-05-01,101.39
2010-06-01,101.45
2010-07-01,101.57
2010-08-01,101.71
2010-09-01,101.81
2010-10-01,102.05
2010-11-01,102.21
2010-12-01,102.46
2011-01-01,102.69
2011-02-01,102.97
2011-03-01,103.36
2011-04-01,103.81
2011-05-01,104.14
2011-06-01,104.18
2011-07-01,104.38
2011-08-01,104.62
2011-09-01,104.79
2011-10-01,104.85
2011-11-01,105.00
2011-12-01,105.02
2012-01-01,105.33
2012-02-01,105.56
2012-03-01,105.80
2012-04-01,105.94
2012-05-01,105.87
2012-06-01,105.84
2012-07-01,105.88
2012-08-01,106.24
2012-09-01,106.58
2012-10-01,106.89
2012-11-01,106.77
2012-12-01,106.76
2013-01-01,106.96
2013-02-01,107.37
2013-03-01,107.23
2013-04-01,107.14
2013-05-01,107.19
2013-06-01,107.37
2013-07-01,107.48
2013-08-01,107.63
2013-09-01,107.76
2013-10-01,107.91
2013-11-01,108.08
2013-12-01,108.28
2014-01-01,108.54
2014-02-01,108.62
2014-03-01,108.80
2014-04-01,109.00
2014-05-01,109.15
2014-06-01,109.26
2014-07-01,109.44
2014-08-01,109.41
2014-09-01,109.51
2014-10-01,109.51
2014-11-01,109.44
2014-12-01,109.21
2015-01-01,108.76
2015-02-01,108.94
2015-03-01,109.13
2015-04-01,109.18
2015-05-01,109.43
2015-06-01,109.62
2015-07-01,109.78
2015-08-01,109.78
2015-09-01,109.73
2015-10-01,109.76
2015-11-01,109.87
2015-12-01,109.79
2016-01-01,109.98
2016-02-01,109.94
2016-03-01,110.04
2016-04-01,110.39
2016-05-01,110.56
2016-06-01,110.71
2016-07-01,110.83
2016-08-01,111.04
2016-09-01,111.24
2016-10-01,111.47
2016-11-01,111.54
2016-12-01,111.74
2017-01-01,112.21
2017-02-01,112.33
2017-03-01,112.05
2017-04-01,112.30
2017-05-01,112.24
2017-06-01,112.28
2017-07-01,112.39
2017-08-01,112.63
2017-09-01,113.08
2017-10-01,113.25
2017-11-01,113.48
2017-12-01,113.64
2018-01-01,114.04
2018-02-01,114.21
2018-03-01,114.25
2018-04-01,114.52
2018-05-01,114.76
