Date,IPFUELN
1969-04-01,49.71
1969-05-01,51.09
1969-06-01,53.10
1969-07-01,54.40
1969-08-01,54.40
1969-09-01,54.68
1969-10-01,53.95
1969-11-01,55.68
1969-12-01,56.34
1970-01-01,55.70
1970-02-01,55.17
1970-03-01,54.67
1970-04-01,52.98
1970-05-01,53.15
1970-06-01,55.46
1970-07-01,55.23
1970-08-01,56.06
1970-09-01,57.16
1970-10-01,55.39
1970-11-01,56.46
1970-12-01,58.99
1971-01-01,58.00
1971-02-01,57.71
1971-03-01,56.45
1971-04-01,55.58
1971-05-01,54.42
1971-06-01,58.09
1971-07-01,58.95
1971-08-01,59.89
1971-09-01,58.15
1971-10-01,57.52
1971-11-01,57.87
1971-12-01,60.44
1972-01-01,59.50
1972-02-01,59.28
1972-03-01,58.40
1972-04-01,57.72
1972-05-01,59.69
1972-06-01,61.36
1972-07-01,62.60
1972-08-01,62.57
1972-09-01,62.33
1972-10-01,63.41
1972-11-01,60.98
1972-12-01,60.32
1973-01-01,59.17
1973-02-01,56.79
1973-03-01,54.76
1973-04-01,54.69
1973-05-01,56.51
1973-06-01,59.44
1973-07-01,58.95
1973-08-01,58.90
1973-09-01,58.18
1973-10-01,59.35
1973-11-01,58.80
1973-12-01,59.20
1974-01-01,57.42
1974-02-01,56.02
1974-03-01,56.13
1974-04-01,60.77
1974-05-01,62.90
1974-06-01,66.34
1974-07-01,67.76
1974-08-01,67.94
1974-09-01,64.87
1974-10-01,65.01
1974-11-01,65.21
1974-12-01,66.69
1975-01-01,66.44
1975-02-01,63.22
1975-03-01,60.83
1975-04-01,60.19
1975-05-01,60.19
1975-06-01,64.59
1975-07-01,66.67
1975-08-01,66.24
1975-09-01,67.59
1975-10-01,64.73
1975-11-01,66.34
1975-12-01,67.89
1976-01-01,65.66
1976-02-01,67.44
1976-03-01,66.58
1976-04-01,66.70
1976-05-01,69.01
1976-06-01,73.84
1976-07-01,73.43
1976-08-01,73.70
1976-09-01,71.85
1976-10-01,70.83
1976-11-01,73.82
1976-12-01,75.98
1977-01-01,74.81
1977-02-01,76.20
1977-03-01,72.97
1977-04-01,72.36
1977-05-01,72.83
1977-06-01,74.38
1977-07-01,74.74
1977-08-01,74.52
1977-09-01,73.59
1977-10-01,72.74
1977-11-01,73.62
1977-12-01,73.39
1978-01-01,69.63
1978-02-01,66.91
1978-03-01,68.19
1978-04-01,67.39
1978-05-01,71.68
1978-06-01,71.91
1978-07-01,72.51
1978-08-01,75.50
1978-09-01,75.20
1978-10-01,75.09
1978-11-01,79.12
1978-12-01,81.70
1979-01-01,76.18
1979-02-01,73.60
1979-03-01,73.27
1979-04-01,74.18
1979-05-01,75.74
1979-06-01,78.35
1979-07-01,79.47
1979-08-01,78.97
1979-09-01,77.13
1979-10-01,75.13
1979-11-01,76.12
1979-12-01,77.96
1980-01-01,75.84
1980-02-01,72.62
1980-03-01,68.19
1980-04-01,65.33
1980-05-01,65.25
1980-06-01,67.77
1980-07-01,66.97
1980-08-01,65.40
1980-09-01,66.31
1980-10-01,64.03
1980-11-01,67.09
1980-12-01,69.60
1981-01-01,71.17
1981-02-01,67.24
1981-03-01,64.55
1981-04-01,63.57
1981-05-01,64.01
1981-06-01,65.03
1981-07-01,65.50
1981-08-01,69.01
1981-09-01,68.60
1981-10-01,66.80
1981-11-01,69.25
1981-12-01,70.34
1982-01-01,65.55
1982-02-01,62.58
1982-03-01,62.13
1982-04-01,63.40
1982-05-01,67.04
1982-06-01,70.57
1982-07-01,70.50
1982-08-01,66.84
1982-09-01,68.83
1982-10-01,68.09
1982-11-01,68.76
1982-12-01,69.44
1983-01-01,64.19
1983-02-01,61.47
1983-03-01,60.80
1983-04-01,64.33
1983-05-01,67.81
1983-06-01,70.46
1983-07-01,71.02
1983-08-01,69.81
1983-09-01,71.27
1983-10-01,67.95
1983-11-01,71.25
1983-12-01,67.46
1984-01-01,65.85
1984-02-01,69.38
1984-03-01,66.97
1984-04-01,67.14
1984-05-01,69.43
1984-06-01,70.71
1984-07-01,68.28
1984-08-01,68.14
1984-09-01,69.38
1984-10-01,68.59
1984-11-01,71.99
1984-12-01,70.17
1985-01-01,65.42
1985-02-01,64.21
1985-03-01,63.77
1985-04-01,66.39
1985-05-01,69.03
1985-06-01,69.94
1985-07-01,69.54
1985-08-01,68.98
1985-09-01,65.53
1985-10-01,67.48
1985-11-01,68.71
1985-12-01,70.12
1986-01-01,67.27
1986-02-01,62.86
1986-03-01,61.31
1986-04-01,64.23
1986-05-01,68.23
1986-06-01,67.32
1986-07-01,66.28
1986-08-01,68.49
1986-09-01,67.12
1986-10-01,64.80
1986-11-01,68.38
1986-12-01,69.46
1987-01-01,66.99
1987-02-01,63.99
1987-03-01,65.05
1987-04-01,67.99
1987-05-01,69.60
1987-06-01,71.68
1987-07-01,71.97
1987-08-01,71.64
1987-09-01,72.17
1987-10-01,71.26
1987-11-01,74.53
1987-12-01,76.58
1988-01-01,73.33
1988-02-01,71.22
1988-03-01,71.24
1988-04-01,73.62
1988-05-01,73.34
1988-06-01,73.87
1988-07-01,74.42
1988-08-01,75.26
1988-09-01,72.90
1988-10-01,72.40
1988-11-01,74.23
1988-12-01,76.30
1989-01-01,73.21
1989-02-01,69.70
1989-03-01,68.78
1989-04-01,70.41
1989-05-01,70.69
1989-06-01,73.51
1989-07-01,74.04
1989-08-01,73.16
1989-09-01,72.77
1989-10-01,70.72
1989-11-01,73.05
1989-12-01,72.88
1990-01-01,71.98
1990-02-01,70.28
1990-03-01,66.76
1990-04-01,68.69
1990-05-01,67.97
1990-06-01,72.00
1990-07-01,72.70
1990-08-01,74.50
1990-09-01,73.27
1990-10-01,70.43
1990-11-01,70.84
1990-12-01,70.46
1991-01-01,68.29
1991-02-01,67.91
1991-03-01,68.36
1991-04-01,68.78
1991-05-01,71.76
1991-06-01,73.87
1991-07-01,73.43
1991-08-01,73.30
1991-09-01,72.54
1991-10-01,70.48
1991-11-01,72.63
1991-12-01,74.79
1992-01-01,70.40
1992-02-01,67.14
1992-03-01,67.25
1992-04-01,69.89
1992-05-01,70.70
1992-06-01,71.59
1992-07-01,71.64
1992-08-01,68.02
1992-09-01,69.98
1992-10-01,72.33
1992-11-01,72.97
1992-12-01,72.83
1993-01-01,68.68
1993-02-01,67.56
1993-03-01,65.90
1993-04-01,68.30
1993-05-01,69.83
1993-06-01,70.43
1993-07-01,70.05
1993-08-01,69.89
1993-09-01,71.93
1993-10-01,73.41
1993-11-01,75.53
1993-12-01,74.92
1994-01-01,69.29
1994-02-01,67.21
1994-03-01,67.41
1994-04-01,71.30
1994-05-01,72.93
1994-06-01,73.60
1994-07-01,72.29
1994-08-01,72.97
1994-09-01,73.74
1994-10-01,72.18
1994-11-01,76.97
1994-12-01,76.50
1995-01-01,72.17
1995-02-01,70.86
1995-03-01,71.26
1995-04-01,73.08
1995-05-01,73.86
1995-06-01,74.83
1995-07-01,74.21
1995-08-01,74.17
1995-09-01,76.39
1995-10-01,73.49
1995-11-01,76.25
1995-12-01,76.91
1996-01-01,72.06
1996-02-01,72.34
1996-03-01,72.25
1996-04-01,75.02
1996-05-01,76.44
1996-06-01,77.30
1996-07-01,76.24
1996-08-01,77.19
1996-09-01,77.03
1996-10-01,77.79
1996-11-01,80.31
1996-12-01,79.45
1997-01-01,73.95
1997-02-01,73.29
1997-03-01,74.46
1997-04-01,76.93
1997-05-01,80.59
1997-06-01,81.01
1997-07-01,77.94
1997-08-01,79.22
1997-09-01,78.89
1997-10-01,77.77
1997-11-01,77.49
1997-12-01,78.68
1998-01-01,73.61
1998-02-01,71.48
1998-03-01,72.18
1998-04-01,75.04
1998-05-01,75.97
1998-06-01,76.57
1998-07-01,75.93
1998-08-01,76.16
1998-09-01,74.35
1998-10-01,73.90
1998-11-01,77.11
1998-12-01,78.05
1999-01-01,75.04
1999-02-01,75.05
1999-03-01,74.63
1999-04-01,80.01
1999-05-01,81.69
1999-06-01,81.82
1999-07-01,82.19
1999-08-01,81.97
1999-09-01,82.95
1999-10-01,82.90
1999-11-01,82.83
1999-12-01,82.99
2000-01-01,75.82
2000-02-01,76.72
2000-03-01,79.15
2000-04-01,80.77
2000-05-01,82.47
2000-06-01,82.76
2000-07-01,81.21
2000-08-01,81.02
2000-09-01,82.56
2000-10-01,80.10
2000-11-01,82.52
2000-12-01,80.60
2001-01-01,76.57
2001-02-01,77.27
2001-03-01,76.98
2001-04-01,80.46
2001-05-01,82.94
2001-06-01,83.47
2001-07-01,83.11
2001-08-01,81.63
2001-09-01,82.67
2001-10-01,84.35
2001-11-01,85.47
2001-12-01,83.50
2002-01-01,81.67
2002-02-01,81.33
2002-03-01,81.14
2002-04-01,86.38
2002-05-01,86.82
2002-06-01,86.99
2002-07-01,86.21
2002-08-01,86.51
2002-09-01,84.32
2002-10-01,81.91
2002-11-01,87.32
2002-12-01,87.54
2003-01-01,80.33
2003-02-01,79.95
2003-03-01,80.55
2003-04-01,83.41
2003-05-01,84.30
2003-06-01,83.42
2003-07-01,82.98
2003-08-01,83.63
2003-09-01,82.89
2003-10-01,83.50
2003-11-01,85.38
2003-12-01,86.56
2004-01-01,81.59
2004-02-01,81.22
2004-03-01,83.07
2004-04-01,86.32
2004-05-01,88.17
2004-06-01,88.45
2004-07-01,88.61
2004-08-01,89.49
2004-09-01,84.84
2004-10-01,89.06
2004-11-01,90.32
2004-12-01,93.76
2005-01-01,87.72
2005-02-01,88.22
2005-03-01,88.38
2005-04-01,92.58
2005-05-01,93.25
2005-06-01,94.77
2005-07-01,92.78
2005-08-01,91.70
2005-09-01,86.26
2005-10-01,85.09
2005-11-01,91.67
2005-12-01,92.51
2006-01-01,88.91
2006-02-01,88.08
2006-03-01,85.31
2006-04-01,88.08
2006-05-01,94.49
2006-06-01,97.30
2006-07-01,94.91
2006-08-01,96.52
2006-09-01,96.52
2006-10-01,93.54
2006-11-01,94.90
2006-12-01,97.88
2007-01-01,95.62
2007-02-01,92.41
2007-03-01,94.50
2007-04-01,95.60
2007-05-01,98.81
2007-06-01,99.68
2007-07-01,98.69
2007-08-01,99.63
2007-09-01,96.84
2007-10-01,96.34
2007-11-01,96.97
2007-12-01,97.69
2008-01-01,95.51
2008-02-01,93.54
2008-03-01,92.13
2008-04-01,95.77
2008-05-01,97.80
2008-06-01,97.91
2008-07-01,97.12
2008-08-01,96.77
2008-09-01,85.85
2008-10-01,99.56
2008-11-01,99.44
2008-12-01,101.01
2009-01-01,97.18
2009-02-01,97.08
2009-03-01,96.94
2009-04-01,99.32
2009-05-01,100.07
2009-06-01,101.72
2009-07-01,99.93
2009-08-01,99.37
2009-09-01,99.90
2009-10-01,97.92
2009-11-01,98.54
2009-12-01,97.39
2010-01-01,89.72
2010-02-01,90.86
2010-03-01,94.61
2010-04-01,97.40
2010-05-01,98.93
2010-06-01,99.28
2010-07-01,100.76
2010-08-01,100.11
2010-09-01,97.79
2010-10-01,97.21
2010-11-01,99.53
2010-12-01,101.91
2011-01-01,95.90
2011-02-01,94.94
2011-03-01,98.14
2011-04-01,97.77
2011-05-01,100.03
2011-06-01,102.49
2011-07-01,103.08
2011-08-01,103.99
2011-09-01,102.30
2011-10-01,100.65
2011-11-01,104.74
2011-12-01,104.49
2012-01-01,96.02
2012-02-01,96.61
2012-03-01,95.95
2012-04-01,96.59
2012-05-01,99.68
2012-06-01,101.65
2012-07-01,101.39
2012-08-01,102.25
2012-09-01,99.95
2012-10-01,101.77
2012-11-01,103.37
2012-12-01,104.77
2013-01-01,99.63
2013-02-01,99.82
2013-03-01,100.48
2013-04-01,102.32
2013-05-01,107.08
2013-06-01,108.50
2013-07-01,108.78
2013-08-01,108.32
2013-09-01,106.65
2013-10-01,107.66
2013-11-01,108.87
2013-12-01,108.77
2014-01-01,100.36
2014-02-01,100.61
2014-03-01,103.19
2014-04-01,105.85
2014-05-01,106.52
2014-06-01,104.61
2014-07-01,105.76
2014-08-01,103.78
2014-09-01,100.18
2014-10-01,98.44
2014-11-01,100.72
2014-12-01,104.25
2015-01-01,96.45
2015-02-01,97.08
2015-03-01,98.15
2015-04-01,99.95
2015-05-01,100.28
2015-06-01,101.27
2015-07-01,102.92
2015-08-01,103.65
2015-09-01,103.11
2015-10-01,102.69
2015-11-01,105.07
2015-12-01,105.08
2016-01-01,99.47
2016-02-01,104.29
2016-03-01,107.12
2016-04-01,106.00
2016-05-01,108.68
2016-06-01,112.07
2016-07-01,111.75
2016-08-01,112.49
2016-09-01,110.21
2016-10-01,108.33
2016-11-01,110.91
2016-12-01,111.42
2017-01-01,103.81
2017-02-01,104.12
2017-03-01,106.50
2017-04-01,108.30
2017-05-01,110.97
2017-06-01,111.85
2017-07-01,110.07
2017-08-01,109.20
2017-09-01,103.02
2017-10-01,108.07
2017-11-01,111.41
2017-12-01,111.04
2018-01-01,104.45
2018-02-01,103.42
2018-03-01,107.04
2018-04-01,109.08
2018-05-01,108.93
