Date,UMDMTI
2000-01-01,294389000000.00
2000-02-01,299804000000.00
2000-03-01,295486000000.00
2000-04-01,300245000000.00
2000-05-01,301183000000.00
2000-06-01,298917000000.00
2000-07-01,303751000000.00
2000-08-01,306922000000.00
2000-09-01,302174000000.00
2000-10-01,305892000000.00
2000-11-01,308501000000.00
2000-12-01,298232000000.00
2001-01-01,305863000000.00
2001-02-01,307582000000.00
2001-03-01,298627000000.00
2001-04-01,299866000000.00
2001-05-01,297979000000.00
2001-06-01,289662000000.00
2001-07-01,289482000000.00
2001-08-01,287463000000.00
2001-09-01,279336000000.00
2001-10-01,278093000000.00
2001-11-01,273937000000.00
2001-12-01,260271000000.00
2002-01-01,264820000000.00
2002-02-01,266408000000.00
2002-03-01,260078000000.00
2002-04-01,261673000000.00
2002-05-01,261392000000.00
2002-06-01,257783000000.00
2002-07-01,260534000000.00
2002-08-01,261396000000.00
2002-09-01,257803000000.00
2002-10-01,259362000000.00
2002-11-01,258761000000.00
2002-12-01,253198000000.00
2003-01-01,257930000000.00
2003-02-01,263149000000.00
2003-03-01,257777000000.00
2003-04-01,259036000000.00
2003-05-01,258813000000.00
2003-06-01,251785000000.00
2003-07-01,252659000000.00
2003-08-01,251635000000.00
2003-09-01,246347000000.00
2003-10-01,248295000000.00
2003-11-01,246554000000.00
2003-12-01,239946000000.00
2004-01-01,245665000000.00
2004-02-01,249587000000.00
2004-03-01,247411000000.00
2004-04-01,250721000000.00
2004-05-01,253149000000.00
2004-06-01,252073000000.00
2004-07-01,257458000000.00
2004-08-01,260139000000.00
2004-09-01,257887000000.00
2004-10-01,261805000000.00
2004-11-01,264821000000.00
2004-12-01,257622000000.00
2005-01-01,268243000000.00
2005-02-01,274594000000.00
2005-03-01,273345000000.00
2005-04-01,276320000000.00
2005-05-01,278437000000.00
2005-06-01,273866000000.00
2005-07-01,279977000000.00
2005-08-01,280418000000.00
2005-09-01,277424000000.00
2005-10-01,281116000000.00
2005-11-01,283591000000.00
2005-12-01,276081000000.00
2006-01-01,285898000000.00
2006-02-01,289876000000.00
2006-03-01,289357000000.00
2006-04-01,295678000000.00
2006-05-01,299371000000.00
2006-06-01,298051000000.00
2006-07-01,306555000000.00
2006-08-01,309535000000.00
2006-09-01,309995000000.00
2006-10-01,315619000000.00
2006-11-01,317202000000.00
2006-12-01,309290000000.00
2007-01-01,320424000000.00
2007-02-01,325072000000.00
2007-03-01,321812000000.00
2007-04-01,326015000000.00
2007-05-01,327898000000.00
2007-06-01,323526000000.00
2007-07-01,327649000000.00
2007-08-01,328374000000.00
2007-09-01,326585000000.00
2007-10-01,330170000000.00
2007-11-01,332382000000.00
2007-12-01,326224000000.00
2008-01-01,334834000000.00
2008-02-01,337739000000.00
2008-03-01,335469000000.00
2008-04-01,338362000000.00
2008-05-01,338972000000.00
2008-06-01,333953000000.00
2008-07-01,339220000000.00
2008-08-01,340478000000.00
2008-09-01,335020000000.00
2008-10-01,336092000000.00
2008-11-01,334736000000.00
2008-12-01,321833000000.00
2009-01-01,327940000000.00
2009-02-01,326682000000.00
2009-03-01,316329000000.00
2009-04-01,314996000000.00
2009-05-01,311685000000.00
2009-06-01,301139000000.00
2009-07-01,301758000000.00
2009-08-01,298361000000.00
2009-09-01,293122000000.00
2009-10-01,295133000000.00
2009-11-01,296352000000.00
2009-12-01,287443000000.00
2010-01-01,295426000000.00
2010-02-01,299897000000.00
2010-03-01,297815000000.00
2010-04-01,302568000000.00
2010-05-01,306115000000.00
2010-06-01,305680000000.00
2010-07-01,310777000000.00
2010-08-01,313037000000.00
2010-09-01,311832000000.00
2010-10-01,316392000000.00
2010-11-01,320002000000.00
2010-12-01,312846000000.00
2011-01-01,324311000000.00
2011-02-01,330758000000.00
2011-03-01,332863000000.00
2011-04-01,339618000000.00
2011-05-01,345586000000.00
2011-06-01,342294000000.00
2011-07-01,349570000000.00
2011-08-01,352596000000.00
2011-09-01,347360000000.00
2011-10-01,350999000000.00
2011-11-01,353135000000.00
2011-12-01,343205000000.00
2012-01-01,353818000000.00
2012-02-01,358045000000.00
2012-03-01,356633000000.00
2012-04-01,361110000000.00
2012-05-01,364362000000.00
2012-06-01,359678000000.00
2012-07-01,366465000000.00
2012-08-01,368865000000.00
2012-09-01,364459000000.00
2012-10-01,367862000000.00
2012-11-01,368474000000.00
2012-12-01,357408000000.00
2013-01-01,367065000000.00
2013-02-01,370766000000.00
2013-03-01,365655000000.00
2013-04-01,369781000000.00
2013-05-01,369417000000.00
2013-06-01,363921000000.00
2013-07-01,369283000000.00
2013-08-01,369356000000.00
2013-09-01,366687000000.00
2013-10-01,369239000000.00
2013-11-01,369313000000.00
2013-12-01,360480000000.00
2014-01-01,371184000000.00
2014-02-01,377878000000.00
2014-03-01,375242000000.00
2014-04-01,379308000000.00
2014-05-01,383793000000.00
2014-06-01,379061000000.00
2014-07-01,386032000000.00
2014-08-01,387896000000.00
2014-09-01,384612000000.00
2014-10-01,386103000000.00
2014-11-01,387793000000.00
2014-12-01,377569000000.00
2015-01-01,390207000000.00
2015-02-01,394870000000.00
2015-03-01,391352000000.00
2015-04-01,394947000000.00
2015-05-01,395548000000.00
2015-06-01,392293000000.00
2015-07-01,397354000000.00
2015-08-01,397064000000.00
2015-09-01,390484000000.00
2015-10-01,391132000000.00
2015-11-01,390114000000.00
2015-12-01,380959000000.00
2016-01-01,388826000000.00
2016-02-01,390344000000.00
2016-03-01,385200000000.00
2016-04-01,386548000000.00
2016-05-01,385940000000.00
2016-06-01,378124000000.00
2016-07-01,384386000000.00
2016-08-01,384934000000.00
2016-09-01,379527000000.00
2016-10-01,380161000000.00
2016-11-01,380771000000.00
2016-12-01,369611000000.00
2017-01-01,379271000000.00
2017-02-01,383744000000.00
2017-03-01,380878000000.00
2017-04-01,384975000000.00
2017-05-01,386991000000.00
2017-06-01,382666000000.00
2017-07-01,390189000000.00
2017-08-01,392232000000.00
2017-09-01,391636000000.00
2017-10-01,393888000000.00
2017-11-01,394354000000.00
2017-12-01,386307000000.00
2018-01-01,397366000000.00
2018-02-01,403399000000.00
2018-03-01,399879000000.00
2018-04-01,404137000000.00
2018-05-01,406321000000.00
